證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　 銷貨成本,　　　 銷貨成本合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　　 銷貨收入,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計
6164,2015年第3季,,,                429986,                429986,,                340516,                 89470,                 89470,,,                 25523,,                 46113,,                 11733,                 83369,                  6101,,,                  3574,,                  5598,,                  1526,                  7646,                 13747,,                  4365,                  9382,                  9382,,,                 64880,                      9,                 10062,                 54827,                 54827,                 64209,,                  8904,                    478,,                 63153,                  1056,,                              0.07,,                              0.07,,,,,,,,,,,,,,,
6164,2015年第2季,,,                453736,                453736,,                335197,                118539,                118539,,,                 27296,,                 43183,,                 12393,                 82872,                 35667,,,                  4340,,                 -4357,,                  1260,                 -1277,                 34390,,                  9644,                 24746,                 24746,,,                -20329,                   -742,                 -3118,                -17953,                -17953,                  6793,,                 24664,                     82,,                  6901,                   -108,,                              0.21,,                              0.21,,,,,,,,,,,,,,,
6164,2015年01月01日至2015年09月30日,,,              1284342,              1284342,,                971242,                313100,                313100,,,                 82346,,                131736,,                 35706,                249788,                 63312,,,                 12269,,                 -6402,,                  3970,                  1897,                 65209,,                 19086,                 46123,                 46123,,,                 30509,                 -1745,                  4784,                 23980,                 23980,                 70103,,                 45447,                    676,,                 69167,                    936,,                              0.38,,                              0.38,,,,,,,,,,,,,,,
6164,2015年01月01日至2015年06月30日,,,                854356,                854356,,                630726,                223630,                223630,,,                 56823,,                 85623,,                 23973,                166419,                 57211,,,                  8695,,                -12000,,                  2444,                 -5749,                 51462,,                 14721,                 36741,                 36741,,,                -34371,                 -1754,                 -5278,                -30847,                -30847,                  5894,,                 36543,                    198,,                  6014,                   -120,,                              0.31,,                              0.31,,,,,,,,,,,,,,,
6164,2015年01月01日至2015年03月31日,,,,                400620,,                295529,                105091,                105091,,,                 29527,,                 42440,,                 11580,                 83547,                 21544,,,                  4355,,                 -7643,,                  1184,                 -4472,                 17072,,                  5077,                 11995,                 11995,,,                -14042,                 -1012,                 -2160,                -12894,                -12894,                   -899,,                 11879,                    116,,                   -887,                    -12,,                              0.10,,                              0.10,,                              0,,,,,,,,,,,,,
6164,2014年第3季,,,                499631,                499631,,                369294,                130337,                130337,,,                 27011,,                 48986,,                 12623,                 88620,                 41717,,,                  3892,,                  3518,,                  1170,                  6240,                 47957,,                  5235,                 42722,                 42722,,,                 31080,                    429,                  4930,                 26579,                 26579,                 69301,,                 42272,                    450,,                 68672,                    629,,                              0.36,,                              0.35,,,,,,,,,,,,,,,
6164,2014年第2季,,,                475299,                475299,,                332081,                143218,                143218,,,                 29460,,                 43311,,                 11346,                 84117,                 59101,,,                  3748,,                  1319,,                    763,                  4304,                 63405,,                 18128,                 45277,                 45277,,,                -24354,                  3907,                 -3357,                -17090,                -17090,                 28187,,                 44977,                    300,,                 27985,                    202,,                              0.38,,                              0.38,,,,,,,,,,,,,,,
6164,2014年度,,,,              1802397,,              1311085,                491312,                491312,,,                113306,,                182671,,                 49053,                345030,                146282,,,                 18474,,                 13886,,                  3398,                 28962,                175244,,                 42038,                133206,                133206,,,,,,,                 50354,                183560,,                131826,                  1380,,                181781,                  1779,,                              1.11,,                              1.10,,,,              1311085,                 54621,                  8604,                 -4439,                  8432,,,,,,,
6164,2014年01月01日至2014年09月30日,,,              1342451,              1342451,,                969144,                373307,                373307,,,                 81905,,                135391,,                 36481,                253777,                119530,,,                 11641,,                  2873,,                  1985,                 12529,                132059,,                 30736,                101323,                101323,,,                  8400,                  7646,                  2131,                 13915,                 13915,                115238,,                100225,                  1098,,                114080,                  1158,,                              0.85,,                              0.84,,,,,,,,,,,,,,,
6164,2014年01月01日至2014年06月30日,,,                842820,                842820,,                599850,                242970,                242970,,,                 54894,,                 86405,,                 23858,                165157,                 77813,,,                  7749,,                   -645,,                    815,                  6289,                 84102,,                 25501,                 58601,                 58601,,,                -22680,                  7217,                 -2799,                -12664,                -12664,                 45937,,                 57953,                    648,,                 45408,                    529,,                              0.49,,                              0.49,,,,,,,,,,,,,,,
6164,2014年01月01日至2014年03月31日,,,,                367521,,                267769,                 99752,                 99752,,,                 25434,,                 43094,,                 12512,                 81040,                 18712,,,                  4001,,                 -1964,,                     52,                  1985,                 20697,,                  7373,                 13324,                 13324,,,                  1674,                  3310,                    558,                  4426,                  4426,                 17750,,                 12976,                    348,,                 17423,                    327,,                              0.11,,                              0.11,,                              0,,,,,,,,,,,,,
6164,2013年第3季,,,                471945,                471945,,                333360,                138585,                138585,,,                 24696,,                 45764,,                 10896,                 81356,                 57229,,,                  4724,,                   -855,,                  1283,                  2586,                 59815,,                 16991,                 42824,                 42824,,,,,,,                -11095,                 31729,,                 42641,                    183,,                 31659,                     70,,                              0.36,,                              0.36,,,,,                -14809,                  1502,,                 -2212,,                473400,                    863,                    592,,,
6164,2013年第2季,,,                488423,                488423,,                337588,                150835,                150835,,,                 25127,,                 48783,,                 14194,                 88104,                 62731,,,                  2216,,                    826,,                  1061,                  1981,                 64712,,                 16887,                 47825,                 47825,,,,,,,                 15964,                 63789,,                 48203,                   -378,,                 64074,                   -285,,                              0.41,,                              0.40,,,,,                 18785,                   -437,,                  2477,,                495782,                  1402,                  5957,                495782,,                     93
6164,2013年度,,,,              1752183,,              1239361,                512822,                512822,,,                 96462,,                190087,,                 48270,                334819,                178003,,,                 14250,,                 -6562,,                  4135,                  3553,                181556,,                 22834,                158722,                158722,,,,,,,                 60119,                218841,,                157540,                  1182,,                217417,                  1424,,                              1.33,,                              1.32,,,,              1239361,                 60328,                  8858,                    900,                  9967,,,,,,,
6164,2013年07月01日至2013年09月30日,,,                471945,                471945,,                333360,                138585,                138585,,,                 24696,,                 45764,,                 10896,                 81356,                 57229,,,                  4724,,                   -855,,                  1283,                  2586,                 59815,,                 16991,                 42824,                 42824,,,,,,,                -11095,                 31729,,                 42641,                    183,,                 31659,                     70,,                              0.36,,                              0.36,,,,                333360,                -14809,                  1502,,                 -2212,,                473400,                    864,                    591,                473400,,
6164,2013年04月01日至2013年06月30日,,,                488423,                488423,,                337588,                150835,                150835,,,                 25127,,                 48783,,                 14194,                 88104,                 62731,,,                  2216,,                    826,,                  1061,                  1981,                 64712,,                 16887,                 47825,                 47825,,,,,,,                 15964,                 63789,,                 48203,                   -378,,                 64074,                   -285,,                              0.41,,                              0.40,,,,                337588,                 18878,                   -437,,                  2477,,                495782,                  1402,                  5957,                495782,,
6164,2013年01月01日至2013年12月31日,,,              1752183,              1752183,,              1239361,                512822,                512822,,,                 96462,,                190087,,                 48270,                334819,                178003,,,                 14250,,                 -6562,,                  4135,                  3553,                181556,,                 22834,                158722,                158722,,,,,,,                 60119,                218841,,                157540,                  1182,,                217417,                  1424,,                              1.33,,                              1.32,,,,              1239361,                 60086,                  8858,                    900,                 10008,,              1767515,                  7553,                  7779,              1767515,,                    283
6164,2013年01月01日至2013年09月30日,,,              1344061,              1344061,,                940357,                403704,                403704,,,                 71954,,                137143,,                 35318,                244415,                159289,,,                  9826,,                 -4889,,                  3309,                  1628,                160917,,                 42118,                118799,                118799,,,,,,,                 41626,                160425,,                119132,                   -333,,                160612,                   -187,,                              1.01,,                              1.00,,,,,                 40388,                  7851,,                  6613,,              1357926,                  7216,                  6649,,,
6164,2013年01月01日至2013年06月30日,,,                872116,                872116,,                606997,                265119,                265119,,,                 47258,,                 91379,,                 24422,                163059,                102060,,,                  5102,,                 -4034,,                  2026,                   -958,                101102,,                 25127,                 75975,                 75975,,,,,,,                 52721,                128696,,                 76491,                   -516,,                128953,                   -257,,                              0.65,,                              0.64,,,,,                 54938,                  6349,,                  8825,,                884526,                  6352,                  6058,                884526,,                    259
6164,2013年01月01日至2013年03月31日,,,                383693,                383693,,                269409,                114284,                114284,,,                 22131,,                 42596,,                 10228,                 74955,                 39329,,,                  2886,,                 -4860,,                    965,                 -2939,                 36390,,                  8240,                 28150,                 28150,,,,,,,                 36757,                 64907,,                 28288,                   -138,,                 64879,                     28,,                              0.24,,                              0.24,,                              0,,,                 36153,                  6786,,                  6348,,                388744,                  4950,                    101,                388744,,                    166
6164,2012年07月01日至2012年09月30日,,,                397138,                397138,,                292314,                104824,                104824,,,                 28931,,                 39811,,                 12295,                 81037,                 23787,,,                    979,,                  3285,,                  1101,                  3163,                 26950,,                  7132,                 19818,                 19818,,,,,,,                 -7609,                 12209,,                 19991,                   -173,,                 14087,                 -1878,,                              0.16,,                              0.16,,,,                292314,                -14398,                  5060,,                 -1729,,                408984,                 10860,                    986,                408984,,
6164,2012年04月01日至2012年06月30日,,,                468571,                468571,,                339140,                129431,                129431,,,                 32319,,                 46550,,                 13341,                 92210,                 37221,,,                  1389,,                -27388,,                  1334,                -27333,                  9888,,                  4597,                  5291,                  5291,,,,,,,                  5086,                 10377,,                  6318,                 -1027,,                 11255,                   -878,,                              0.05,,                              0.05,,,,                339140,                  8888,                 -2714,,                  1088,,                474143,                  3005,                  2567,                474143,,
6164,2012年01月01日至2012年12月31日,,,              1671201,              1671201,,              1218039,                453162,                453162,,,                115018,,                179131,,                 50768,                344917,                108245,,,                  8040,,                -52062,,                  4991,                -49013,                 59232,,                 21724,                 37508,                 37508,,,,,,,                -20663,                 16845,,                 39367,                 -1859,,                 21840,                 -4995,,                              0.31,,                              0.31,,,,              1218039,                -35592,                 14687,                 -1467,                 -5378,,              1697446,                 20928,                  5317,              1697446,,                 -3669
6164,2012年01月01日至2012年09月30日,,,              1264378,              1264378,,                928375,                336003,                336003,,,                 91388,,                135990,,                 40880,                268258,                 67745,,,                  3854,,                -26361,,                  3991,                -26498,                 41247,,                 15461,                 25786,                 25786,,,,,,,                -19794,                  5992,,                 27748,                 -1962,,                  9682,                 -3690,,                              0.22,,                              0.22,,,,                928375,                -33722,                  9534,,                 -4394,,              1286508,                 17596,                  4534,              1286508,,
6164,2012年01月01日至2012年06月30日,,,                867240,                867240,,                636061,                231179,                231179,,,                 62457,,                 96179,,                 28585,                187221,                 43958,,,                  2875,,                -29646,,                  2890,                -29661,                 14297,,                  8329,                  5968,                  5968,,,,,,,                -12185,                 -6217,,                  7757,                 -1789,,                 -4405,                 -1812,,                              0.06,,                              0.06,,,,                636061,                -19324,                  4474,,                 -2665,,                877524,                  6736,                  3548,                877524,,
6164,2012年01月01日至2012年03月31日,,,                398669,                398669,,                296921,                101748,                101748,,,                 30138,,                 49629,,                 15244,                 95011,                  6737,,,                  1486,,                 -2258,,                  1556,                 -2328,                  4409,,                  3732,                    677,                    677,,,,,,,                -17271,                -16594,,                  1439,                   -762,,                -15660,                   -934,,                              0.01,,                              0.01,,,,                296921,                -28212,                  7188,,                 -3753,,                403381,                  3731,                    981,                403381,,
