證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營建工程收入,　　　 營建工程收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營建工程成本,　　　 營建工程成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 共同控制下前手權益（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 共同控制下前手權益（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 其他收入－其他,　　 繼續營業單位淨利（淨損）,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 稀釋繼續營業單位淨利（淨損）,　　　 工程收入,　　　　 工程收入淨額,　　　 工程成本
3432,2015年第3季,,,                178309,,                    165,                178474,,,                125745,,                    178,                125923,                 52551,                 52551,,,                 15490,,                 30084,,                  5293,                 50867,                  1684,,,                  3769,,                 23179,,                    867,                 26081,                 27765,,                  5826,                 21939,                 21939,,,                 35537,                 35537,                 35537,                 57476,,                 21939,                              0,                              0,,                 57476,                              0,                              0,,                              0.33,,                              0.33,,,,,,,,
3432,2015年第2季,,,                175791,,                  1398,                177189,,,                134874,,                  1149,                136023,                 41166,                 41166,,,                 15547,,                 38333,,                  6128,                 60008,                -18842,,,                  7187,,                    111,,                  1782,                  5516,                -13326,,                 -1425,                -11901,                -11901,,,                -11346,                -11346,                -11346,                -23247,,                -11901,                              0,                              0,,                -23247,                              0,                              0,,                             -0.18,,,,,,,,,,
3432,2015年01月01日至2015年09月30日,,,                576782,,                  4038,                580820,,,                427863,,                  1432,                429295,                151525,                151525,,,                 49645,,                106564,,                 16231,                172440,                -20915,,,                 15357,,                 23110,,                  4067,                 34400,                 13485,,                  4980,                  8505,                  8505,,,                  8851,                  8851,                  8851,                 17356,,                  8505,                              0,                              0,,                 17356,                              0,                              0,,                              0.13,,                              0.13,,,,,,,,
3432,2015年01月01日至2015年06月30日,,,                398473,,                  3873,                402346,,,                302118,,                  1254,                303372,                 98974,                 98974,,,                 34155,,                 76480,,                 10938,                121573,                -22599,,,                 11588,,                    -69,,                  3200,                  8319,                -14280,,                   -846,                -13434,                -13434,,,                -26686,                -26686,                -26686,                -40120,,                -13434,                              0,                              0,,                -40120,                              0,                              0,,                             -0.20,,,,,,,,,,
3432,2015年01月01日至2015年03月31日,,,                222682,,                  2475,                225157,,,                167244,,                    105,                167349,                 57808,                 57808,,,                 18608,,                 38147,,                  4810,                 61565,                 -3757,,,                  4401,,                   -180,,                  1418,                  2803,                   -954,,                    579,                 -1533,                 -1533,,,                -15340,                -15340,                -15340,                -16873,,                 -1533,,,,                -16873,,,,                             -0.02,,,                  4401,                             -0.02,,,,,,
3432,2014年第3季,,,                345104,,                  3088,                348192,,,                254041,,                  2767,                256808,                 91384,                 91384,,,                 25577,,                 38999,,                  5469,                 70045,                 21339,,,                  3108,,                  3711,,                  1795,                  5024,                 26363,,                  5507,                 20856,                 20856,,,                 19299,                 19299,                 19299,                 40155,,                 20856,                              0,                              0,,                 40155,                              0,                              0,,                              0.32,,                              0.31,,,,,,,,
3432,2014年第2季,,,                335622,,                  4044,                339666,,,                254145,,                  4063,                258208,                 81458,                 81458,,,                 21813,,                 37537,,                  5932,                 65282,                 16176,,,                  2734,,                 -4255,,                  1367,                 -2888,                 13288,,                  3643,                  9645,                  9645,,,                -20900,                -20900,                -20900,                -11255,,                  9645,                              0,                              0,,                -11255,                              0,                              0,,                              0.15,,,,,,,,,,
3432,2014年度,,,              1309631,,                 20439,              1330070,,,                992813,,                 12041,              1004854,                325216,                325216,,,                 98972,,                157693,,                 26182,                282847,                 42369,,,                 11714,,                   -969,,                  5221,                  5524,                 47893,,                  6648,                 41245,                 41245,,,,,                 61408,                102653,,                 41245,,,,                102653,,,,                              0.63,,                              0.62,                 11714,                              0.63,                 61408,                              0,                              0.62,,,
3432,2014年01月01日至2014年09月30日,,,                943995,,                 13439,                957434,,,                714310,,                 11190,                725500,                231934,                231934,,,                 77309,,                113065,,                 18548,                208922,                 23012,,,                  7900,,                   -233,,                  4472,                  3195,                 26207,,                  7473,                 18734,                 18734,,,                 14082,                 14082,                 14082,                 32816,,                 18734,                              0,                              0,,                 32816,                              0,                              0,,                              0.29,,                              0.28,,,,,,,,
3432,2014年01月01日至2014年06月30日,,,                598891,,                 10351,                609242,,,                460269,,                  8423,                468692,                140550,                140550,,,                 46063,,                 79735,,                 13079,                138877,                  1673,,,                  4792,,                 -3944,,                  2677,                 -1829,                   -156,,                  1966,                 -2122,                 -2122,,,                 -5217,                 -5217,                 -5217,                 -7339,,                 -2122,                              0,                              0,,                 -7339,                              0,                              0,,                             -0.03,,,,,,,,,,
