證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
8163,2013年07月01日至2013年09月30日,,              5928852,,              5342916,                585936,                585936,,,                250410,,                153358,,                224916,                628684,,,                -42748,,,                 13909,,                 17223,,                 20760,                 10372,                -32376,,                              0,                -32376,                -32376,,,,,,,                -65145,                -97521,,                -33748,                  1372,,                -98893,                  1372,,                             -0.11,,                             -0.11,                -70346,                  5201,,                              0
8163,2013年04月01日至2013年06月30日,,              5737028,,              5185204,                551824,                551824,,,                243515,,                148811,,                219582,                611908,,,                -60084,,,                 25559,,                  6944,,                 18490,                 14013,                -46071,,                 -9466,                -36605,                -36605,,,,,,,                 44022,                  7417,,                -36774,                    169,,                  7248,                    169,,                             -0.12,,                             -0.12,                 60078,                -16056,,                              0
8163,2013年01月01日至2013年12月31日,,             23501401,,             21123118,              2378283,              2378283,,,                983874,,                603321,,                891531,              2478726,,,               -100443,,,                 63266,,                121905,,                 80361,                104810,                  4367,,                    523,                  3844,                  3844,,,,,,,                266695,                270539,,                  2527,                  1317,,                269222,                  1317,,                              0.01,,                              0.01,                221207,                 41779,                  4516,                    807
8163,2013年01月01日至2013年09月30日,,             17720724,,             15919985,              1800739,              1800739,,,                737988,,                452696,,                663426,              1854110,,,                -53371,,,                 48330,,                 33495,,                 59759,                 22066,                -31305,,                     46,                -31351,                -31351,,,,,,,                165271,                133920,,                -32499,                  1148,,                132772,                  1148,,                             -0.10,,                             -0.10,                140764,                 24507,,                              0
8163,2013年01月01日至2013年06月30日,,             11791872,,             10577069,              1214803,              1214803,,,                487578,,                299338,,                438510,              1225426,,,                -10623,,,                 34421,,                 16272,,                 38999,                 11694,                  1071,,                     46,                  1025,                  1025,,,,,,,                230416,                231441,,                  1249,                   -224,,                231665,                   -224,,                              0.00,,                              0.00,                211110,                 19306,,                              0
8163,2013年01月01日至2013年03月31日,,              6054844,,              5391865,                662979,                662979,,,                244063,,                150527,,                218928,                613518,,,                 49461,,,                  8862,,                  9328,,                 20509,                 -2319,                 47142,,                  9512,                 37630,                 37630,,,,,,,                186394,                224024,,                 38023,                   -393,,                224417,                   -393,,                              0.12,,                              0.12,                151032,                 35362,,                              0
8163,2012年07月01日至2012年09月30日,,              6742367,,              6000148,                742219,                742219,,,                267795,,                161149,,                232460,                661404,,,                 80815,,,                 43609,,                 -3924,,                 19242,                 20443,                101258,,                 49881,                 51377,                 51377,,,,,,,                -85629,                -34252,,                 51669,                   -292,,                -33960,                   -292,,                              0.16,,                              0.16,                -75536,                -10093,,                              0
8163,2012年04月01日至2012年06月30日,,              6802988,,              6043476,                759512,                759512,,,                269144,,                162168,,                233703,                665015,,,                 94497,,,                 76503,,                 -3837,,                 19989,                 52677,                147174,,                 77248,                 69926,                 69926,,,,,,,                 27781,                 97707,,                 70027,                   -101,,                 97808,                   -101,,                              0.22,,                              0.22,                 36636,                 -8855,,                              0
8163,2012年01月01日至2012年12月31日,,             26305918,,             23400290,              2905628,              2905628,,,              1044363,,                634652,,                913235,              2592250,,,                313378,,,                160006,,                -17105,,                 85922,                 56979,                370357,,                150982,                219375,                219375,,,,,,,               -183633,                 35742,,                220415,                 -1040,,                 36782,                 -1040,,                              0.69,,                              0.69,               -175927,                 13912,                -25954,                 -4336
8163,2012年01月01日至2012年09月30日,,             19719086,,             17559472,              2159614,              2159614,,,                781636,,                474155,,                682511,              1938302,,,                221312,,,                139748,,                 -8984,,                 64347,                 66417,                287729,,                133112,                154617,                154617,,,,,,,               -152949,                  1668,,                155399,                   -782,,                  2450,                   -782,,                              0.49,,                              0.48,               -172239,                 19290,,                              0
8163,2012年01月01日至2012年06月30日,,             12976719,,             11559324,              1417395,              1417395,,,                513841,,                313006,,                450051,              1276898,,,                140497,,,                 96139,,                 -5060,,                 45105,                 45974,                186471,,                 83231,                103240,                103240,,,,,,,                -67320,                 35920,,                103730,                   -490,,                 36410,                   -490,,                              0.33,,                              0.32,                -96703,                 29383,,                              0
8163,2012年01月01日至2012年03月31日,,              6173731,,              5515848,                657883,                657883,,,                244697,,                150838,,                216348,                611883,,,                 46000,,,                 19636,,                 -1223,,                 25116,                 -6703,                 39297,,                  5983,                 33314,                 33314,,,,,,,                -95101,                -61787,,                 33703,                   -389,,                -61398,                   -389,,                              0.11,,                              0.10,               -133339,                 38238,,
