證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　　 國外營運機構財務報表換算之兌換差額,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
3406,2015年第3季,,              2497680,,              2077387,                420293,                420293,,,                 50671,,                139044,,                272582,                462297,                -42004,,,                  4831,,                  4642,,                 38383,                -28910,                -70914,,                -12076,                -58838,                -58838,,,                174265,                174265,,                 28927,                -28927,                145338,                 86500,,                -52918,                 -5920,,                 88310,                 -1810,,                             -0.53,,                             -0.53,,,,,,
3406,2015年第2季,,              2180250,,              2236680,                -56430,                -56430,,,                 69609,,                147331,,                250217,                467157,               -523587,,,                 10340,,                   -894,,                 38211,                -28765,               -552352,,                -89974,               -462378,               -462378,,,,,,                 -8882,                -44585,                -44585,               -506963,,               -457655,                 -4723,,               -501020,                 -5943,,                             -4.59,,                             -4.59,,              2180250,                -53467,,,
3406,2015年01月01日至2015年09月30日,,              6368809,,              6008271,                360538,                360538,,,                178262,,                439141,,                788022,              1405425,             -1044887,,,                 15814,,                -49398,,                113911,               -147495,             -1192382,,               -195787,               -996595,               -996595,,,                 72798,                 72798,,                 12070,                -12070,                 60728,               -935867,,               -981609,                -14986,,               -922681,                -13186,,                             -9.84,,                             -9.84,,,,,,
3406,2015年01月01日至2015年06月30日,,              3866403,,              3930884,                -64481,                -64481,,,                127591,,                300097,,                515440,                943128,             -1007609,,,                 15709,,                -54040,,                 75528,               -113859,             -1121468,,               -183711,               -937757,               -937757,,,,,,                -16857,                -84610,                -84610,             -1022367,,               -928691,                 -9066,,             -1010991,                -11376,,                             -9.31,,                             -9.31,,              3866403,               -101467,,,
3406,2015年01月01日至2015年03月31日,,              1686153,,              1694204,                 -8051,                 -8051,,,                 57982,,                152766,,                265223,                475971,               -484022,,,                  5369,,                -53146,,                 37317,                -85094,               -569116,,                -93737,               -475379,               -475379,,,                -48000,                -48000,,                 -7975,                  7975,                -40025,               -515404,,               -471036,                 -4343,,               -509971,                 -5433,,                             -4.72,,                             -4.72,,              1686153,,,,
3406,2014年第3季,,              3006207,,              2642925,                363282,                363282,,,                 55633,,                131138,,                199665,                386436,                -23154,,,                  7412,,                 41017,,                 37587,                 10842,                -12312,,                    218,                -12530,                -12530,,,                132725,                132725,,                 22497,                -22497,                110228,                 97698,,                -11852,                   -678,,                 97985,                   -287,,                             -0.12,,                             -0.12,,,,,,
3406,2014年第2季,,              2132143,,              2029169,                102974,                102974,,,                 52801,,                167180,,                186452,                406433,               -303459,,,                  5742,,                -25084,,                 35072,                -54414,               -357873,,                -55394,               -302479,               -302479,,,,,,                -15103,                -74161,                -74161,               -376640,,               -301389,                 -1090,,               -375127,                 -1513,,                             -3.02,,                             -3.02,,              2132143,                -89264,,,
3406,2014年度,,             10361274,,              9412738,                948536,                948536,,,                247011,,                673627,,                830408,              1751046,               -802510,,,                 34870,,                 74513,,                139376,                -29993,               -832503,,               -127312,               -705191,               -705191,,,,,,,,                137191,               -568000,,               -693478,                -11713,,               -559896,                 -8104,,                             -6.95,,                             -6.95,,,,                162782,                  1468,                 27059
3406,2014年01月01日至2014年09月30日,,              7103858,,              6628006,                475852,                475852,,,                170595,,                425011,,                599912,              1195518,               -719666,,,                 23004,,                  7014,,                103539,                -73521,               -793187,,               -127647,               -665540,               -665540,,,                  3471,                  3471,,                    629,                   -629,                  2842,               -662698,,               -662616,                 -2924,,               -659546,                 -3152,,                             -6.64,,                             -6.64,,,,,,
3406,2014年01月01日至2014年06月30日,,              4097651,,              3985081,                112570,                112570,,,                114962,,                293873,,                400247,                809082,               -696512,,,                 15592,,                -34003,,                 65952,                -84363,               -780875,,               -127865,               -653010,               -653010,,,,,,                -21868,               -107386,               -107386,               -760396,,               -650764,                 -2246,,               -757531,                 -2865,,                             -6.52,,                             -6.52,,              4097651,               -129254,,,
