證券代號,年季,　 淨收益,　　 利息淨收益 ,　　　 利息收入,　　　 利息費用,　　　 利息淨收益,　　 利息以外淨收益,　　　 手續費及佣金淨收益,　　　　 手續費及佣金淨收益,　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　 備供出售金融資產之已實現損益,　　　　 備供出售金融資產之已實現損益,　　　 兌換損益,　　　　 兌換損益,　　　 資產減損（損失）迴轉利益,　　　　 資產減損（損失）迴轉利益,　　　 採用權益法認列關聯企業及合資損益之份額,　　　　 採用權益法認列關聯企業及合資損益之份額,　　　　　 採用權益法認列關聯企業及合資損益之份額,　　　　 採用權益法認列關聯企業及合資損益之份額合計,　　　 其他利息以外淨損益,　　　　 其他利息以外淨損益,　　　 利息以外淨收益,　　 淨收益,　 呆帳費用及保證責任準備提存,　　 呆帳費用及保證責任準備提存合計,　 營業費用,　　 員工福利費用,　　 折舊及攤銷費用,　　 其他業務及管理費用,　　 營業費用合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅（費用）利益 ,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益,　　 後續可能重分類至損益之項目（稅後）,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列之關聯企業及合資其他綜合損益之份額－可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額（稅後）,　　 本期其他綜合損益,　 本期綜合損益總額,　 淨利（淨損）歸屬,　　 母公司業主,　　 非控制權益,　 綜合損益總額歸屬於,　　 母公司業主[duplicate]49,　　 非控制股權,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　　 出售不良債權淨利益（損失）,　　　　　 出售不良債權淨利益（損失）,　　　　 其他什項淨利益（損失）,　　　　　 其他什項淨利益（損失）,　　 共同控制下前手權益,　　 母公司業主[duplicate]52,　　 共同控制下前手權益[duplicate]53,　 繼續營業單位稅前損益,　　 國外營運機構財務報表換算之兌換差額 ,　　 備供出售金融資產未實現評價利益（損失） ,　　 確定福利計畫精算利益（損失） ,　　 採用權益法認列之關聯企業及合資其他綜合損益之份額 ,　　 與其他綜合損益組成部分相關之所得稅 ,　　 本期其他綜合損益（稅後淨額）,　　 母公司業主[duplicate]50,　　 母公司業主[duplicate]44,　　 母公司業主[duplicate]48,　　　 投資性不動產損益,　　　　 投資性不動產損益,　　　　 資產減損損失（迴轉利益）,　　　　 採用權益法之投資處分損益,　　　　　 採用權益法之投資處分損益,　　　　 股利收入,　　　　　 股利收入合計,　　 母公司業主[duplicate]58,　　 母公司業主[duplicate]56,　　 母公司業主[duplicate]46,　　 繼續營業單位稅後淨利（淨損）,　　 繼續營業單位稅後淨利（淨損）[duplicate]52
2887,2015年第3季,,,              7507367,              2978227,              4529140,,,              2549059,,                636539,,                150574,,                177032,,                -13350,,,                746691,                746691,,                330898,              4577443,              9106583,,                477353,,              2969675,                232894,              1900344,              5102913,              3526317,               -369302,              3157015,              3157015,,,                 54469,               -307561,                 89639,                   -158,               -163611,               -163611,              2993404,,              3167882,                -10867,,              3004271,                -10867,,                              0.33,,                              0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2887,2015年第2季,,,              7300637,              2866695,              4433942,,,              2735310,,              1312595,,                164074,,               -238473,,                              0,,,,                702731,,                448618,              5124855,              9558797,,                132945,,              2905717,                212089,              1857444,              4975250,              4450602,               -557877,              3892725,              3892725,,,                -13819,               -287764,                 19600,                 11440,               -270543,               -270543,              3622182,,              3877141,                 15584,,,                 15584,,                              0.41,,                              0.40,,                              0,,                448618,                              0,              3606598,,,,,,,,,,,,,,,,,,,,,,,
2887,2015年01月01日至2015年09月30日,,,             22014517,              8714971,             13299546,,,              8527275,,              3843667,,                407673,,               -892113,,                -22807,,,              2110089,              2110089,,              1263959,             15237743,             28537289,,                533807,,              8729303,                671978,              5525734,             14927015,             13076467,             -1503179,             11573288,             11573288,,,                 14924,               -291326,                 86294,                  2575,               -187533,               -187533,             11385755,,             11565729,                  7559,,             11378196,                  7559,,                              1.23,,                              1.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2887,2015年01月01日至2015年06月30日,,,             14507150,              5736744,              8770406,,,              5978216,,              3207128,,                257099,,             -1069145,,                 -9457,,,,              1363398,,                933061,             10660300,             19430706,,                 56454,,              5759628,                439084,              3625390,              9824102,              9550150,             -1133877,              8416273,              8416273,,,                -39545,                 16235,                 -3345,                  2733,                -23922,                -23922,              8392351,,              8397847,                 18426,,,                 18426,,                              0.90,,                              0.87,,                              0,,                933061,                              0,              8373925,,,,,,,,,,,,,,,,,,,,,,,
2887,2015年01月01日至2015年03月31日,,,              7206513,              2870049,              4336464,,,              3242906,,              1894533,,                 93025,,               -830672,,                 -9457,,,,                660667,,                484443,              5535445,              9871909,,                -76491,,              2853911,                226995,              1767946,              4848852,              5099548,               -576000,              4523548,              4523548,,,                -25726,                303999,                -22945,                 -8707,                246621,                246621,              4770169,,              4520706,                  2842,,,                  2842,,                              0.49,,                              0.47,,                              0,,                484443,                              0,              4767327,                              0,,,,,,,,,,,,,,,,,,,,,,
2887,2014年第3季,,,             15029911,              5873528,              9156383,,,              3939522,,              1394256,,                328480,,                -20965,,                              0,,,                  5807,                  5807,,                570264,              6217364,             15373747,,               -125934,,              5203410,                409309,              2877297,              8490016,              7009665,               -687257,              6322408,              6322408,,,                369033,               -530822,                              0,                  9386,               -152403,               -152403,              6170005,,              3891857,              2430551,,              3744572,              2425433,,                              0.41,,                              0.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2887,2014年第2季,,,             14440574,              5823592,              8616982,,,              3840238,,              1433080,,                 26898,,                 26975,,                 -6053,,,,                  6609,,                458547,              5786294,             14403276,,             -1228837,,              5299353,                396477,              2694075,              8389905,              7242208,               -852139,              6390069,              6390069,,,               -296966,                150497,                              0,                 -2672,               -149141,               -149141,              6240928,,              4211567,              2178502,,,              2079022,,                              0.46,,                              0.44,,                              0,,                458547,                              0,              4161906,,,,,,,,,,,,,,,,,,,,,,,
2887,2014年度,,,             55785260,             22087679,             33697581,,,             14717574,,              7938189,,              1192640,,               -576368,,                -22363,,,,                131470,,            -12439037,             10942105,             44639686,,               -750255,,             19910494,              1561738,             10749297,             32221529,,             -3520673,              9647739,              9647739,,,,,,,,,              9322069,,              1624376,              8023363,,,              8410462,,                              0.08,,                              0.08,,                719705,,            -13158742,,,,             13168412,                318491,               -619158,                -77523,                 97586,                -45066,               -325670,                911607,,,,,,,,,,,,,,
2887,2014年01月01日至2014年09月30日,,,             43310090,             17201694,             26108396,,,             11528084,,              5158757,,                427654,,                812634,,                 -6053,,,                 18387,                 18387,,              2165226,             20104689,             46213085,,             -1357275,,             15771444,              1200033,              7908049,             24879526,             22690834,             -2756770,             19934064,             19934064,,,                149737,               -297416,                              0,                 10450,               -137229,               -137229,             19796835,,             12927176,              7006888,,             12763120,              7033715,,                              1.42,,                              1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2887,2014年01月01日至2014年06月30日,,,             28280179,             11328166,             16952013,,,              7588562,,              3764501,,                 99174,,                833599,,                 -6053,,,,                 12580,,              1594962,             13887325,             30839338,,             -1231341,,             10568034,                790724,              5030752,             16389510,             15681169,             -2069513,             13611656,             13611656,,,               -219296,                233406,                              0,                  1064,                 15174,                 15174,             13626830,,              9035319,              4576337,,,              4608282,,                              1.01,,                              0.97,,                719705,,                875257,                              0,              9018548,,,,,,,,,,,,,,,,,,,,,,,
2887,2014年01月01日至2014年03月31日,,,             13839605,              5504574,              8335031,,,              3748324,,              2331421,,                 72276,,                806624,,                              0,,,,                  5971,,              1136415,              8101031,             16436062,,                 -2504,,              5268681,                394247,              2336677,              7999605,              8438961,             -1217374,              7221587,              7221587,,,                 77670,                 82909,                              0,                  3736,                164315,                164315,              7385902,,              4823752,              2397835,,,              2529260,,                              0.56,,                              0.53,,                719705,,                416710,                              0,              4856642,                              0,,,,,,,,,,,,,,,,,,,,,,
2887,2013年第3季,,,             12811118,              4859297,              7951821,,,              3149291,,              1176701,,                177833,,                737964,,                              0,,,,                    809,,                453591,              5696189,             13648010,,               -223963,,              4911021,                368757,              2357507,              7637285,,             -1224278,              5010410,              5010410,,,,,,,,,              5012252,,              3270526,              1739884,,,              1427071,,                              0.37,,                              0.36,,,,,,,,              6234688,                -77041,                 64469,,,                 14414,                  1842,,              3585181,,,,,,,,,,,,,
2887,2013年第2季,,,             12497020,              4701264,              7795756,,,              3461876,,              2719150,,              1812457,,             -1079715,,                -67614,,,,                  7214,,                493236,              7346604,             15142360,,               -173286,,              4803062,                370472,              2510852,              7684386,,             -1737311,              5893949,              5893949,,,,,,,,,              4122773,,              4081807,              1812142,,,              1639945,,                              0.51,,                              0.50,,                              0,,                493236,,,,              7631260,                 80111,             -2109348,,,                258061,             -1771176,,,              2482828,,,,,,,,,,,,
2887,2013年度,,,             50532658,             19252887,             31279771,,,             13280922,,              9943519,,              2956234,,             -2846198,,               -236284,,,,                  1565,,              1447704,             24547462,             55827233,,               -546409,,             19834522,              1480964,              9654704,             30970190,,             -4829829,             20573623,             20573623,,,,,,,,,             18615269,,             13836248,              6737375,,,              6289130,,                              1.57,,                              1.54,,                              0,,              1447704,,,,             25403452,                351249,             -2430501,               -222260,                   -230,                343388,             -1958354,             12326139,,,,,,,,,,,,,,
2887,2013年07月01日至2013年09月30日,,,             12811118,              4859297,              7951821,,,              3149291,,              1176701,,                177833,,                737964,,,,,                    809,                    809,,                404338,              5696189,             13648010,,               -223963,,              4911021,                368757,              2357507,              7637285,,             -1224278,              5010410,              5010410,,,,,,,,,              5012252,,              3270526,              1739884,,,              1427071,,                              0.41,,                              0.40,,                              0,,                293511,,,,              6234688,                -77041,                 64469,,,                 14414,                  1842,,,,,                 49253,                              0,,                              0,,                110827,,              3585181,,,
2887,2013年04月01日至2013年06月30日,,,             12497020,              4701264,              7795756,,,              3461876,,              2719150,,              1806685,,             -1079715,,,,,                  7214,                  7214,,                451949,              7346604,             15142360,,               -173286,,              4796954,                370472,              2516960,              7684386,,             -1737311,              5893949,              5893949,,,,,,,,,              4122773,,              4081807,              1812142,,,              1639945,,                              0.51,,                              0.50,,                              0,,                253050,,,,              7631260,                 80111,             -2109348,,,                258061,             -1771176,,,,,                 47059,                -67614,,                              0,,                198899,,              2482828,,,
2887,2013年01月01日至2013年12月31日,,,             50532658,             19252887,             31279771,,,             13280922,,              9900929,,              2956234,,             -2846198,,,,,                  1565,                  1565,,              1298928,             24547462,             55827233,,               -546409,,             19834522,              1480964,              9654704,             30970190,,             -4829829,             20573623,             20573623,,,,,,,,,             18615269,,             13836248,              6737375,,,              6289130,,                              1.72,,                              1.68,,                              0,,                993974,,,,             25403452,                351249,             -2430501,               -222260,                   -230,                343388,             -1958354,,,,,                191366,               -236284,,                              0,,                304954,             12326139,,,,
2887,2013年01月01日至2013年09月30日,,,             37446325,             14209353,             23236972,,,              9919740,,              7796470,,              2979485,,             -2466437,,               -147764,,,,                 15499,,              1187303,             19284296,             42521268,,             -1072236,,             14452846,              1112075,              7067303,             22632224,,             -4058708,             16902572,             16902572,,,,,,,,,             14590898,,             11534022,              5368550,,,              4824440,,                              1.32,,                              1.28,,,,,,,,             20961280,                235920,             -2871298,,,                323704,             -2311674,,              9766458,,,,,,,,,,,,,
2887,2013年01月01日至2013年06月30日,,,             24635207,              9350056,             15285151,,,              6770449,,              6619769,,              2801652,,             -3204401,,               -147764,,,,                 14690,,                733712,             13588107,             28873258,,               -848273,,              9541825,                743318,              4709796,             14994939,,             -2834430,             11892162,             11892162,,,,,,,,,              9578646,,              8263496,              3628666,,,              3397369,,                              1.04,,                              1.00,,                              0,,                733712,,,,             14726592,                312961,             -2935767,,,                309290,             -2313516,,,              6181277,,,,,,,,,,,,
2887,2013年01月01日至2013年03月31日,,,             12138187,              4648792,              7489395,,,              3308573,,              3900619,,                989195,,             -2124686,,                -80150,,,,                  7476,,                240476,              6241503,             13730898,,               -674987,,              4738763,                372846,              2198944,              7310553,,             -1097119,              5998213,              5998213,,,,,,,,,              5455873,,              4181690,              1816523,,,              1757424,,                              0.53,,                              0.51,,,,,,,,              7095332,                232850,               -826419,,,                 51229,               -542340,,              3698449,,,,,,,,,,,,,
2887,2012年07月01日至2012年09月30日,,,             12436644,              4905880,              7530764,,,              3213525,,                926579,,                298154,,                243848,,,,,                  5022,                  5701,,                615646,              5350725,             12881489,,               -514364,,              4771175,                392894,              2288462,              7452531,,               -858611,              5084711,              5084711,,,,,,,,,              5708355,,              3074497,              2010214,,,              2185702,,                              0.36,,                              0.36,,                 46163,,                431039,,,,              5943322,               -109531,                758034,,,                -24859,                623644,,,,,                 47272,                              0,,                    679,,                138444,,              3522653,,,
