證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 與可能重分類之項目相關之所得稅,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額
3055,2013年度,,              2785793,,              2298535,                487258,                487258,,,                200728,,                263046,,                 96929,                560703,                -73445,,,                 21090,,               -472613,,                    559,               -452082,               -525527,,                -11908,               -513619,               -513619,,,,,                 14169,               -499450,,               -503364,                -10255,,               -489195,                -10255,,                             -3.87,                             -3.87,,                             -3.87,                             -3.87,,                 30327,                   -575,                -15583,                              0,,
3055,2013年07月01日至2013年09月30日,,                775987,,                733926,                 42061,                 42061,,,                 29013,,                 89070,,                 16830,                134913,                -92852,,,                  3604,,                 -7767,,                      8,                 -4171,                -97023,,                 -7899,                -89124,                -89124,,,,,                -16076,               -105200,,                -82870,                 -6254,,                -98946,                 -6254,,                             -0.64,                             -0.64,,                             -0.64,                             -0.64,,                -16076,                              0,,,,                              0
3055,2013年04月01日至2013年06月30日,,                694412,,                514214,                180198,                180198,,,                 30127,,                102075,,                 14979,                147181,                 33017,,,                  3084,,                  9305,,                    116,                 12273,                 45290,,                 12075,                 33215,                 33215,,,,,                  7956,                 41171,,                 34846,                 -1631,,                 42802,                 -1631,,                              0.27,                              0.27,,                              0.26,                              0.26,,                  7956,                              0,,,,                              0
3055,2013年01月01日至2013年12月31日,,              2785793,,              2298535,                487258,                487258,,,                200728,,                263046,,                 96929,                560703,                -73445,,,                 21090,,               -472613,,                    559,               -452082,               -525527,,                -11908,               -513619,               -513619,,,,,                 14169,               -499450,,               -503364,                -10255,,               -489195,                -10255,,                             -3.87,                             -3.87,,                             -3.85,                             -3.85,,                 30327,                   -575,                -15583,,,                              0
3055,2013年01月01日至2013年09月30日,,              2072950,,              1703438,                369512,                369512,,,                 87219,,                287795,,                 48089,                423103,                -53591,,,                 13967,,                  4620,,                    554,                 18033,                -35558,,                  6303,                -41861,                -41861,,,,,                 20039,                -21822,,                -33945,                 -7916,,                -13906,                 -7916,,                             -0.26,                             -0.26,,                             -0.26,                             -0.26,,                 20614,                   -575,,,,
3055,2013年01月01日至2013年06月30日,,              1296963,,                969512,                327451,                327451,,,                 58206,,                198725,,                 31259,                288190,                 39261,,,                 10363,,                 12387,,                    546,                 22204,                 61465,,                 14202,                 47263,                 47263,,,,,                 36115,                 83378,,                 48925,                 -1662,,                 85040,                 -1662,,                              0.37,                              0.37,,                              0.37,                              0.37,,                 36690,                   -575,                              0,,,                              0
3055,2013年01月01日至2013年03月31日,,                602551,,                455298,                147253,                147253,,,                 43962,,                 80767,,                 16280,                141009,                  6244,,,                  7279,,                  3082,,                    430,                  9931,                 16175,,                  2127,                 14048,                 14048,,,,,                 28159,                 42207,,                 14079,                    -31,,                 42238,                    -31,,                              0.11,                              0.11,,                              0.11,                              0.11,,                 28734,                   -575,,,,
3055,2012年07月01日至2012年09月30日,,                871394,,                662044,                209350,                209350,,,                 38924,,                 89920,,                 26192,                155036,                 54314,,,                  3406,,                  3088,,                  2249,                  2689,                 57003,,                 15144,                 41859,                 41859,,,,,                 -9984,                 31875,,                 38006,                  3853,,                 28022,                  3853,,                              0.29,                              0.29,,                              0.29,                              0.29,,                -15410,                  5426,,,,                 -1556
3055,2012年04月01日至2012年06月30日,,              1115459,,                898369,                217090,                217090,,,                 16584,,                132158,,                 27485,                176227,                 40863,,,                  6806,,                 23437,,                  1443,                 28800,                 69663,,                  9066,                 60597,                 60597,,,,,                -68299,                 -7702,,                 60022,                    575,,                 -8277,                    575,,                              0.46,                              0.46,,                              0.45,                              0.45,,                 10328,                -78627,,,,                              0
3055,2012年01月01日至2012年12月31日,,              3313268,,              2608029,                705239,                705239,,,                225614,,                328031,,                 96392,                650037,                 55202,,,                 28686,,                 28534,,                  5369,                 51536,                106738,,                 40565,                 66173,                 66173,,,,,                -39330,                 26843,,                 68070,                 -1897,,                 28740,                 -1897,,                              0.52,                              0.52,,                              0.52,                              0.52,,                -33500,                     62,                 -5892,,,                   -315
3055,2012年01月01日至2012年09月30日,,              2537781,,              1992502,                545279,                545279,,,                 91450,,                322918,,                 77726,                492094,                 53185,,,                 15378,,                 25930,,                  5246,                 34155,                 87340,,                 24370,                 62970,                 62970,,,,,                  4105,                 67075,,                 61563,                  1407,,                 65668,                  1407,,                              0.47,                              0.47,,                              0.47,                              0.47,,                -27768,                 31873,,,,                 -1907
3055,2012年01月01日至2012年06月30日,,              1666387,,              1330458,                335929,                335929,,,                 52526,,                232998,,                 51534,                337058,                 -1129,,,                 11972,,                 22842,,                  2997,                 31466,                 30337,,                  9226,                 21111,                 21111,,,,,                 14089,                 35200,,                 23557,                 -2446,,                 37646,                 -2446,,                              0.18,                              0.18,,                              0.18,                              0.18,,                -12358,                 26447,,,,                   -351
3055,2012年01月01日至2012年03月31日,,                550928,,                432089,                118839,                118839,,,                 35942,,                100840,,                 24049,                160831,                -41992,,,                  5166,,                   -595,,                  1554,                  2666,                -39326,,                    160,                -39486,                -39486,,,,,                 82388,                 42902,,                -36465,                 -3021,,                 45923,                 -3021,,                             -0.28,                             -0.28,,                             -0.28,                             -0.28,,                -22686,                105074,,,,                   -351
