證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 租賃收入,　　　 租賃收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 租賃成本,　　　 租賃成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 租賃成本,　　　　 銷貨收入,　　　 租賃收入,　　　 銷貨成本,　　 本期所得稅費用（利益）,　　 停業單位淨利（淨損）,　　 稀釋停業單位淨利（淨損）,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　 停業單位損益,　　 停業單位損益合計,　　 其他費用,　　 當期所得稅費用（利益）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　　 投資收入（投資公司適用）,　　　 投資收入（投資公司適用）合計
3040,2015年第3季,,,,                  9115,                  9115,,                 43032,                 52147,,,                  6655,,                 13089,                 19744,                 32403,                 32403,,,                  2928,,                 21318,,                  3100,                 27346,                  5057,,,                  9128,                  9128,,                 47092,,                     17,,                  7572,                 63775,                 68832,,                 14877,                 53955,                 53955,,,                 21672,                -41220,,                  1955,                -17593,                -17593,                 36362,,                 53955,                              0,,                 36362,                              0,,                              0.86,                              0.86,,                              0.86,                              0.86,,,,,,,,,,,,,,,,,,,
3040,2015年第2季,,,,                  8964,                  8964,,                 46480,                 55444,,,                  4816,,                 13229,                 18045,                 37399,                 37399,,,                  4049,,                 12950,,                  4597,                 21596,                 15803,,,,                  3595,,                 83628,,                     18,,                  3512,                 90717,                106520,,                 53542,                 52978,                 52978,,,                 -7597,                 32825,,                   -762,                 24466,                 24466,                 77444,,                 54191,                 -1213,,                 78660,                 -1216,,                              0.86,                              0.86,,                              0.86,                              0.86,                 13229,,,,,,,,,,,,,,,,,,
3040,2015年01月01日至2015年09月30日,,,,                 32902,                 32902,,                132171,                165073,,,                 16948,,                 40329,                 57277,                107796,                107796,,,                 11914,,                 49508,,                 13147,                 74569,                 33227,,,                 16358,                 16358,,                125573,,                     52,,                 13385,                155264,                188491,,                 67108,                121383,                121383,,,                  3343,                 -1310,,                    275,                  2308,                  2308,                123691,,                123777,                 -2394,,                126070,                 -2379,,                              1.96,                              1.96,,                              1.96,                              1.96,,,,,,,,,,,,,,,,,,,
3040,2015年01月01日至2015年06月30日,,,,                 23787,                 23787,,                 89139,                112926,,,                 10293,,                 27240,                 37533,                 75393,                 75393,,,                  8986,,                 28190,,                 10047,                 47223,                 28170,,,,                  7230,,                 78481,,                     35,,                  5813,                 91489,                119659,,                 52231,                 67428,                 67428,,,                -18329,                 39910,,                 -1680,                 19901,                 19901,                 87329,,                 69822,                 -2394,,                 89708,                 -2379,,                              1.11,                              1.11,,                              1.11,                              1.11,                 27240,,,,,,,,,,,,,,,,,,
3040,2015年01月01日至2015年03月31日,,,,                 14823,                 14823,,                 42659,                 57482,,,                  5477,,                 14011,                 19488,                 37994,                 37994,,,                  4937,,                 15240,,                  5450,                 25627,                 12367,,,,                  3635,,                 -5147,,                     17,,                  2301,                    772,                 13139,,                 -1311,                 14450,                 14450,,,                -10732,                  7085,,                   -918,                 -4565,                 -4565,                  9885,,                 15631,                 -1181,,                 11048,                 -1163,,                              0.25,                              0.25,,                              0.25,                              0.25,                 14011,                 14823,                 42659,                  5477,                 -1311,                              0.00,                              0.00,,,,,,,,,,,,
3040,2014年第3季,,,,                 21924,                 21924,,                 39072,                 60996,,,                 14939,,                 13295,                 28234,                 32762,                 32762,,,                  9280,,                 13485,,                  4017,                 26782,                  5980,,,                  2994,                  2994,,                523202,,                    206,,                  2096,                528086,                534066,,                 37244,                496822,                496822,,,                 12361,                  8498,,                    613,                 21472,                 21472,                518294,,                495696,                  1126,,                517239,                  1055,,                              5.51,                              5.51,,                              5.51,                              5.51,,,,,,,,,,,,,,,,,,,
3040,2014年第2季,,,,                 14761,                 14761,,                 41214,                 55975,,,                 10005,,                 13298,                 23303,                 32672,                 32672,,,                  5715,,                 16337,,                  9174,                 31226,                  1446,,,,                  1569,,                 28756,,                    374,,                  2022,                 31973,                 33419,,                  1764,                 31655,                 31655,,,                -13057,                -10021,,                   -682,                -23760,                -23760,                  7895,,                 32668,                 -1013,,                  8838,                   -943,,                              0.36,                              0.36,,                              0.36,                              0.36,                 13298,,,,,,,,,,,,,,,,,,
3040,2014年度,,,,                 82375,                 82375,,                159153,                241528,,,                 48296,,                 53909,                102205,                139323,                139323,,,                 24072,,                 58054,,                 22993,                105119,                 34204,,,,                 10276,,                559265,,                    903,,                  9302,                577940,                612144,,                 48300,                563844,                563844,,,,,,,,                 54389,                618233,,                563667,                    177,,                618184,                     49,,                              6.42,                              6.42,,                              6.42,                              6.42,                 53909,                 82375,                159153,                 48296,,,,                 39319,                 13811,,                  1259,,,,,,,,
3040,2014年01月01日至2014年09月30日,,,,                 53738,                 53738,,                117679,                171417,,,                 32567,,                 41334,                 73901,                 97516,                 97516,,,                 20295,,                 43875,,                 18846,                 83016,                 14500,,,                  5937,                  5937,,                552345,,                    884,,                  5478,                562876,                577376,,                 43892,                533484,                533484,,,                  7683,                 13752,,                    334,                 21769,                 21769,                555253,,                534091,                   -607,,                555892,                   -639,,                              5.93,                              5.93,,                              5.93,                              5.93,,,,,,,,,,,,,,,,,,,
3040,2014年01月01日至2014年06月30日,,,,                 31814,                 31814,,                 78607,                110421,,,                 17628,,                 28039,                 45667,                 64754,                 64754,,,                 11015,,                 30390,,                 14829,                 56234,                  8520,,,,                  2943,,                 29143,,                    678,,                  3382,                 34790,                 43310,,                  6648,                 36662,                 36662,,,                 -4678,                  5254,,                   -279,                    297,                    297,                 36959,,                 38395,                 -1733,,                 38653,                 -1694,,                              0.43,                              0.43,,                              0.43,                              0.43,                 28039,,,,,,,,,,,,,,,,,,
3040,2014年01月01日至2014年03月31日,,,,                 17053,                 17053,,                 37393,                 54446,,,                  7623,,                 14741,                 22364,                 32082,                 32082,,,                  5300,,                 14053,,                  5655,                 25008,                  7074,,,,                  1374,,                    387,,                    304,,                  1360,                  2817,                  9891,,                  4884,                  5007,                  5007,,,                  8379,                 15275,,                    403,                 24057,                 24057,                 29064,,                  5727,                   -720,,                 29815,                   -751,,                              0.06,                              0.06,,                              0.06,                              0.06,                 14741,                 17053,                 37393,                  7623,                  4884,                              0.00,                              0.00,,,,,,,,,,,,
