證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 本期綜合損益總額,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　 其他綜合損益(淨額),　　 確定福利計畫精算利益（損失）,　　 其他綜合損益（淨額）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　 其他綜合損益
4976,2015年第3季,,,,                416258,                416258,                  1323,                     46,                414889,                414889,,,                383412,                383412,                383412,                 31477,                 31477,,,                  2605,,                 30721,,                 12334,                 45660,                -14183,,,                  3934,,                  5257,,                  2289,                  6902,                 -7281,,                 -1237,                 -6044,                 -6044,                 -6044,,                             -0.06,,                             -0.06,,,,,,,,
4976,2015年第2季,,,,                357908,                357908,                  1630,                    262,                356016,                356016,,,                331156,                331156,                331156,                 24860,                 24860,,,                  2555,,                 28884,,                 22635,                 54074,                -29214,,,                  1193,,                    820,,                  1900,                    113,                -29101,,                 -4734,                -24367,                -24367,                -24367,,                             -0.23,,                             -0.23,,,,,,,,
4976,2015年01月01日至2015年09月30日,,,,              1046717,              1046717,                  3954,                    308,              1042455,              1042455,,,                975718,                975718,                975718,                 66737,                 66737,,,                  7598,,                 87514,,                 69918,                165030,                -98293,,,                  5512,,                  7123,,                  6141,                  6494,                -91799,,                -14916,                -76883,                -76883,                -76883,,                             -0.75,,                             -0.75,,,,,,,,
4976,2015年01月01日至2015年06月30日,,,,                630459,                630459,                  2631,                    262,                627566,                627566,,,                592306,                592306,                592306,                 35260,                 35260,,,                  4993,,                 56793,,                 57584,                119370,                -84110,,,                  1578,,                  1866,,                  3852,                   -408,                -84518,,                -13679,                -70839,                -70839,                -70839,,                             -0.68,,                             -0.68,,,,,,,,
4976,2015年01月01日至2015年03月31日,,,,,                272551,                  1001,                              0,                271550,                271550,,,,,                261150,                 10400,                 10400,,,                  2438,,                 27909,,                 34949,                 65296,                -54896,,,                    385,,                  1046,,                  1952,                   -521,                -55417,,                 -8945,                -46472,                -46472,                -46472,,                             -0.45,,                             -0.45,,,,,,,,
4976,2014年第3季,,,,                392252,                392252,                  2905,                     50,                389297,                389297,,,                369741,                369741,                369741,                 19556,                 19556,,,                  2545,,                 28790,,                 14868,                 46203,                -26647,,,                  2533,,                  2974,,                  1139,                  4368,                -22279,,                 -3505,                -18774,                -18774,                -18774,,                             -0.18,,                             -0.18,,,,,,,,
4976,2014年第2季,,,,                448234,                448234,                    580,                              0,                447654,                447654,,,                390860,                390860,                390860,                 56794,                 56794,,,                  3112,,                 26899,,                  9889,                 39900,                 16894,,,                    463,,                 -1894,,                    874,                 -2305,                 14589,,                  8640,                  5949,                  5949,                  5949,,                              0.06,,                              0.06,,,,,,,,
4976,2014年度,,,,,              1503588,                  4368,                    397,              1498823,              1498823,,,              1368772,              1368772,              1368772,                130051,                130051,,,                 10839,,                106564,,                 56347,                173750,                -43699,,,                  3784,,                  6129,,                  3780,                  6133,                -37566,,                   -446,                -37120,                -37120,                -37806,,                             -0.36,,                             -0.36,,                   -686,                   -686,,,,,
4976,2014年01月01日至2014年09月30日,,,,              1210353,              1210353,                  4220,                    376,              1205757,              1205757,,,              1071593,              1071593,              1071593,                134164,                134164,,,                  8318,,                 80630,,                 35851,                124799,                  9365,,,                  3361,,                  2998,,                  2106,                  4253,                 13618,,                  8540,                  5078,                  5078,                  5078,,                              0.05,,                              0.05,,,,,,,,
4976,2014年01月01日至2014年06月30日,,,,                818101,                818101,                  1315,                    326,                816460,                816460,,,                701852,                701852,                701852,                114608,                114608,,,                  5773,,                 51840,,                 20983,                 78596,                 36012,,,                    828,,                     24,,                    967,                   -115,                 35897,,                 12045,                 23852,                 23852,                 23852,,                              0.23,,                              0.23,,,,,,,,
4976,2014年01月01日至2014年03月31日,,,,,                369867,                    735,                    326,                368806,                368806,,,,,                310992,                 57814,                 57814,,,                  2661,,                 24941,,                 11094,                 38696,                 19118,,,                    365,,                  1918,,                     93,                  2190,                 21308,,                  3405,                 17903,                 17903,                 17903,,                              0.17,,                              0.17,,,,,,,,
4976,2013年第3季,,,,                472261,                472261,                    644,                              0,                471617,                471617,,,                374699,                374699,                374699,                 96918,                 96918,,,                  2582,,                 34453,,                  6060,                 43095,                 53823,,,                  6282,,                    158,,                    309,                  6131,                 59954,,                  9473,                 50481,                 50481,                 50481,,                              0.49,,                              0.48,,,                              0,                              0,                              0,,                              0,                              0
4976,2013年第2季,,,,                481457,                481457,                  1942,                      5,                479510,                479510,,,                357982,                357982,                357982,                121528,                121528,,,                  3221,,                 25925,,                  5560,                 34706,                 86822,,,                    803,,                  1556,,                    314,                  2045,                 88867,,                 16332,                 72535,                 72535,                 72535,,                              0.73,,                              0.73,,,                              0,,,,,                              0
4976,2013年度,,,,,              1769208,                  5948,                     66,              1763194,              1763194,,,              1424869,              1424869,              1424869,                338325,                338325,,,                 11360,,                129227,,                 22044,                162631,                175694,,,                 10012,,                  3296,,                  1477,                 11831,                187525,,                 29307,                158218,                158218,                158224,,                              1.52,,                              1.51,,                      6,                      6,,,,,
4976,2013年07月01日至2013年09月30日,,,,,                472261,                    644,                              0,                471617,                471617,,,,                374699,                374699,                 96918,                 96918,,,                  2582,,                 34453,,                  6060,                 43095,                 53823,,,                  6282,,                    158,,                    309,                  6131,                 59954,,                  9473,                 50481,                 50481,                 50481,,                              0.51,,                              0.51,,,,,,,,
4976,2013年04月01日至2013年06月30日,,,,                481457,                481457,                  1942,                      5,                479510,                479510,,,                357982,                357982,                357982,                121528,                121528,,,                  3221,,                 25925,,                  5560,                 34706,                 86822,,,                    784,,                  1575,,                    314,                  2045,                 88867,,                 16332,                 72535,                 72535,                 72535,,                              0.73,,                              0.73,,,,,,,,
4976,2013年01月01日至2013年12月31日,,,,,              1769208,                  5948,                     66,              1763194,              1763194,,,,,              1424869,                338325,                338325,,,                 11360,,                129227,,                 22044,                162631,                175694,,,                 10012,,                  3296,,                  1477,                 11831,                187525,,                 29307,                158218,                158218,                158224,,                              1.60,,                              1.58,,                      6,                      6,,,,,
4976,2013年01月01日至2013年09月30日,,,,              1382032,              1382032,                  3188,                     19,              1378825,              1378825,,,              1079146,              1079146,              1079146,                299679,                299679,,,                  8694,,                101963,,                 16689,                127346,                172333,,,                  8882,,                  2978,,                  1060,                 10800,                183133,,                 30915,                152218,                152218,                152218,,                              1.46,,                              1.45,,,                              0,                              0,                              0,,                              0,                              0
4976,2013年01月01日至2013年06月30日,,,,                909771,                909771,                  2544,                     19,                907208,                907208,,,                704447,                704447,                704447,                202761,                202761,,,                  6112,,                 67510,,                 10629,                 84251,                118510,,,                  2622,,                  2798,,                    751,                  4669,                123179,,                 21442,                101737,                101737,                101737,,                              1.02,,                              1.01,,,                              0,,,,,                              0
4976,2013年01月01日至2013年03月31日,,,,,                428314,                    602,                     14,                427698,                427698,,,,,                346465,                 81233,                 81233,,,                  2891,,                 41585,,                  5069,                 49545,                 31688,,,                  1819,,                  1242,,                    437,                  2624,                 34312,,                  5110,                 29202,                 29202,                 29202,,                              0.29,,                              0.29,,,,,,,,
4976,2012年07月01日至2012年09月30日,,,,,                499018,                    425,                              0,                498593,                498593,,,,                367280,                367280,                131313,                131313,,,                  2410,,                 38743,,                  8049,                 49202,                 82111,,,                  5137,,                    331,,                    224,                  5244,                 87355,,                 13324,                 74031,                 74031,                 74031,,                              0.82,,                              0.81,,,,,,,,
4976,2012年04月01日至2012年06月30日,,,,                388297,                388297,                    294,                      1,                388002,                388002,,,                305586,                305586,                305586,                 82416,                 82416,,,                  2705,,                 25716,,                  7047,                 35468,                 46948,,,                  7589,,                   -821,,                   -269,                  7037,                 53985,,                 10769,                 43216,                 43216,                 43216,,                              0.48,,                              0.47,,,,,,,,
