證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　　 營建工程成本,　　　 營建工程成本合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 銷貨收入淨額,　　　 銷貨收入淨額,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　　 研究發展費用,　　　 研究發展費用合計,　　 其他費用,　 停業單位損益,　　 停業單位損益合計,　　 停業單位淨利（淨損）,　　 其他收益,　 其他綜合損益(淨額),　　 國外營運機構財務報表換算之兌換差額,　　 權益工具投資之利益（損失）,　　 備供出售金融資產未實現評價損益,　　 現金流量避險,　　 國外營運機構淨投資避險,　　 重估價之利益（損失）,　　 確定福利計畫精算利益（損失）,　　 與待出售非流動資產直接相關之權益,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 其他綜合損益,　　 與其他綜合損益組成部分相關之所得稅,　　 其他綜合損益（淨額）,　　 稀釋停業單位淨利（淨損）,　　 非控制權益（淨利／損）,　　 非控制權益（綜合損益）
9906,2015年第3季,,                 56993,,                 46220,                 10773,                 10773,,,                  4152,,                 12722,                 16874,,                              0,                 -6101,,,,                              0,                              0,,                   -326,,                              0,,                              0,,                  4184,,                              0,                 -4510,                -10611,,                    381,                -10992,                -10992,                -10992,,                -10992,,                -10992,,                             -0.16,                             -0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9906,2015年第2季,,                227010,,                166872,                 60138,                 60138,,,,,,                 29693,,,                 30445,,,,                    154,                    154,,                     63,,,,,,                  1267,,,                 -1050,                 29395,,                              0,                 29395,                 29395,                 29395,,                 29395,,                 29395,,                              0.42,                              0.42,,                166872,,                              0.42,                              0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9906,2015年01月01日至2015年09月30日,,                604512,,                482691,                121821,                121821,,,                 37777,,                 41120,                 78897,,                              0,                 42924,,,,                    154,                    154,,                   -155,,                              0,,                              0,,                  8830,,                              0,                 -8831,                 34093,,                    381,                 33712,                 33712,                 33712,,                 33712,,                 33712,,                              0.48,                              0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9906,2015年01月01日至2015年06月30日,,                547519,,                436471,                111048,                111048,,,,,,                 62023,,,                 49025,,,,                    154,                    154,,                    171,,,,,,                  4646,,,                 -4321,                 44704,,                              0,                 44704,                 44704,                 44704,,                 44704,,                 44704,,                              0.64,                              0.64,,                436471,,                              0.64,                              0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9906,2015年01月01日至2015年03月31日,,                320509,,                269599,                 50910,                 50910,,,                 18311,,                 14019,                 32330,,                              0,                 18580,,,,                    954,                    954,,                   -846,,                              0,,                              0,,                  3379,,                              0,                 -3271,                 15309,,                              0,                 15309,                 15309,                 15309,,                 15309,,                 15309,,                              0.22,                              0.22,,,,                              0.22,                              0.22,,                320509,                              0,                              0,,                              0,                              0,,                              0,                              0.00,,,,,,,,,,,,,,,,,,
9906,2014年第3季,,                              0,,                              0,                              0,                              0,,,                    692,,                 14343,                 15035,,                  2270,                -12765,,,,                              0,                              0,,                   -179,,                              0,,                              0,,                  2105,,                              0,                 -2284,                -15049,,                   -132,                -14917,                -14917,                -14917,,                -14917,,                -14917,,                             -0.21,                             -0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9906,2014年第2季,,                 10114,,                  9666,                    448,                    448,,,,,,                 15019,,,                -14571,,,,                    171,                    171,,                    295,,,,,,                   -381,,,                    847,                -13724,,                  3156,                -16880,                -16880,                -16880,,                -16880,,                -16880,,                             -0.24,                             -0.24,,                  9666,,                             -0.24,                             -0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9906,2014年度,,                 22143,,                 13096,                  9047,                  9047,,,                  7674,,                 54281,                 61955,,                  2270,                -50638,,,,                    298,                    298,,                  1194,,                              0,,                              0,,                  6058,,                              0,                 -4566,                -55204,,                  2562,                -57766,                -57766,                -57766,,                -57766,,                -57766,,                             -0.83,                             -0.83,,,,                             -0.83,                             -0.83,,                 22143,                              0,                              0,,,,,                              0,                              0.00,                  2270,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0.00,,
9906,2014年01月01日至2014年09月30日,,                 22133,,                 18344,                  3789,                  3789,,,                  5333,,                 37445,                 42778,,                  2270,                -36719,,,,                    171,                    171,,                    632,,                              0,,                              0,,                  4269,,                              0,                 -3466,                -40185,,                  3285,                -43470,                -43470,                -43470,,                -43470,,                -43470,,                             -0.62,                             -0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9906,2014年01月01日至2014年06月30日,,                 22133,,                 18344,                  3789,                  3789,,,,,,                 27743,,,                -23954,,,,                    171,                    171,,                    811,,,,,,                  2164,,,                 -1182,                -25136,,                  3417,                -28553,                -28553,                -28553,,                -28553,,                -28553,,                             -0.41,                             -0.41,,                 18344,,                             -0.41,                             -0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9906,2014年01月01日至2014年03月31日,,                 12019,,                  8678,                  3341,                  3341,,,                  2265,,                 10459,                 12724,,                              0,                 -9383,,,,                    516,                    516,,                              0,,                              0,,                              0,,                  2545,,                              0,                 -2029,                -11412,,                    261,                -11673,                -11673,                -11673,,                -11673,,                -11673,,                             -0.17,                             -0.17,,,,                             -0.17,                             -0.17,,                 12019,                              0,                              0,,                              0,                              0,,                              0,                              0.00,,,,,,,,,,,,,,,,,,
9906,2013年第3季,,                349769,,                306382,                 43387,                 43387,,,                 12625,,                 14298,                 26923,,                              0,                 16464,,,,                              0,                              0,,                -11123,,,,,,                  1647,,,                -12770,                  3694,,                  6841,                 -3147,                 -3147,                  6221,,                 -3147,,                  6221,,                             -0.04,                             -0.04,,,,                             -0.04,                             -0.04,,,,,,,,,,,,,                 11287,,,,,,,,,,,                  1919,                  9368,,,
9906,2013年第2季,,                  1202,,                  1033,                    169,                    169,,,                    740,,                 11467,                 12207,,,                -12038,,,,                    352,                    352,,                    -11,,,,,,                    297,,,                     44,                -11994,,                   -369,                -11625,                -11625,                -11451,,                -11625,,                -11451,,                             -0.17,                             -0.17,,,,                             -0.17,                             -0.17,,,,,,,,,,,,,                    209,,,,,,,,,,,                     35,                    174,,,
9906,2013年度,,                999466,,                867742,                131724,                131724,,,                 53528,,                 50304,                103832,,                              0,                 27892,,,,                    548,                    548,,                  2815,,                              0,,                              0,,                  7147,,                              0,                 -3784,                 24108,,                 16399,                  7709,                  7709,                 13410,,                  7709,,                 13410,,                              0.11,                              0.11,,,,                              0.11,                              0.11,,                999466,                              0,                              0,,,,,                              0,                              0.00,                              0,,                  6869,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                  1168,                  5701,                              0.00,,
9906,2013年07月01日至2013年09月30日,,                349769,,                306382,                 43387,                 43387,,,                 12625,,                 14298,                 26923,,                              0,                 16464,,,,                              0,                              0,,                -11123,,,,,,                  1647,,,                -12770,                  3694,,                  6841,                 -3147,                 -3147,                  6221,,                 -3147,,                  6221,,                             -0.04,                             -0.04,,,,                             -0.04,                             -0.04,,,,,,,,,                              0,                              0.00,                              0,,                 11287,,,,,,,,,,,                  1919,                  9368,                              0.00,                              0,                              0
