證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
1537,2015年第3季,,              1785281,,              1404172,                381109,                381109,,,                 63912,,                 42403,,                  9409,                115724,                265385,,,                  5035,,                 67898,,                  1078,                 71855,                337240,,                 78103,                259137,                259137,,,                158778,                 -8992,                 26395,                123391,                123391,                382528,,                251192,                  7945,,                371070,                 11458,,                              3.08,                              3.08,,                              3.07,                              3.07,,,,
1537,2015年第2季,,              1736867,,              1392035,                344832,                344832,,,                 62938,,                 42031,,                  9113,                114082,                230750,,,                  4652,,                 -4172,,                  1056,                   -576,                230174,,                 63288,                166886,                166886,,,                -38284,                 -4387,                 -6056,                -36615,                -36615,                130271,,                158624,                  8262,,                124668,                  5603,,                              1.94,                              1.94,,                              1.94,                              1.94,,,,
1537,2015年01月01日至2015年09月30日,,              5239105,,              4190442,              1048663,              1048663,,,                189690,,                124752,,                 27554,                341996,                706667,,,                 20566,,                 53780,,                  3521,                 70825,                777492,,                187566,                589926,                589926,,,                 93918,                 -7676,                 15951,                 70291,                 70291,                660217,,                564380,                 25546,,                634583,                 25634,,                              6.92,                              6.92,,                              6.88,                              6.88,,,,
1537,2015年01月01日至2015年06月30日,,              3453824,,              2786270,                667554,                667554,,,                125778,,                 82349,,                 18145,                226272,                441282,,,                 15531,,                -14118,,                  2443,                 -1030,                440252,,                109463,                330789,                330789,,,                -64860,                  1316,                -10444,                -53100,                -53100,                277689,,                313188,                 17601,,                263513,                 14176,,                              3.84,                              3.84,,                              3.83,                              3.83,,,,
1537,2015年01月01日至2015年03月31日,,              1716957,,              1394235,                322722,                322722,,,                 62840,,                 40318,,                  9032,                112190,                210532,,,                 10879,,                 -9946,,                  1387,                   -454,                210078,,                 46175,                163903,                163903,,,                -26576,                  5703,                 -4388,                -16485,                -16485,                147418,,                154564,                  9339,,                138845,                  8573,,                              1.89,                              1.89,,                              1.89,                              1.89,,,,
1537,2014年第3季,,              1752461,,              1414778,                337683,                337683,,,                 70516,,                 34593,,                  9874,                114983,                222700,,,                  5485,,                 12605,,                  1760,                 16330,                239030,,                 52736,                186294,                186294,,,                 43372,                 -7676,                  7174,                 28522,                 28522,                214816,,                182461,                  3833,,                209813,                  5003,,                              2.24,                              2.24,,                              2.24,                              2.24,,,,
1537,2014年第2季,,              1680190,,              1357958,                322232,                322232,,,                 58476,,                 34017,,                  7566,                100059,                222173,,,                  1569,,                 -4204,,                  1607,                 -4242,                217931,,                 74531,                143400,                143400,,,                -29245,                 -7019,                 -5706,                -30558,                -30558,                112842,,                138953,                  4447,,                104074,                  8768,,                              1.70,                              1.70,,                              1.70,                              1.70,,,,
1537,2014年度,,              6765833,,              5467278,              1298555,              1298555,,,                253210,,                167747,,                 36626,                457583,                840972,,,                 14228,,                 49112,,                  6629,                 56711,                897683,,                221190,                676493,                676493,,,,,,,                120851,                797344,,                659721,                 16772,,                781158,                 16186,,                              8.09,                              8.09,,                              8.05,                              8.05,                145687,                 -1426,                  1754,                 25164
1537,2014年01月01日至2014年09月30日,,              4996926,,              4063053,                933873,                933873,,,                181354,,                102690,,                 27872,                311916,                621957,,,                 11395,,                 23584,,                  4802,                 30177,                652134,,                171539,                480595,                480595,,,                 59186,                  1865,                  8916,                 52135,                 52135,                532730,,                469311,                 11284,,                514708,                 18022,,                              5.75,                              5.75,,                              5.73,                              5.73,,,,
1537,2014年01月01日至2014年06月30日,,              3244465,,              2648275,                596190,                596190,,,                110838,,                 68097,,                 17998,                196933,                399257,,,                  5910,,                 10979,,                  3042,                 13847,                413104,,                118803,                294301,                294301,,,                 15814,                  9541,                  1742,                 23613,                 23613,                317914,,                286850,                  7451,,                304895,                 13019,,                              3.52,                              3.52,,                              3.50,                              3.50,,,,
