證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
6224,2015年第3季,,                424494,,                205445,                219049,                219049,,,                 21436,,                 36352,,                 30351,                 88139,                130910,,,                 12645,,                 13307,,                    -38,                 25990,                156900,,                 28532,                128368,                128368,,,                 20983,                 20983,                 20983,                149351,,                128368,,                149351,,                              1.60,                              1.60,,                              1.59,                              1.59,,,
6224,2015年第2季,,                444819,,                198061,                246758,                246758,,,                 21444,,                 36232,,                 29599,                 87275,                159483,,,                  9542,,                 -5847,,                     36,                  3659,                163142,,                 29870,                133272,                133272,,,                 -7171,                 -7171,                 -7171,                126101,,                133272,,                126101,,                              1.67,                              1.67,,                              1.65,                              1.65,,,
6224,2015年01月01日至2015年09月30日,,              1251247,,                580557,                670690,                670690,,,                 62398,,                107477,,                 91712,                261587,                409103,,,                 30668,,                  3842,,                    102,                 34408,                443511,,                 82430,                361081,                361081,,,                  8645,                  8645,                  8645,                369726,,                361081,,                369726,,                              4.51,                              4.51,,                              4.45,                              4.45,,,
6224,2015年01月01日至2015年06月30日,,                826753,,                375112,                451641,                451641,,,                 40962,,                 71125,,                 61361,                173448,                278193,,,                 18023,,                 -9465,,                    140,                  8418,                286611,,                 53898,                232713,                232713,,,                -12338,                -12338,                -12338,                220375,,                232713,,                220375,,                              2.91,                              2.91,,                              2.87,                              2.87,,,
6224,2015年01月01日至2015年03月31日,,                381934,,                177051,                204883,                204883,,,                 19518,,                 34893,,                 31762,                 86173,                118710,,,                  8481,,                 -3618,,                    104,                  4759,                123469,,                 24028,                 99441,                 99441,,,                 -5167,                 -5167,                 -5167,                 94274,,                 99441,,                 94274,,                              1.24,                              1.24,,                              1.23,                              1.23,,,
6224,2014年第3季,,                403097,,                224976,                178121,                178121,,,                 17925,,                 35306,,                 24910,                 78141,                 99980,,,                 10661,,                  5626,,                    513,                 15774,                115754,,                 20312,                 95442,                 95442,,,                 13075,                 13075,                 13075,                108517,,                 95442,,                108517,,                              1.19,                              1.19,,                              1.19,                              1.19,,,
6224,2014年第2季,,                456713,,                219899,                236814,                236814,,,                 21028,,                 35472,,                 30306,                 86806,                150008,,,                  8947,,                 -9278,,                    429,                   -760,                149248,,                 29207,                120041,                120041,,,                 -8458,                 -8458,                 -8458,                111583,,                120041,,                111583,,                              1.50,                              1.50,,                              1.49,                              1.49,,,
6224,2014年度,,              1606737,,                840857,                765880,                765880,,,                 81834,,                133737,,                112683,                328254,                437626,,,                 31718,,                 15162,,                    720,                 46160,                483786,,                 83105,                400681,                400681,,,,,                 17823,                418504,,                400681,,                418504,,                              5.01,                              5.01,,                              4.95,                              4.95,                 17856,                    -39,                     -6
6224,2014年01月01日至2014年09月30日,,              1224907,,                630905,                594002,                594002,,,                 60326,,                102913,,                 85435,                248674,                345328,,,                 25704,,                   -494,,                  1337,                 23873,                369201,,                 67779,                301422,                301422,,,                  3414,                  3414,                  3414,                304836,,                301422,,                304836,,                              3.77,                              3.77,,                              3.73,                              3.73,,,
6224,2014年01月01日至2014年06月30日,,                821810,,                405929,                415881,                415881,,,                 42401,,                 67607,,                 60525,                170533,                245348,,,                 15043,,                 -6120,,                    824,                  8099,                253447,,                 47467,                205980,                205980,,,                 -9661,                 -9661,                 -9661,                196319,,                205980,,                196319,,                              2.57,                              2.57,,                              2.55,                              2.55,,,
