證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 股利收入,　　　 壞帳轉回利益,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 處分投資損失,　　　 外幣兌換損失,　　　 利息費用,　　 不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 銷貨成本,　　　 銷貨成本合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 停業單位損益,　　 停業單位損益合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　　 減損損失,　　　　 減損損失合計
3533,2015年第3季,,              2250139,,              1497865,                752274,                              0,                              0,                752274,,,                111133,,                174839,,                211562,                497534,                254740,,,,                 22603,                    374,                   -284,                 48661,                 71354,,                              0,                 94480,                              0,                  6058,                  1958,                 86464,,                  3861,,                              0,                153957,                408697,,                104948,                303749,                303749,,,                200405,                   -307,                200098,                200098,                503847,,                308829,                 -5080,,                508124,                 -4277,,                              3.30,,                              3.28,,,,,,,,,,,,,,,,,,,,
3533,2015年第2季,,              1835891,,              1240955,                594936,                              0,                              0,                594936,,,                112269,,                168849,,                202154,                483272,                111664,,,,                 26156,,                    294,                 34843,                 61293,,                              0,                              0,                              0,                  3051,                  1908,                -16275,,                  3481,,                   -107,                 41430,                153094,,                 78742,                 74352,                 74352,,,                -59019,                    141,                -58878,                -58878,                 15474,,                 79209,                 -4857,,                 20607,                 -5133,,                              0.85,,                              0.84,                    737,                 10579,                  3481,,,,,,,,,,,,,,,,,
3533,2015年01月01日至2015年09月30日,,              5937168,,              3948218,              1988950,                              0,                              0,              1988950,,,                340274,,                513812,,                598635,              1452721,                536229,,,,                 73257,                    374,                    505,                122484,                196620,,                   -737,                 83560,                              0,                 12585,                  5599,                 64639,,                 10725,,                   -566,                249968,                786197,,                225183,                561014,                561014,,,                 63323,                   -360,                 62963,                 62963,                623977,,                573769,                -12755,,                636649,                -12672,,                              6.14,,                              6.10,,,,,,,,,,,,,,,,,,,,
3533,2015年01月01日至2015年06月30日,,              3687029,,              2450353,              1236676,                              0,                              0,              1236676,,,                229141,,                338973,,                387073,                955187,                281489,,,,                 50654,,                    789,                 73823,                125266,,                              0,                              0,                              0,                  6527,                  3641,                -21825,,                  6864,,                   -566,                 96011,                377500,,                120235,                257265,                257265,,,               -137082,                    -53,               -137135,               -137135,                120130,,                264940,                 -7675,,                128525,                 -8395,,                              2.83,,                              2.81,                    737,                 10920,                  6864,,,,,,,,,,,,,,,,,
3533,2015年01月01日至2015年03月31日,,              1851138,,              1209398,                641740,,,                641740,,,                116872,,                170124,,                184919,                471915,                169825,,,,                 24498,,                    495,                 38980,                 63973,,                              0,                              0,                              0,                  3476,                  1733,                 -5550,,                  3383,,                   -459,                 54581,                224406,,                 41493,                182913,                182913,,,                -78063,                   -194,                -78257,                -78257,                104656,,                185731,                 -2818,,                107474,                 -2818,,                              1.99,,                              1.98,,                    341,                  3383,,                              0,                              0,                              0,,,,,,,,,,,,,
3533,2014年第3季,,              2176610,,              1402999,                773611,                              0,                              0,                773611,,,                103301,,                151274,,                178475,                433050,                340561,,,,                 23148,                    671,                              0,                 30413,                 54232,,                              0,                 26168,                     35,                  1610,                  5897,                 18696,,                  6162,,                    -30,                 66736,                407297,,                100549,                306748,                306748,,,                 99208,                 -2180,                 97028,                 97028,                403776,,                306692,                     56,,                403720,                     56,,                              3.28,,                              3.27,,,,,,,,,,,,,,,,,,,,
3533,2014年第2季,,              2114342,,              1416213,                698129,                              0,                              0,                698129,,,                121124,,                138401,,                156261,                415786,                282343,,,,                 22974,,                    138,                 24592,                 47704,,                 13665,                              0,                    672,                  9403,                    160,                -29297,,                  2719,,                 -1790,                 13898,                296241,,                117556,                178685,                178685,,,               -100161,                  1024,                -99137,                -99137,                 79548,,                180665,                 -1980,,                 81528,                 -1980,,                              1.93,,                              1.92,                              0,                 34071,                  2719,,,,,,,,,,,,,,,,,
3533,2014年01月01日至2014年09月30日,,              6224953,,              4034655,              2190298,                              0,                              0,              2190298,,,                325611,,                440732,,                497546,              1263889,                926409,,,,                 72907,                    671,                              0,                 77467,                151045,,                 13617,                 27832,                -11426,                 20644,                  6477,                  2902,,                 14644,,                 -5154,                134149,              1060558,,                287663,                772895,                772895,,,                 65928,                  2331,                 68259,                 68259,                841154,,                775807,                 -2912,,                844066,                 -2912,,                              8.30,,                              8.27,,,,,,,,,,,,,,,,,,,,
3533,2014年01月01日至2014年06月30日,,              4048343,,              2631656,              1416687,                              0,                              0,              1416687,,,                222310,,                289458,,                319071,                830839,                585848,,,,                 49759,,                              0,                 47054,                 96813,,                 13587,                  1664,                -11431,                 19034,                    580,                -15794,,                  8482,,                 -5124,                 67413,                653261,,                187114,                466147,                466147,,,                -33280,                  4511,                -28769,                -28769,                437378,,                469115,                 -2968,,                440346,                 -2968,,                              5.02,,                              5.00,                              0,                              0,                  8482,,,,,,,,,,,,,,,,,
3533,2014年01月01日至2014年03月31日,,              1934001,,              1215443,                718558,,,                718558,,,                101186,,                151057,,                162810,                415053,                303505,,,,                 26785,,                   -138,                 22462,                 49109,,                    -78,                 35735,                -12103,                  9631,                    420,                 13503,,                  5763,,                 -3334,                 53515,                357020,,                 69558,                287462,                287462,,,                 66881,                  3487,                 70368,                 70368,                357830,,                288450,                   -988,,                358818,                   -988,,                              3.09,,                              3.08,,                              0,                  5763,,                              0,                              0,                              0,,,,,,,,,,,,,
3533,2013年07月01日至2013年09月30日,,              2158940,,              1563400,                595540,                              0,                              0,                595540,,,                121457,,                135474,,                154018,                410949,                184591,,,,                 15035,                    660,                              0,                 23249,                 38944,,                   -250,,                  7091,                 38931,                 16293,                -56110,,                  9196,,                 -3500,                -29862,                154729,,                 68000,                 86729,                 86729,,,,,,                -45369,                 41360,,                 90997,                 -4268,,                 45628,                 -4268,,                              0.97,,                              0.96,                              0,                 33136,                  9196,,,,,,,,,,,,,                -46055,                    686,,,                -25409
3533,2013年04月01日至2013年06月30日,,              1873627,,              1309119,                564508,,,                564508,,,                102269,,                128594,,                174931,                405794,                158714,,,,                 18024,                              0,                   -520,                 20885,                 38389,,                 16458,                              0,                  3476,                  8651,                  1677,                   -720,,                  7179,,                 -3880,                 26610,                185324,,                 59485,                125839,                125839,,,,,,                 71323,                197162,,                127779,                 -1940,,                199102,                 -1940,,                              1.37,,                              1.36,                              0,                 10326,                  7179,,,,,,,,,,,,,                 72638,                 -1315,,,                              0
3533,2013年01月01日至2013年12月31日,,              8061960,,              5571869,              2490091,,,              2490091,,,                432547,,                531415,,                643235,              1607197,                882894,,,,                166820,,,,                166820,,,,,,,                -49611,,                 36169,,                -14419,                 66621,                949515,,                234250,                715265,                715265,,,,,,                234515,                949780,,                725350,                -10085,,                959865,                -10085,,                              7.76,,                              7.70,,,,,,,,,              8061960,,              5571869,,                              0,,                              0,                219387,                  8081,                  7047,,
3533,2013年01月01日至2013年09月30日,,              5743667,,              4061258,              1682409,                              0,                              0,              1682409,,,                310497,,                385902,,                458104,              1154503,                527906,,,,                 50121,                    660,                              0,                 83176,                133957,,                 11339,,                  8889,                 53099,                 19058,                -36810,,                 26376,,                -11499,                 59272,                587178,,                191268,                395910,                395910,,,,,,                156776,                552686,,                403536,                 -7626,,                560312,                 -7626,,                              4.32,,                              4.29,                              0,                 10290,                 26376,,,,,,,,,,,,,                152598,                  4178,,,                -25409
3533,2013年01月01日至2013年06月30日,,              3584727,,              2497858,              1086869,,,              1086869,,,                189040,,                250428,,                304086,                743554,                343315,,,,                 35086,                              0,                              0,                 59928,                 95014,,                 11589,                 22846,                  1798,                 14169,                  2765,                 19299,,                 17180,,                 -7999,                 89134,                432449,,                123268,                309181,                309181,,,,,,                202144,                511325,,                312539,                 -3358,,                514683,                 -3358,,                              3.34,,                              3.32,                              0,                              0,                 17180,,,,,,,,,,,,,                198652,                  3492,,,                              0
3533,2013年01月01日至2013年03月31日,,              1711100,,              1188739,                522361,                              0,                              0,                522361,,,                 86771,,                121834,,                129155,                337760,                184601,,,,                 17062,                              0,                    520,                 39043,                 56625,,,                 33172,                 -1678,                  5518,                  1088,                 20019,,                 10001,,                 -4119,                 62524,                247125,,                 63783,                183342,                183342,,,,,,                130821,                314163,,                184760,                 -1418,,                315581,                 -1418,,                              1.98,,                              1.98,                  4869,                              0,                 10001,,,,,,,,,,,,,                126014,                  4807,,,                              0
3533,2012年07月01日至2012年09月30日,,              2380097,,              1654592,                725505,                              0,                              0,                725505,,,                 90698,,                121553,,                134913,                347164,                378341,,,,                  6993,                    397,                    204,                 45520,                 53114,,                              0,,                 13045,                  7222,                    253,                -24757,,                  1707,,                 -2975,                 23675,                402016,,                 59646,                342370,                342370,,,,,,                -78694,                263676,,                342518,                   -148,,                263824,                   -148,,                              3.66,,                              3.64,                 17094,                 13233,                  1707,,,,,,,,,,,,,                -94784,                 16090,,,                              0
3533,2012年04月01日至2012年06月30日,,              2157995,,              1413755,                744240,,,                744240,,,                 88452,,                115678,,                161375,                365505,                378735,,,,                  3668,                    442,                   -371,                  2747,                  6486,,                              0,                 25278,                 -8862,                 11343,                  5033,                 -2415,,                  1147,,                 -5380,                 -2456,                376279,,                 90515,                285764,                285764,,,,,,                 37180,                322944,,                286095,                   -331,,                323275,                   -331,,                              3.06,,                              3.04,                  2455,                              0,                  1147,,,,,,,,,,,,,                 37761,                   -581,,,                              0
3533,2012年01月01日至2012年12月31日,,              8567000,,              5834887,              2732113,,,              2732113,,,                367603,,                466040,,                587554,              1421197,              1310916,,,,                102935,,,,                102935,,,,,,,               -118604,,                 10334,,                -23895,                -49898,              1261018,,                315857,                945161,                945161,,,,,,               -143166,                801995,,                947716,                 -2555,,                804550,                 -2555,,                             10.14,,                             10.10,,,,,,,,,              8567000,,              5834887,,                              0,,                              0,               -162577,                 26199,                 -6788,,
3533,2012年01月01日至2012年09月30日,,              6451144,,              4426184,              2024960,                              0,                              0,              2024960,,,                258305,,                336781,,                420307,              1015393,              1009567,,,,                 13057,                    839,                    916,                 59693,                 74505,,                              0,,                  4082,                 26261,                 14137,                -79265,,                  4099,,                -13381,                -22240,                987327,,                189970,                797357,                797357,,,,,,               -130005,                667352,,                798212,                   -855,,                668207,                   -855,,                              8.54,,                              8.49,                 19838,                 22663,                  4099,,,,,,,,,,,,,               -152723,                 22718,,,                    448
3533,2012年01月01日至2012年06月30日,,              4071047,,              2771592,              1299455,,,              1299455,,,                167607,,                215228,,                285394,                668229,                631226,,,,                  6064,                    442,                    712,                 14173,                 21391,,                              0,                              0,                 -8963,                 19039,                 13884,                -54508,,                  2392,,                -10406,                -45915,                585311,,                130324,                454987,                454987,,,,,,                -51311,                403676,,                455694,                   -707,,                404383,                   -707,,                              4.87,,                              4.84,                  2744,                  9430,                  2392,,,,,,,,,,,,,                -57939,                  6628,,,                    448
3533,2012年01月01日至2012年03月31日,,              1913052,,              1357837,                555215,                              0,                              0,                555215,,,                 79155,,                 99550,,                124019,                302724,                252491,,,,                  2396,                              0,                  1082,                 11426,                 14904,,,                              0,                   -101,                  7695,                  8851,                -52092,,                  1245,,                 -5026,                -43459,                209032,,                 39809,                169223,                169223,,,,,,                -88491,                 80732,,                169599,                   -376,,                 81108,                   -376,,                              1.81,,                              1.81,                    289,                 34708,                  1245,,,,,,,,,,,,,                -95700,                  7209,,,                    448
