證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　 已實現銷貨（損）益,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
5522,2015年第3季,,              5052791,,              3377479,              1675312,              1675312,,,                224117,,                102434,                326551,,                              0,              1348761,,,                 69980,,                   -172,,                 39244,,                -30937,                   -373,              1348388,,                174141,              1174247,              1174247,,,                105317,                689578,,                193366,                 50776,                937485,                937485,              2111732,,              1173537,                    710,,              2110993,                    739,,                              1.40,                              1.40,,                              1.34,                              1.34,,,,,,
5522,2015年第2季,,              8442274,,              5502947,              2939327,              2939327,,,                403466,,                269909,                673375,,,              2265952,,,                 47758,,                -15485,,                 57437,,                374283,                349119,              2615071,,                563157,              2051914,              2051914,,,                -36846,,,                -64696,                -17262,                -84280,                -84280,              1967634,,              2051352,                    562,,              1967072,                    562,,                              2.46,                              2.46,,                              2.35,                              2.35,,,,,,
5522,2015年01月01日至2015年09月30日,,             20085148,,             13223538,              6861610,              6861610,,,                941541,,                515114,              1456655,,                              0,              5404955,,,                135975,,                -12503,,                187066,,                458317,                394723,              5799678,,              1117871,              4681807,              4681807,,,                 43587,                689578,,                 87030,                 22205,                797990,                797990,              5479797,,              4680214,                  1593,,              5478175,                  1622,,                              5.60,                              5.60,,                              5.38,                              5.38,,,,,,
5522,2015年01月01日至2015年06月30日,,             15032357,,              9846059,              5186298,              5186298,,,                717424,,                412680,              1130104,,,              4056194,,,                 65995,,                -37978,,                122175,,                489254,                395096,              4451290,,                943730,              3507560,              3507560,,,                -61730,,,               -106336,                -28571,               -139495,               -139495,              3368065,,              3506677,                    883,,              3367182,                    883,,                              4.20,                              4.20,,                              4.03,                              4.03,,,,,,
5522,2015年01月01日至2015年03月31日,,              6590083,,              4343112,              2246971,              2246971,,,                313958,,                142771,                456729,,,              1790242,,,                 18237,,                -22493,,                 64738,,                114971,                 45977,              1836219,,                380573,              1455646,              1455646,,,                -24884,,,                -41640,                -11309,                -55215,                -55215,              1400431,,              1455325,                    321,,              1400110,                    321,,                              1.74,                              1.74,,                              1.69,                              1.69,,,,,,
5522,2014年第3季,,              2514936,,              1607066,                907870,                907870,,,                115321,,                130868,                246189,,                483027,              1144708,,,                 19092,,                 -9230,,                 23841,,                -65278,                -79257,              1065451,,                267544,                797907,                797907,,,                 63860,                              0,,                 91000,                 26327,                128533,                128533,                926440,,                808495,                -10588,,                937028,                -10588,,                              0.97,                              0.97,,                              0.95,                              0.95,,,,,,
5522,2014年第2季,,              3568653,,              2208640,              1360013,              1360013,,,                195818,,                126306,                322124,,,              1037889,,,                 19361,,               -224465,,                 20096,,                -19893,               -245093,                792796,,                637615,                155181,                155181,,,                -46150,,,                -68000,                -19405,                -94745,                -94745,                 60436,,                159722,                 -4541,,                 64977,                 -4541,,                              0.19,                              0.19,,                              0.19,                              0.19,,,,,,
5522,2014年度,,             17824201,,             11028415,              6795786,              6855490,,,                854100,,                664703,              1518803,,                523476,              5860163,,,                117914,,               -257319,,                 98388,,                479152,                241359,              6101522,,              1124439,              4977083,              4977083,,,,,,,,,                188877,              5165960,,              5006639,                -29556,,              5195524,                -29564,,                              5.99,                              5.99,,                              5.86,                              5.86,                 59704,                 76714,                  5049,,                145800,                 38686
5522,2014年01月01日至2014年09月30日,,             10707156,,              6544068,              4163088,              4163088,,,                544213,,                429956,                974169,,                483027,              3671946,,,                 49350,,               -207426,,                 65018,,               -174142,               -397236,              3274710,,              1140083,              2134627,              2134627,,,                 -5290,                              0,,                  6200,                    156,                    754,                    754,              2135381,,              2154131,                -19504,,              2154885,                -19504,,                              2.58,                              2.58,,                              2.57,                              2.57,,,,,,
5522,2014年01月01日至2014年06月30日,,              8192220,,              4937002,              3255218,              3255218,,,                428892,,                299088,                727980,,,              2527238,,,                 30258,,               -210022,,                 29351,,               -108864,               -317979,              2209259,,                872539,              1336720,              1336720,,,                -69150,,,                -84800,                -26171,               -127779,               -127779,              1208941,,              1345636,                 -8916,,              1217857,                 -8916,,                              1.61,                              1.61,,                              1.61,                              1.61,,,,,,
