證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 勞務收入,　　　 勞務收入合計,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 其他營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　　 採用權益法認列關聯企業及合資之現金流量避險中屬有效避險部分之避險工具利益(損失),　　　　 採用權益法認列關聯企業及合資之備供出售金融資產未實現損益,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－備供出售金融商品未實現損益,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計
2467,2015年第3季,,,                835562,,                 15047,,                 12299,                862908,,,                626130,                  8334,                634464,                228444,                228444,,,                122101,,                 61091,,                 57572,                240764,                -12320,,,                 38856,                 38856,,                -41811,,                  4869,,                  1631,                 -6193,                -18513,,                 13226,                -31739,                -31739,,,                 41368,                -26796,,                   -564,                 14008,                 14008,                -17731,,                    221,                -31960,,                 14229,                -31960,,                              0.00,                              0.00,,                              0.00,                              0.00,,,,,,,,
2467,2015年第2季,,,                961863,,                 12488,,                  8735,                983086,,,                670696,                  8689,                679385,                303701,                303701,,,                124925,,                 69472,,                 54289,                248686,                 55015,,,                  9988,                  9988,,                 -5606,,                  6381,,                  2857,                    858,                 55873,,                 19969,                 35904,                 35904,,,                -15293,                 -8079,,                    265,                -23107,                -23107,                 12797,,                 51409,                -15505,,                 28302,                -15505,,                              0.32,                              0.32,,                              0.32,                              0.32,                    265,,,,,,,
2467,2015年01月01日至2015年09月30日,,,              2420711,,                 39689,,                 26317,              2486717,,,              1738979,                 22782,              1761761,                724956,                724956,,,                356835,,                197744,,                165128,                719707,                  5249,,,                 62225,                 62225,,                -63388,,                 17056,,                  5840,                -12379,                 -7130,,                 35834,                -42964,                -42964,,,                  3088,                -10912,,                              0,                 -7824,                 -7824,                -50788,,                 21133,                -64097,,                 13309,                -64097,,                              0.13,                              0.13,,                              0.13,                              0.13,,,,,,,,
2467,2015年01月01日至2015年06月30日,,,              1585149,,                 24642,,                 14018,              1623809,,,              1112849,                 14448,              1127297,                496512,                496512,,,                234734,,                136653,,                107556,                478943,                 17569,,,                 23369,                 23369,,                -21577,,                 12187,,                  4209,                 -6186,                 11383,,                 22608,                -11225,                -11225,,,                -38280,                 15884,,                    564,                -21832,                -21832,                -33057,,                 20912,                -32137,,                   -920,                -32137,,                              0.13,                              0.13,,                              0.13,                              0.13,                    564,,,,,,,
2467,2015年01月01日至2015年03月31日,,,                623286,,                 12154,,                  5283,                640723,,,                442153,                  5759,                447912,                192811,                192811,,,                109809,,                 67181,,                 53267,                230257,                -37446,,,                 13381,                 13381,,                -15971,,                  5806,,                  1352,                 -7044,                -44490,,                  2639,                -47129,                -47129,,,                -22987,                 23963,,                    299,                  1275,                  1275,                -45854,,                -30497,                -16632,,                -29222,                -16632,,                             -0.19,                             -0.19,,                             -0.19,                             -0.19,,                    299,,,,,,
2467,2014年第3季,,,                828878,,                 20277,,                  4275,                853430,,,                565953,                  8586,                574539,                278891,                278891,,,                106869,,                 70015,,                 79531,                256415,                 22476,,,                 38130,                 38130,,                 -1037,,                  5471,,                  1750,                 33372,                 55848,,                 13811,                 42037,                 42037,,,                 32738,                -23724,,                              0,                  9014,                  9014,                 51051,,                 52422,                -10385,,                 61436,                -10385,,                              0.33,                              0.33,,                              0.33,                              0.33,,,,,,,,
2467,2014年第2季,,,              1009840,,                 23278,,                  5723,              1038841,,,                655695,                 11602,                667297,                371544,                371544,,,                129447,,                 84003,,                 67687,                281137,                 90407,,,                  9311,                  9311,,                  4600,,                  4928,,                    316,                  9299,                 99706,,                 22631,                 77075,                 77075,,,                -33474,                -39837,,                              0,                -73311,                -73311,                  3764,,                 79345,                 -2270,,                  6034,                 -2270,,                              0.50,                              0.50,,                              0.50,                              0.50,                              0,,,,,,,
2467,2014年度,,,              3653455,,                 67469,,                 19471,              3740395,,,              2451643,                 38305,              2489948,              1250447,              1250447,,,                464206,,                300568,,                272752,              1037526,                212921,,,                 87206,                 87206,,                 -1121,,                 21364,,                  5512,                 70233,                283154,,                 54709,                228445,                228445,,,,,,,,                 58348,                286793,,                243189,                -14744,,                301537,                -14744,,                              1.53,                              1.53,,                              1.52,                              1.52,,,                 83181,                -23012,                 -2405,,                    584,                    584
2467,2014年01月01日至2014年09月30日,,,              2675591,,                 57831,,                 13372,              2746794,,,              1768326,                 28482,              1796808,                949986,                949986,,,                329025,,                225362,,                210885,                765272,                184714,,,                 55507,                 55507,,                 -7012,,                 15603,,                  3790,                 36682,                221396,,                 50805,                170591,                170591,,,                 14872,                -23025,,                              0,                 -8153,                 -8153,                162438,,                183665,                -13074,,                175512,                -13074,,                              1.16,                              1.16,,                              1.15,                              1.15,,,,,,,,
2467,2014年01月01日至2014年06月30日,,,              1846713,,                 37554,,                  9097,              1893364,,,              1202373,                 19896,              1222269,                671095,                671095,,,                222156,,                155347,,                131354,                508857,                162238,,,                 17377,                 17377,,                 -5975,,                 10132,,                  2040,                  3310,                165548,,                 36994,                128554,                128554,,,                -17866,                    699,,                              0,                -17167,                -17167,                111387,,                131243,                 -2689,,                114076,                 -2689,,                              0.83,                              0.83,,                              0.83,                              0.83,                              0,,,,,,,
