證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　 其他綜合損益(淨額),　　 確定福利計畫精算利益（損失）,　　 其他綜合損益（淨額）,　　 與其他綜合損益組成部分相關之所得稅
2545,2015年第3季,,                113139,,                 71414,                 41725,                 41725,,,                  9569,,                 82438,                 92007,                -50282,,,                 15337,,                 35632,,                 59291,                 -8322,                -58604,,                 13002,                -71606,                -71606,                -71606,,                -71606,                              0,,                -71606,                              0,,                             -0.22,,                             -0.22,,,,
2545,2015年第2季,,                265004,,                168669,                 96335,                 96335,,,                 12800,,                111574,                124374,                -28039,,,                  5099,,                 -8850,,                 59775,                -63526,                -91565,,                 43042,               -134607,               -134607,               -134607,,               -134607,,,               -134607,,,                             -0.41,,                             -0.41,,,,
2545,2015年01月01日至2015年09月30日,,                899877,,                552493,                347384,                347384,,,                 61336,,                277587,                338923,                  8461,,,                 25419,,                 22496,,                181352,               -133437,               -124976,,                 65339,               -190315,               -190315,               -190315,,               -190315,                              0,,               -190315,                              0,,                             -0.58,,                             -0.58,,,,
2545,2015年01月01日至2015年06月30日,,                786738,,                481079,                305659,                305659,,,                 51767,,                195149,                246916,                 58743,,,                 10082,,                -13136,,                122061,               -125115,                -66372,,                 52337,               -118709,               -118709,               -118709,,               -118709,,,               -118709,,,                             -0.36,,                             -0.36,,,,
2545,2015年01月01日至2015年03月31日,,                521734,,                312410,                209324,                209324,,,                 38967,,                 83575,                122542,                 86782,,,                  4983,,                 -4286,,                 62286,                -61589,                 25193,,                  9295,                 15898,                 15898,                 15898,,                 15898,,,                 15898,,,                              0.05,,                              0.05,,,,
2545,2014年第3季,,              1044281,,                393252,                651029,                651029,,,                 52627,,                110355,                162982,                488047,,,                 14502,,                 58355,,                 66415,                  6442,                494489,,                 43316,                451173,                451173,                451173,,                451173,                              0,,                451173,                              0,,                              1.38,,                              1.38,,,,
2545,2014年第2季,,              1459092,,                384805,              1074287,              1074287,,,                 66273,,                124561,                190834,                883453,,,                 20142,,                -34351,,                 60958,                -75167,                808286,,                 43716,                764570,                764570,                764570,,                764570,,,                764570,,,                              2.33,,                              2.33,,,,
2545,2014年度,,              4653847,,              1894925,              2758922,              2758922,,,                240984,,                488926,                729910,              2029012,,,                 60546,,                 88285,,                262387,               -113556,              1915456,,                 79827,              1835629,              1835629,              1835072,,              1835629,                              0,,              1835072,                              0,,                              5.60,,                              5.59,,                   -557,                   -557,
2545,2014年01月01日至2014年09月30日,,              2590541,,                820338,              1770203,              1770203,,,                170766,,                330794,                501560,              1268643,,,                 38642,,                 21009,,                193151,               -133500,              1135143,,                 91349,              1043794,              1043794,              1043794,,              1043794,                              0,,              1043794,                              0,,                              3.18,,                              3.18,,,,
2545,2014年01月01日至2014年06月30日,,              1546260,,                427086,              1119174,              1119174,,,                118139,,                220439,                338578,                780596,,,                 24140,,                -37346,,                126736,               -139942,                640654,,                 48033,                592621,                592621,                592621,,                592621,,,                592621,,,                              1.81,,                              1.81,,,,
