證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　 稀釋每股盈餘,　　 稀釋每股盈餘合計
1476,2015年第3季,,              6849175,,              4984506,              1864669,              1864669,,,                344684,,                228312,,                 33178,                606174,              1258495,,,                  2612,,                312660,,                  9215,,                   -109,                305948,              1564443,,                277072,              1287371,              1287371,,,                168392,                              0,                168392,                168392,              1455763,,              1287371,                              0,,              1455763,                              0,,                              4.93,,,,,
1476,2015年第2季,,              6498372,,              4684129,              1814243,              1814243,,,                287999,,                200937,,                 31607,                520543,              1293700,,,                  4477,,                -25425,,                  9033,,                  1497,                -28484,              1265216,,                273298,                991918,                991918,,,                -38669,                              0,                -38669,                -38669,                953249,,                991918,                              0,,                953249,                              0,,                              3.80,,,,,
1476,2015年01月01日至2015年09月30日,,             18275760,,             13238300,              5037460,              5037460,,,                888291,,                629854,,                 93960,              1612105,              3425355,,,                  8593,,                279973,,                 27480,,                  2260,                263346,              3688701,,                711262,              2977439,              2977439,,,                 99889,                              0,                 99889,                 99889,              3077328,,              2977439,                              0,,              3077328,                              0,,                             11.41,,,,,
1476,2015年01月01日至2015年06月30日,,             11426585,,              8253794,              3172791,              3172791,,,                543607,,                401542,,                 60782,              1005931,              2166860,,,                  5981,,                -32687,,                 18265,,                  2369,                -42602,              2124258,,                434190,              1690068,              1690068,,,                -68503,                              0,                -68503,                -68503,              1621565,,              1690068,                              0,,              1621565,                              0,,                              6.48,,,,,
1476,2015年01月01日至2015年03月31日,,              4928213,,              3569665,              1358548,              1358548,,,                255608,,                200605,,                 29175,                485388,                873160,,,                  1504,,                 -7262,,                  9232,,                    872,                -14118,                859042,,                160892,                698150,                698150,,,                -29834,                              0,                -29834,                -29834,                668316,,                698150,                              0,,                668316,                              0,,                              2.68,,,,,
1476,2014年第3季,,              5696793,,              4233748,              1463045,              1463045,,,                267623,,                180457,,                 29691,                477771,                985274,,,                  1072,,                 71471,,                  6480,,                  1886,                 67949,              1053223,,                187253,                865970,                865970,,,                 47401,                              0,                 47401,                 47401,                913371,,                865970,                              0,,                913371,                              0,,                              3.32,,,,,
1476,2014年第2季,,              4886323,,              3664452,              1221871,              1221871,,,                265871,,                180884,,                 27150,                473905,                747966,,,                  3606,,                  4443,,                  6961,,                    162,                  1250,                749216,,                190824,                558392,                558392,,,                -61936,                              0,                -61936,                -61936,                496456,,                557910,                    482,,                506824,                -10368,,                              2.14,,,,,
1476,2014年度,,             20842752,,             15371616,              5471136,              5471136,,,              1176395,,                680615,,                106999,              1964009,              3507127,,,                  6389,,                253689,,                 28799,,,                231279,              3738406,,                734185,              3004221,              3004221,,,,,,                112735,              3116956,,              3003519,                    702,,              3127068,                -10112,,                             11.51,                142278,                 -3518,                 26025,,
1476,2014年01月01日至2014年09月30日,,             15061492,,             11178246,              3883246,              3883246,,,                851929,,                480856,,                 80631,              1413416,              2469830,,,                  5343,,                148812,,                 19576,,                  2048,                136627,              2606457,,                523529,              2082928,              2082928,,,                 36976,                              0,                 36976,                 36976,              2119904,,              2082226,                    702,,              2130016,                -10112,,                              7.98,,,,,
1476,2014年01月01日至2014年06月30日,,              9364699,,              6944498,              2420201,              2420201,,,                584306,,                300399,,                 50940,                935645,              1484556,,,                  4271,,                 77341,,                 13096,,                    162,                 68678,              1553234,,                336276,              1216958,              1216958,,,                -10425,                              0,                -10425,                -10425,              1206533,,              1216256,                    702,,              1216645,                -10112,,                              4.66,,,,,
