證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損失之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　　 採用權益法認列之關聯企業及合資利益之份額
6282,2015年第3季,,,,              5384316,              5384316,                 16497,                    682,              5367137,              5367137,,,              4527946,              4527946,              4527946,                839191,                839191,,,                249584,,                157202,,                251240,                658026,                181165,,,,                 22220,                    638,                 22858,,                115483,                -11095,                    729,                              0,                -48792,                152451,,                    162,                    162,,                    949,                   -949,                174198,                355363,,                 62282,                293081,                293081,,,                              0,                              0,,                122087,,                  5893,                  7599,                120381,                120381,                413462,,                291115,                  1966,,                400233,                 13229,,                              0.56,,                              0.55,,,,,,
6282,2015年第2季,,,,              4986593,              4986593,                 18787,                  3381,              4964425,              4964425,,,              4219204,              4219204,              4219204,                745221,                745221,,,                234819,,                151610,,                253303,                639732,                105489,,,,                 29736,                  4062,                 33798,,,                134993,                    160,                 36980,                118137,                -20284,,                  1657,                  1657,,                  1847,                 -1847,                 10010,                115499,,                 14553,                100946,                100946,,,,,,                -38575,,                 -1144,                 -2618,                -37101,                -37101,                 63845,,                104339,                 -3393,,                 71332,                 -7487,,                              0.20,,                              0.20,,,,,,
6282,2015年01月01日至2015年09月30日,,,,             15597147,             15597147,                 41828,                  6615,             15548704,             15548704,,,             13204828,             13204828,             13204828,              2343876,              2343876,,,                728489,,                457388,,                761529,              1947406,                396470,,,,                 85676,                  9381,                 95057,,                 74027,                218684,                  2991,                              0,                145093,                144627,,                  6494,                  6494,,                  3728,                 -3728,                229462,                625932,,                116520,                509412,                509412,,,                              0,                              0,,                 56013,,                    427,                  3075,                 53365,                 53365,                562777,,                515214,                 -5802,,                564162,                 -1385,,                              0.98,,                              0.97,,,,,,
6282,2015年01月01日至2015年06月30日,,,,             10212831,             10212831,                 25331,                  5933,             10181567,             10181567,,,              8676882,              8676882,              8676882,              1504685,              1504685,,,                478905,,                300186,,                510289,              1289380,                215305,,,,                 63456,                  8743,                 72199,,,                229779,                  2262,                 41456,                193885,                 -7824,,                  6332,                  6332,,                  2779,                 -2779,                 55264,                270569,,                 54238,                216331,                216331,,,,,,                -66074,,                 -5466,                 -4524,                -67016,                -67016,                149315,,                224099,                 -7768,,                163929,                -14614,,                              0.43,,                              0.42,,,,,,
6282,2015年01月01日至2015年03月31日,,,,              5226238,              5226238,                  6545,                  2551,              5217142,              5217142,,,              4457678,              4457678,              4457678,                759464,                759464,,,                244086,,                148576,,                256986,                649648,                109816,,,,                 33720,                  4681,                 38401,,                              0,                 94786,                  2102,                  4476,                 75748,                 12460,,                  4675,                  4675,,                    932,                   -932,                 45254,                155070,,                 39685,                115385,                115385,,,,,,                -27499,,                 -4322,                 -1906,                -29915,                -29915,                 85470,,                119760,                 -4375,,                 92597,                 -7127,,                              0.23,,                              0.23,,,,,,
6282,2014年第3季,,,,              6350499,              6350499,                 61633,                    921,              6287945,              6287945,,,              5351567,              5351567,              5351567,                936378,                936378,,,                236062,,                168907,,                257124,                662093,                274285,,,,                 48925,                    546,                 49471,,                 47806,                 19617,                  1491,                              0,                 -4245,                 70177,,                  4453,                  4453,,                 -8170,                  8170,                123365,                397650,,                 81678,                315972,                315972,,,                              0,                              0,,                 60508,,                  3126,                  5398,                 58236,                 58236,                374208,,                314176,                  1796,,                365005,                  9203,,                              0.60,,                              0.59,,,,,,
6282,2014年第2季,,,,              6560270,              6560270,                 21589,                  2214,              6536467,              6536467,,,              5509838,              5509838,              5509838,              1026629,              1026629,,,                259814,,                157825,,                247819,                665458,                361171,,,,                 57121,                  8910,                 66031,,,                 52294,                  1860,                 32947,                 24551,                 -7064,,                  4220,                  4220,,                 12800,                -12800,                 41947,                403118,,                 76679,                326439,                326439,,,,,,                -46575,,                 -4342,                 -2837,                -48080,                -48080,                278359,,                322850,                  3589,,                281146,                 -2787,,                              0.62,,                              0.61,,,,,,
6282,2014年度,,,,             24197985,             24197985,                108312,                  4859,             24084814,             24084814,,,             20488919,             20488919,             20488919,              3595895,              3595895,,,              1019696,,                655910,,              1015537,              2691143,                904752,,,,                198745,                 95765,                294510,,                134235,                217417,                  7764,,                132095,                211793,,                 15731,                 15731,,                  7832,                 -7832,                482740,              1387492,,                283504,              1103988,              1103988,,,,,,,,,,,                 88559,              1192547,,              1100657,                  3331,,              1180208,                 12339,,                              2.11,,                              2.08,                105384,                -15374,,                  2630,                  4081,
6282,2014年01月01日至2014年09月30日,,,,             18248710,             18248710,                 94210,                  4197,             18150303,             18150303,,,             15386804,             15386804,             15386804,              2763499,              2763499,,,                733676,,                479893,,                742500,              1956069,                807430,,,,                160222,                 12012,                172234,,                 38687,                133809,                  3864,                              0,                 70525,                 98107,,                 11772,                 11772,,                  8913,                 -8913,                249656,              1057086,,                217211,                839875,                839875,,,                              0,                              0,,                 16588,,                 -1402,                  1532,                 13654,                 13654,                853529,,                841459,                 -1584,,                855218,                 -1689,,                              1.62,,                              1.59,,,,,,
6282,2014年01月01日至2014年06月30日,,,,             11898211,             11898211,                 32577,                  3276,             11862358,             11862358,,,             10035237,             10035237,             10035237,              1827121,              1827121,,,                497614,,                310986,,                485376,              1293976,                533145,,,,                111297,                 11466,                122763,,,                114192,                  2373,                  9119,                 74770,                 27930,,                  7319,                  7319,,                 17083,                -17083,                126291,                659436,,                135533,                523903,                523903,,,,,,                -43920,,                 -4528,                 -3866,                -44582,                -44582,                479321,,                527283,                 -3380,,                490213,                -10892,,                              1.01,,                              1.00,,,,,,
6282,2014年01月01日至2014年03月31日,,,,              5337941,              5337941,                 10987,                  1063,              5325891,              5325891,,,              4525399,              4525399,              4525399,                800492,                800492,,,                237800,,                153161,,                237557,                628518,                171974,,,,                 54176,                  2556,                 56732,,                 23828,                 61898,                    513,                              0,                 50219,                 34994,,                  3099,                  3099,,                  4283,                 -4283,                 84344,                256318,,                 58854,                197464,                197464,,,,,,                  2655,,                   -186,                 -1029,                  3498,                  3498,                200962,,                204433,                 -6969,,                209067,                 -8105,,                              0.39,,                              0.39,,,,,,
6282,2013年第3季,,,,              6461345,              6461345,                  9724,                  6429,              6445192,              6445192,,,              5464221,              5464221,              5464221,                980971,                980971,,,                283026,,                153903,,                237316,                674245,                306726,,,,                 39210,                    608,                 39818,,                              0,                195551,                    460,                 13823,                180465,                    803,,                    882,                    882,,                  5332,                 -5332,                 34407,                341133,,                 77970,                263163,                263163,,,,,,,,,,,                -28260,                234903,,                267316,                 -4153,,                243215,                 -8312,,                              0.52,,                              0.51,                -29770,,,                   -285,                 -1795,
6282,2013年第2季,,,,              6452067,              6452067,                  7406,                  6596,              6438065,              6438065,,,              5435537,              5435537,              5435537,              1002528,              1002528,,,                300576,,                146859,,                234617,                682052,                320476,,,,                 33670,                  2298,                 35968,,                 42469,                178337,                  3242,                              0,                154055,                 63509,,                  1715,                  1715,,                  1924,                 -1924,                 95838,                416314,,                 68802,                347512,                347512,,,,,,,,,,,                 34811,                382323,,                347160,                    352,,                376256,                  6067,,                              0.67,,                              0.66,                 35789,,,                  1493,                  2471,
6282,2013年度,,,,             24685438,             24685438,                 57543,                 33023,             24594872,             24594872,,,             20804851,             20804851,             20804851,              3790021,              3790021,,,              1078905,,                610918,,                950783,              2640606,              1149415,,,,                150753,                  8844,                159597,,                137484,                762643,                  6337,,                668385,                225405,,                  7268,                  7268,,                  5078,                 -5078,                372656,              1522071,,                276927,              1245144,              1245144,,,,,,,,,,,                106537,              1351681,,              1248173,                 -3029,,              1334928,                 16753,,                              2.42,,                              2.38,                107301,                   -331,,                  6032,                  6465,
6282,2013年07月01日至2013年09月30日,,,,              6461345,              6461345,                  9724,                  6429,              6445192,              6445192,,,              5464221,              5464221,              5464221,                980971,                980971,,,                283026,,                153903,,                237316,                674245,                306726,,,,                 39210,                    608,                 39818,,                -13823,                195551,                    460,,                180465,                    803,,                    882,                    882,,                  5332,                 -5332,                 34407,                341133,,                 77970,                263163,                263163,,,,,,,,,,,                -28260,                234903,,                267316,                 -4153,,                243215,                 -8312,,                              0.52,,                              0.51,                -29770,,,                   -285,                 -1795,
6282,2013年04月01日至2013年06月30日,,,,              6452067,              6452067,                  7406,                  6596,              6438065,              6438065,,,              5435537,              5435537,              5435537,              1002528,              1002528,,,                300576,,                146859,,                234617,                682052,                320476,,,,                 33670,                  2298,                 35968,,                 42469,                178337,                  3242,,                154055,                 63509,,                  1715,                  1715,,                  1924,                 -1924,                 95838,                416314,,                 68802,                347512,                347512,,,,,,,,,,,                 34811,                382323,,                347160,                    352,,                376256,                  6067,,                              0.67,,                              0.66,                 35789,,,                  1493,                  2471,
