證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 其他費用,　　　 推銷費用合計,　　 管理費用,　　　 其他費用[duplicate]20,　　　 管理費用合計,　　 研究發展費用,　　　 其他費用[duplicate]23,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 銀行存款利息,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 當期所得稅費用（利益）,　　 國外營運機構財務報表換算之兌換差額
5234,2015年第3季,,,,                845762,                845762,                845762,                845762,,,                637743,                637743,                637743,                208019,                208019,,,                 24820,                 24820,,                 36422,                 36422,,                 75217,                 75217,                136459,                 71560,,,,                  1223,                  1223,                    531,                  1754,,                              0,                 10291,                    -40,                              0,                  2014,                    944,                  3330,                  3963,,                  1490,                  1490,                  4227,                 75787,,                  9455,                  9455,                 66332,                 66332,,,                    326,                    326,                    326,                 66658,,                 66332,,                 66658,,                              0.71,,                              0.70,,
5234,2015年第2季,,,,                837675,                837675,                837675,                837675,,,                612680,                612680,                612680,                224995,                224995,,,                 27935,                 27935,,                 39153,                 39153,,                 83829,                 83829,                150917,                 74078,,,,                  1237,                  1237,                    766,                  2003,,,                    958,                    873,                              0,,                  3636,                    171,                 -1976,,                  1079,                  1079,                 -1052,                 73026,,                 10046,                 10046,                 62980,                 62980,,,                   -126,                   -126,                   -126,                 62854,,                 62980,,                 62854,,                              0.67,,                              0.66,,
5234,2015年01月01日至2015年09月30日,,,,              2530831,              2530831,              2530831,              2530831,,,              1858454,              1858454,              1858454,                672377,                672377,,,                 81401,                 81401,,                115001,                115001,,                236913,                236913,                433315,                239062,,,,                  3573,                  3573,                  1902,                  5475,,                              0,                 11881,                  1311,                              0,                  2014,                  6858,                  3474,                    846,,                  3832,                  3832,                  2489,                241551,,                 31588,                 31588,                209963,                209963,,,                    146,                    146,                    146,                210109,,                209963,,                210109,,                              2.25,,                              2.20,,
5234,2015年01月01日至2015年06月30日,,,,              1685069,              1685069,              1685069,              1685069,,,              1220711,              1220711,              1220711,                464358,                464358,,,                 56581,                 56581,,                 78579,                 78579,,                161696,                161696,                296856,                167502,,,,                  2350,                  2350,                  1371,                  3721,,,                  1590,                  1351,                              0,,                  5914,                    144,                 -3117,,                  2342,                  2342,                 -1738,                165764,,                 22133,                 22133,                143631,                143631,,,                   -180,                   -180,                   -180,                143451,,                143631,,                143451,,                              1.54,,                              1.51,,
5234,2015年01月01日至2015年03月31日,,,,                847394,                847394,                847394,                847394,,,                608031,                608031,                608031,                239363,                239363,,,                 28646,                 28646,,                 39426,                 39426,,                 77867,                 77867,                145939,                 93424,,,,                  1113,                  1113,                    605,                  1718,,,                    632,                    478,,,                  2278,                    -27,                 -1141,,                  1263,                  1263,                   -686,                 92738,,                 12087,                 12087,                 80651,                 80651,,,                    -54,                    -54,                    -54,                 80597,,                 80651,,                 80597,,                              0.86,,                              0.85,,
5234,2014年第3季,,,,                857293,                857293,                857293,                857293,,,                627123,                627123,                627123,                230170,                230170,,,                 25285,                 25285,,                 35279,                 35279,,                 81987,                 81987,                142551,                 87619,,,,                  1288,                  1288,                     20,                  1308,,                    144,                  2715,                   -132,                              0,                              0,                    126,                  1311,                  1290,,                  1008,                  1008,                  1590,                 89209,,                 11189,                 11189,                 78020,                 78020,,,                   -244,                   -244,                   -244,                 77776,,                 78020,,                 77776,,                              0.84,,                              0.83,,
5234,2014年第2季,,,,                806255,                806255,                806255,                806255,,,                600812,                600812,                600812,                205443,                205443,,,                 22033,                 22033,,                 35182,                 35182,,                 77427,                 77427,                134642,                 70801,,,,                  1534,                  1534,                              0,                  1534,,,                   -313,                    407,                    290,,                  1623,                   -398,                 -1421,,                    404,                    404,                   -291,                 70510,,                 10128,                 10128,                 60382,                 60382,,,                    -20,                    -20,                    -20,                 60362,,                 60382,,                 60362,,                              0.65,,                              0.63,,
5234,2014年度,,,,              3330925,              3330925,              3330925,              3330925,,,              2451974,              2451974,              2451974,                878951,                878951,,,                 93505,                 93505,,                136595,                136595,,                307915,                307915,                538015,                340936,,,,                  5379,                  5379,                    351,                  5730,,                    144,                 14160,                    249,,                              0,                  4554,                  4243,                  5756,,                  3413,                  3413,                  8073,                349009,,,                 45165,                303844,                303844,,,,,                   -292,                303552,,                303844,,                303552,,                              3.25,,                              3.18,                 45165,                   -292
5234,2014年01月01日至2014年09月30日,,,,              2438024,              2438024,              2438024,              2438024,,,              1809900,              1809900,              1809900,                628124,                628124,,,                 67641,                 67641,,                102063,                102063,,                228358,                228358,                398062,                230062,,,,                  4131,                  4131,                              0,                  4131,,                    144,                  6492,                    250,                    198,                              0,                  2369,                  2474,                  1845,,                  1830,                  1830,                  4146,                234208,,                 30805,                 30805,                203403,                203403,,,                    -85,                    -85,                    -85,                203318,,                203403,,                203318,,                              2.18,,                              2.14,,
5234,2014年01月01日至2014年06月30日,,,,              1580731,              1580731,              1580731,              1580731,,,              1182777,              1182777,              1182777,                397954,                397954,,,                 42356,                 42356,,                 66784,                 66784,,                146371,                146371,                255511,                142443,,,,                  2843,                  2843,                              0,                  2843,,,                  3777,                    382,                    218,,                  2243,                  1163,                    535,,                    822,                    822,                  2556,                144999,,                 19616,                 19616,                125383,                125383,,,                    159,                    159,                    159,                125542,,                125383,,                125542,,                              1.34,,                              1.31,,
