證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
2548,2015年第3季,,              1087118,,                618478,                468640,                468640,,,                 32884,,                104748,                137632,                331008,,,                 33028,,                 20794,,                 11573,,                    973,                 43222,                374230,,                 10632,                363598,                363598,,,                 73320,                              0,                  9971,                 63349,                 63349,                426947,,                360384,                  3214,,                409070,                 17877,,                              1.30,                              1.30,,                              1.30,                              1.30,,,,
2548,2015年第2季,,              1690567,,                798187,                892380,                892380,,,                 44371,,                110449,                154820,                737560,,,                 16618,,                  1328,,                 15795,,                    747,                  2898,                740458,,                 20792,                719666,                719666,,,                -25322,                              0,                 -3443,                -21879,                -21879,                697787,,                718243,                  1423,,                701428,                 -3641,,                              2.60,                              2.60,,                              2.59,                              2.59,,,,
2548,2015年01月01日至2015年09月30日,,              5362802,,              2638295,              2724507,              2724507,,,                124302,,                328412,                452714,              2271793,,,                 62745,,                 22076,,                 39855,,                  2102,                 47068,              2318861,,                 65780,              2253081,              2253081,,,                 30958,                              0,                  4210,                 26748,                 26748,              2279829,,              2245679,                  7402,,              2266236,                 13593,,                              8.12,                              8.12,,                              8.09,                              8.09,,,,
2548,2015年01月01日至2015年06月30日,,              4275684,,              2019817,              2255867,              2255867,,,                 91418,,                223664,                315082,              1940785,,,                 29717,,                  1282,,                 28282,,                  1129,                  3846,              1944631,,                 55148,              1889483,              1889483,,,                -42362,                              0,                 -5761,                -36601,                -36601,              1852882,,              1885295,                  4188,,              1857166,                 -4284,,                              6.82,                              6.82,,                              6.77,                              6.77,,,,
2548,2015年01月01日至2015年03月31日,,              2585117,,              1221630,              1363487,              1363487,,,                 47047,,                113215,                160262,              1203225,,,                  7373,,                  5680,,                 12487,,                    382,                    948,              1204173,,                 34356,              1169817,              1169817,,,                -17040,                              0,                 -2318,                -14722,                -14722,              1155095,,              1167052,                  2765,,              1155738,                   -643,,                              4.22,                              4.22,,                              4.20,                              4.20,,,,
2548,2014年第3季,,                711728,,                380368,                331360,                331360,,,                 57501,,                 92150,                149651,                181709,,,                 12879,,                -13176,,                 12857,,                    917,                -12237,                169472,,                 26096,                143376,                143376,,,                 59044,                   -996,                  8030,                 50018,                 50018,                193394,,                139934,                  3442,,                178143,                 15251,,                              0.51,                              0.51,,                              0.51,                              0.51,,,,
2548,2014年第2季,,                328757,,                240343,                 88414,                 88414,,,                 84227,,                 85047,                169274,                -80860,,,                 15046,,                 -3178,,                 19938,,                   -299,                 -8369,                -89229,,                160078,               -249307,               -249307,,,                -41613,                  1843,                 -5660,                -34110,                -34110,               -283417,,               -262045,                 12738,,               -287832,                  4415,,                             -0.95,                             -0.95,,                             -0.95,                             -0.95,,,,
2548,2014年度,,              6441828,,              4066682,              2375146,              2375146,,,                272366,,                406583,                678949,              1696197,,,                 78101,,                 11548,,                 73273,,                  1913,                 18289,              1714486,,                275547,              1438939,              1438939,,,,,,,                 54265,              1493204,,              1406208,                 32731,,              1448198,                 45006,,                              5.08,                              5.08,,                              5.06,                              5.06,                 61373,                  1625,                 -1665,                  7068
2548,2014年01月01日至2014年09月30日,,              1433317,,                895840,                537477,                537477,,,                184163,,                283755,                467918,                 69559,,,                 36234,,                 -9996,,                 54406,,                    617,                -27551,                 42008,,                212109,               -170101,               -170101,,,                  6268,                  1625,                    852,                  7041,                  7041,               -163060,,               -201789,                 31688,,               -196002,                 32942,,                             -0.73,                             -0.73,,                             -0.73,                             -0.73,,,,
2548,2014年01月01日至2014年06月30日,,                721589,,                515472,                206117,                206117,,,                126662,,                191605,                318267,               -112150,,,                 23355,,                  3180,,                 41549,,                   -300,                -15314,               -127464,,                186013,               -313477,               -313477,,,                -52776,                  2621,                 -7178,                -42977,                -42977,               -356454,,               -341723,                 28246,,               -374145,                 17691,,                             -1.24,                             -1.24,,                             -1.23,                             -1.23,,,,
2548,2014年01月01日至2014年03月31日,,                392832,,                275129,                117703,                117703,,,                 42435,,                106558,                148993,                -31290,,,                  3181,,                 11485,,                 21610,,                     -1,                 -6945,                -38235,,                 25935,                -64170,                -64170,,,                -11163,                    778,                 -1518,                 -8867,                 -8867,                -73037,,                -79678,                 15508,,                -86313,                 13276,,                             -0.29,                             -0.29,,                             -0.29,                             -0.29,,,,
2548,2013年第3季,,                108277,,                 71331,                 36946,                 36946,,,                 75536,,                 43866,                119402,                -82456,,,                  9572,,                 -2080,,                 12378,,                    177,                 -4709,                -87165,,                   -264,                -86901,                -86901,,,,,,,                -17943,               -104844,,                -84775,                 -2126,,                -98581,                 -6263,,                             -0.31,                             -0.31,,                             -0.31,                             -0.31,                -20687,                    -69,,                 -2813
2548,2013年第2季,,                205645,,                141558,                 64087,                 64087,,,                  8856,,                140558,                149414,                -85327,,,                  4709,,                  3958,,                  8786,,                     50,                    -69,                -85396,,                 26600,               -111996,               -111996,,,,,,,                 26470,                -85526,,               -109567,                 -2429,,                -89360,                  3834,,                             -0.40,                             -0.40,,                             -0.40,                             -0.40,                 31355,                   -620,,                  4265
2548,2013年度,,             10269414,,              6370890,              3898524,              3898524,,,                239466,,                404355,                643821,              3254703,,,                101857,,                 12406,,                 47976,,                  4205,                 70492,              3325195,,                194357,              3130838,              3130838,,,,,,,                 90495,              3221333,,              3065541,                 65297,,              3135440,                 85893,,                             11.08,                             11.08,,                             11.04,                             11.04,                102979,                   -512,                  2395,                 14367
