證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
9935,2015年第3季,,                789891,,                654415,                135476,                135476,,,                 56155,,                 46143,,                  6148,                108446,                 27030,,,                    266,,                 -5990,,                 15127,,                              0,                -20851,                  6179,,                  4667,                  1512,                  1512,,,                 50371,                  7079,                 43292,                 43292,                 44804,,                  1552,                    -40,,                 44734,                     70,,                              0.01,,                              0.01,,,
9935,2015年第2季,,                905787,,                778660,                127127,                127127,,,                 48906,,                 56609,,                  5918,                111433,                 15694,,,                    828,,                 27616,,                 14244,,,                 14200,                 29894,,                   -882,                 30776,                 30776,,,                -25807,                 -2914,                -22893,                -22893,                  7883,,                 30828,                    -52,,                  7980,                    -97,,                              0.22,,                              0.22,,,
9935,2015年01月01日至2015年09月30日,,              2483126,,              2096613,                386513,                386513,,,                155505,,                150925,,                 16221,                322651,                 63862,,,                  1920,,                 42660,,                 43186,,                              0,                  1394,                 65256,,                  9100,                 56156,                 56156,,,                 14457,                  2451,                 12006,                 12006,                 68162,,                 56273,                   -117,,                 68239,                    -77,,                              0.40,,                              0.40,,,
9935,2015年01月01日至2015年06月30日,,              1693235,,              1442198,                251037,                251037,,,                 99350,,                104782,,                 10073,                214205,                 36832,,,                  1654,,                 48650,,                 28059,,,                 22245,                 59077,,                  4433,                 54644,                 54644,,,                -35914,                 -4628,                -31286,                -31286,                 23358,,                 54721,                    -77,,                 23505,                   -147,,                              0.39,,                              0.39,,,
9935,2015年01月01日至2015年03月31日,,                787448,,                663538,                123910,                123910,,,                 50444,,                 48173,,                  4155,                102772,                 21138,,,                    826,,                 21034,,                 13815,,,                  8045,                 29183,,                  5315,                 23868,                 23868,,,                -10107,                 -1714,                 -8393,                 -8393,                 15475,,                 23893,                    -25,,                 15525,                    -50,,                              0.17,,                              0.17,,,
9935,2014年第3季,,                710003,,                628527,                 81476,                 81476,,,                 59033,,                 35469,,                 19048,                113550,                -32074,,,                    487,,                    157,,                 15258,,                              0,                -14614,                -46688,,                 -2645,                -44043,                -44043,,,                 16242,                  2754,                 13488,                 13488,                -30555,,                -44039,                     -4,,                -30617,                     62,,                             -0.34,,                             -0.34,,,
9935,2014年第2季,,                845150,,                738291,                106859,                106859,,,                 54034,,                 42975,,                  5250,                102259,                  4600,,,                  1350,,                 -3719,,                 16279,,,                -18648,                -14048,,                 14634,                -28682,                -28682,,,                -16388,                 -2778,                -13610,                -13610,                -42292,,                -28680,                     -2,,                -42242,                    -50,,                             -0.22,,                             -0.22,,,
9935,2014年度,,              2848502,,              2546333,                302169,                302169,,,                277582,,                158366,,                 38405,                474353,               -172184,,,                  3202,,                307115,,                 59191,,,                251126,                 78942,,                 13463,                 65479,                 65479,,,,,,                  4351,                 69830,,                 65513,                    -34,,                 69770,                     60,,                              0.50,,                              0.50,                    555,                  4667,                    871
9935,2014年01月01日至2014年09月30日,,              2179534,,              1935963,                243571,                243571,,,                209340,,                122841,,                 31727,                363908,               -120337,,,                  1840,,                342747,,                 45500,,                              0,                299087,                178750,,                  4846,                173904,                173904,,,                -38269,                 -6502,                -31767,                -31767,                142137,,                173938,                    -34,,                142168,                    -31,,                              1.34,,                              1.34,,,
9935,2014年01月01日至2014年06月30日,,              1469531,,              1307436,                162095,                162095,,,                150307,,                 87372,,                 12679,                250358,                -88263,,,                  1353,,                342590,,                 30242,,,                313701,                225438,,                  7491,                217947,                217947,,,                -54511,                 -9256,                -45255,                -45255,                172692,,                217977,                    -30,,                172785,                    -93,,                              1.68,,                              1.68,,,
9935,2014年01月01日至2014年03月31日,,                624381,,                569145,                 55236,                 55236,,,                 96273,,                 44397,,                  7429,                148099,                -92863,,,                      3,,                346309,,                 13963,,,                332349,                239486,,                 -7143,                246629,                246629,,,                -38123,                 -6478,                -31645,                -31645,                214984,,                246657,                    -28,,                215027,                    -43,,                              1.90,,                              1.90,,,
9935,2013年第3季,,                903886,,                808705,                 95181,                 95181,,,                 68953,,                 35700,,                  9977,                114630,                -19449,,,                  2145,,                 -1595,,                 24422,,                 -1185,                -25057,                -44506,,                  8330,                -52836,                -52836,,,,,,                -14434,                -67270,,                -52620,                   -216,,                -67025,                   -245,,                             -0.44,,                             -0.44,                -17384,,                 -2950
9935,2013年第2季,,                700343,,                536850,                163493,                163493,,,                 67759,,                 59970,,                  8673,                136402,                 27091,,,                  2149,,                -13586,,                 19356,,,                -30793,                 -3702,,                 -4593,                    891,                    891,,,,,,                 -5453,                 -4562,,                    847,                     44,,                 -4643,                     81,,                              0.01,,                              0.01,                 -6578,,                 -1125
9935,2013年度,,              3259316,,              3052171,                207145,                207145,,,                333568,,                234582,,                 34920,                603070,               -395925,,,                  9150,,                 -5480,,                 87100,,,                -83430,               -479355,,                -12249,               -467106,               -467106,,,,,,                 26721,               -440385,,               -467274,                    168,,               -440787,                    402,,                             -3.93,,                             -3.93,                 32636,                   -490,                  5425
9935,2013年07月01日至2013年09月30日,,                903886,,                808705,                 95181,                 95181,,,                 68953,,                 35700,,                  9977,                114630,                -19449,,,                  2145,,                 -1595,,                 24422,,                 -1185,                -25057,                -44506,,                  8330,                -52836,                -52836,,,,,,                -14434,                -67270,,                -52620,                   -216,,                -67025,                   -245,,                             -0.44,,                             -0.44,                -17384,,                 -2950
9935,2013年04月01日至2013年06月30日,,                840024,,                676531,                163493,                163493,,,                 67759,,                 59970,,                  8673,                136402,                 27091,,,                  2149,,                -13586,,                 19356,,,                -30793,                 -3702,,                 -4593,                    891,                    891,,,,,,                 -5453,                 -4562,,                    847,                     44,,                 -4643,                     81,,                              0.01,,                              0.01,                 -6578,,                 -1125
9935,2013年01月01日至2013年12月31日,,              3259316,,              3052171,                207145,                207145,,,                333568,,                234582,,                 34920,                603070,               -395925,,,                  9150,,                 -5480,,                 87100,,,                -83430,               -479355,,                -12249,               -467106,               -467106,,,,,,                 26721,               -440385,,               -467274,                    168,,               -440787,                    402,,                             -3.93,,                             -3.93,                 32636,                   -490,                  5425
9935,2013年01月01日至2013年09月30日,,              2443637,,              2116508,                327129,                327129,,,                196666,,                154278,,                 25107,                376051,                -48922,,,                  7590,,                -26354,,                 62648,,                 -1185,                -82597,               -131519,,                 -2542,               -128977,               -128977,,,,,,                 26932,               -102045,,               -128831,                   -146,,               -102081,                     36,,                             -1.08,,                             -1.08,                 32411,,                  5479
9935,2013年01月01日至2013年06月30日,,              1539751,,              1307803,                231948,                231948,,,                127713,,                118578,,                 15130,                261421,                -29473,,,                  5445,,                -24759,,                 38226,,,                -57540,                -87013,,                -10872,                -76141,                -76141,,,,,,                 41366,                -34775,,                -76211,                     70,,                -35056,                    281,,                             -0.64,,                             -0.64,                 49795,,                  8429
9935,2013年01月01日至2013年03月31日,,                839408,,                770953,                 68455,                 68455,,,                 59954,,                 58608,,                  6457,                125019,                -56564,,,                  3296,,                -11173,,                 18870,,,                -26747,                -83311,,                 -6279,                -77032,                -77032,,,,,,                 46819,                -30213,,                -77058,                     26,,                -30413,                    200,,                             -0.65,,                             -0.65,                 56373,,                  9554
9935,2012年07月01日至2012年09月30日,,              1122510,,                986414,                136096,                136096,,,                 68616,,                 33406,,                  5893,                107915,                 28181,,,                    735,,                  9656,,                 20564,,                              0,                -10173,                 18008,,                  6226,                 11782,                 11782,,,,,,                -12942,                 -1160,,                 14234,                 -2452,,                    663,                 -1823,,                              0.12,,                              0.12,                -15722,,                 -2780
9935,2012年04月01日至2012年06月30日,,                937178,,                775075,                162103,                162103,,,                 60089,,                 33318,,                  6272,                 99679,                 62424,,,                    506,,                -20283,,                 18567,,,                -38344,                 24080,,                 20103,                  3977,                  3977,,,,,,                   -416,                  3561,,                  1134,                  2843,,                  1331,                  2230,,                              0.01,,                              0.01,                   -375,,                     41
9935,2012年01月01日至2012年12月31日,,              3429203,,              2967027,                462176,                462176,,,                274012,,                133330,,                 25034,                432376,                 29800,,,                  7012,,                 11030,,                 80102,,,                -62060,                -32260,,                 35341,                -67601,                -67601,,,,,,                -35728,               -103329,,                -58958,                 -8643,,               -102277,                 -1052,,                             -0.50,,                             -0.50,                -38755,                 -5846,                 -8873
9935,2012年01月01日至2012年09月30日,,              2670806,,              2297955,                372851,                372851,,,                175265,,                103797,,                 17839,                296901,                 75950,,,                  1244,,                 24827,,                 59481,,                              0,                -33410,                 42540,,                 29486,                 13054,                 13054,,,,,,                -37509,                -24455,,                 15605,                 -2551,,                -20555,                 -3900,,                              0.13,,                              0.13,                -44915,,                 -7406
