證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
2387,2015年第3季,,              4530826,,              3901421,                629405,                629405,,,                108069,,                140217,,                 72274,                320560,                308845,,,                 16465,,                 76117,,                  4830,,                              0,                 87752,                396597,,                110257,                286340,                286340,,,                              0,                              0,,                442695,                              0,                              0,                442695,                442695,                729035,,                284536,                  1804,,                708047,                 20988,,                              0.81,                              0.81,,                              0.80,                              0.80,,,,
2387,2015年第2季,,              3924558,,              3514693,                409865,                409865,,,                113742,,                112983,,                 71490,                298215,                111650,,,                 24896,,                  7655,,                  3716,,                   -561,                 28274,                139924,,                112232,                 27692,                 27692,,,,,,               -139666,                              0,                              0,               -139666,               -139666,               -111974,,                 33641,                 -5949,,                -94308,                -17666,,                              0.10,                              0.10,,                              0.09,                              0.09,,,,
2387,2015年01月01日至2015年09月30日,,             12132224,,             10694866,              1437358,              1437358,,,                296349,,                384730,,                210101,                891180,                546178,,,                 56942,,                115947,,                 16363,,                 -1292,                155234,                701412,,                266221,                435191,                435191,,,                              0,                              0,,                210578,                              0,                              0,                210578,                210578,                645769,,                434100,                  1091,,                644678,                  1091,,                              1.23,                              1.23,,                              1.21,                              1.21,,,,
2387,2015年01月01日至2015年06月30日,,              7601398,,              6793445,                807953,                807953,,,                188280,,                244513,,                137827,                570620,                237333,,,                 40477,,                 39830,,                 11533,,                 -1292,                 67482,                304815,,                155964,                148851,                148851,,,,,,               -232117,                              0,                              0,               -232117,               -232117,                -83266,,                149564,                   -713,,                -63369,                -19897,,                              0.42,                              0.42,,                              0.42,                              0.42,,,,
2387,2015年01月01日至2015年03月31日,,              3676840,,              3278752,                398088,                398088,,,                 74538,,                131530,,                 66337,                272405,                125683,,,                 15581,,                 32175,,                  7817,,                   -731,                 39208,                164891,,                 43732,                121159,                121159,,,,,,                -92451,                              0,,                -92451,                -92451,                 28708,,                115923,                  5236,,                 30939,                 -2231,,                              0.33,                              0.33,,                              0.32,                              0.32,,,,
2387,2014年第3季,,              4681988,,              3985699,                696289,                696289,,,                 92858,,                196850,,                  8943,                298651,                397638,,,                 21606,,                -38260,,                 11024,,                 -1706,                -29384,                368254,,                128042,                240212,                240212,,,                              0,                              0,,                144163,                 11321,                              0,                155484,                155484,                395696,,                233783,                  6429,,                442108,                -46412,,                              0.66,                              0.66,,                              0.66,                              0.66,,,,
2387,2014年第2季,,              3722364,,              3272064,                450300,                450300,,,                 67473,,                 94026,,                112312,                273811,                176489,,,                 20293,,                 36287,,                 10748,,                   -942,                 44890,                221379,,                 30663,                190716,                190716,,,,,,               -164055,                              0,                              0,               -164055,               -164055,                 26661,,                187494,                  3222,,                 38360,                -11699,,                              0.53,                              0.53,,                              0.53,                              0.53,,,,
2387,2014年度,,             16300819,,             14131697,              2169122,              2169122,,,                335726,,                514928,,                267514,              1118168,              1050954,,,                 57324,,                -73656,,                 41755,,                 -6111,                -64198,                986756,,                262369,                724387,                724387,,,,,,,,,,                299650,              1024037,,                692107,                 32280,,              1039489,                -15452,,                              1.95,                              1.95,,                              1.94,                              1.94,                283505,                 13814,                  2809,                    478
2387,2014年01月01日至2014年09月30日,,             11714713,,             10189672,              1525041,              1525041,,,                234895,,                396851,,                205317,                837063,                687978,,,                 48335,,                -28475,,                 33842,,                 -2968,                -16950,                671028,,                174247,                496781,                496781,,,                              0,                              0,,                -28955,                 13814,                              0,                -15141,                -15141,                481640,,                476824,                 19957,,                534278,                -52638,,                              1.35,                              1.35,,                              1.33,                              1.33,,,,
2387,2014年01月01日至2014年06月30日,,              7032725,,              6203973,                828752,                828752,,,                142037,,                200001,,                196374,                538412,                290340,,,                 26729,,                  9785,,                 22818,,                 -1262,                 12434,                302774,,                 46205,                256569,                256569,,,,,,               -173118,                  2493,                              0,               -170625,               -170625,                 85944,,                243041,                 13528,,                 92170,                 -6226,,                              0.69,                              0.69,,                              0.68,                              0.68,,,,
2387,2014年01月01日至2014年03月31日,,              3310361,,              2931909,                378452,                378452,,,                 74564,,                105975,,                 84062,                264601,                113851,,,                  6436,,                -26502,,                 12070,,                   -320,                -32456,                 81395,,                 15542,                 65853,                 65853,,,,,,                 -9063,                  2493,,                 -6570,                 -6570,                 59283,,                 55547,                 10306,,                 53810,                  5473,,                              0.16,                              0.16,,                              0.16,                              0.16,,,,
