證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
5203,2015年第3季,,                457954,,                 70355,                387599,                 14332,                373267,,,                113115,,                 33029,,                 95678,                241822,                131445,,,                 28789,,                104431,,                -57800,                 75420,                206865,,                 41339,                165526,                165526,,,                 60730,,                 16302,                 77032,                 77032,                242558,,                165526,,                242558,,                              1.66,                              1.66,,                              1.64,                              1.64,,,
5203,2015年第2季,,                462523,,                 64400,                398123,,                398123,,,                129591,,                 33500,,                102996,                266087,                132036,,,                 54629,,                -21116,,                -12259,                 21254,                153290,,                 27485,                125805,                125805,,,                -15363,,                 -7697,                -23060,                -23060,                102745,,                125805,,                102745,,                              1.25,                              1.25,,                              1.24,                              1.24,,,
5203,2015年01月01日至2015年09月30日,,              1405685,,                204463,              1201222,                 14332,              1186890,,,                378844,,                101200,,                313112,                793156,                393734,,,                106599,,                 56063,,                -70059,                 92603,                486337,,                 87337,                399000,                399000,,,                 28959,,                  8605,                 37564,                 37564,                436564,,                399000,,                436564,,                              3.98,                              3.98,,                              3.92,                              3.92,,,
5203,2015年01月01日至2015年06月30日,,                947731,,                134108,                813623,,                813623,,,                265729,,                 68171,,                217434,                551334,                262289,,,                 77810,,                -48368,,                -12259,                 17183,                279472,,                 45998,                233474,                233474,,,                -31771,,                 -7697,                -39468,                -39468,                194006,,                233474,,                194006,,                              2.33,                              2.33,,                              2.30,                              2.30,,,
5203,2015年01月01日至2015年03月31日,,                485208,,                 69708,                415500,,                415500,,,                136138,,                 34671,,                114438,                285247,                130253,,,                 23181,,                -27252,,,                 -4071,                126182,,                 18513,                107669,                107669,,,                -16408,,,                -16408,                -16408,                 91261,,                107669,,                 91261,,                              1.07,                              1.07,,                              1.06,                              1.06,,,
5203,2014年第3季,,                539304,,                 77185,                462119,                              0,                462119,,,                130214,,                 45781,,                123782,                299777,                162342,,,                 25335,,                 47883,,                              0,                 73218,                235560,,                 51866,                183694,                183694,,,                 -2005,,                              0,                 -2005,                 -2005,                181689,,                183694,,                181689,,                              1.83,                              1.83,,                              1.82,                              1.82,,,
5203,2014年第2季,,                570798,,                 76580,                494218,,                494218,,,                132482,,                 58888,,                115973,                307343,                186875,,,                 27387,,                -47275,,                              0,                -19888,                166987,,                 34806,                132181,                132181,,,                -13390,,                              0,                -13390,                -13390,                118791,,                132181,,                118791,,                              1.32,                              1.32,,                              1.31,                              1.31,,,
5203,2014年度,,              2222549,,                310352,              1912197,,              1912197,,,                545129,,                190265,,                500967,              1236361,                675836,,,                 98885,,                108891,,,                207776,                883612,,                176635,                706977,                706977,,,,,,,                 10225,                717202,,                706977,,                717202,,                              7.06,                              7.06,,                              6.93,                              6.93,                 15512,                 -6370,                 -1083
5203,2014年01月01日至2014年09月30日,,              1655659,,                236411,              1419248,                              0,              1419248,,,                396196,,                148940,,                375441,                920577,                498671,,,                 75424,,                 37589,,                              0,                113013,                611684,,                123619,                488065,                488065,,,                  3447,,                              0,                  3447,                  3447,                491512,,                488065,,                491512,,                              4.87,                              4.87,,                              4.80,                              4.80,,,
5203,2014年01月01日至2014年06月30日,,              1116355,,                159226,                957129,,                957129,,,                265982,,                103159,,                251659,                620800,                336329,,,                 50089,,                -10294,,                              0,                 39795,                376124,,                 71753,                304371,                304371,,,                  5452,,                              0,                  5452,                  5452,                309823,,                304371,,                309823,,                              3.04,                              3.04,,                              3.00,                              3.00,,,
5203,2014年01月01日至2014年03月31日,,                545557,,                 82646,                462911,,                462911,,,                133500,,                 44271,,                135686,                313457,                149454,,,                 22702,,                 36981,,,                 59683,                209137,,                 36947,                172190,                172190,,,                 18842,,,                 18842,                 18842,                191032,,                172190,,                191032,,                              1.72,                              1.72,,                              1.69,                              1.69,,,
5203,2013年第3季,,                658094,,                115856,                542238,,                542238,,,                132110,,                 51572,,                132541,                316223,                226015,,,                 17721,,                -18918,,,                 -1197,                224818,,                 61210,                163608,                163608,,,,,,,                 -8566,                155042,,                163608,,                155042,,                              1.64,                              1.64,,                              1.62,                              1.62,                 -8566,                              0,                              0
5203,2013年第2季,,                628183,,                114518,                513665,,                513665,,,                137193,,                 42572,,                136573,                316338,                197327,,,                 16789,,                  7661,,,                 24450,                221777,,                 67531,                154246,                154246,,,,,,,                   -492,                153754,,                154246,,                153754,,                              1.54,                              1.54,,                              1.54,                              1.54,                   -492,                              0,                              0
