證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 其他綜合損益
2104,2015年第3季,,              4263582,,              3307026,                956556,                956556,,,                127522,,                185952,,                100607,                414081,                542475,,,                372071,,               -212982,,                 80961,                 78128,                620603,,                334178,                286425,                286425,,,                390016,             -1008685,               -618669,               -618669,               -332244,,                338108,                -51683,,               -334605,                  2361,,                              0.58,                              0.58,,                              0.58,                              0.58,,,,,,,,,,,
2104,2015年第2季,,              4256717,,              3420489,                836228,                836228,,,                111654,,                180367,,                113467,                405488,                430740,,,                 27131,,                  6374,,                 87581,                -54076,                376664,,                276770,                 99894,                 99894,,,                -90879,               -645690,               -736569,               -736569,               -636675,,                100125,                   -231,,               -625693,                -10982,,                              0.18,                              0.18,,                              0.18,                              0.18,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,,
2104,2015年01月01日至2015年09月30日,,             13148318,,             10339897,              2808421,              2808421,,,                340922,,                558455,,                323407,              1222784,              1585637,,,                425537,,               -251658,,                257210,                -83331,              1502306,,                936951,                565355,                565355,,,                216313,             -1642744,             -1426431,             -1426431,               -861076,,                651832,                -86477,,               -811788,                -49288,,                              1.11,                              1.11,,                              1.11,                              1.11,,,,,,,,,,,
2104,2015年01月01日至2015年06月30日,,              8884736,,              7032871,              1851865,              1851865,,,                213400,,                372503,,                222800,                808703,              1043162,,,                 53466,,                -38676,,                176249,               -161459,                881703,,                602773,                278930,                278930,,,               -173703,               -634059,               -807762,               -807762,               -528832,,                313724,                -34794,,               -477183,                -51649,,                              0.58,                              0.58,,                              0.58,                              0.58,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,,
2104,2015年01月01日至2015年03月31日,,              4628019,,              3612382,              1015637,              1015637,,,                101746,,                192136,,                109333,                403215,                612422,,,                 26335,,                -45050,,                 88668,               -107383,                505039,,                326003,                179036,                179036,,,                -82824,                 11631,                -71193,                -71193,                107843,,                213599,                -34563,,                148510,                -40667,,                              0.40,                              0.40,,                              0.40,                              0.40,,,,,,,,,,,
2104,2014年第3季,,              5564009,,              4778561,                785448,                785448,,,                114382,,                222231,,                107408,                444021,                341427,,,                373779,,              1845793,,                 93020,              2126552,              2467979,,                336711,              2131268,              2131268,,,                125514,               -164441,                -38927,                -38927,              2092341,,              2114053,                 17215,,              2063268,                 29073,,                              3.60,                              3.60,,                              3.60,                              3.60,,,,,,,,,,,
2104,2014年第2季,,              5841345,,              4809440,              1031905,              1031905,,,                115305,,                211748,,                109926,                436979,                594926,,,                 20662,,                 -4324,,                 93482,                -77144,                517782,,                325587,                192195,                192195,,,               -137838,                 44814,                -93024,                -93024,                 99171,,                189446,                  2749,,                108767,                 -9596,,                              0.35,                              0.35,,                              0.35,                              0.35,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,,
2104,2014年度,,             22004569,,             18288151,              3716418,              3716418,,,                446124,,                867577,,                443353,              1757054,              1959364,,,                433024,,              1784647,,                361902,              1855769,              3815133,,              1289134,              2525999,              2525999,,,,,,                -57741,              2468258,,              2565452,                -39453,,              2489350,                -21092,,                              4.76,                              4.76,,                              4.76,                              4.76,,,,,,,,,                388697,               -387510,                -58928
2104,2014年01月01日至2014年09月30日,,             16872945,,             14128513,              2744432,              2744432,,,                335082,,                614036,,                318461,              1267579,              1476853,,,                415912,,              1823339,,                276690,              1962561,              3439414,,                919944,              2519470,              2519470,,,                104830,                 82753,                187583,                187583,              2707053,,              2502740,                 16730,,              2682408,                 24645,,                              4.26,                              4.26,,                              4.26,                              4.26,,,,,,,,,,,
2104,2014年01月01日至2014年06月30日,,             11308936,,              9349952,              1958984,              1958984,,,                220700,,                391805,,                211053,                823558,              1135426,,,                 42133,,                -22454,,                183670,               -163991,                971435,,                583233,                388202,                388202,,,                -20684,                247194,                226510,                226510,                614712,,                388687,                   -485,,                619140,                 -4428,,                              0.72,                              0.72,,                              0.72,                              0.72,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,,
