證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營建工程收入,　　　 營建工程收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營建工程成本,　　　 營建工程成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 其他收入－其他,　　　 廉價購買利益,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 備供出售金融資產未實現評價損益,　　 其他綜合損益
1444,2015年第3季,,,              2445694,,                  5469,              2451163,,,              2344081,,                  2642,              2346723,                104440,                              0,                    329,                104769,,,                 63853,,                 48861,,                 11176,                123890,                -19121,,,                 33047,,                122391,,                 10025,,                 34822,                180235,                161114,,                 18878,                142236,                142236,,,                  1977,,               -133567,               -131590,               -131590,                 10646,,                135760,                  6476,,                 10603,                     43,,                              0.14,                              0.14,,                              0.14,                              0.14,,,,,,,,
1444,2015年第2季,,,              2667885,,                  7022,              2674907,,,              2467858,,                  2867,              2470725,                204182,                              0,                     72,                204254,,,                 74162,,                 42131,,                 10717,                127010,                 77244,,,                 21761,,                -35899,,                  7986,,                 52159,                 30035,                107279,,                 -7417,                114696,                114696,,,                   -689,,                 54159,                 53470,                 53470,                168166,,                111484,                  3212,,                159609,                  8557,,                              0.12,                              0.12,,                              0.12,                              0.12,,,,,,,,
1444,2015年01月01日至2015年09月30日,,,              7870082,,                 15949,              7886031,,,              7288130,,                  7149,              7295279,                590752,                              0,                    233,                590985,,,                206180,,                134522,,                 31837,                372539,                218446,,,                 71223,,                 57595,,                 24119,,                 63335,                168034,                386480,,                 40125,                346355,                346355,,,                    772,,               -129340,               -128568,               -128568,                217787,,                343262,                  3093,,                215592,                  2195,,                              0.36,                              0.36,,                              0.36,                              0.36,,,,,,,,
1444,2015年01月01日至2015年06月30日,,,              5424388,,                 10480,              5434868,,,              4944049,,                  4507,              4948556,                486312,                     96,                              0,                486216,,,                142327,,                 85663,,                 20661,                248651,                237565,,,                 38177,,                -64796,,                 14093,,                 28513,                -12199,                225366,,                 21247,                204119,                204119,,,                 -1205,,                  4227,                  3022,                  3022,                207141,,                207502,                 -3383,,                204989,                  2152,,                              0.22,                              0.22,,                              0.22,                              0.22,,,,,,,,
1444,2015年01月01日至2015年03月31日,,,              2756503,,                  3458,              2759961,,,              2476191,,                  1640,              2477831,                282130,                    168,                              0,                281962,,,                 68165,,                 43532,,                  9944,                121641,                160321,,,                 16416,,                -28897,,                  6107,,                -23646,                -42234,                118087,,                 28664,                 89423,                 89423,,,                   -516,,                -49932,                -50448,                -50448,                 38975,,                 96018,                 -6595,,                 45380,                 -6405,,                              0.10,                              0.10,,                              0.10,                              0.10,                 16416,,,,,,,
1444,2014年第3季,,,              2805170,,                    732,              2805902,,,              2750598,,                    531,              2751129,                 54773,                    107,                              0,                 54666,,,                 70862,,                 42458,,                  9681,                123001,                -68335,,,                 26825,,                 40715,,                  7843,,                 97196,                156893,                 88558,,                 -3867,                 92425,                 92425,,,                    733,,               -109212,               -108479,               -108479,                -16054,,                 84051,                  8374,,                -17914,                  1860,,                              0.09,                              0.09,,                              0.09,                              0.09,,,,,,,,
1444,2014年第2季,,,              3102362,,                  1836,              3104198,,,              2973047,,                    946,              2973993,                130205,                              0,                    367,                130572,,,                 89513,,                 55377,,                 11457,                156347,                -25775,,,                 18548,,                -12706,,                  7212,,                 22642,                 21272,                 -4503,,                 29695,                -34198,                -34198,,,                   -753,,                -69877,                -70630,                -70630,               -104828,,                -30267,                 -3931,,                -96122,                 -8706,,                             -0.03,                             -0.03,,                             -0.03,                             -0.03,,,,,,,,
1444,2014年度,,,             11528105,,                  4814,             11532919,,,             11022363,,                 30797,             11053160,                479759,                              0,                     89,                479848,,,                307517,,                183405,,                 43215,                534137,                -54289,,,                 92260,,                 95315,,                 27791,,                181032,                340816,                286527,,                 54588,                231939,                231939,,,,,,,               -204691,                 27248,,                216818,                 15121,,                 27989,                   -741,,                              0.23,                              0.23,,                              0.23,                              0.23,                 92260,                              0,                  2644,                 -6113,,               -201222,,
1444,2014年01月01日至2014年09月30日,,,              8648832,,                  4814,              8653646,,,              8307195,,                  2570,              8309765,                343881,                              0,                    323,                344204,,,                229020,,                143318,,                 33806,                406144,                -61940,,,                 63776,,                 40712,,                 20663,,                180530,                264355,                202415,,                 38329,                164086,                164086,,,                    788,,               -205325,               -204537,               -204537,                -40451,,                149251,                 14835,,                -43012,                  2561,,                              0.16,                              0.16,,                              0.16,                              0.16,,,,,,,,
1444,2014年01月01日至2014年06月30日,,,              5843662,,                  4082,              5847744,,,              5556597,,                  2039,              5558636,                289108,                              0,                    430,                289538,,,                158158,,                100860,,                 24125,                283143,                  6395,,,                 36951,,                     -3,,                 12820,,                 83334,                107462,                113857,,                 42196,                 71661,                 71661,,,                     55,,                -96113,                -96058,                -96058,                -24397,,                 65200,                  6461,,                -25098,                    701,,                              0.07,                              0.07,,                              0.07,                              0.07,,,,,,,,
