證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 處分投資損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 減損損失,　　　　 不動產、廠房及設備減損損失,　　　　 減損損失合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 透過損益按公允價值衡量之金融資產（負債）損失
9921,2015年第3季,,             17108530,,             13448028,              3660502,              3660502,,,              1680008,,                490523,,                188527,              2359058,              1301444,,,,                 56224,                  2250,                 46788,                105262,,                311729,                  1021,                   -465,                  2734,                              0,                310481,,                 35383,                 35383,,                  1373,                381733,              1683177,,                468504,              1214673,              1214673,,,                776587,                -13392,                130644,                632551,                632551,              1847224,,              1214144,                    529,,              1843629,                  3595,,                              3.24,,                              3.24,,,,,,,,
9921,2015年第2季,,             15614462,,             12099532,              3514930,              3514930,,,              1509819,,                380461,,                203347,              2093627,              1421303,,,,                 52752,,                 34784,                 87536,,                -57081,                 -2745,                  5866,                 14599,                142541,               -222832,,                 34301,                 34301,,                 -2645,               -172242,              1249061,,                406582,                842479,                842479,,,                -68039,                -10516,                 -6234,                -72321,                -72321,                770158,,                835641,                  6838,,                769271,                    887,,                              2.22,,                              2.22,,,,,,,,
9921,2015年01月01日至2015年09月30日,,             47309960,,             36834221,             10475739,             10475739,,,              4555302,,              1275380,,                581031,              6411713,              4064026,,,,                166474,                  2250,                125116,                293840,,                 48171,                  2803,                 10334,                 22811,                142541,               -124712,,                106550,                106550,,                 -3592,                 58986,              4123012,,              1108630,              3014382,              3014382,,,                 53720,                  5102,                 14079,                 44743,                 44743,              3059125,,              2997024,                 17358,,              3050442,                  8683,,                              7.99,,                              7.99,,,,,,,,
9921,2015年01月01日至2015年06月30日,,             30201430,,             23386193,              6815237,              6815237,,,              2875294,,                784857,,                392504,              4052655,              2762582,,,,                110250,,                 78328,                188578,,               -263558,                  1782,                 10799,                 20077,                142541,               -435193,,                 71167,                 71167,,                 -4965,               -322747,              2439835,,                640126,              1799709,              1799709,,,               -722867,                 18494,               -116565,               -587808,               -587808,              1211901,,              1782880,                 16829,,              1206813,                  5088,,                              4.75,,                              4.75,,,,,,,,
9921,2015年01月01日至2015年03月31日,,             14586968,,             11286661,              3300307,              3300307,,,              1365475,,                404396,,                189157,              1959028,              1341279,,,,                 57498,,                 43544,                101042,,               -206477,                  4527,                  4933,                  5478,,               -212361,,                 36866,                 36866,,                 -2320,               -150505,              1190774,,                233544,                957230,                957230,,,               -654828,                 29010,               -110331,               -515487,               -515487,                441743,,                947239,                  9991,,                437542,                  4201,,                              2.53,,                              2.53,,,,,,,,
9921,2014年第3季,,             16697213,,             13047154,              3650059,              3650059,,,              1671387,,                501261,,                178707,              2351355,              1298704,,,,                 72873,                              0,                 76404,                149277,,                  9447,                 12208,                   -949,                  4812,                              0,                 17792,,                 31056,                 31056,,                  3142,                139155,              1437859,,                292826,              1145033,              1145033,,,                 43133,                  9460,                  9936,                 42657,                 42657,              1187690,,              1149760,                 -4727,,              1203278,                -15588,,                              3.07,,                              3.07,,,,,,,,
9921,2014年第2季,,             15138048,,             11552813,              3585235,              3585235,,,              1439171,,                399856,,                206738,              2045765,              1539470,,,,                 71480,,                 62816,                134296,,                -65214,                  7673,                  2885,                  9432,                              0,                -69858,,                 33373,                 33373,,                   -149,                 30916,              1570386,,                708481,                861905,                861905,,,               -309457,                     29,                -57779,               -251649,               -251649,                610256,,                859332,                  2573,,                609429,                    827,,                              2.29,,                              2.29,,,,,,,,
9921,2014年度,,             60045290,,             46547389,             13497901,             13497901,,,              5809025,,              2001556,,                764104,              8574685,              4923216,,,,                280134,,                288940,                569074,,                243322,,                 10272,                 22221,,                208547,,,                124133,,,                653488,              5576704,,              1470373,              4106331,              4106331,,,,,,,                116178,              4222509,,              4112125,                 -5794,,              4240954,                -18445,,                             10.96,,                             10.96,,                  2282,                  2282,                125444,                   -261,                 -4215,                  4790,
9921,2014年01月01日至2014年09月30日,,             46034916,,             35678344,             10356572,             10356572,,,              4527497,,              1227007,,                561354,              6315858,              4040714,,,,                203427,                              0,                199192,                402619,,                 35676,                 11996,                  2526,                 16725,                              0,                 28421,,                 98360,                 98360,,                 -1481,                331199,              4371913,,              1298906,              3073007,              3073007,,,               -161347,                  9529,                -44308,               -107510,               -107510,              2965497,,              3069190,                  3817,,              2967379,                 -1882,,                              8.18,,                              8.18,,,,,,,,
9921,2014年01月01日至2014年06月30日,,             29337703,,             22631190,              6706513,              6706513,,,              2742179,,                839649,,                382675,              3964503,              2742010,,,,                130554,,                122788,                253342,,                 26229,                   -212,                  3475,                 11913,                              0,                 10629,,                 67304,                 67304,,                 -4623,                192044,              2934054,,              1006080,              1927974,              1927974,,,               -204480,                     69,                -54244,               -150167,               -150167,              1777807,,              1919430,                  8544,,              1764101,                 13706,,                              5.12,,                              5.12,,,,,,,,
9921,2014年01月01日至2014年03月31日,,             14199655,,             11078377,              3121278,              3121278,,,              1303008,,                439793,,                175937,              1918738,              1202540,,,,                 59074,,                 59972,                119046,,                 91443,                 -7885,                    590,                  2481,,                 80487,,                 33931,                 33931,,                 -4474,                161128,              1363668,,                297599,              1066069,              1066069,,,                104977,                     40,                  3535,                101482,                101482,              1167551,,              1060098,                  5971,,              1154672,                 12879,,                              2.83,,                              2.83,,,,,,,,
9921,2013年第3季,,             14911472,,             11767215,              3144257,              3144257,,,              1358667,,                453485,,                170372,              1982524,              1161733,,,,                 61747,,                 36076,                 97823,,                -23248,                -13581,                  1098,                    324,,                -38251,,                 31217,                 31217,,                   -386,                 27969,              1189702,,                272823,                916879,                916879,,,,,,,                -59236,                857643,,                926390,                 -9511,,                865994,                 -8351,,                              2.47,,                              2.47,,,,                -59203,                    -33,,                              0,
9921,2013年第2季,,             13954098,,             10970707,              2983391,              2983391,,,              1214719,,                431776,,                170665,              1817160,              1166231,,,,                 66785,,                 44177,                110962,,                 -7896,                 10988,                  1473,                  6967,,                 -5348,,                 36537,                 36537,,                  1368,                 70445,              1236676,,                404856,                831820,                831820,,,,,,,                117976,                949796,,                831229,                    591,,                960073,                -10277,,                              2.22,,                              2.22,,,,                117920,                     56,,                              0,
9921,2013年度,,             54391855,,             42708106,             11683749,             11683749,,,              5211155,,              1619070,,                704207,              7534432,              4149317,,,,                250413,,                232566,                482979,,                122717,,                  9422,                 27991,,                 12134,,,                139220,,,                355893,              4505210,,              1061858,              3443352,              3443352,,,,,,,                674832,              4118184,,              3504722,                -61370,,              4211118,                -92934,,                              9.34,,                              9.34,,                 73170,                 73170,                687836,                    -16,                 31491,                 44479,
9921,2013年07月01日至2013年09月30日,,             14911472,,             11767215,              3144257,              3144257,,,              1358667,,                453485,,                170372,              1982524,              1161733,,,,                 61747,,                 35690,                 97437,,                -23210,                -13619,                  1098,                    324,,                -38251,,                 31217,                 31217,,,                 27969,              1189702,,                272823,                916879,                916879,,,,,,,                -59236,                857643,,                926390,                 -9511,,                865994,                 -8351,,                              2.47,,                              2.47,,,,                -59203,                    -33,,,
9921,2013年04月01日至2013年06月30日,,             13954098,,             10970707,              2983391,              2983391,,,              1214719,,                431776,,                170665,              1817160,              1166231,,,,                 66785,,                 38427,                105212,,                 -7655,                 17865,                  1473,                  6967,,                  1770,,                 36537,                 36537,,,                 70445,              1236676,,                404856,                831820,                831820,,,,,,,                117976,                949796,,                831229,                    591,,                960073,                -10277,,                              2.22,,                              2.22,,,,                117920,                     56,,,                              0
9921,2013年01月01日至2013年12月31日,,             54391855,,             42708106,             11683749,             11683749,,,              5211155,,              1619070,,                704207,              7534432,              4149317,,,,                250413,,                232566,                482979,,                122717,,                  9422,                 27991,,                 12134,,,                139220,,,                355893,              4505210,,              1061858,              3443352,              3443352,,,,,,,                674832,              4118184,,              3504722,                -61370,,              4211118,                -92934,,                              9.34,,                              9.34,,                 73170,                 73170,                687836,                    -16,                 31491,                 44479,
