證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營建工程收入,　　　 營建工程收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營建工程成本,　　　 營建工程成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 銀行存款利息,　　　　 利息收入合計,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 外幣兌換利益,　　　 什項支出,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 共同控制下前手權益（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 外幣兌換損失,　　　 利息費用,　　　 採用權益法認列之關聯企業及合資利益之份額,　　　 減損損失,　　　　 無形資產減損損失,　　　　 減損損失合計,　　　 採用權益法認列之關聯企業及合資損失之份額,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 工程收入,　　　　 工程收入淨額,　　　 銷貨成本,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）,　　 其他營業收入,　　　 其他營業收入淨額
4755,2015年第3季,,,                835931,,                 69565,                905496,,,                716810,,                 69387,                786197,                119299,                119299,,,                 39951,,                 26675,,                  4987,                 71613,                 47686,,,,                    155,                    155,                  1605,                  5602,                  7362,,                              0,                  3244,                 16570,                              0,                 19814,,                    368,,                 -1578,                 25230,                 72916,,                 12323,                 60593,                 60593,,,                 16791,                 42536,                  7231,                 52096,                 52096,                112689,,                 60593,                              0,                              0,,                112689,,                              0.68,,                              0.67,,,,,,,,,,,,,,,,,
4755,2015年第2季,,,                837170,,                  1615,                838785,,,                719147,,                  1190,                720337,                118448,                118448,,,                 36994,,                 24740,,                  5688,                 67422,                 51026,,,,                    257,                    257,,                  6117,                  6374,,                     11,                              0,                              0,                              0,                 -3500,,                    406,,                  6815,                  9283,                 60309,,                 14425,                 45884,                 45884,,,                 -4712,,,                 -4712,                 -4712,                 41172,,                 45884,                              0,                              0,,                 41172,,                              0.51,,                              0.51,                  3511,,,,,,,,,,,,,,,,
4755,2015年01月01日至2015年09月30日,,,              2493378,,                131041,              2624419,,,              2168210,,                132061,              2300271,                324148,                324148,,,                116826,,                 72320,,                 15288,                204434,                119714,,,,                    588,                    588,                  1605,                 16878,                 19071,,                     11,                  3516,                 15354,                              0,                 18881,,                  1622,,                 17516,                 53846,                173560,,                 31449,                142111,                142111,,,                  6431,                 42536,                  7231,                 41736,                 41736,                183847,,                142111,                              0,                              0,,                183847,,                              1.59,,                              1.57,,,,,,,,,,,,,,,,,
4755,2015年01月01日至2015年06月30日,,,              1657447,,                 61476,              1718923,,,              1451400,,                 62674,              1514074,                204849,                204849,,,                 76875,,                 45645,,                 10301,                132821,                 72028,,,,                    433,                    433,,                 11276,                 11709,,                     11,                    272,                              0,                              0,                   -933,,                  1254,,                 19094,                 28616,                100644,,                 19126,                 81518,                 81518,,,                -10360,,,                -10360,                -10360,                 71158,,                 81518,                              0,                              0,,                 71158,,                              0.91,,                              0.90,                  1216,,,,,,,,,,,,,,,,
4755,2015年01月01日至2015年03月31日,,,                820277,,                 59861,                880138,,,                732253,,                 61484,                793737,                 86401,                 86401,,,                 39881,,                 20905,,                  4613,                 65399,                 21002,,,,,                    176,                              0,                  5159,                  5335,,                              0,                    272,                  2295,                              0,                  2567,,                    848,,                 12279,                 19333,                 40335,,                  4701,                 35634,                 35634,,,                 -5648,,,                 -5648,                 -5648,                 29986,,                 35634,,,,                 29986,,                              0.40,,                              0.39,                              0,                    848,                 12279,,,,,,,,,,,,,,
4755,2014年第3季,,,                807711,,                 20840,                828551,,,                731795,,                 20840,                752635,                 75916,                 75916,,,                 38229,,                 19617,,                  5265,                 63111,                 12805,,,,                    186,                    186,                  1605,                  5061,                  6852,,                              0,                  8722,                  3255,                      1,                 11976,,                    945,,                 12175,                 30058,                 42863,,                  3159,                 39704,                 39704,,,                  7163,                              0,                              0,                  7163,                  7163,                 46867,,                 39704,                              0,                              0,,                 46867,,                              0.45,,                              0.44,,,,,,,,,,,,,,,,,
4755,2014年第2季,,,                871209,,                131532,              1002741,,,                782533,,                131532,                914065,                 88676,                 88676,,,                 39399,,                 26732,,                  5159,                 71290,                 17386,,,,                    291,                    291,,                  4319,                  4610,,                    124,                 32219,                              0,                    625,                 29480,,                  1096,,                 13673,                 46667,                 64053,,                  7311,                 56742,                 56742,,,                 -7605,,,                 -7605,                 -7605,                 49137,,                 56742,                              0,                              0,,                 49137,,                              0.64,,                              0.63,                  2238,,,,,,,,,,,,,,,,
4755,2014年度,,,              3310351,,                173578,              3483929,,,              2983029,,                173578,              3156607,                327322,                327322,,,                158754,,                 85342,,                 19854,                263950,                 63372,,,,,                    902,                  1605,                 55325,                 57832,,                    108,                 42044,                 19323,                    626,                 60849,,                  4179,,                 -5901,                108601,                171973,,                 27360,                144613,                144613,,,,,,,                 18680,                163293,,                144613,,,,                163293,,                              1.63,,                              1.61,                              0,                  4179,                              0,,                              0,                              0,                  5901,                 23273,                 -5534,                   -941,,,,,,,
4755,2014年01月01日至2014年09月30日,,,              2495188,,                152372,              2647560,,,              2267231,,                152372,              2419603,                227957,                227957,,,                118675,,                 63485,,                 14840,                197000,                 30957,,,,                    660,                    660,                  1605,                 14242,                 16507,,                    124,                 40941,                  8356,                    626,                 48795,,                  3281,,                 26845,                 88866,                119823,,                 13726,                106097,                106097,,,                  5798,                              0,                              0,                  5798,                  5798,                111895,,                106097,                              0,                              0,,                111895,,                              1.20,,                              1.18,,,,,,,,,,,,,,,,,
4755,2014年01月01日至2014年06月30日,,,              1687477,,                131532,              1819009,,,              1535436,,                131532,              1666968,                152041,                152041,,,                 80446,,                 43868,,                  9575,                133889,                 18152,,,,                    474,                    474,,                  9181,                  9655,,                    124,                 32219,                  5101,                    625,                 36819,,                  2336,,                 14670,                 58808,                 76960,,                 10567,                 66393,                 66393,,,                 -1365,,,                 -1365,                 -1365,                 65028,,                 66393,                              0,                              0,,                 65028,,                              0.75,,                              0.74,                              0,,,,,,,,,,,,,,,,
4755,2014年01月01日至2014年03月31日,,,                816268,,                              0,                816268,,,                752903,,                              0,                752903,                 63365,                 63365,,,                 41047,,                 17136,,                  4416,                 62599,                    766,,,,,                    183,                              0,                  4862,                  5045,,                              0,                              0,                  7339,                              0,                  7339,,                  1240,,                    997,                 12141,                 12907,,                  3256,                  9651,                  9651,,,                  6240,,,                  6240,                  6240,                 15891,,                  9651,,,,                 15891,,                              0.11,,                              0.11,                              0,                  1240,                    997,,,,,,,,,,,,,,
4755,2013年第3季,,,                767243,,                              0,                767243,,,                676210,,                              0,                676210,                 91033,                 91033,,,                 41093,,                 23842,,                  4327,                 69262,                 21771,,,,,                    126,,                  7836,                  7962,,                              0,                              0,                              0,                              0,                   -540,,                  1159,,                  2458,                  8721,                 30492,,                  5549,                 24943,                 24943,,,,,,,                 -4112,                 20831,,                 24943,,,,                 20831,,                              0.31,,                              0.30,                    540,,,,                              0,                              0,,                 -4112,,,,                              0,                676210,,,,
