證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 本期所得稅費用（利益）,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 當期所得稅費用（利益）
9918,2015年第3季,,                352509,,                298573,                 53936,                 53936,,,                 19736,,                 30791,                 50527,                  3409,,,                 13466,,                 -3595,                  9871,                 13280,,                  2462,                 10818,                 10818,,,                -23650,                -23650,                -23650,                -12832,,                 10818,,                -12832,,                              0.06,,                              0.06,,,,,,,
9918,2015年第2季,,                529739,,                403176,                126563,                126563,,,                 20604,,                 28873,                 49477,                 77086,,,                 38401,,                 -8628,                 29773,                106859,,                 19458,                 87401,                 87401,,,                -26320,                -26320,                -26320,                 61081,,                 87401,,                 61081,,                              0.49,,                              0.49,,,,,,,
9918,2015年01月01日至2015年09月30日,,              1673938,,              1301746,                372192,                372192,,,                 60935,,                121576,                182511,                189681,,,                 58547,,                 -2007,                 56540,                246221,,                 42703,                203518,                203518,,,                -45929,                -45929,                -45929,                157589,,                203518,,                157589,,                              1.14,,                              1.14,,,,,,,
9918,2015年01月01日至2015年06月30日,,              1321429,,              1003173,                318256,                318256,,,                 41199,,                 90785,                131984,                186272,,,                 45081,,                  1588,                 46669,                232941,,                 40242,                192699,                192699,,,                -22280,                -22280,                -22280,                170419,,                192699,,                170419,,                              1.08,,                              1.08,,,,,,,
9918,2015年01月01日至2015年03月31日,,                791690,,                599997,                191693,                191693,,,                 20595,,                 61912,                 82507,                109186,,,                  6681,,                 10215,                 16896,                126082,,                 20783,                105299,                105299,,,                  4040,                  4040,                  4040,                109339,,                105299,,                109339,,                              0.59,,                              0.59,                 20783,                              0.59,                              0.59,,,,
9918,2014年第3季,,                491659,,                407705,                 83954,                 83954,,,                 20156,,                 23989,                 44145,                 39809,,,                 13683,,                -73232,                -59549,                -19740,,                 -2914,                -16826,                -16826,,,                  2353,                  2353,                  2353,                -14473,,                -16826,,                -14473,,                             -0.09,,                             -0.09,,,,,,,
9918,2014年第2季,,                698717,,                549479,                149238,                149238,,,                 20357,,                 40913,                 61270,                 87968,,,                  6292,,                    880,                  7172,                 95140,,                 16018,                 79122,                 79122,,,                   -538,                   -538,                   -538,                 78584,,                 79122,,                 78584,,                              0.44,,                              0.44,,,,,,,
9918,2014年度,,              2789037,,              2321213,                467824,                467824,,,                 83590,,                150116,                233706,                234118,,,                 35515,,                -50563,                -15048,                219070,,                 36185,                182885,                182885,,,,,                  8588,                191473,,                182885,,                191473,,                              1.03,,                              1.03,,,,                 14274,                 -6851,                 -1165,
9918,2014年01月01日至2014年09月30日,,              2147389,,              1731773,                415616,                415616,,,                 60221,,                126074,                186295,                229321,,,                 26128,,                -57985,                -31857,                197464,,                 31910,                165554,                165554,,,                 10712,                 10712,                 10712,                176266,,                165554,,                176266,,                              0.93,,                              0.93,,,,,,,
9918,2014年01月01日至2014年06月30日,,              1655730,,              1324068,                331662,                331662,,,                 40065,,                102085,                142150,                189512,,,                 12445,,                 15247,                 27692,                217204,,                 34824,                182380,                182380,,,                  8360,                  8360,                  8360,                190740,,                182380,,                190740,,                              1.02,,                              1.02,,,,,,,
