證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 停業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋停業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 非控制權益（淨利／損）,　　 非控制權益（綜合損益）
1789,2015年第3季,,                982947,,                529707,                453240,                453240,,,                 43015,,                114119,,                 77462,                234596,                218644,,,                 14313,,                -25886,,                  2620,,                              0,                -14193,                204451,,                  9698,                194753,                194753,,,                 53122,                 53122,                 53122,                247875,,                194753,,                247875,,                              0.27,                              0.27,,                              0.27,                              0.27,,,,,
1789,2015年第2季,,                963094,,                598274,                364820,                364820,,,                 39760,,                117469,,                 81536,                238765,                126055,,,                 14303,,                 93206,,                  1481,,                              0,                106028,                232083,,                 99887,                132196,                132196,,,                -20281,                -20281,                -20281,                111915,,                132196,,                111915,,                              0.19,                              0.19,,                              0.19,                              0.19,,,,,
1789,2015年01月01日至2015年09月30日,,              2925099,,              1762669,              1162430,              1162430,,,                117479,,                323674,,                235527,                676680,                485750,,,                 34631,,                 55209,,                  5512,,                    754,                 85082,                570832,,                131092,                439740,                439740,,,                 13959,                 13959,                 13959,                453699,,                439740,,                453699,,                              0.60,                              0.60,,                              0.60,                              0.60,,,,,
1789,2015年01月01日至2015年06月30日,,              1942152,,              1232962,                709190,                709190,,,                 74464,,                209555,,                158065,                442084,                267106,,,                 20318,,                 81095,,                  2892,,                    754,                 99275,                366381,,                121394,                244987,                244987,,,                -39163,                -39163,                -39163,                205824,,                244987,,                205824,,                              0.35,                              0.35,,                              0.35,                              0.35,,,,,
1789,2015年01月01日至2015年03月31日,,                979058,,                634688,                344370,                344370,,,                 34704,,                 92086,,                 76529,                203319,                141051,,,                  6015,,                -12111,,                  1411,,                    754,                 -6753,                134298,,                 21507,                112791,                112791,,,                -18882,                -18882,                -18882,                 93909,,                112791,,                 93909,,                              0.16,                              0.16,,                              0.16,                              0.16,,,,,
1789,2014年第3季,,              1002479,,                629265,                373214,                373214,,,                 45113,,                113102,,                101526,                259741,                113473,,,                 18908,,                  4636,,                  1532,,                 -5226,                 16786,                130259,,                  8862,                121397,                121397,,,                 41640,                 41640,                 41640,                163037,,                121397,,                163037,,                              0.17,                              0.17,,                              0.17,                              0.17,,,,,
1789,2014年第2季,,              1147805,,                647849,                499956,                499956,,,                 48422,,                113198,,                125765,                287385,                212571,,,                 14592,,                -13855,,                 -2568,,                 -3488,                   -183,                212388,,                 19832,                192556,                192556,,,                -31947,                -31947,                -31947,                160609,,                192556,,                160609,,                              0.27,                              0.27,,                              0.27,                              0.27,,,,,
1789,2014年度,,              4097844,,              2497278,              1600566,              1600566,,,                177695,,                447541,,                415888,              1041124,                559442,,,                 55872,,                  6532,,                  4139,,                -15498,                 42767,                602209,,                118066,                484143,                484143,,,,,                 54506,                538649,,                484143,,                538649,,                              0.69,                              0.69,,                              0.69,                              0.69,                 56319,                 -2184,                   -371,,
1789,2014年01月01日至2014年09月30日,,              3247529,,              1941301,              1306228,              1306228,,,                136932,,                339986,,                320702,                797620,                508608,,,                 40981,,                 -9725,,                  3139,,                 -9048,                 19069,                527677,,                 48379,                479298,                479298,,,                  6094,                  6094,                  6094,                485392,,                479298,,                485392,,                              0.66,                              0.66,,                              0.66,                              0.66,,,,,
1789,2014年01月01日至2014年06月30日,,              2245050,,              1312036,                933014,                933014,,,                 91819,,                226884,,                219176,                537879,                395135,,,                 22073,,                -14361,,                  1607,,                 -3822,                  2283,                397418,,                 39517,                357901,                357901,,,                -35546,                -35546,                -35546,                322355,,                357901,,                322355,,                              0.51,                              0.51,,                              0.51,                              0.51,,,,,
