證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 外幣兌換損失,　　　 利息費用,　　 本期所得稅費用（利益）,　　 當期所得稅費用（利益）,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨折讓,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計
4999,2015年第3季,,                561544,,                368910,                192634,                192634,,,                 16832,,                 34375,,                 19116,                 70323,                122311,,,,                    746,                  2129,                  2875,,                 55398,                              0,                    261,                              0,                 55137,,                    530,                 57482,                179793,,                 26540,                153253,                153253,,,                 92286,                 15689,                 76597,                 76597,                229850,,                153253,,                229850,,                              2.06,,                              2.05,,,,,,,,,,,,,,,
4999,2015年第2季,,                473770,,                314670,                159100,                159100,,,                 14450,,                 31773,,                 22873,                 69096,                 90004,,,,                  1911,                  3070,                  4981,,                              0,,                    179,                              0,                -11976,,                    834,                 -7829,                 82175,,                 28061,                 54114,                 54114,,,                -20097,                 -3417,                -16680,                -16680,                 37434,,                 54114,,                 37434,,                              0.73,,                              0.72,                 11797,,,,,,,,,,,,,,
4999,2015年01月01日至2015年09月30日,,              1534395,,              1019265,                515130,                515130,,,                 45305,,                101919,,                 64573,                211797,                303333,,,,                  4054,                 10728,                 14782,,                 40124,                              0,                    560,                     50,                 39514,,                  2139,                 52157,                355490,,                 64819,                290671,                290671,,,                 56274,                  9567,                 46707,                 46707,                337378,,                290671,,                337378,,                              3.91,,                              3.85,,,,,,,,,,,,,,,
4999,2015年01月01日至2015年06月30日,,                972851,,                650355,                322496,                322496,,,                 28473,,                 67544,,                 45457,                141474,                181022,,,,                  3308,                  8599,                 11907,,                              0,,                    299,                     50,                -15623,,                  1609,                 -5325,                175697,,                 38279,                137418,                137418,,,                -36012,                 -6122,                -29890,                -29890,                107528,,                137418,,                107528,,                              1.85,,                              1.82,                 15274,,,,,,,,,,,,,,
4999,2015年01月01日至2015年03月31日,,                499081,,                335685,                163396,                163396,,,                 14023,,                 35771,,                 22584,                 72378,                 91018,,,,                  1397,                  5529,                  6926,,                              0,,                    120,                     50,                 -3647,,                    775,                  2504,                 93522,,                 10218,                 83304,                 83304,,,                -15915,                 -2705,                -13210,                -13210,                 70094,,                 83304,,                 70094,,                              1.12,,                              1.11,                  3477,                    775,                 10218,,,,,,,,,,,,
4999,2014年第3季,,                612556,,                393666,                218890,                218890,,,                 18307,,                 27261,,                 22572,                 68140,                150750,,,,                  1701,                  1056,                  2757,,                 15513,                  3754,                    433,                              0,                 18834,,                  1178,                 20413,                171163,,                 40668,                130495,                130495,,,                 24490,                  4164,                 20326,                 20326,                150821,,                130495,,                150821,,                              1.75,,                              1.75,,,,,,,,,,,,,,,
4999,2014年第2季,,                677163,,                399070,                278093,                278093,,,                 16082,,                 30310,,                 40068,                 86460,                191633,,,,                  2224,                  2237,                  4461,,                              0,,                    502,                  1172,                 -9305,,                  1010,                 -5854,                185779,,                 45945,                139834,                139834,,,                -26146,                 -4446,                -21700,                -21700,                118134,,                139834,,                118134,,                              1.88,,                              1.86,                  7631,,,,,,,,,,,,,,
4999,2014年度,,              2408259,,              1525738,                882521,                882521,,,                 73130,,                124334,,                113786,                311250,                571271,,,,                  7249,                 13949,                 21198,,                 49183,,                  2051,                  9548,                 37584,,                  4700,                 54082,                625353,,                123573,                501780,                501780,,,,,,                 68748,                570528,,                501780,,                570528,,                              6.74,,                              6.67,,                  4700,,                123573,                 82812,                     17,                 14081,,,,,,,,
4999,2014年01月01日至2014年09月30日,,              1769715,,              1118862,                650853,                650853,,,                 50764,,                 90768,,                 88916,                230448,                420405,,,,                  5496,                  4313,                  9809,,                 19485,                              0,                  1802,                  9722,                  7961,,                  3731,                 14039,                434444,,                 95858,                338586,                338586,,,                 26920,                  4576,                 22344,                 22344,                360930,,                338586,,                360930,,                              4.55,,                              4.51,,,,,,,,,,,,,,,
4999,2014年01月01日至2014年06月30日,,              1157159,,                725196,                431963,                431963,,,                 32457,,                 63507,,                 66344,                162308,                269655,,,,                  3795,                  3257,                  7052,,                  3972,,                  1369,                 13476,                -10873,,                  2553,                 -6374,                263281,,                 55190,                208091,                208091,,,                  2430,                    412,                  2018,                  2018,                210109,,                208091,,                210109,,                              2.80,,                              2.77,                              0,,,,,,,,,,,,,,
