證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 停業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋停業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　 其他收益及費損淨額,　　 其他收益及費損淨額
2605,2015年第3季,,              1352751,,                760899,                591852,                591852,,,                 42615,                 42615,                549237,,,                  6170,,                -95562,,                 33325,               -122717,                426520,,                 11592,                414928,,                    413,                415341,,,              1304552,              1304552,              1304552,              1719893,,                293331,                122010,,              1440317,                279576,,                              0.52,                              0.00,                              0.52,,                              0.52,                              0.00,                              0.52,,,,,
2605,2015年第2季,,              1179313,,                769179,                410134,                410134,,,                 47171,                 47171,                362963,,,                 24394,,                 19630,,                 32445,                 11579,                374542,,                107095,                267447,,                   -358,                267089,,,               -284903,               -284903,               -284903,                -17814,,                189176,                 77913,,                -61666,                 43852,,                              0.33,                              0.00,                              0.33,,                              0.33,                              0.00,                              0.33,,,,,
2605,2015年01月01日至2015年09月30日,,              3785505,,              2354392,              1431113,              1431113,,,                137075,                137075,              1294038,,,                 36445,,                -59314,,                 99725,               -122594,              1171444,,                169979,              1001465,,                 40545,              1042010,,,                794778,                794778,                794778,              1836788,,                736608,                305402,,              1434203,                402585,,                              1.23,                              0.07,                              1.30,,                              1.23,                              0.07,                              1.30,,,,,
2605,2015年01月01日至2015年06月30日,,              2432754,,              1593493,                839261,                839261,,,                 94460,                 94460,                744801,,,                 30275,,                 36248,,                 66400,                    123,                744924,,                158387,                586537,,                 40132,                626669,,,               -509774,               -509774,               -509774,                116895,,                443277,                183392,,                 -6114,                123009,,                              0.71,                              0.07,                              0.78,,                              0.71,                              0.07,                              0.78,,,,,
2605,2015年01月01日至2015年03月31日,,              1253441,,                824314,                429127,                429127,,,                 47289,                 47289,                381838,,,                  5881,,                 16618,,                 33955,                -11456,                370382,,                 51292,                319090,,                 40490,                359580,,,               -224871,               -224871,               -224871,                134709,,                254101,                105479,,                 55552,                 79157,,                              0.38,                              0.07,                              0.45,,                              0.38,                              0.07,                              0.45,,,,,
2605,2014年第3季,,              1110123,,                772548,                337575,                337575,,,                 51522,                 51522,                286053,,,                  3608,,                -22735,,                 30454,                -49581,                236472,,                    796,                235676,,                 53305,                288981,,,                341842,                341842,                341842,                630823,,                186096,                102885,,                487784,                143039,,                              0.24,                              0.09,                              0.33,,                              0.24,                              0.09,                              0.33,,,,,
2605,2014年第2季,,              1051444,,                671933,                379511,                379511,,,                 48475,                 48475,                331036,,,                  1794,,                 19094,,                 31310,                -10422,                320614,,                 88125,                232489,,                 43110,                275599,,,               -371664,               -371664,               -371664,                -96065,,                184722,                 90877,,               -143627,                 47562,,                              0.24,                              0.08,                              0.32,,                              0.24,                              0.08,                              0.32,,,,,
2605,2014年度,,              4468377,,              2832412,              1635965,              1635965,,,                192477,                192477,              1443488,,,                 37704,,                -86296,,                128822,               -177414,              1266074,,                131874,              1134200,,                155982,              1290182,,,,,              1080854,              2371036,,                858476,                431706,,              1868136,                502900,,                              1.24,                              0.27,                              1.51,,                              1.24,                              0.27,                              1.51,              1081743,                 -1072,                   -183,,
2605,2014年01月01日至2014年09月30日,,              3249236,,              2059283,              1189953,              1189953,,,                147089,                147089,              1042864,,,                 27585,,                -23057,,                 94553,                -90025,                952839,,                 93802,                859037,,                138114,                997151,,,                368195,                368195,                368195,              1365346,,                682770,                314381,,              1008931,                356415,,                              0.96,                              0.24,                              1.20,,                              0.96,                              0.24,                              1.20,,,,,
2605,2014年01月01日至2014年06月30日,,              2139113,,              1286735,                852378,                852378,,,                 95567,                 95567,                756811,,,                 23977,,                   -322,,                 64099,                -40444,                716367,,                 93006,                623361,,                 84809,                708170,,,                 26353,                 26353,                 26353,                734523,,                496674,                211496,,                521147,                213376,,                              0.72,                              0.15,                              0.87,,                              0.72,                              0.15,                              0.87,,,,,
2605,2014年01月01日至2014年03月31日,,              1087669,,                614801,                472868,                472868,,,                 47093,                 47093,                425775,,,                 22183,,                -19416,,                 32789,                -30022,                395753,,                  4881,                390872,,                 41699,                432571,,,                398017,                398017,                398017,                830588,,                311952,                120619,,                664774,                165814,,                              0.48,                              0.07,                              0.55,,                              0.48,                              0.07,                              0.55,,,,,
2605,2013年第3季,,              1117813,,                733035,                384778,                384778,,,                 42053,                 42053,                342869,,,                  5467,,                 11183,,                 37543,                -20893,                321976,,                 16036,                305940,,                  5563,                311503,,,,,               -252876,                 58627,,                175998,                135505,,                -46688,                105315,,                              0.31,                              0.00,                              0.31,,                              0.31,                              0.00,                              0.31,               -252876,,,,                    144
2605,2013年第2季,,              1146241,,                752820,                393421,                393421,,,                 49502,                 49502,                415080,,,                 37417,,                 -8889,,                 41531,                -13003,                402077,,                 83519,                318558,,                112469,                431027,,,,,                105475,                536502,,                276797,                154230,,                370415,                166087,,                              0.39,                              0.10,                              0.49,,                              0.39,                              0.10,                              0.49,                105475,,,,                 71161
2605,2013年度,,              4140003,,              2527709,              1612294,              1612294,,,                177358,                177358,              1434936,,,                 58308,,                -35757,,                156872,               -134321,              1300615,,                 74667,              1225948,,                475282,              1701230,,,,,                472167,              2173397,,              1099224,                602006,,              1516922,                656475,,                              1.30,                              0.63,                              1.93,,                              1.30,                              0.63,                              1.93,                472139,                     34,                      6,,
2605,2013年07月01日至2013年09月30日,,              1156983,,                780221,                376762,                376762,,,                 43626,                 43626,                333280,,,                  5468,,                 11183,,                 37543,                -20892,                312388,,                 16036,                296352,,                 15151,                311503,,,,,               -252876,                 58627,,                175998,                135505,,                -46688,                105315,,                              0.30,                              0.01,                              0.31,,                              0.30,                              0.01,                              0.31,               -252876,,,,                    144
2605,2013年04月01日至2013年06月30日,,              1284845,,                778082,                506763,                506763,,,                 50531,                 50531,                527393,,,                 37760,,                 -8889,,                 41718,                -12847,                514546,,                 83519,                431027,,                              0,                431027,,,,,                105475,                536502,,                276797,                154230,,                370415,                166087,,                              0.49,                              0.00,                              0.49,,                              0.49,                              0.00,                              0.49,                105475,,,,                 71161
2605,2013年01月01日至2013年12月31日,,              4763653,,              2975934,              1787719,              1787719,,,                185133,                185133,              1673795,,,                 59173,,                -36520,,                156872,               -134219,              1539576,,                 74667,              1464909,,                236321,              1701230,,,,,                472167,              2173397,,              1099224,                602006,,              1516922,                656475,,                              1.72,                              0.21,                              1.93,,                              1.72,                              0.21,                              1.93,                472139,                     34,                      6,,                 71209
2605,2013年01月01日至2013年09月30日,,              3339472,,              2054146,              1285326,              1285326,,,                133564,                133564,              1223067,,,                 50475,,                -25474,,                121417,                -96416,              1126651,,                122810,              1003841,,                198619,              1202460,,,,,                328959,              1531419,,                740760,                461700,,              1031006,                500413,,                              1.16,                              0.14,                              1.30,,                              1.16,                              0.14,                              1.30,                328959,,,,                 71305
2605,2013年01月01日至2013年06月30日,,              2305369,,              1429658,                875711,                875711,,,                 94795,                 94795,                852077,,,                 45009,,                -36657,,                 83874,                -75522,                776555,,                106774,                669781,,                221176,                890957,,,,,                581835,              1472792,,                564762,                326195,,              1077694,                395098,,                              0.80,                              0.19,                              0.99,,                              0.80,                              0.19,                              0.99,                581835,,,,                 71161
2605,2013年01月01日至2013年03月31日,,              1159128,,                676838,                482290,                482290,,,                 45293,                 45293,                436997,,,                  7592,,                -27768,,                 42343,                -62519,                374478,,                 23255,                351223,,                108707,                459930,,,,,                476360,                936290,,                287965,                171965,,                707279,                229011,,                              0.41,                              0.10,                              0.51,,                              0.41,                              0.10,                              0.51,                476360,,,,
2605,2012年07月01日至2012年09月30日,,              1301176,,                748719,                552457,                552457,,,                 51541,                 51541,                500916,,,                  3377,,                 14008,,                 53630,                -36245,                464671,,                  8740,                455931,,                175858,                631789,,,,,               -331077,                300712,,                451695,                180094,,                161483,                139229,,                              0.58,                              0.21,                              0.79,,                              0.58,                              0.21,                              0.79,               -331077,,,,                              0
2605,2012年04月01日至2012年06月30日,,              1585709,,                761074,                824635,                824635,,,                 49455,                 49455,                775180,,,                  8748,,                -14648,,                 59883,                -65783,                709397,,                138080,                571317,,                 -3074,                568243,,,,,                221941,                790184,,                372667,                195576,,                569229,                220955,,                              0.66,                              0.00,                              0.66,,                              0.66,                              0.00,                              0.66,                221941,,,,                              0
2605,2012年01月01日至2012年12月31日,,              5509555,,              2994933,              2514622,              2514622,,,                186639,                186639,              2327983,,,                 30438,,                 22330,,                223225,               -170457,              2157526,,                239405,              1918121,,                452562,              2370683,,,,,               -699717,              1670966,,              1626560,                744123,,              1011205,                659761,,                              2.41,                              0.45,                              2.86,,                              2.41,                              0.45,                              2.86,               -697842,                 -2259,                   -384,,                              0
2605,2012年01月01日至2012年09月30日,,              4218431,,              2210408,              2008023,              2008023,,,                143253,                143253,              1864770,,,                 21276,,                 22267,,                173874,               -130331,              1734439,,                214226,              1520213,,                349361,              1869574,,,,,               -548360,              1321214,,              1298373,                571201,,                817039,                504175,,                              1.92,                              0.36,                              2.28,,                              1.92,                              0.36,                              2.28,               -548360,,,,                              0
2605,2012年01月01日至2012年06月30日,,              3172489,,              1532795,              1639694,              1639694,,,                 93918,                 93918,              1545776,,,                 17918,,                  8259,,                122032,                -95855,              1449921,,                205486,              1244435,,                 -6650,              1237785,,,,,               -217283,              1020502,,                846678,                391107,,                655556,                364946,,                              1.50,                             -0.01,                              1.49,,                              1.50,                             -0.01,                              1.49,               -217283,,,,                              0
