證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益,　　 與其他綜合損益組成部分相關之所得稅,　 未實現銷貨（損）益,　 已實現銷貨（損）益
2480,2015年第3季,,,,              1241407,                              0,                              0,              1241407,              1241407,,                929949,                311458,                311458,,,                210616,,                 21406,                232022,                 79436,,,                 10654,,                  2197,,                     26,                 12825,                 92261,,                 18805,                 73456,                 73456,,,                  6349,                -32520,                              0,                -26171,                -26171,                 47285,,                 73456,                              0,,                 47285,                              0,,                              0.55,,                              0.55,,,,,,,,,
2480,2015年第2季,,,,              1076200,                     43,                              0,              1076157,              1076157,,                807613,                268544,                268544,,,                178818,,                 22620,                201438,                 67106,,,                  4129,,                    665,,                     32,                  4762,                 71868,,                 14317,                 57551,                 57551,,,                   -692,                  3968,                              0,                  3276,                  3276,                 60827,,                 57551,                              0,,                 60827,,,                              0.43,,                              0.42,,                              0,,,,,,,
2480,2015年01月01日至2015年09月30日,,,,              3379483,                     43,                     28,              3379412,              3379412,,              2541289,                838123,                838123,,,                554108,,                 67572,                621680,                216443,,,                 19254,,                  2745,,                     90,                 21909,                238352,,                 42649,                195703,                195703,,,                  3121,                -10079,                              0,                 -6958,                 -6958,                188745,,                195703,                              0,,                188745,                              0,,                              1.47,,                              1.45,,,,,,,,,
2480,2015年01月01日至2015年06月30日,,,,              2138076,                     43,                     28,              2138005,              2138005,,              1611340,                526665,                526665,,,                343492,,                 46166,                389658,                137007,,,                  8600,,                    548,,                     64,                  9084,                146091,,                 23844,                122247,                122247,,,                 -3228,                 22441,                              0,                 19213,                 19213,                141460,,                122247,                              0,,                141460,,,                              0.92,,                              0.90,,                              0,,,,,,,
2480,2015年01月01日至2015年03月31日,,,,              1061876,                              0,                     28,              1061848,              1061848,,                803727,                258121,                258121,,,                164674,,                 23546,                188220,                 69901,,,                  4471,,                   -117,,                     32,                  4322,                 74223,,                  9527,                 64696,                 64696,,,                 -2536,                 18473,                              0,                 15937,                 15937,                 80633,,                 64696,                              0,,                 80633,                              0,,                              0.49,,,,,,,,,,,
2480,2014年第3季,,,,              1257446,                              0,                     80,              1257366,              1257366,,                940043,                317323,                317323,,,                178462,,                 23289,                201751,                115572,,,                 11493,,                -23415,,                    121,                -12043,                103529,,                 21034,                 82495,                 82495,,,                  4093,                 74949,                              0,                 79042,                 79042,                161537,,                 82495,                              0,,                161537,                              0,,                              0.62,,                              0.62,,,,,,,,,
2480,2014年第2季,,,,                936181,                              0,                     83,                936098,                936098,,                683879,                252219,                252219,,,                171167,,                 24384,                195551,                 56668,,,                  6397,,                   -454,,                    144,                  5799,                 62467,,                  9041,                 53426,                 53426,,,                 -3290,                 -1646,                              0,                 -4936,                 -4936,                 48490,,                 53426,                              0,,                 48490,,,                              0.40,,                              0.39,,                              0,,,,,,,
2480,2014年度,,,,              4423812,                  1089,                  9489,              4413234,              4413234,,              3265107,              1148127,              1148127,,,                730809,,                 93884,                824693,                323434,,,                 26858,,                -22059,,                    430,                  4369,                327803,,                 60117,                267686,                267686,,,,,,,                 42397,                310083,,                267686,                              0,,                310083,                              0,,                              2.01,,                              1.98,,,                  4275,                 40671,                 -3071,                              0,                   -522,,
2480,2014年01月01日至2014年09月30日,,,,              3056249,                  1048,                    163,              3055038,              3055038,,              2222824,                832214,                832214,,,                526036,,                 70970,                597006,                235208,,,                 23396,,                -23586,,                    393,                   -583,                234625,,                 40661,                193964,                193964,,,                   -890,                 75518,                              0,                 74628,                 74628,                268592,,                193964,                              0,,                268592,                              0,,                              1.46,,                              1.44,,,,,,,,,
2480,2014年01月01日至2014年06月30日,,,,              1798803,                  1048,                     83,              1797672,              1797672,,              1282781,                514891,                514891,,,                347574,,                 47681,                395255,                119636,,,                 11903,,                   -171,,                    272,                 11460,                131096,,                 19627,                111469,                111469,,,                 -4983,                    569,                              0,                 -4414,                 -4414,                107055,,                111469,                              0,,                107055,,,                              0.84,,                              0.82,,                              0,,,,,,,
