證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 勞務收入,　　　 勞務收入合計,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 勞務成本,　　　 勞務成本合計,　　 其他營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之權益工具投資利益(損失),　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　　 銷貨收入,　　　　 銷貨收入合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 外幣兌換損失,　　　 利息費用
2390,2015年第3季,,,                130351,,                 75894,,                 20260,                226505,,,                116573,,                 59993,                 17580,                194146,                 32359,                 32359,,,                 35435,,                 34222,,                 25325,                 94982,                -62623,,,                 15928,                 15928,,                158782,,                  4051,,                -17615,                153044,                 90421,,                  5665,                 84756,                 84756,,,                  5595,                   -472,,                      6,                  5129,                  5129,                 89885,,                 85687,                   -931,,                 90600,                   -715,,                              0.40,                              0.40,,                              0.40,                              0.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2390,2015年第2季,,,                 88237,,                 84368,,                  7770,                180375,,,                 78122,,                 69666,                  5454,                153242,                 27133,                 27133,,,                 36053,,                 52391,,                 26890,                115334,                -88201,,,                 14197,                 14197,,                105791,,                  4126,,                -14561,                101301,                 13100,,                    840,                 12260,                 12260,,,                 -5587,                  1787,,                   -127,                 -3927,                 -3927,                  8333,,                 12110,                    150,,                  8693,                   -360,,                              0.06,                              0.06,,                              0.06,                              0.06,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,
2390,2015年01月01日至2015年09月30日,,,                354410,,                228165,,                 39500,                622075,,,                297284,,                181284,                 33326,                511894,                110181,                110181,,,                105927,,                122256,,                 75327,                303510,               -193329,,,                 45220,                 45220,,                323642,,                 12558,,                -51012,                305292,                111963,,                  6884,                105079,                105079,,,                     84,                  1044,,                 -1252,                   -124,                   -124,                104955,,                105946,                   -867,,                106138,                 -1183,,                              0.49,                              0.49,,                              0.49,                              0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2390,2015年01月01日至2015年06月30日,,,                224059,,                152271,,                 19240,                395570,,,                180711,,                121291,                 15746,                317748,                 77822,                 77822,,,                 70492,,                 88034,,                 50002,                208528,               -130706,,,                 29292,                 29292,,                164860,,                  8507,,                -33397,                152248,                 21542,,                  1219,                 20323,                 20323,,,                 -5511,                  1516,,                 -1258,                 -5253,                 -5253,                 15070,,                 20259,                     64,,                 15538,                   -468,,                              0.09,                              0.09,,                              0.09,                              0.09,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,
2390,2015年01月01日至2015年03月31日,,,                135822,,                 67903,,                 11470,                215195,,,                102589,,                 51625,                 10292,                164506,                 50689,                 50689,,,                 34439,,                 35643,,                 23112,                 93194,                -42505,,,                 15095,                 15095,,                 59069,,                  4381,,                -18836,                 50947,                  8442,,                    379,                  8063,                  8063,,,                     76,                   -271,,                 -1131,                 -1326,                 -1326,                  6737,,                  8149,                    -86,,                  6845,                   -108,,                              0.04,                              0.04,,                              0.04,                              0.04,,,,,,,,,,,,,,                135822,,,,,,,,,,,,,,,,,
2390,2014年第3季,,,                237431,,                 57597,,                  4066,                299094,,,                173044,,                 40215,                  3495,                216754,                 82340,                 82340,,,                 36500,,                 41279,,                 20565,                 98344,                -16004,,,                 16308,                 16308,,                  4121,,                  4579,,                -43751,                -27901,                -43905,,                  6996,                -50901,                -50901,,,                  6440,                   -621,,                  6452,                 12271,                 12271,                -38630,,                -50386,                   -515,,                -38331,                   -299,,                             -0.23,                             -0.23,,                             -0.23,                             -0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2390,2014年第2季,,,                375818,,                 53834,,                  9775,                439427,,,                245332,,                 37003,                 12259,                294594,                144833,                144833,,,                 41875,,                 36995,,                 19743,                 98613,                 46220,,,                 19553,                 19553,,                -11026,,                  3962,,                -18690,                -14125,                 32095,,                 10099,                 21996,                 21996,,,                 -4706,                    507,,                -10082,                -14281,                -14281,                  7715,,                 22398,                   -402,,                  8361,                   -646,,                              0.10,                              0.10,,                              0.10,                              0.10,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,
2390,2014年度,,,                978128,,                239478,,                 27512,              1245118,,,                690948,,                170925,                 21766,                883639,                361479,                361479,,,                159440,,                146285,,                 85470,                391195,                -29716,,,                 77992,                 77992,,                 16298,,                 16663,,                -97901,                -20274,                -49990,,                 26011,                -76001,                -76001,,,,,,,,                 40879,                -35122,,                -75087,                   -914,,                -34994,                   -128,,                             -0.35,                             -0.35,,                             -0.35,                             -0.35,,,,,,,,,,,,,,                978128,                  7734,                 -1599,                  1110,,                 33634,,,,,,,,,,,,
2390,2014年01月01日至2014年09月30日,,,                803782,,                165206,,                 14277,                983265,,,                551598,,                115654,                 15754,                683006,                300259,                300259,,,                112947,,                116801,,                 59864,                289612,                 10647,,,                 53581,                 53581,,                 -5991,,                 11661,,                -75581,                -39652,                -29005,,                 21410,                -50415,                -50415,,,                    512,                   -758,,                 32867,                 32621,                 32621,                -17794,,                -49527,                   -888,,                -17487,                   -307,,                             -0.23,                             -0.23,,                             -0.23,                             -0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2390,2014年01月01日至2014年06月30日,,,                566351,,                107609,,                 10211,                684171,,,                378553,,                 75440,                 12259,                466252,                217919,                217919,,,                 76447,,                 75522,,                 39299,                191268,                 26651,,,                 37273,                 37273,,                -10112,,                  7082,,                -31830,                -11751,                 14900,,                 14414,                    486,                    486,,,                 -5928,                   -137,,                 26415,                 20350,                 20350,                 20836,,                    859,                   -373,,                 20844,                     -8,,                              0.00,                              0.00,,                              0.00,                              0.00,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,
