證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 租賃收入,　　　 租賃收入,　　　 租賃收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 租賃成本,　　　 租賃成本,　　　 租賃成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 銀行存款利息,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 處分不動產、廠房及設備利益,　　 國外營運機構財務報表換算之兌換差額,　　 當期所得稅費用（利益）,　　　 處分投資性不動產利益,　　　 減損損失,　　　　 減損損失合計,　　 與其他綜合損益組成部分相關之所得稅
9912,2015年第3季,,,,                178205,                178205,                  1006,                  3243,                173956,,                    906,                    906,                174862,,,                136834,                136834,,                  1183,                  1183,                138017,                 36845,                 36845,,,                 36809,,                 15974,,                  2071,                 54854,                -18009,,,,                     19,                     19,                     26,                     45,,                  7926,                    251,                              0,                              0,                              0,                  8177,,                    607,                    607,                  7615,                -10394,,                      4,                      4,                -10398,                -10398,,,                 12753,                 12753,                 12753,                  2355,,                -10398,,                  2355,,                             -0.20,                             -0.20,,,,,,,,,,
9912,2015年第2季,,,,                157309,                157309,                  1098,                  1602,                154609,,                    907,                    907,                155516,,,                119286,                119286,,                              0,                              0,                119286,                 36230,                 36230,,,                 31631,,                 17540,,                  2305,                 51476,                -15246,,,,                     64,                     64,                      4,                     68,,                  4504,                              0,,                              0,                  2422,                  2082,,                    337,                    337,                  1813,                -13433,,                     63,                     63,                -13496,                -13496,,,                  3045,                  3045,                  3045,                -10451,,                -13496,,                -10451,,                             -0.26,                             -0.26,,                              0.00,                              0.00,,,,,,,
9912,2015年01月01日至2015年09月30日,,,,                502345,                502345,                  2730,                  7589,                492026,,                  2719,                  2719,                494745,,,                383536,                383536,,                  1183,                  1183,                384719,                110026,                110026,,,                105061,,                 50458,,                  6122,                161641,                -51615,,,,                    194,                    194,                     58,                    252,,                  5498,                              0,                              0,                              0,                  1014,                  4484,,                  1221,                  1221,                  3515,                -48100,,                    306,                    306,                -48406,                -48406,,,                 -7578,                 -7578,                 -7578,                -55984,,                -48406,,                -55984,,                             -0.92,                             -0.92,,,,,,,,,,
9912,2015年01月01日至2015年06月30日,,,,                324140,                324140,                  1724,                  4346,                318070,,                  1813,                  1813,                319883,,,                246702,                246702,,                              0,                              0,                246702,                 73181,                 73181,,,                 68252,,                 34484,,                  4051,                106787,                -33606,,,,                    175,                    175,                     32,                    207,,                              0,                              0,,                  2428,                  1265,                 -3693,,                    614,                    614,                 -4100,                -37706,,                    302,                    302,                -38008,                -38008,,,                -20331,                -20331,                -20331,                -58339,,                -38008,,                -58339,,                             -0.72,                             -0.72,,                              0.00,                              0.00,,,,,,,
9912,2015年01月01日至2015年03月31日,,,,                166831,                166831,                    626,                  2744,                163461,,                    906,                    906,                164367,,,                127030,                127030,,                    386,                    386,                127416,                 36951,                 36951,,,                 36621,,                 16944,,                  1746,                 55311,                -18360,,,,                    111,                    111,                     28,                    139,,                 -6932,                  1157,,,,                 -5775,,                    277,                    277,                 -5913,                -24273,,                    239,                    239,                -24512,                -24512,,,                -23376,                -23376,                -23376,                -47888,,                -24512,,                -47888,,                             -0.47,                             -0.47,,,,,,,,,,
9912,2014年第3季,,,,                152127,                152127,                  1004,                  1221,                149902,,                    907,                    907,                150809,,,                102574,                102574,,                    387,                    387,                102961,                 47848,                 47848,,,                 33208,,                 20030,,                  1637,                 54875,                 -7027,,,,                    345,                    345,                     11,                    356,,                              0,                              0,                              0,                  8596,                     36,                 -8632,,                     45,                     45,                 -8321,                -15348,,                    596,                    596,                -15944,                -15944,,,                   -106,                   -106,                   -106,                -16050,,                -15944,,                -16050,,                             -0.30,                             -0.30,,,,,,,,,,
9912,2014年第2季,,,,                182473,                182473,                    118,                  5176,                177179,,                    906,                    906,                178085,,,                125285,                125285,,                    429,                    429,                125714,                 52371,                 52371,,,                 27645,,                 17926,,                  1842,                 47413,                  4958,,,,                    590,                    590,                    101,                    691,,                              0,                    180,,                  4954,                              0,                 -4774,,                              0,                              0,                 -4083,                    875,,                    620,                    620,                    255,                    255,,,                 -1147,                 -1147,                 -1147,                   -892,,                    255,,                   -892,,                              0.01,                              0.01,,                              0.00,                              0.00,,,,,,,
9912,2014年度,,,,                700141,                700141,                  4172,                 14886,                681083,,                  3289,                  3289,                684372,,,                478731,                478731,,                  1319,                  1319,                480050,                204322,                204322,,,                115433,,                 73723,,                  7340,                196496,                  7826,,,,,                  2198,                    312,                  2510,,                              0,                  1049,                              0,                  9557,,                 -8508,,                    386,                    386,                 -6384,                  1442,,,                    829,                    613,                    613,,,,,                   -415,                    198,,                    613,,                    198,,                              0.01,                              0.01,,,,                              0,                   -415,,,,,
9912,2014年01月01日至2014年09月30日,,,,                512604,                512604,                  2654,                 10288,                499662,,                  2383,                  2383,                502045,,,                351868,                351868,,                    915,                    915,                352783,                149262,                149262,,,                 92505,,                 55013,,                  5717,                153235,                 -3973,,,,                  1785,                  1785,                    187,                  1972,,                              0,                    735,                              0,                  8309,                              0,                 -7574,,                     45,                     45,                 -5647,                 -9620,,                  1863,                  1863,                -11483,                -11483,,,                   -495,                   -495,                   -495,                -11978,,                -11483,,                -11978,,                             -0.22,                             -0.22,,,,,,,,,,
9912,2014年01月01日至2014年06月30日,,,,                360477,                360477,                  1650,                  9067,                349760,,                  1476,                  1476,                351236,,,                249294,                249294,,                    528,                    528,                249822,                101414,                101414,,,                 59297,,                 34983,,                  4080,                 98360,                  3054,,,,                  1440,                  1440,                    176,                  1616,,                    287,                    771,,                              0,                              0,                  1058,,                              0,                              0,                  2674,                  5728,,                  1267,                  1267,                  4461,                  4461,,,                   -389,                   -389,                   -389,                  4072,,                  4461,,                  4072,,                              0.09,                              0.09,,                              0.08,                              0.08,,,,,,,
