證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨收入淨額,　　 勞務收入,　　　 勞務收入合計,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 勞務成本,　　　 勞務成本合計,　　 其他營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 減損損失,　　　　 減損損失合計,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　 已實現銷貨（損）益,　　　　 金融資產減損損失,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 其他綜合損益,　　　　 不動產、廠房及設備減損損失,　　　　 無形資產減損損失
6214,2015年第3季,,,,              2804495,                  6198,              2798297,,              1036308,,                 21780,              3856385,,,              2410268,,                421076,                 14705,              2846049,              1010336,              1010336,,,                734618,,                102970,,                101557,                939145,                 71191,,,,                  5161,                 34510,                 31546,                 71217,,                -10731,                -37010,               -147467,                    723,                              0,,                    375,               -196306,,                  4196,                  4196,,                 11779,               -117506,                -46315,,                 16755,                -63070,                -63070,,,                286435,                 20615,,                -43583,                263467,                263467,                200397,,                -62007,                 -1063,,                201460,                 -1063,,                             -0.25,                             -0.25,,                              0.00,                              0.00,,,,,,,,,,
6214,2015年第2季,,,,              2854582,                  4961,              2849621,,              1031548,,                 41663,              3922832,,,              2391984,,                449319,                 18567,              2859870,              1062962,              1062962,,,                728995,,                113867,,                102475,                945337,                117625,,,,                  7384,                  7016,                 15556,                 29956,,                 13487,                 10769,                 30486,                    862,                    252,,                              0,                 53628,,                  4039,                  4039,,                 38828,                118373,                235998,,                 56735,                179263,                179263,,,                -68314,                 -4896,,                 -8420,                -81630,                -81630,                 97633,,                179879,                   -616,,                 98251,                   -618,,                              0.73,                              0.73,,                              0.73,                              0.73,,,,,,,,,,
6214,2015年01月01日至2015年09月30日,,,,              8430989,                 14695,              8416294,,              3069860,,                 80129,             11566283,,,              7190165,,              1308781,                 40529,              8539475,              3026808,              3026808,,,              2134019,,                328663,,                301483,              2764165,                262643,,,,                 18196,                 41636,                 61087,                120919,,                 19834,                -33611,                -57179,                  2702,                 -7989,,                  1249,                -66918,,                 11433,                 11433,,                 64859,                107427,                370070,,                 98928,                271142,                271142,,,                160135,                 25463,,                -54464,                131134,                131134,                402276,,                274631,                 -3489,,                405162,                 -2886,,                              1.12,                              1.12,,                              1.11,                              1.11,,,,,,,,,,
6214,2015年01月01日至2015年06月30日,,,,              5626494,                  8497,              5617997,,              2033552,,                 58349,              7709898,,,              4779897,,                887705,                 25824,              5693426,              2016472,              2016472,,,              1399401,,                225693,,                199926,              1825020,                191452,,,,                 13035,                  7126,                 29541,                 49702,,                 30565,                  3399,                 90288,                  1979,                 -7989,,                    874,                129388,,                  7237,                  7237,,                 53080,                224933,                416385,,                 82173,                334212,                334212,,,               -126300,                  4848,,                -10881,               -132333,               -132333,                201879,,                336638,                 -2426,,                203702,                 -1823,,                              1.37,                              1.37,,                              1.37,                              1.37,,,,,,,,,,
6214,2015年01月01日至2015年03月31日,,,,              2771912,                  3536,              2768376,,              1002004,,                 16686,              3787066,,,              2387913,,                438386,                  7257,              2833556,                953510,                953510,,,                670406,,                111826,,                 97451,                879683,                 73827,,,,                  5651,                    110,                 13985,                 19746,,                 17078,                 -7370,                 59802,                  1117,                 -8241,,                    874,                 75760,,                  3198,                  3198,,                 14252,                106560,                180387,,                 25438,                154949,                154949,,,                -57986,                  9744,,                 -2461,                -50703,                -50703,                104246,,                156759,                 -1810,,                105451,                 -1205,,                              0.64,                              0.64,,                              0.64,                              0.64,,,,,,,,,,
6214,2014年第3季,,,,              2794019,                  3757,              2790262,,                984848,,                 16359,              3791469,,,              2346340,,                409528,                  6906,              2762774,              1028695,              1028695,,,                713403,,                106222,,                100499,                920124,                108571,,,,                  6057,                  6016,                 11809,                 23882,,                  7730,                 -2077,                -73598,                  1689,                    414,,                              0,                -70048,,                  1548,                  1548,,                  9462,                -38252,                 70319,,                 25969,                 44350,                 44350,,,                 88850,                 -8732,,                    577,                 80695,                 80695,                125045,,                 43000,                  1350,,                123681,                  1364,,                              0.18,                              0.18,,                              0.18,                              0.18,,,,,,,,,,
6214,2014年第2季,,,,              2515832,                  8226,              2507606,,              1036805,,                 18822,              3563233,,,              2123623,,                411085,                  5445,              2540153,              1023080,              1023080,,,                712080,,                102816,,                 98285,                913181,                109899,,,,                  5288,                 26435,                  5810,                 37533,,                  5788,                    909,                 74628,                  1255,                     -1,,                    607,                 79464,,                  2244,                  2244,,                 32301,                147054,                256953,,                 85674,                171279,                171279,,,                -92838,                 -2380,,                -25346,               -120564,               -120564,                 50715,,                170912,                    367,,                 50364,                    351,,                              0.70,                              0.70,,                              0.70,                              0.70,,,,,,,,,,
6214,2014年度,,,,             11645589,                 23258,             11622331,,              4057625,,                129365,             15809321,,,              9864907,,              1684393,                 40930,             11590230,              4219091,              4219091,,,              2934871,,                451433,,                397214,              3783518,                435573,,,,                 22971,                 36277,                 66906,                126154,,                 65773,                 -3419,                 45768,                 21692,               -229638,,                 60607,                255461,,                 11175,                 11175,,                119540,                489980,                925553,,                178482,                747071,                747071,,,,,,,,                205384,                952455,,                744717,                  2354,,                950606,                  1849,,,                              3.07,,,                              3.05,                              0,                 60607,                280657,                -65756,                 -6441,,                 -2895,                   -181,,
6214,2014年01月01日至2014年09月30日,,,,              8315729,                 14430,              8301299,,              2960696,,                 60061,             11322056,,,              7061906,,              1199258,                 20260,              8281424,              3040632,              3040632,,,              2095078,,                310517,,                291757,              2697352,                343280,,,,                 16755,                 34241,                 22602,                 73598,,                 54388,                 -8171,                 53886,                  4143,                    698,,                    607,                 94655,,                  9173,                  9173,,                 53353,                212433,                555713,,                140063,                415650,                415650,,,                 71933,                -59043,,                 -6201,                  6689,                  6689,                422339,,                415264,                    386,,                421936,                    403,,                              1.71,                              1.71,,                              1.71,                              1.71,,,,,,,,,,
6214,2014年01月01日至2014年06月30日,,,,              5521710,                 10673,              5511037,,              1975848,,                 43702,              7530587,,,              4715566,,                789730,                 13354,              5518650,              2011937,              2011937,,,              1381675,,                204295,,                191258,              1777228,                234709,,,,                 10698,                 28225,                 10793,                 49716,,                 46658,                 -6094,                127484,                  2454,                    284,,                    607,                164703,,                  7625,                  7625,,                 43891,                250685,                485394,,                114094,                371300,                371300,,,                -16917,                -50311,,                 -6778,                -74006,                -74006,                297294,,                372264,                   -964,,                298255,                   -961,,                              1.54,                              1.54,,                              1.53,                              1.53,,,,,,,,,,
