證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 與可能重分類之項目相關之所得稅,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　 已實現銷貨（損）益,　 未實現銷貨（損）益,　　 繼續營業單位淨利（淨損）
6145,2015年第3季,,,,              1334372,              1334372,                  1658,                  4015,              1328699,              1328699,,              1223451,                105248,                105248,,,                 89857,,                 12271,,                  3747,                105875,                   -627,,,                 -2741,,                 19534,,                  3373,,                 26396,                 39816,                 39189,,                  5285,                 33904,                 33904,,,                253384,                              0,,                 12361,                265745,                265745,                299649,,                 33904,                              0,,                299649,                              0,,                              0.10,,                              0.10,,,,,,,,,,
6145,2015年第2季,,,,              2155025,              2155025,                  3212,                  2951,              2148862,              2148862,,              2045875,                102987,                102987,,,                 95527,,                 12510,,                  3261,                111298,                 -8311,,,                  6496,,                 -2380,,                  2571,,                 15025,                 16570,                  8259,,                  6982,                  1277,                  1277,,,                -58265,                              0,,                 -2435,                -60700,                -60700,                -59423,,                  1277,                              0,,                -59423,                              0,,                              0.01,,                              0.01,                              0,,,,,,,,,
6145,2015年01月01日至2015年09月30日,,,,              6618699,              6618699,                  9518,                  8146,              6601035,              6601035,,              6174591,                426444,                426444,,,                287049,,                 39363,,                 10576,                336988,                 89456,,,                 33689,,                 19996,,                  8494,,                 62283,                107474,                196930,,                 53835,                143095,                143095,,,                148487,                              0,,                  7962,                156449,                156449,                299544,,                143095,                              0,,                299544,                              0,,                              0.44,,                              0.44,,,,,,,,,,
6145,2015年01月01日至2015年06月30日,,,,              5284327,              5284327,                  7860,                  4131,              5272336,              5272336,,              4951140,                321196,                321196,,,                197192,,                 27092,,                  6829,                231113,                 90083,,,                 36430,,                    462,,                  5121,,                 35887,                 67658,                157741,,                 48550,                109191,                109191,,,               -104897,                              0,,                 -4399,               -109296,               -109296,                   -105,,                109191,                              0,,                   -105,                              0,,                              0.34,,                              0.34,                              0,,,,,,,,,
6145,2015年01月01日至2015年03月31日,,,,              3129302,              3129302,                  4648,                  1180,              3123474,              3123474,,              2905265,                218209,                218209,,,                101665,,                 14582,,                  3568,                119815,                 98394,,,                 40184,,                 -7408,,                  2550,,                 20862,                 51088,                149482,,                 41568,                107914,                107914,,,                -46632,                              0,,                 -1964,                -48596,                -48596,                 59318,,                107914,                              0,,                 59318,                              0,,                              0.33,,                              0.33,,,,,,,,,,
6145,2014年第3季,,,,              1115395,              1115395,                  2911,                  3030,              1109454,              1109454,,                972555,                136899,                136899,,,                 86080,,                 22622,,                  2065,                110767,                 26132,,,                  9487,,                 -5449,,                  5775,,                 32629,                 30892,                 57024,,                 12634,                 44390,                 44390,,,                 78164,                   -168,,                  1623,                 79619,                 79619,                124009,,                 44390,                              0,,                124009,                              0,,                              0.14,,                              0.14,,,,,,,,,,
6145,2014年第2季,,,,              1609442,              1609442,                  7325,                  3563,              1598554,              1598554,,              1530666,                 67888,                 67888,,,                 87970,,                 22773,,                  1999,                112742,                -44854,,,                 16341,,                  1764,,                  5732,,                 -9973,                  2400,                -42454,,                  2452,                -44906,                -44906,,,                -77265,                    361,,                 -1835,                -78739,                -78739,               -123645,,                -44906,                              0,,               -123645,                              0,,                             -0.14,,                              0.00,                              0,,,,,,,,,
6145,2014年度,,,,              7580870,              7580870,                 20275,                 12078,              7548517,              7548517,,              6875534,                672983,                672983,,,                376093,,                 59320,,                  9402,                444815,                228168,,,                 44889,,                -35041,,                 20533,,                 82226,                 71541,                299709,,                164510,                135199,                135199,,,,,,,,                245270,                380469,,                135209,                    -10,,                380476,                     -7,,                              0.42,,                              0.42,,                234465,                  2360,                   -783,,                  9095,                   -133,,,
6145,2014年01月01日至2014年09月30日,,,,              4455970,              4455970,                 12391,                  8882,              4434697,              4434697,,              4126367,                308330,                308330,,,                265717,,                 66990,,                  6508,                339215,                -30885,,,                 34802,,                  2920,,                 16499,,                 35576,                 56799,                 25914,,                 19073,                  6841,                  6841,,,                 67832,                  1597,,                  1919,                 71348,                 71348,                 78189,,                  6851,                    -10,,                 78196,                     -7,,                              0.02,,                              0.02,,,,,,,,,,
6145,2014年01月01日至2014年06月30日,,,,              3340575,              3340575,                  9480,                  5852,              3325243,              3325243,,              3153812,                171431,                171431,,,                179637,,                 44368,,                  4443,                228448,                -57017,,,                 25315,,                  8369,,                 10724,,                  2947,                 25907,                -31110,,                  6439,                -37549,                -37549,,,                -10332,                  1765,,                    296,                 -8271,                 -8271,                -45820,,                -37539,                    -10,,                -45813,                     -7,,                             -0.12,,                              0.00,                              0,,,,,,,,,
