證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 銷貨收入淨額,　　　 銷貨收入淨額
6605,2015年第3季,,              3658715,,              2608733,              1049982,              1049982,,,                212703,,                175160,,                230878,                618741,                431241,,,                 18846,,                317427,,                 46133,                 46133,                290140,                721381,,                 90487,                630894,                630894,,,                 23726,                  3905,                 19821,                 19821,                650715,,                633381,                 -2487,,                652448,                 -1733,,                              3.82,                              3.82,,                              3.80,                              3.80,,,,,,,
6605,2015年第2季,,              3601469,,              2541506,              1059963,              1059963,,,                230225,,                169716,,                191815,                591756,                468207,,,                 26997,,                -36415,,                 40226,                 40226,                -49644,                418563,,                149888,                268675,                268675,,,                -16013,                 -2658,                -13355,                -13355,                255320,,                271462,                 -2787,,                258484,                 -3164,,                              1.64,                              1.64,,                              1.62,                              1.62,,,,,,,
6605,2015年01月01日至2015年09月30日,,             10788550,,              7625905,              3162645,              3162645,,,                693986,,                498778,,                596644,              1789408,              1373237,,,                 63433,,                168639,,                126178,                126178,                105894,              1479131,,                292722,              1186409,              1186409,,,                -23117,                 -3890,                -19227,                -19227,              1167182,,              1194102,                 -7693,,              1175112,                 -7930,,                              7.20,                              7.20,,                              7.14,                              7.14,,,,,,,
6605,2015年01月01日至2015年06月30日,,              7129835,,              5017172,              2112663,              2112663,,,                481283,,                323618,,                365766,              1170667,                941996,,,                 44587,,               -148788,,                 80045,                 80045,               -184246,                757750,,                202235,                555515,                555515,,,                -46843,                 -7795,                -39048,                -39048,                516467,,                560721,                 -5206,,                522664,                 -6197,,                              3.38,                              3.38,,                              3.35,                              3.35,,,,,,,
6605,2015年01月01日至2015年03月31日,,              3528366,,              2475666,              1052700,              1052700,,,                251058,,                153902,,                173951,                578911,                473789,,,                 17590,,               -112373,,                 39819,                 39819,               -134602,                339187,,                 52347,                286840,                286840,,,                -30830,                 -5137,                -25693,                -25693,                261147,,                289259,                 -2419,,                264180,                 -3033,,                              1.74,                              1.74,,                              1.73,                              1.73,,,,,,,
6605,2014年第3季,,              3529238,,              2544952,                984286,                984286,,,                217098,,                147468,,                176430,                540996,                443290,,,                 15514,,                 57964,,                 30625,                 30625,                 42853,                486143,,                 85341,                400802,                400802,,,                 35746,                  5938,                 29808,                 29808,                430610,,                404891,                 -4089,,                433883,                 -3273,,                              2.44,                              2.44,,                              2.43,                              2.43,,,,,,,
6605,2014年第2季,,              3715883,,              2621284,              1094599,              1094599,,,                239445,,                158295,,                167294,                565034,                529565,,,                 38414,,                -73478,,                 31895,                 31895,                -66959,                462606,,                137270,                325336,                325336,,,                -40037,                 -6637,                -33400,                -33400,                291936,,                329385,                 -4049,,                296982,                 -5046,,                              1.99,                              1.99,,                              1.97,                              1.97,,,,,,,
6605,2014年度,,             14711547,,             10496938,              4214609,              4214609,,,                898573,,                629246,,                760903,              2288722,              1925887,,,                 93216,,                209277,,                138747,                138747,                163746,              2089633,,                432989,              1656644,              1656644,,,,,,                 86450,              1743094,,              1670101,                -13457,,              1754079,                -10985,,                             10.07,                             10.07,,                             10.00,                             10.00,,                              0,                108384,                 -4734,                 17200,,
6605,2014年01月01日至2014年09月30日,,             10918081,,              7803502,              3114579,              3114579,,,                662138,,                458429,,                521681,              1642248,              1472331,,,                 70264,,                 41371,,                 97196,                 97196,                 14439,              1486770,,                330708,              1156062,              1156062,,,                 17899,                  2954,                 14945,                 14945,              1171007,,              1166908,                -10846,,              1181330,                -10323,,                              7.04,                              7.04,,                              6.99,                              6.99,,,,,,,
6605,2014年01月01日至2014年06月30日,,              7388843,,              5258550,              2130293,              2130293,,,                445040,,                310961,,                345251,              1101252,              1029041,,,                 54750,,                -16593,,                 66571,                 66571,                -28414,              1000627,,                245367,                755260,                755260,,,                -17847,                 -2984,                -14863,                -14863,                740397,,                762017,                 -6757,,                747447,                 -7050,,                              4.60,                              4.60,,                              4.57,                              4.57,,,,,,,
6605,2014年01月01日至2014年03月31日,,              3672960,,              2637266,              1035694,              1035694,,,                205595,,                152666,,                177957,                536218,                499476,,,                 16336,,                 56885,,                 34676,                 34676,                 38545,                538021,,                108097,                429924,                429924,,,                 22190,                  3653,                 18537,                 18537,                448461,,                432632,                 -2708,,                450465,                 -2004,,                              2.61,                              2.61,,                              2.59,                              2.59,,,,,,,
6605,2013年第3季,,              3463251,,              2502818,                960433,                960433,,,                198100,,                148480,,                176580,                523160,                332100,,,                 17850,,                -47616,,                 27878,                 27878,                -57644,                274456,,                 52970,                221486,                221486,,,,,,                -12660,                208826,,                224893,                 -3407,,                212781,                 -3955,,                              1.36,                              1.36,,                              1.35,                              1.35,,               -105173,                -15141,,                 -2481,,
6605,2013年第2季,,              3417414,,              2418365,                999049,                999049,,,                221183,,                159780,,                203187,                584150,                414899,,,                 38310,,                 38337,,                 28008,                 28008,                 48639,                463538,,                118562,                344976,                344976,,,,,,                 38015,                382991,,                345901,                   -925,,                382749,                    242,,                              2.09,                              2.09,,                              2.07,                              2.07,,,                 44639,,                  6624,,
6605,2013年度,,             13639496,,              9730403,              3909093,              3909093,,,                814230,,                609978,,                751111,              2175319,              1599878,,,                 98174,,                 90050,,                111383,                111383,                 76841,              1676719,,                345300,              1331419,              1331419,,,,,,                105786,              1437205,,              1337253,                 -5834,,              1439877,                 -2672,,                              8.06,                              8.06,,                              8.01,                              8.01,,               -133896,                117958,                 -2730,                  9442,,
6605,2013年07月01日至2013年09月30日,,              3463251,,              2502818,                960433,                960433,,,                198100,,                148480,,                176580,                523160,                332100,,,                 17850,,                -47616,,                 27878,                 27878,                -57644,                274456,,                 52970,                221486,                221486,,,,,,                -12660,                208826,,                224893,                 -3407,,                212781,                 -3955,,                              1.36,                              1.36,,                              1.35,                              1.35,,               -105173,                -15141,,                 -2481,,
6605,2013年04月01日至2013年06月30日,,              3417414,,              2418365,                999049,                999049,,,                221183,,                159780,,                203187,                584150,                414899,,,                 38310,,                 38337,,                 28008,                 28008,                 48639,                463538,,                118562,                344976,                344976,,,,,,                 38015,                382991,,                345901,                   -925,,                382749,                    242,,                              2.09,                              2.09,,                              2.07,                              2.07,,,                 44639,,                  6624,,
6605,2013年01月01日至2013年12月31日,,             13639496,,              9730403,              3909093,              3909093,,,                814230,,                609978,,                751111,              2175319,              1599878,,,                 98174,,                 90050,,                111383,                111383,                 76841,              1676719,,                345300,              1331419,              1331419,,,,,,                105786,              1437205,,              1337253,                 -5834,,              1439877,                 -2672,,                              8.06,                              8.06,,                              8.01,                              8.01,,               -133896,                117958,                 -2730,                  9442,,
6605,2013年01月01日至2013年09月30日,,             10016477,,              7149082,              2867395,              2867395,,,                605897,,                444264,,                544218,              1594379,              1167843,,,                 70588,,                 63593,,                 82403,                 82403,                 51778,              1219621,,                264261,                955360,                955360,,,,,,                 79044,              1034404,,                960567,                 -5207,,              1037324,                 -2920,,                              5.79,                              5.79,,                              5.75,                              5.75,,               -105173,                 83187,,                  4143,,
6605,2013年01月01日至2013年06月30日,,              6553226,,              4646264,              1906962,              1906962,,,                407797,,                295784,,                367638,              1071219,                835743,,,                 52738,,                111209,,                 54525,                 54525,                109422,                945165,,                211291,                733874,                733874,,,,,,                 91704,                825578,,                735674,                 -1800,,                824543,                  1035,,                              4.44,                              4.44,,                              4.40,                              4.40,,,                 98328,,                  6624,,
6605,2013年01月01日至2013年03月31日,,              3135812,,              2227899,                907913,                907913,,,                186614,,                136004,,                164451,                487069,                420844,,,                 14428,,                 72872,,                 26517,                 26517,                 60783,                481627,,                 92729,                388898,                388898,,,,,,                 53689,                442587,,                389773,                   -875,,                441794,                    793,,                              2.35,                              2.35,,                              2.33,                              2.33,,,                 53689,,                              0,,              3135812
6605,2012年07月01日至2012年09月30日,,              3017433,,              2160100,                857333,                857333,,,                159721,,                123965,,                178588,                462274,                395059,,,                 13622,,                -68691,,                 26778,                 26778,                -81847,                313212,,                 64402,                248810,                248810,,,,,,                -36834,                211976,,                249213,                   -403,,                213307,                 -1331,,                              1.50,                              1.50,,                              1.50,                              1.50,,                              0,                -36834,,                              0,,
6605,2012年04月01日至2012年06月30日,,              3121037,,              2340628,                780409,                780409,,,                174254,,                142550,,                157084,                473888,                306521,,,                 14055,,                -33299,,                 28883,                 28883,                -48127,                258394,,                 36307,                222087,                222087,,,,,,                  8653,                230740,,                222839,                   -752,,                231002,                   -262,,                              1.34,                              1.34,,                              1.34,                              1.34,,,                  8653,,                              0,,
6605,2012年01月01日至2012年12月31日,,             12623933,,              9184070,              3439863,              3439863,,,                682121,,                534110,,                703238,              1919469,              1520394,,,                 55323,,               -194406,,                106113,                106113,               -245196,              1275198,,                191867,              1083331,              1083331,,,,,,                -70398,              1012933,,              1085464,                 -2133,,              1015707,                 -2774,,                              6.55,                              6.55,,                              6.51,                              6.51,,                              0,                -57168,                -13230,                              0,,
6605,2012年01月01日至2012年09月30日,,              9259570,,              6673296,              2586274,              2586274,,,                501438,,                395049,,                477192,              1373679,              1212595,,,                 37793,,               -180056,,                 80501,                 80501,               -222764,                989831,,                196432,                793399,                793399,,,,,,                -60785,                732614,,                794443,                 -1044,,                734315,                 -1701,,                              4.79,                              4.79,,                              4.77,                              4.77,,                              0,                -60785,,                              0,,
6605,2012年01月01日至2012年06月30日,,              6242137,,              4513196,              1728941,              1728941,,,                341717,,                271084,,                298604,                911405,                817536,,,                 24171,,               -111365,,                 53723,                 53723,               -140917,                676619,,                132030,                544589,                544589,,,,,,                -23951,                520638,,                545230,                   -641,,                521008,                   -370,,                              3.29,                              3.29,,                              3.28,                              3.28,,,                -23951,,                              0,,
6605,2012年01月01日至2012年03月31日,,              3121100,,              2172568,                948532,                948532,,,                167463,,                128534,,                141520,                437517,                511015,,,                 10116,,                -78066,,                 24840,                 24840,                -92790,                418225,,                 95723,                322502,                322502,,,,,,                -32604,                289898,,                322391,                    111,,                290006,                   -108,,,                              1.94,,,                              1.94,,,                -32604,,,,              3121100
