證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 現金流量避險,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
5388,2015年第3季,,             10415166,,              8861972,              1553194,              1553194,,,                277606,,                239958,,                411000,                928564,                624630,,,                 29060,,                -94240,,                 22783,                -87963,                536667,,                 96770,                439897,                439897,,,                171715,                -19008,                 90212,                 44823,                198096,                198096,                637993,,                441814,                 -1917,,                639733,                 -1740,,                              1.89,,                              1.81,,,,,,,
5388,2015年01月01日至2015年09月30日,,             25324452,,             21774853,              3549599,              3549599,,,                711158,,                604183,,              1054063,              2369404,              1180195,,,                 83196,,                -70825,,                 50663,                -38292,              1141903,,                207083,                934820,                934820,,,                 80948,                  7759,                115522,                 49806,                154423,                154423,              1089243,,                938990,                 -4170,,              1093345,                 -4102,,                              4.01,,                              3.85,,,,,,,
5388,2014年第3季,,              6147207,,              5222406,                924801,                924801,,,                173016,,                165814,,                271857,                610687,                314114,,,                 27261,,                -27495,,                 24391,                -24625,                289489,,                 50263,                239226,                239226,,,                 89596,                  4474,                101464,                 17249,                178285,                178285,                417511,,                239226,                              0,,                417511,                              0,,                              1.07,,                              1.00,,,,,,,
5388,2014年第2季,,              6020927,,              5032296,                988631,                988631,,,                192715,,                180268,,                289429,                662412,                326219,,,                 12988,,                  6769,,                 18379,                  1378,                327597,,                 55940,                271657,                271657,,,,,,,,                -25127,                246530,,                271657,                              0,,                246530,                              0,,                              1.22,,                              1.14,,,                -56721,                  1828,                 35862,,                  6096
5388,2014年度,,             23192689,,             19537702,              3654987,              3654987,,,                694209,,                653646,,              1126715,              2474570,              1180417,,,                 85506,,                  5431,,                 82416,                  8521,              1188938,,                239879,                949059,                949059,,,,,,,,                239821,              1188880,,                949302,                   -243,,              1188877,                      3,,                              4.21,,                              3.93,,                              0,                121390,                 13342,                132356,                 -6562,                 20705
5388,2014年01月01日至2014年09月30日,,             16838897,,             14135059,              2703838,              2703838,,,                532326,,                489490,,                808669,              1830485,                873353,,,                 53586,,                -32866,,                 55757,                -35037,                838316,,                143642,                694674,                694674,,,                  7575,                 10928,                156084,                 26534,                148053,                148053,                842727,,                694674,                              0,,                842727,                              0,,                              3.10,,                              2.90,,,,,,,
5388,2014年01月01日至2014年06月30日,,             10691690,,              8912653,              1779037,              1779037,,,                359310,,                323676,,                536812,              1219798,                559239,,,                 26325,,                 -5371,,                 31366,                -10412,                548827,,                 93379,                455448,                455448,,,,,,,,                -30232,                425216,,                455448,                              0,,                425216,                              0,,                              2.05,,                              1.91,,,                -82021,                  6454,                 54620,,                  9285
5388,2014年01月01日至2014年03月31日,,              4670763,,              3880357,                790406,                790406,,,                166595,,                143408,,                247383,                557386,                233020,,,                 13337,,                -12140,,                 12987,                -11790,                221230,,                 37439,                183791,                183791,,,,,,,,                 -5105,                178686,,                183791,,,                178686,,,                              0.84,,                              0.78,,,                -25300,                  4626,                 18758,,                  3189
5388,2013年第3季,,              5073154,,              4242551,                830603,                830603,,,                155293,,                154375,,                244820,                554488,                276115,,,                 15350,,                  1391,,                 14464,                  2277,                278392,,                 50190,                228202,                228202,,,,,,,,                -51210,                176992,,                228215,                    -13,,                177005,                    -13,,                              1.15,,                              0.98,,,                -36621,                   -164,                -17380,,                 -2955
5388,2013年第2季,,              5093177,,              4290778,                802399,                802399,,,                158137,,                155715,,                243188,                557040,                245359,,,                 11198,,                 93286,,                 14083,                 90401,                335760,,                 59482,                276278,                276278,,,,,,,,                 39770,                316048,,                276291,                    -13,,                316061,                    -13,,                              1.39,,                              1.20,,,                 56014,                 -1576,                -14315,,                    353
