證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 銷貨成本,　　　 銷貨成本合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 其他營業收入,　　　 其他營業收入淨額,　　 研究發展費用,　　　 研究發展費用合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計
2020,2015年第3季,,              1025973,,                928756,                 97217,                      5,                              0,                 97212,,,                 23204,,                172928,                196132,                -98920,,,                 67026,,               -539358,,                  8115,,                  5527,               -474920,               -573840,,                 14850,               -588690,               -588690,,,                    -92,                    -92,,                 38849,               -119538,,                -10405,                  4616,                -95710,                -95802,               -684492,,               -473336,               -115354,,               -579542,               -104950,,                             -1.84,,,,,,,,,,,,,,,,
2020,2015年第2季,,              1177430,,              1054840,                122590,                    305,                              0,                122285,,,                 25488,,                 70810,                 96298,                 25987,,,                 22690,,                -11604,,                  7515,,                  7664,                 11235,                 37222,,                 11399,                 25823,                 25823,,,                    -92,                    -92,,                 -9781,                 -8391,,                -13927,                 -2835,                -29264,                -29356,                 -3533,,                 30253,                 -4430,,                  3169,                 -6702,,                              0.12,,,,,,,,,,,,,,,,
2020,2015年01月01日至2015年09月30日,,              3312688,,              3011265,                301423,                    455,                    355,                301323,,,                 75826,,                295596,                371422,                -70099,,,                 99631,,               -551736,,                 23798,,                 27515,               -448388,               -518487,,                 31131,               -549618,               -549618,,,                    -69,                    -69,,                  2892,               -118582,,                -31203,                 -1763,               -145130,               -145199,               -694817,,               -427218,               -122400,,               -573351,               -121466,,                             -1.66,,,,,,,,,,,,,,,,
2020,2015年01月01日至2015年06月30日,,              2286715,,              2082509,                204206,                    450,                    355,                204111,,,                 52622,,                122668,                175290,                 28821,,,                 32605,,                -12378,,                 15683,,                 21988,                 26532,                 55353,,                 16281,                 39072,                 39072,,,                     23,                     23,,                -35957,                    956,,                -20798,                 -6379,                -49420,                -49397,                -10325,,                 46118,                 -7046,,                  6191,                -16516,,                              0.18,,,,,,,,,,,,,,,,
2020,2015年01月01日至2015年03月31日,,              1109285,,              1027669,                 81616,                    145,                    355,                 81826,,,                 27134,,                 51858,                 78992,                  2834,,,                  9915,,                   -774,,                  8168,,                 14324,                 15297,                 18131,,                  4882,                 13249,                 13249,,,                    115,                    115,,                -26176,                  9347,,                 -6871,                 -3544,                -20156,                -20041,                 -6792,,                 15865,                 -2616,,                  3022,                 -9814,,                              0.06,,,,,,,,,,,,,,,,
2020,2014年第3季,,              1339351,,              1212763,                126588,                              0,                              0,                126588,,,                 25267,,                 48575,                 73842,                 52746,,,                 22373,,                -16296,,                  7934,,                 52368,                 50511,                103257,,                  9747,                 93510,                 93510,,,                              0,                              0,,                 21106,                -39571,,                  9227,                  3380,                -12618,                -12618,                 80892,,                 85875,                  7635,,                 68059,                 12833,,                              0.33,,,,,,,,,,,,,,,,
2020,2014年第2季,,              1622699,,              1295959,                326740,                              0,                              0,                326740,,,                 44767,,                 62798,                107565,                219175,,,                 20866,,                -15990,,                  7576,,                 13125,                 10425,                229600,,                 18067,                211533,                211533,,,                              0,                              0,,                -25464,                 -3472,,                 -7172,                 -3810,                -32298,                -32298,                179235,,                204859,                  6674,,                178776,                    459,,                              0.78,,,,,,,,,,,,,,,,
2020,2014年度,,              5678691,,              5029774,                648917,                    355,,                648562,,,                123979,,                190594,                314573,                333989,,,                 58274,,               -121748,,                 33623,,                 85169,                -11928,                322061,,                 55082,                266979,                266979,,,,,,,,,,,,                 16166,                283145,,                239729,                 27250,,                240722,                 42423,,                              0.92,,              5678691,,              5029774,                 62872,                -65521,                  4160,,                 24320,                  9665,,,,,,
2020,2014年01月01日至2014年09月30日,,              4296223,,              3723526,                572697,                              0,                              0,                572697,,,                 96766,,                149956,                246722,                325975,,,                 51210,,               -111761,,                 23520,,                 76159,                 -7912,                318063,,                 40907,                277156,                277156,,,                              0,                              0,,                 21472,                -71389,,                 11190,                  3459,                -42186,                -42186,                234970,,                255772,                 21384,,                208283,                 26687,,                              0.98,,,,,,,,,,,,,,,,
2020,2014年01月01日至2014年06月30日,,              2956872,,              2510763,                446109,                              0,                              0,                446109,,,                 71499,,                101381,                172880,                273229,,,                 28837,,                -95465,,                 15586,,                 23791,                -58423,                214806,,                 31160,                183646,                183646,,,                              0,                              0,,                    366,                -31818,,                  1963,                     79,                -29568,                -29568,                154078,,                169897,                 13749,,                140224,                 13854,,                              0.65,,,,,,,,,,,,,,,,
2020,2014年01月01日至2014年03月31日,,              1334173,,              1214804,                119369,                              0,                              0,                119369,,,                 26732,,                 38583,                 65315,                 54054,,,                  7971,,                -79475,,                  8010,,                 10666,                -68848,                -14794,,                 13093,                -27887,                -27887,,,                              0,                              0,,                 25830,                -28346,,                  9135,                  3889,                  2730,                  2730,                -25157,,                -34962,                  7075,,                -38552,                 13395,,                             -0.13,,,,,,,,,,,,,,,,
2020,2013年第3季,,              1437499,,              1321228,                116271,,,                116271,,,                 27005,,                 43794,                 70799,                 45472,,,                 16370,,                 -8228,,                 10899,,                 10909,                  8152,                 53624,,                 10252,                 43372,                 43372,,,,,,,,,,,,                -10194,                 33178,,                 47280,                 -3908,,                 39320,                 -6142,,                              0.18,,              1434527,,,                -11924,                  4090,                    -45,,                 -4046,                 -1731,,                  2972,,,,
2020,2013年第2季,,              1240583,,              1111752,                128831,,,                128831,,,                 24323,,                 49556,                 73879,                 54952,,,                 18491,,                -30840,,                 11311,,                 21350,                 -2310,                 52642,,                 15980,                 36662,                 36662,,,,,,,,,,,,                 -1313,                 35349,,                 38778,                 -2116,,                 36652,                 -1303,,                              0.15,,,,,                  5437,                 -8786,                    -46,,                  2952,                    870,,,,,,
2020,2013年度,,              5331072,,              4794407,                536665,                              0,,                536665,,,                103988,,                176370,                280358,                256307,,,                 53023,,                -68877,,                 44297,,                 45483,                -14668,                241639,,                 59618,                182021,                182021,,,,,,,,,,,,                 20525,                202546,,                178012,                  4009,,                192076,                 10470,,                              0.68,,              5331072,,              4794407,                 27319,                 -4777,                 -5289,,                  6818,                  3546,,,,,,
2020,2013年07月01日至2013年09月30日,,              1437499,,              1321228,                116271,,,                116271,,,                 27005,,                 43794,                 70799,                 45472,,,                 16370,,                 -8228,,                 10899,,                 10909,                  8152,                 53624,,                 10252,                 43372,                 43372,,,,,,,,,,,,                -10194,                 33178,,                 47280,                 -3908,,                 39320,                 -6142,,                              0.18,,,,,                -11924,                  4090,                    -45,,                 -4046,                 -1731,,,,                              0,,
2020,2013年04月01日至2013年06月30日,,              1240583,,              1111752,                128831,,,                128831,,,                 24323,,                 49556,                 73879,                 54952,,,                 18491,,                -30840,,                 11311,,                 21350,                 -2310,                 52642,,                 15980,                 36662,                 36662,,,,,,,,,,,,                 -1313,                 35349,,                 38778,                 -2116,,                 36652,                 -1303,,                              0.15,,              1240583,,,                  5437,                 -8786,                    -46,,                  2952,                    870,,,,                              0,,                              0.00
2020,2013年01月01日至2013年12月31日,,              5331072,,              4794407,                536665,,,                536665,,,                103988,,                176370,                280358,                256307,,,                 53023,,                -68877,,                 44297,,                 45483,                -14668,                241639,,                 59618,                182021,                182021,,,,,,,,,,,,                 20525,                202546,,                178012,                  4009,,                192076,                 10470,,                              0.68,,,,,                 27319,                 -4777,                 -5289,,                  6818,                  3546,,,,                              0,,
2020,2013年01月01日至2013年09月30日,,              3945966,,              3541845,                404121,,,                404121,,,                 77530,,                135178,                212708,                191413,,,                 42552,,                -36583,,                 33816,,                 43906,                 16059,                207472,,                 41422,                166050,                166050,,,,,,,,,,,,                 22860,                188910,,                165483,                    567,,                184266,                  4644,,                              0.63,,              3914784,,,                 17162,                    792,                    -74,,                  7205,                  2225,,                 31182,,,,
2020,2013年01月01日至2013年06月30日,,              2508467,,              2220617,                287850,,,                287850,,,                 50525,,                 91384,                141909,                145941,,,                 26182,,                -28355,,                 22917,,                 32997,                  7907,                153848,,                 31170,                122678,                122678,,,,,,,,,,,,                 33054,                155732,,                118203,                  4475,,                144946,                 10786,,                              0.45,,,,,                 29086,                 -3298,                    -29,,                 11251,                  3956,,,,,,
2020,2013年01月01日至2013年03月31日,,              1267884,,              1108865,                159019,,,                159019,,,                 26202,,                 41828,                 68030,                 90989,,,                  7691,,                  2485,,                 11606,,                 11647,                 10217,                101206,,                 15190,                 86016,                 86016,,,,,,,,,,,,                 34367,                120383,,                 79425,                  6591,,                108294,                 12089,,                              0.30,,,,,                 23649,                  5488,                     17,,                  8299,                  3086,,,,,,
2020,2012年07月01日至2012年09月30日,,              1388266,,              1291943,                 96323,,,                 96323,,,                 31094,,                 61074,                 98742,                 -2419,,,                 29157,,                  4142,,                 13074,,                  5367,                 25592,                 23173,,                   -415,                 23588,                 23588,,,,,,,,,,,,                -49895,                -26307,,                 20870,                  2718,,                -22030,                 -4277,,                             -0.08,,,,,                -26807,                -26321,                              0,,                      3,                 -3230,,,,                  6574,,
2020,2012年04月01日至2012年06月30日,,              1447498,,              1327662,                119836,,,                119836,,,                 32192,,                 51286,                 90784,                 29052,,,                 43027,,                -31775,,                 13324,,                  5096,                  3024,                 32076,,                  7464,                 24612,                 24612,,,,,,,,,,,,                    766,                 25378,,                 20341,                  4271,,                 17628,                  7750,,                              0.07,,              1447498,,,                 13816,                 -8451,                              0,,                 -2980,                  1619,,,,                  7306,,                              0.07
2020,2012年01月01日至2012年12月31日,,              5708480,,              5245641,                462839,,,                462839,,,                122797,,                208147,                358013,                104826,,,                113313,,                -34140,,                 52296,,                 27827,                 54704,                159530,,                  7159,                152371,                152371,,,,,,,,,,,,                -16412,                135959,,                146047,                  6324,,                141160,                 -5201,,                              0.54,,,,,                -44977,                 38283,                 -7656,,                 -7749,                 -5687,,,,                 27069,,
2020,2012年01月01日至2012年09月30日,,              4222028,,              3894947,                327081,,,                327081,,,                 91070,,                164024,                276536,                 50545,,,                104688,,                -24018,,                 39618,,                 16045,                 57097,                107642,,                 10470,                 97172,                 97172,,,,,,,,,,,,                -45630,                 51542,,                 79643,                 17529,,                 44826,                  6716,,                              0.29,,,,,                -40520,                 -7183,                              0,,                 -2977,                 -5050,,,,                 21442,,
2020,2012年01月01日至2012年06月30日,,              2833762,,              2603004,                230758,,,                230758,,,                 59976,,                102950,                177794,                 52964,,,                 75531,,                -28160,,                 26544,,                 10678,                 31505,                 84469,,                 10885,                 73584,                 73584,,,,,,,,,,,,                  4265,                 77849,,                 58773,                 14811,,                 66856,                 10993,,                              0.21,,              2833762,,,                -13713,                 19138,                              0,,                 -2980,                 -1820,,,,                 14868,,                              0.21
2020,2012年01月01日至2012年03月31日,,              1386264,,              1275342,                110922,,,                110922,,,                 27784,,                 51664,                 87010,                 23912,,,                 32504,,                  3615,,                 13220,,                  5582,                 28481,                 52393,,                  3421,                 48972,                 48972,,,,,,,,,,,,                  3499,                 52471,,                 38432,                 10540,,                 49228,                  3243,,                              0.14,,,,,                -27529,                 27589,                              0,,                              0,                 -3439,,,,                  7562,,                              0.14
