證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 租賃收入,　　　 租賃收入合計,　　 營建工程收入,　　　 工程收入,　　　　 工程收入淨額,　　　 營建工程收入合計,　　 銷貨成本,　　　 銷貨成本合計,　　 租賃成本,　　　 租賃成本合計,　　 營建工程成本,　　　 工程成本,　　　 營建工程成本合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
1618,2015年第3季,,                584638,,                530448,                 54190,                 54190,,,                 13763,,                 11334,,                  1811,                 26908,                 27282,,,                  1543,,                 13706,,                     26,,                    -33,                 15190,                 42472,,                  8743,                 33729,                 33729,,,                  1735,                -26335,                -24600,                -24600,                  9129,,                 33729,                              0,,                  9129,                              0,,                              0.14,                              0.14,,,,,,,,,,,,,,,,,,,,,,
1618,2015年第2季,,                385722,,                370707,                 15015,                 15015,,,                 10600,,                 10888,,                 18951,                 40439,                -25424,,,                 10376,,                 -3617,,                     25,,                    733,                  7467,                -17957,,                 -1957,                -16000,                -16000,,,                   -399,                -77146,                -77545,                -77545,                -93545,,                -16000,                              0,,                -93545,                              0,,                             -0.07,                             -0.07,,,,,,,,,,,,,,,,,,,,,,
1618,2015年01月01日至2015年09月30日,,              1389866,,              1344288,                 45578,                 45578,,,                 36475,,                 33501,,                 26370,                 96346,                -50768,,,                 14888,,                  5627,,                     74,,                  1012,                 21453,                -29315,,                 -2612,                -26703,                -26703,,,                  1069,               -147456,               -146387,               -146387,               -173090,,                -26703,                              0,,               -173090,                              0,,                             -0.11,                             -0.11,,,,,,,,,,,,,,,,,,,,,,
1618,2015年01月01日至2015年06月30日,,                805228,,                813840,                 -8612,                 -8612,,,                 22712,,                 22167,,                 24559,                 69438,                -78050,,,                 13345,,                 -8079,,                     48,,                  1045,                  6263,                -71787,,                -11355,                -60432,                -60432,,,                   -666,               -121121,               -121787,               -121787,               -182219,,                -60432,                              0,,               -182219,                              0,,                             -0.25,                             -0.25,,,,,,,,,,,,,,,,,,,,,,
1618,2015年01月01日至2015年03月31日,,                419506,,                443133,                -23627,                -23627,,,                 12112,,                 11279,,                  5608,                 28999,                -52626,,,                  2969,,                 -4462,,                     23,,                    312,                 -1204,                -53830,,                 -9398,                -44432,                -44432,,,                   -267,                -43975,                -44242,                -44242,                -88674,,                -44432,                              0,,                -88674,                              0,,                             -0.18,                             -0.18,,                              0.00,                              0.00,,,,,,,,,,,,,,,,,,,
1618,2014年第3季,,                367007,,                348845,                 18162,                 18162,,,                 14499,,                  7666,,                  6341,                 28506,                -10344,,,                  5130,,                 43651,,                     25,,                     95,                 48851,                 38507,,                   -168,                 38675,                 38675,,,                    436,                -85647,                -85211,                -85211,                -46536,,                 38675,                              0,,                -46536,                              0,,                              0.16,                              0.16,,,,,,,,,,,,,,,,,,,,,,
1618,2014年第2季,,                547747,,                549371,                 -1624,                 -1624,,,                 14487,,                  9437,,                  9519,                 33443,                -35067,,,                  8608,,                 -1404,,                     30,,                    176,                  7350,                -27717,,                    458,                -28175,                -28175,,,                   -480,                -21851,                -22331,                -22331,                -50506,,                -28175,                              0,,                -50506,                              0,,                             -0.12,                             -0.12,,,,,,,,,,,,,,,,,,,,,,
1618,2014年度,,              1807620,,              1790720,                 16900,                 16900,,,                 55715,,                 36105,,                 23760,                115580,                -98680,,,                 26347,,                 43243,,                    108,,                    829,                 70311,                -28369,,                -14820,                -13549,                -13549,,,,,,               -117318,               -130867,,                -13549,                              0,,               -130867,                              0,,                             -0.06,                             -0.06,,,,,              1651758,,                 42419,,,                113443,                113443,,              1677190,,                 25548,,                 87982,                 87982,                  1529,               -118169,                   -678,
1618,2014年01月01日至2014年09月30日,,              1522602,,              1497698,                 24904,                 24904,,,                 43027,,                 26311,,                 20892,                 90230,                -65326,,,                 17993,,                 43439,,                     84,,                   -224,                 61124,                 -4202,,                 -1158,                 -3044,                 -3044,,,                    492,               -114990,               -114498,               -114498,               -117542,,                 -3044,                              0,,               -117542,                              0,,                             -0.01,                             -0.01,,,,,,,,,,,,,,,,,,,,,,
1618,2014年01月01日至2014年06月30日,,              1155595,,              1148853,                  6742,                  6742,,,                 28528,,                 18645,,                 14551,                 61724,                -54982,,,                 12863,,                   -212,,                     59,,                   -319,                 12273,                -42709,,                   -990,                -41719,                -41719,,,                     56,                -29343,                -29287,                -29287,                -71006,,                -41719,                              0,,                -71006,                              0,,                             -0.17,                             -0.17,,,,,,,,,,,,,,,,,,,,,,
1618,2014年01月01日至2014年03月31日,,                607848,,                599482,                  8366,                  8366,,,                 14041,,                  9208,,                  5032,                 28281,                -19915,,,                  4255,,                  1192,,                     29,,                   -495,                  4923,                -14992,,                 -1448,                -13544,                -13544,,,                    536,                 -7492,                 -6956,                 -6956,                -20500,,                -13544,                              0,,                -20500,                              0,,                             -0.06,                             -0.06,,                              0.00,                              0.00,,,,,,,,,,,,,,,,,,,
1618,2013年第3季,,                682508,,                662576,                 19932,                 19932,,,                 15170,,                  9671,,                  4696,                 29537,                 -9605,,,                  2354,,                   -535,,                     37,,                     83,                  1865,                 -7740,,                 -2383,                 -5357,                 -5357,,,,,,               -140559,               -145916,,                 -5357,                              0,,               -145916,                              0,,                             -0.02,                             -0.02,,,,,                580452,,                 13640,,,                 88416,                 88416,,                570188,,                  3971,,                 88417,                 88417,                   -319,               -140240,,
1618,2013年第2季,,                610160,,                625618,                -15458,                -15458,,,                 15169,,                 10348,,                  4173,                 29690,                -45148,,,                 16871,,                    486,,                     31,,                   -283,                 17043,                -28105,,                  6630,                -34735,                -34735,,,,,,               -133368,               -168103,,                -34735,,,               -168103,,,                             -0.14,                             -0.14,,,,,                564402,,                 13567,,,                 32191,                 32191,,                587137,,                  6290,,                 32191,                 32191,                    127,               -133495,,
1618,2013年度,,              2533260,,              2472639,                 60621,                 60621,,,                 62816,,                 34745,,                 16028,                113589,                -52968,,,                 23601,,                -36596,,                    122,,                  1777,                -11340,                -64308,,                  1156,                -65464,                -65464,,,,,,               -381925,               -447389,,                -65464,                              0,,               -447389,                              0,,                             -0.27,                             -0.27,,,,,              2206318,,                 54378,,,                272564,                272564,,              2245421,,                 18834,,                208384,                208384,                    573,               -379669,                 -2829,
1618,2013年07月01日至2013年09月30日,,                682508,,                662576,                 19932,                 19932,,,                 15170,,                  9671,,                  4696,                 29537,                 -9605,,,                  2354,,                   -535,,                     37,,                     83,                  1865,                 -7740,,                 -2383,                 -5357,                 -5357,,,,,,               -140559,               -145916,,                 -5357,                              0,,               -145916,                              0,,                             -0.02,                             -0.02,,                              0.00,                              0.00,,                580452,,                 13640,,,                 88416,                 88416,,                570188,,                  3971,,                 88417,                 88417,                   -319,               -140240,,
1618,2013年04月01日至2013年06月30日,,                610160,,                625618,                -15458,                -15458,,,                 15169,,                 10348,,                  4173,                 29690,                -45148,,,                 16871,,                    486,,                     31,,                   -283,                 17043,                -28105,,                  6630,                -34735,                -34735,,,,,,               -133368,               -168103,,                -34735,,,               -168103,,,                             -0.14,                             -0.14,,                             -0.14,                             -0.14,,                564402,,                 13567,,,                 32191,                 32191,,                587137,,                  6290,,                 32191,                 32191,                    127,               -133495,,
1618,2013年01月01日至2013年12月31日,,              2533260,,              2472639,                 60621,                 60621,,,                 62816,,                 34745,,                 16028,                113589,                -52968,,,                 23601,,                -36596,,                    122,,                  1777,                -11340,                -64308,,                  1156,                -65464,                -65464,,,,,,               -381925,               -447389,,                -65464,                              0,,               -447389,                              0,,                             -0.27,                             -0.27,,                             -0.27,                             -0.27,,              2206318,,                 54378,,,                272564,                272564,,              2245421,,                 18834,,                208384,                208384,                    573,               -379669,                 -2829,                              0
1618,2013年01月01日至2013年09月30日,,              1892856,,              1857883,                 34973,                 34973,,,                 47004,,                 30015,,                 12172,                 89191,                -54218,,,                 21192,,                  2347,,                     96,,                   -200,                 23243,                -30975,,                  5075,                -36050,                -36050,,,,,,               -293520,               -329570,,                -36050,                              0,,               -329570,                              0,,                             -0.15,                             -0.15,,,,,              1649310,,                 40738,,,                202808,                202808,,              1704795,,                 14460,,                138628,                138628,                    390,               -293910,,
1618,2013年01月01日至2013年06月30日,,              1210348,,              1195307,                 15041,                 15041,,,                 31834,,                 20344,,                  7476,                 59654,                -44613,,,                 18838,,                  2882,,                     59,,                   -283,                 21378,                -23235,,                  7458,                -30693,                -30693,,,,,,               -152961,               -183654,,                -30693,,,               -183654,,,                             -0.13,                             -0.13,,,,,              1068858,,                 27098,,,                114392,                114392,,              1134607,,                 10489,,                 50211,                 50211,                    709,               -153670,,
1618,2013年01月01日至2013年03月31日,,                600188,,                569689,                 30499,                 30499,,,                 16665,,                  9996,,                  3303,                 29964,                    535,,,                  1967,,                  2396,,                     28,,                              0,                  4335,                  4870,,                    828,                  4042,                  4042,,,,,,                -19593,                -15551,,                  4042,                              0,,                -15551,                              0,,                              0.02,                              0.02,,                              0.02,                              0.02,,                504456,,                 13531,,,                 82201,                 82201,,                547470,,                  4199,,                 18020,                 18020,                    582,                -20175,,
1618,2012年07月01日至2012年09月30日,,              1231251,,              1047296,                183955,                183955,,,                 19466,,                  6778,,                  6358,                 32602,                151353,,,                 23695,,                  1411,,                    190,,                              0,                 24916,                176269,,                 25910,                150359,                150359,,,,,,                 41638,                191997,,                150359,                              0,,                191997,                              0,,                              0.62,                              0.62,,                              0.62,                              0.62,,              1145678,,                 13774,,,                 71799,                 71799,,                969229,,                  6268,,                 71799,                 71799,                   -407,                 42045,,
1618,2012年04月01日至2012年06月30日,,              1455463,,              1314879,                140584,                140584,,,                 17025,,                 12855,,                  3040,                 32920,                107664,,,                 14362,,                 -6851,,                     84,,                     23,                  7450,                115114,,                 21500,                 93614,                 93614,,,,,,                -55606,                 38008,,                 93614,,,                 38008,,,                              0.39,                              0.39,,                              0.39,                              0.39,,              1413391,,                 12980,,,                 29092,                 29092,,              1282266,,                  3521,,                 29092,                 29092,                  7557,                -63163,,
1618,2012年01月01日至2012年12月31日,,              4114407,,              3695637,                418770,                418770,,,                 67920,,                 34935,,                 17173,                120028,                298742,,,                 42989,,                 -5049,,                    334,,                  2467,                 40073,                338815,,                 51826,                286989,                286989,,,,,,                -30151,                256838,,                286989,                              0,,                256838,                              0,,                              1.19,                              1.19,,                              1.19,                              1.19,,              3901071,,                 53266,,,                160070,                160070,,              3516938,,                 17578,,                161121,                161121,                  5065,                -33238,                 -2383,                   -405
1618,2012年01月01日至2012年09月30日,,              3108350,,              2765056,                343294,                343294,,,                 51449,,                 28148,,                 12228,                 91825,                251469,,,                 39539,,                 -4462,,                    303,,                     23,                 34797,                286266,,                 50057,                236209,                236209,,,,,,                116315,                352524,,                236209,                              0,,                352524,                              0,,                              0.98,                              0.98,,                              0.98,                              0.98,,              2967675,,                 39735,,,                100940,                100940,,              2649759,,                 13307,,                101990,                101990,                  5259,                111056,,
1618,2012年01月01日至2012年06月30日,,              1877099,,              1717760,                159339,                159339,,,                 31983,,                 21370,,                  5870,                 59223,                100116,,,                 15844,,                 -5873,,                    113,,                     23,                  9881,                109997,,                 24147,                 85850,                 85850,,,,,,                 74677,                160527,,                 85850,,,                160527,,,                              0.36,                              0.36,,                              0.36,                              0.36,,              1821997,,                 25961,,,                 29141,                 29141,,              1680530,,                  7039,,                 30191,                 30191,                  5666,                 69011,,
1618,2012年01月01日至2012年03月31日,,                421636,,                402881,                 18755,                 18755,,,                 14958,,                  8515,,                  2830,                 26303,                 -7548,,,                  1482,,                    978,,                     29,,,                  2431,                 -5117,,                  2647,                 -7764,                 -7764,,,,,,                130283,                122519,,                 -7764,                              0,,                122519,                              0,,                             -0.03,                             -0.03,,                             -0.03,                             -0.03,,                408606,,                 12981,,,                     49,                     49,,                398264,,                  3518,,                  1099,                  1099,                 -1891,                132174,,
