證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓
2355,2013年度,,,             19322793,             19322793,,             16365576,              2957217,              2957217,,,                640067,,                384628,,                174519,              1199214,              1758003,,,                484865,,                 60470,,                 32892,                512443,              2270446,,                507598,              1762848,              1762848,,,,,,,                219283,              1982131,,              1746049,                 16799,,              1985227,                 -3096,,                              4.39,,                              4.36,                236854,                -20240,                  3215,                    546,,,,,,
2355,2013年07月01日至2013年09月30日,,,              5061107,              5061107,,              4277218,                783889,                783889,,,                156130,,                 99299,,                 45814,                301243,                482646,,,                 98748,,                 -2380,,                  7034,                 89334,                571980,,                137099,                434881,                434881,,,,,,,               -112157,                322724,,                434919,                    -38,,                336487,                -13763,,                              1.09,,                              1.09,                -83927,                -28230,,,,                              0,,,,
2355,2013年04月01日至2013年06月30日,,,              4807216,              4807216,,              4070987,                736229,                736229,,,                166544,,                118517,,                 25334,                310395,                425834,,,                184944,,                  2189,,                  6717,                180416,                606250,,                150224,                456026,                456026,,,,,,,                 12826,                468852,,                429964,                 26062,,                479612,                -10760,,                              1.08,,                              1.07,                  9142,                  3684,,,,                              0,,,,
2355,2013年01月01日至2013年12月31日,,,             19322793,             19322793,,             16365576,              2957217,              2957217,,,                640067,,                384628,,                174519,              1199214,              1758003,,,                484865,,                 60470,,                 32892,                512443,              2270446,,                507598,              1762848,              1762848,,,,,,,                219283,              1982131,,              1746049,                 16799,,              1985227,                 -3096,,                              4.39,,                              4.36,                236854,                -20240,                  3215,                    546,,                              0,,,,
2355,2013年01月01日至2013年09月30日,,,             14420740,             14420740,,             12143627,              2277113,              2277113,,,                471412,,                307406,,                129323,                908141,              1368972,,,                366751,,                 30398,,                 22420,                374729,              1743701,,                410635,              1333066,              1333066,,,,,,,                162819,              1495885,,              1310613,                 22453,,              1471459,                 24426,,                              3.30,,                              3.27,                180160,                -17341,,                              0,,,,,,
2355,2013年01月01日至2013年06月30日,,,              9359633,              9359633,,              7866409,              1493224,              1493224,,,                315282,,                242179,,                 49437,                606898,                886326,,,                268003,,                 32778,,                 15386,                285395,              1171721,,                273536,                898185,                898185,,,,,,,                274976,              1173161,,                875694,                 22491,,              1134972,                 38189,,                              2.20,,                              2.18,                264087,                 10889,,                              0,,,,,,
2355,2013年01月01日至2013年03月31日,,,              4552417,              4552417,,              3795422,                756995,                756995,,,                143954,,                128446,,                 24103,                296503,                460492,,,                 83059,,                 30589,,                  8669,                104979,                565471,,                123312,                442159,                442159,,,,,,,                262150,                704309,,                445730,                 -3571,,                655360,                 48949,,                              1.12,,                              1.11,                254945,                  7205,,,,,,              4576604,                  5912,                 18275
2355,2012年07月01日至2012年09月30日,,,              4772403,              4772403,,              3930965,                841438,                841438,,,                156814,,                132724,,                 72908,                362446,                478992,,,                 74275,,                 -5965,,                 11716,                 56596,                535588,,                 86396,                449192,                449192,,,,,,,                 -1646,                447546,,                471018,                -21826,,                462913,                -15367,,                              1.18,,                              1.18,                -50164,                 48518,,,,                      2,,,,
2355,2012年04月01日至2012年06月30日,,,              4478865,              4478865,,              3620486,                858379,                858379,,,                158485,,                240960,,                 26336,                425781,                432598,,,                 83771,,                 10871,,                 11259,                 83383,                515981,,                143230,                372751,                372751,,,,,,,                  1244,                373995,,                418715,                -45964,,                438078,                -64083,,                              1.05,,                              1.04,                  2765,                 -1521,,,,                              0,,,,
2355,2012年01月01日至2012年12月31日,,,             17548520,             17548520,,             14541724,              3006796,              3006796,,,                613258,,                492607,,                268191,              1374056,              1632740,,,                308759,,                 51726,,                 57254,                300798,              1933538,,                415994,              1517544,              1517544,,,,,,,               -129747,              1387797,,              1617210,                -99666,,              1496704,               -108907,,                              4.07,,                              4.03,               -161751,                 49729,                -21356,                 -3631,,                 -2433,,,,
2355,2012年01月01日至2012年09月30日,,,             13655582,             13655582,,             11180208,              2475374,              2475374,,,                472292,,                421786,,                209941,              1104019,              1371355,,,                241300,,                 86890,,                 47748,                278008,              1649363,,                354479,              1294884,              1294884,,,,,,,               -113306,              1181578,,              1373306,                -78422,,              1267565,                -85987,,                              3.45,,                              3.42,               -169288,                 55982,,,,                 -2434,,,,
2355,2012年01月01日至2012年06月30日,,,              8883179,              8883179,,              7249243,              1633936,              1633936,,,                315478,,                378113,,                 47982,                741573,                892363,,,                167025,,                 92855,,                 36032,                221412,              1113775,,                268083,                845692,                845692,,,,,,,               -111660,                734032,,                902288,                -56596,,                804652,                -70620,,                              2.27,,                              2.25,               -119124,                  7464,,,,                 -2436,,,,
2355,2012年01月01日至2012年03月31日,,,              4404314,              4404314,,              3628757,                775557,                775557,,,                184958,,                109188,,                 21647,                315793,                459764,,,                 83254,,                 79549,,                 24773,                138030,                597794,,                124853,                472941,                472941,,,,,,,               -112904,                360037,,                483573,                -10632,,                366574,                 -6537,,                              1.22,,                              1.21,               -121889,                  8985,,,,,,              4455008,                 10234,                 40460
