證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 研究發展費用,　　　 研究發展費用合計
3028,2015年第3季,,              6338135,,              5899736,                438399,                438399,,,                228560,,                 70002,                298562,                139837,,,                 42533,,                -52955,,                 19227,                -29649,                110188,,                 22331,                 87857,                 87857,,,                 84036,                -55911,                 28125,                 28125,                115982,,                 87857,                              0,,                115982,                              0,,                              0.41,                              0.41,,                              0.41,                              0.41,,,,,,
3028,2015年01月01日至2015年09月30日,,             17928185,,             16779814,              1148371,              1148371,,,                601552,,                198427,                799979,                348392,,,                 66522,,                -56382,,                 51332,                -41192,                307200,,                 60617,                246583,                246583,,,                 48775,                290352,                339127,                339127,                585710,,                246583,                              0,,                585710,                              0,,                              1.15,                              1.15,,                              1.15,                              1.15,,,,,,
3028,2015年01月01日至2015年03月31日,,              5382345,,              4989523,                392822,                392822,,,                182384,,                 72578,                254962,                137860,,,                  9455,,                  4851,,                 17154,                 -2848,                135012,,                 33095,                101917,                101917,,,                -14606,                 66283,                 51677,                 51677,                153594,,                101917,                              0,,                153594,                              0,,                              0.48,                              0.48,,                              0.48,                              0.48,,,,,,
3028,2014年第3季,,              7448917,,              7053610,                395307,                395307,,,                237850,,                 56457,                294307,                101000,,,                 29043,,                 -5695,,                 20831,                  2517,                103517,,                 14615,                 88902,                 88902,,,                 27854,                 -3511,                 24343,                 24343,                113245,,                 88915,                    -13,,                113258,                    -13,,                              0.42,                              0.42,,                              0.42,                              0.42,,,,,,
3028,2014年第2季,,              7207812,,              6880762,                327050,                327050,,,                202853,,                 71882,                274735,                 52315,,,                 14234,,                 33289,,                 17473,                 30050,                 82365,,                  2553,                 79812,                 79812,,,,,,                176914,                256726,,                 79659,                    153,,                256573,                    153,,                              0.37,                              0.37,,                              0.37,                              0.37,                -26417,                203331,,,,
3028,2014年度,,             27931198,,             26462399,              1468799,              1468799,,,                839428,,                263899,              1103327,                365472,,,                 61848,,                 68313,,                 81083,                 49078,                414550,,                 49508,                365042,                365042,,,,,,                364022,                729064,,                365042,                              0,,                729064,                              0,,                              1.71,                              1.71,,                              1.71,                              1.71,                 69289,                296655,                 -2316,                   -394,,
3028,2014年01月01日至2014年09月30日,,             21599731,,             20524953,              1074778,              1074778,,,                625024,,                183682,                808706,                266072,,,                 47647,,                 46827,,                 60172,                 34302,                300374,,                 34542,                265832,                265832,,,                 18297,                294933,                313230,                313230,                579062,,                265683,                    149,,                578913,                    149,,                              1.24,                              1.24,,                              1.24,                              1.24,,,,,,
3028,2014年01月01日至2014年06月30日,,             14150814,,             13471343,                679471,                679471,,,                387176,,                127225,                514401,                165070,,,                 18604,,                 52522,,                 39341,                 31785,                196855,,                 19927,                176928,                176928,,,,,,                288887,                465815,,                176766,                    162,,                465653,                    162,,                              0.83,                              0.83,,                              0.83,                              0.83,                 -9557,                298444,,,,
3028,2014年01月01日至2014年03月31日,,              6943002,,              6590581,                352421,                352421,,,                184323,,                 55343,                239666,                112755,,,                  4370,,                 19233,,                 21868,                  1735,                114490,,                 17374,                 97116,                 97116,,,                 16860,                 95113,                111973,                111973,                209089,,                 97107,                      9,,                209080,                      9,,                              0.45,                              0.45,,                              0.45,                              0.45,,,,,,
3028,2013年第3季,,              7581464,,              7224764,                356700,                356700,,,                221603,,                 57147,                278750,                 77950,,,                 22080,,                 10703,,                 14679,                 18104,                 96054,,                 13068,                 82986,                 82986,,,,,,                112706,                195692,,                 82866,                    120,,                195572,                    120,,                              0.39,                              0.39,,                              0.39,                              0.39,                -17448,                130154,,,,
