證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 其他綜合損益
2022,2015年第3季,,              1949369,,              1921466,                 27903,                 27903,,,                 44817,,                107605,,                              0,                152422,               -124519,,,                  4697,,                -71615,,                 42726,,                  7632,               -102012,               -226531,,                 -3619,               -222912,               -222912,,,                  1413,                -15209,,                              0,                    241,                -14037,                -14037,               -236949,,               -195076,                -27836,,               -215820,                -21129,,                             -0.36,,                              0.00,,,,,,,
2022,2015年第2季,,              1920730,,              1844368,                 76362,                 76362,,,                 55593,,                 74854,,,                130447,                -54085,,,                  1540,,                -44480,,                 28411,,                  5394,                -65957,               -120042,,                  1388,               -121430,               -121430,,,               -228038,               -114895,,                              0,                -38766,               -304167,               -304167,               -425597,,                -98346,                -23084,,               -294531,               -131066,,                             -0.18,,                              0.00,,,,,,,
2022,2015年01月01日至2015年09月30日,,              5855018,,              5678564,                176454,                176454,,,                160567,,                262681,,                              0,                423248,               -246794,,,                  7883,,               -134690,,                102471,,                 17524,               -211754,               -458548,,                -11112,               -447436,               -447436,,,               -237414,               -141946,,                              0,                -40360,               -339000,               -339000,               -786436,,               -377054,                -70382,,               -609023,               -177413,,                             -0.69,,                              0.00,,,,,,,
2022,2015年01月01日至2015年06月30日,,              3905649,,              3757098,                148551,                148551,,,                115750,,                155076,,,                270826,               -122275,,,                  3186,,                -63075,,                 59745,,                  9892,               -109742,               -232017,,                 -7493,               -224524,               -224524,,,               -238827,               -126737,,                              0,                -40601,               -324963,               -324963,               -549487,,               -181978,                -42546,,               -393203,               -156284,,                             -0.33,,                              0.00,,,,,,,
2022,2015年01月01日至2015年03月31日,,              1984919,,              1912730,                 72189,                 72189,,,                 60157,,                 80222,,,                140379,                -68190,,,                  1646,,                -18595,,                 31334,,                  4498,                -43785,               -111975,,                 -8881,               -103094,               -103094,,,                -10789,                -11842,,                              0,                 -1835,                -20796,                -20796,               -123890,,                -83632,                -19462,,                -98672,                -25218,,                             -0.15,,                              0.00,,,,,,,
2022,2014年第3季,,              1961029,,              1823259,                137770,                137770,,,                 55500,,                 80998,,                              0,                136498,                  1272,,,                  2349,,                 19622,,                 25408,,                  4257,                    820,                  2092,,                  1649,                    443,                    443,,,                 90673,                 38208,,                              0,                 15415,                113466,                113466,                113909,,                 -1892,                  2335,,                 82740,                 31169,,                              0.00,,                              0.00,,,,,,,
2022,2014年第2季,,              2346410,,              2196784,                149626,                149626,,,                 55133,,                 76631,,,                131764,                 17862,,,                  5656,,                  6626,,                 26376,,                  4389,                 -9705,                  8157,,                  3464,                  4693,                  4693,,,                -98054,                 13530,,                              0,                -16176,                -68348,                -68348,                -63655,,                  1667,                  3026,,                -37028,                -26627,,                              0.00,,                              0.00,,,,,,,
2022,2014年度,,              9006824,,              8429291,                577533,                577533,,,                225794,,                307888,,                              0,                533682,                 43851,,,                 19668,,                 89424,,                113341,,                 12337,                  8088,                 51939,,                 36090,                 15849,                 15849,,,,,,,,,                315043,                330892,,                  2693,                 13156,,                285556,                 45336,,                              0.00,,,                342108,                 28161,                 -1053,                 54173,,,
2022,2014年01月01日至2014年09月30日,,              6599077,,              6179210,                419867,                419867,,,                162789,,                226287,,                              0,                389076,                 30791,,,                 10379,,                 92602,,                 78192,,                 12909,                 37698,                 68489,,                  8625,                 59864,                 59864,,,                182357,                 76885,,                     90,                 31018,                228314,                228314,                288178,,                 39002,                 20862,,                277080,                 11098,,                              0.07,,                              0.07,,,,,,,
2022,2014年01月01日至2014年06月30日,,              4638048,,              4355951,                282097,                282097,,,                107289,,                145289,,,                252578,                 29519,,,                  8030,,                 72980,,                 52784,,                  8652,                 36878,                 66397,,                  6976,                 59421,                 59421,,,                 91684,                 38677,,                     90,                 15603,                114848,                114848,                174269,,                 40894,                 18527,,                194340,                -20071,,                              0.08,,                              0.07,,,,,,,
2022,2014年01月01日至2014年03月31日,,              2291638,,              2159167,                132471,                132471,,,                 52156,,                 68658,,,                120814,                 11657,,,                  2374,,                 66354,,                 26408,,                  4263,                 46583,                 58240,,                  3512,                 54728,                 54728,,,                189738,                 25147,,                     90,                 31779,                183196,                183196,                237924,,                 39227,                 15501,,                231368,                  6556,,                              0.07,,                              0.07,,,,,,,
2022,2013年第3季,,              2549809,,              2492070,                 57739,                 57739,,,                 63019,,                 78577,,                              0,                141596,                -83857,,,                  2340,,                 -4854,,                 28183,,                  4636,                -26061,               -109918,,                  3092,               -113010,               -113010,,,,,,,,,                -65822,               -178832,,                -91066,                -21944,,               -124435,                -54397,,                             -0.17,,,               -135220,                 55056,,,,                              0,                 14342
2022,2013年第2季,,              2502360,,              2308038,                194322,                194322,,,                 90584,,                 69274,,,                159858,                 34464,,,                  6915,,               -219482,,                 29534,,                    867,               -241234,               -206770,,                -15409,               -191361,               -191361,,,,,,,,,               -286219,               -477580,,               -143016,                -48345,,               -348640,               -128940,,                             -0.28,,                             -0.28,               -315723,                -10801,,,,                              0,                 40305
2022,2013年度,,             10144869,,              9803077,                341792,                341792,,,                264912,,                279177,,                              0,                544089,               -202297,,,                 14923,,               -242085,,                107277,,                 13182,               -321257,               -523554,,                -96681,               -426873,               -426873,,,,,,,,,               -140768,               -567641,,               -335685,                -91188,,               -490585,                -77056,,                             -0.65,,,               -184216,                 10892,                   -660,                -33216,,,
2022,2013年07月01日至2013年09月30日,,              2549809,,              2492070,                 57739,                 57739,,,                 63019,,                 78577,,                              0,                141596,                -83857,,,                  2340,,                 -4854,,                 28183,,                  4636,                -26061,               -109918,,                  3092,               -113010,               -113010,,,,,,,,,                -65822,               -178832,,                -91066,                -21944,,               -124435,                -54397,,                             -0.17,,,               -135220,                 55056,,,,,                 14342
2022,2013年04月01日至2013年06月30日,,              2502360,,              2308038,                194322,                194322,,,                 90584,,                 69274,,                              0,                159858,                 34464,,,                  6915,,               -219482,,                 29534,,                    867,               -241234,               -206770,,                -15409,               -191361,               -191361,,,,,,,,,               -286219,               -477580,,               -143016,                -48345,,               -348640,               -128940,,                             -0.28,,                             -0.28,               -315723,                -10801,,,,,                 40305
2022,2013年01月01日至2013年12月31日,,             10144869,,              9803077,                341792,                341792,,,                264912,,                279177,,                              0,                544089,               -202297,,,                 14923,,               -242085,,                107277,,                 13182,               -321257,               -523554,,                -96681,               -426873,               -426873,,,,,,,,,               -140768,               -567641,,               -335685,                -91188,,               -490585,                -77056,,                             -0.65,,,               -184216,                 10892,                   -660,                -33216,,,
2022,2013年01月01日至2013年09月30日,,              8071624,,              7775809,                295815,                295815,,,                214708,,                219256,,                              0,                433964,               -138149,,,                 11311,,                -42154,,                 83415,,                 12222,               -102036,               -240185,,               -171702,                -68483,                -68483,,,,,,,,,                 25696,                -42787,,                -59169,                 -9314,,                -37630,                 -5157,,                             -0.12,,,                  1891,                 21891,,,,                              0,                  1914
