證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
6168,2015年第3季,,              1194094,,              1036658,                157436,                157436,,,                 14412,,                 43600,,                 18972,                 76984,                 80452,,,                 17436,,                 82175,,                  2981,,                 -2745,                 93885,                174337,,                   -891,                175228,                175228,,,                  4092,                -34796,                              0,                -30704,                -30704,                144524,,                179341,                 -4113,,                153657,                 -9133,,                              0.88,                              0.88,,                              0.78,                              0.78,,,,,,,,
6168,2015年第2季,,              1089676,,              1077706,                 11970,                 11970,,,                 16490,,                 53783,,                 21844,                 92117,                -80147,,,                 12634,,                -36950,,                  3178,,                 -3325,                -30819,               -110966,,                 22162,               -133128,               -133128,,,                 -6162,                -33338,                              0,                -39500,                -39500,               -172628,,               -124431,                 -8697,,               -159647,                -12981,,                             -0.62,                             -0.62,,                             -0.62,                             -0.62,,,,,,,,
6168,2015年01月01日至2015年09月30日,,              3320980,,              3085202,                235778,                235778,,,                 57572,,                141226,,                 68308,                267106,                -31328,,,                 43157,,                 17486,,                  9109,,                 -6486,                 45048,                 13720,,                 17540,                 -3820,                 -3820,,,                 -5928,                -57244,                              0,                -63172,                -63172,                -66992,,                 10694,                -14514,,                -42984,                -24008,,                              0.05,                              0.05,,                              0.05,                              0.05,,,,,,,,
6168,2015年01月01日至2015年06月30日,,              2126886,,              2048544,                 78342,                 78342,,,                 43160,,                 97626,,                 49336,                190122,               -111780,,,                 25721,,                -64689,,                  6128,,                 -3741,                -48837,               -160617,,                 18431,               -179048,               -179048,,,                -10020,                -22448,                              0,                -32468,                -32468,               -211516,,               -168647,                -10401,,               -196641,                -14875,,                             -0.84,                             -0.84,,                             -0.84,                             -0.84,,,,,,,,
6168,2015年01月01日至2015年03月31日,,              1037210,,                970838,                 66372,                 66372,,,                 26670,,                 43843,,                 27492,                 98005,                -31633,,,                 13087,,                -27739,,                  2950,,                   -416,                -18018,                -49651,,                 -3731,                -45920,                -45920,,,                 -3858,                 10890,                              0,                  7032,                  7032,                -38888,,                -44216,                 -1704,,                -36994,                 -1894,,                             -0.22,                             -0.22,,                             -0.22,                             -0.22,,                              0,                              0,                              0,,,,
6168,2014年第3季,,              1400041,,              1193953,                206088,                206088,,,                 62022,,                 33256,,                 28421,                123699,                 82389,,,                 10814,,                 32063,,                  3146,,                  1127,                 40858,                123247,,                  9160,                114087,                114087,,,                  6773,                -38237,                              0,                -31464,                -31464,                 82623,,                113237,                    850,,                 80599,                  2024,,                              0.56,                              0.56,,                              0.52,                              0.52,,,,,,,,
6168,2014年第2季,,              1750444,,              1498920,                251524,                251524,,,                 37808,,                 47556,,                 25143,                110507,                141017,,,                 10625,,                -26218,,                  2979,,                    637,                -17935,                123082,,                -29637,                152719,                152719,,,                 -4786,                -37424,                              0,                -42210,                -42210,                110509,,                151506,                  1213,,                110126,                    383,,                              0.75,                              0.75,,                              0.75,                              0.75,,,,,,,,
6168,2014年度,,              5448553,,              4753344,                695209,                695209,,,                149775,,                174753,,                107397,                431925,                263284,,,                 42153,,                 87299,,                 12336,,                    669,                117785,                381069,,                  2930,                378139,                378139,,,,,,,                -51483,                326656,,                365880,                 12259,,                312391,                 14265,,,                              1.82,,,                              1.72,,,,,                 10742,                -64543,                  2792,                    474
6168,2014年01月01日至2014年09月30日,,              4341632,,              3772395,                569237,                569237,,,                123332,,                121915,,                 75902,                321149,                248088,,,                 29868,,                 29211,,                  8890,,                  1401,                 51590,                299678,,                -18840,                318518,                318518,,,                  1220,                -45783,                              0,                -44563,                -44563,                273955,,                317178,                  1340,,                272658,                  1297,,                              1.56,                              1.56,,                              1.51,                              1.51,,,,,,,,
6168,2014年01月01日至2014年06月30日,,              2941591,,              2578442,                363149,                363149,,,                 61310,,                 88659,,                 47481,                197450,                165699,,,                 19054,,                 -2852,,                  5744,,                    274,                 10732,                176431,,                -28000,                204431,                204431,,,                 -5553,                 -7546,                              0,                -13099,                -13099,                191332,,                203941,                    490,,                192059,                   -727,,                              1.02,                              1.02,,                              1.01,                              1.01,,,,,,,,
