證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 與可能重分類之項目相關之所得稅,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 非控制權益（綜合損益）,　　 其他綜合損益
2101,2013年07月01日至2013年09月30日,,              3444848,,              2848396,                596452,                596452,,,                225288,,                 87790,,                 29548,                342626,,                     20,                253846,,,                  9164,,                 43661,,                 30765,,                 17899,                 39959,                293805,,                 51384,                242421,                242421,,,,,                -81471,                160950,,                242421,,,                160950,,                              0.29,,                              0.28,,                -81471,,,,
2101,2013年04月01日至2013年06月30日,,              3766470,,              3282320,                484150,                484150,,,                210528,,                 92028,,                 25296,                327852,,                     95,                156393,,,                    676,,                -12175,,                 31384,,                -12425,                -55308,                101085,,                 36884,                 64201,                 64201,,,,,                162879,                227080,,                 64201,,,                227080,,                              0.08,,                              0.08,,                162879,,,,
2101,2013年01月01日至2013年12月31日,,             13141668,,             11184607,              1957061,              1957061,,,                833359,,                376886,,                113742,              1323987,,                 29745,                662819,,,                 20420,,                 22476,,                123769,,                 27642,                -53231,                609588,,                150286,                459302,                459302,,,,,                455156,                914458,,                459302,,,                914458,,                              0.55,,                              0.55,,                453677,                  1782,,,                   -303
2101,2013年01月01日至2013年09月30日,,             10096458,,              8690249,              1406209,              1406209,,,                622813,,                264875,,                 79750,                967438,,                 29785,                468556,,,                 10231,,                 -8470,,                 93746,,                  1448,                -90537,                378019,,                 88773,                289246,                289246,,,,,                318257,                607503,,                289246,                              0,,                607503,,                              0.35,,                              0.35,,                318257,,,                              0,                              0
2101,2013年01月01日至2013年06月30日,,              6651610,,              5841853,                809757,                809757,,,                397525,,                177085,,                 50202,                624812,,                 29765,                214710,,,                  1067,,                -52131,,                 62981,,                -16451,               -130496,                 84214,,                 37389,                 46825,                 46825,,,,,                399728,                446553,,                 46825,                              0,,                446553,,                              0.06,,                              0.06,,                399728,,,                              0,                              0
2101,2013年01月01日至2013年03月31日,,              2885140,,              2559533,                325607,                325607,,,                186997,,                 85057,,                 24906,                296960,,                 29670,                 58317,,,                    436,,                -40001,,                 31597,,                 -4026,                -75188,                -16871,,                    505,                -17376,                -17376,,,,,                236849,                219473,,                -17376,,,                219473,,                             -0.02,,                              0.00,,                236849,,,,
2101,2012年07月01日至2012年09月30日,,              3257273,,              2783201,                474072,                474072,,,                215716,,                109974,,                 27223,                352913,,                     55,                121214,,,                  8615,,                 47724,,                 46886,,                158188,                167641,                288855,,                 34896,                253959,                253959,,,,,               -178229,                 75730,,                253959,,,                 75730,,                              0.30,,                              0.30,,               -178229,,,,
2101,2012年04月01日至2012年06月30日,,              4027560,,              3399478,                628082,                628082,,,                252023,,                115160,,                 24862,                392045,,                 11938,                247975,,,                    626,,                -39716,,                 56288,,                -77662,               -173040,                 74935,,                 49031,                 25904,                 25904,,,,,                 67030,                 92934,,                 25904,,,                 92934,,                              0.04,,                              0.04,,                 67030,,,,
2101,2012年01月01日至2012年12月31日,,             13508236,,             11703228,              1805008,              1805008,,,                866203,,                420352,,                100460,              1387015,,                 55546,                473539,,,                 11042,,                102173,,                204233,,                -21723,               -112741,                360798,,                104494,                256304,                256304,,,,,               -325485,                -69181,,                256304,,,                -69181,,                              0.31,,                              0.00,,               -325485,                              0,,,                              0
2101,2012年01月01日至2012年09月30日,,             10774766,,              9221700,              1553066,              1553066,,,                679984,,                326718,,                 73358,              1080060,,                 14261,                487267,,,                 10549,,                 71847,,                164860,,                 90732,                  8268,                495535,,                109206,                386329,                386329,,,,,               -322558,                 63771,,                386329,,,                 63771,,                              0.46,,                              0.46,,               -322558,,,,
2101,2012年01月01日至2012年06月30日,,              7517493,,              6438499,              1078994,              1078994,,,                464268,,                216744,,                 46135,                727147,,                 14206,                366053,,,                  1934,,                 24123,,                117974,,                -67456,               -159373,                206680,,                 74310,                132370,                132370,,,,,               -144329,                -11959,,                132370,,,                -11959,,                              0.20,,                              0.20,,               -144329,,,,
2101,2012年01月01日至2012年03月31日,,              3489933,,              3039021,                450912,                450912,,,                212245,,                101584,,                 21273,                335102,,                  2268,                118078,,,                  1308,,                 63839,,                 61686,,                 10206,                 13667,                131745,,                 25279,                106466,                106466,,,,,               -211359,               -104893,,                106466,,,               -104893,,                              0.16,,                              0.16,,               -211359,,,,
