證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 不重分類至損益之項目總額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 其他營業收入,　　　 其他營業收入淨額
4968,2015年第3季,,,                464708,                464708,,,                310929,                310929,                153779,                153779,,,                 22769,,                 28369,,                 54765,                105903,                 47876,,,                    990,,                 12789,,                     71,                 13708,                 61584,,                 10262,                 51322,                 51322,,,                              0,                              0,                              0,                 51322,,                              1.17,,                              1.16,,,,,,,,,,,,
4968,2015年第2季,,,                429982,                429982,,,                285213,                285213,                144769,                144769,,,                 20270,,                 16995,,                 51983,                 89248,                 55521,,,                     45,,                 -2250,,                    173,                 -2378,                 53143,,                  8597,                 44546,                 44546,,,                     -8,                     -8,                     -8,                 44538,,                              1.01,,                              1.01,,,,,,,,,,,,
4968,2015年01月01日至2015年09月30日,,,              1255649,              1255649,,,                838593,                838593,                417056,                417056,,,                 63890,,                 62541,,                151247,                277678,                139378,,,                  1050,,                  6531,,                    507,                  7074,                146452,,                 23821,                122631,                122631,,,                    -10,                    -10,                    -10,                122621,,                              2.79,,                              2.78,,,,,,,,,,,,
4968,2015年01月01日至2015年06月30日,,,                790941,                790941,,,                527664,                527664,                263277,                263277,,,                 41121,,                 34172,,                 96482,                171775,                 91502,,,                     60,,                 -6258,,                    436,                 -6634,                 84868,,                 13559,                 71309,                 71309,,,                    -10,                    -10,                    -10,                 71299,,                              1.62,,                              1.62,,,,,,,,,,,,
4968,2015年01月01日至2015年03月31日,,,                360959,                360959,,,                242451,                242451,                118508,                118508,,,                 20213,,                 15682,,                 46632,                 82527,                 35981,,,                     15,,                 -4008,,                    263,                 -4256,                 31725,,                  4962,                 26763,                 26763,,,                     -2,                     -2,                     -2,                 26761,,                              0.61,,                              0.61,,                              0,                              0,                              0,                              0,                              0,                              0,,,,,
4968,2014年第3季,,,                350875,                350875,,,                272971,                272971,                 77904,                 77904,,,                 19004,,                 10109,,                 47906,                 77019,                    885,,,                     56,,                  5407,,                    720,                  4743,                  5628,,                    797,                  4831,                  4831,,,                     -6,                     -6,                     -6,                  4825,,                              0.11,,                              0.11,,,,,,,,,,,,
4968,2014年第2季,,,                367325,                367325,,,                261778,                261778,                105547,                105547,,,                 18957,,                  9723,,                 44339,                 73019,                 32528,,,                     28,,                 -5603,,                    765,                 -6340,                 26188,,                  4549,                 21639,                 21639,,,                              0,                              0,                              0,                 21639,,                              0.52,,                              0.50,,,,,,,,,,,,
4968,2014年度,,,              1382499,              1382499,,,              1030302,              1030302,                352197,                352197,,,                 70366,,                 35323,,                192730,                298419,                 53778,,,                    918,,                 16538,,                  2650,                 14806,                 68584,,                 11473,                 57111,                 57111,,,,,                   -750,                 56361,,                              1.35,,                              1.35,,,,,,,,                     -5,                   -898,                   -153,,
4968,2014年上半年度,,,                691975,                691975,,,                506180,                506180,                185795,                185795,,,                 34016,,                 17028,,                 95190,                146234,                 39561,,,                    277,,                   -704,,                  1419,                 -1846,                 37715,,                  6396,                 31319,                 31319,,,,,                      2,                 31321,,                              0.75,,                              0.73,,,,,,,,                      2,,,,
4968,2014年01月01日至2014年09月30日,,,              1042850,              1042850,,,                779151,                779151,                263699,                263699,,,                 54289,,                 29807,,                139157,                223253,                 40446,,,                    333,,                  4703,,                  2139,                  2897,                 43343,,                  7193,                 36150,                 36150,,,                     -4,                     -4,                     -4,                 36146,,                              0.86,,                              0.84,,,,,,,,,,,,
4968,2014年01月01日至2014年06月30日,,,                691975,                691975,,,                506180,                506180,                185795,                185795,,,                 35285,,                 19698,,                 91251,                146234,                 39561,,,                    277,,                   -704,,                  1419,                 -1846,                 37715,,                  6396,                 31319,                 31319,,,                      2,                      2,                      2,                 31321,,                              0.75,,                              0.73,,,,,,,,,,,,
4968,2014年01月01日至2014年03月31日,,,                324650,                324650,,,                244402,                244402,                 80248,                 80248,,,                 15697,,                  8695,,                 48823,                 73215,                  7033,,,                    249,,                  4899,,                    654,                  4494,                 11527,,                  1847,                  9680,                  9680,,,                      2,                      2,                      2,                  9682,,                              0.23,,                              0.22,,                              0,                              0,                              0,                              0,                              0,                              0,,,,,
