證券代號,年季,　 營業利益,　　 收益合計,　　　 經紀手續費收入,　　　　 經紀手續費收入合計,　　　 借貸款項手續費收入,　　　 借券收入,　　　 承銷業務收入,　　　　 承銷業務收入合計,　　　 財富管理業務淨收益,　　　　 財富管理業務淨收益,　　　 營業證券出售淨利益（損失）,　　　　 營業證券出售淨利益（損失）,　　　 股務代理收入,　　　 利息收入,　　　 股利收入,　　　 營業證券透過損益按公允價值衡量之淨利益（損失）,　　　　 營業證券透過損益按公允價值衡量之淨利益（損失）,　　　 借券及附賣回債券融券回補淨利益（損失）,　　　　 借券及附賣回債券融券回補淨利益（損失）,　　　 借券及附賣回債券融券透過損益按公允價值衡量之淨利益（損失）,　　　　 借券及附賣回債券融券透過損益按公允價值衡量之淨利益（損失）,　　　 發行認購（售）權證淨利益（損失）,　　　　 發行認購（售）權證淨利益（損失）,　　　 期貨佣金收入,　　　　 期貨佣金收入合計,　　　 衍生工具淨利益（損失）－期貨,　　　　 衍生工具淨利益（損失）－期貨,　　　 衍生工具淨利益（損失）－櫃檯,　　　　 衍生工具淨利益（損失）－櫃檯,　　　 經理費收入,　　　　 經理費收入合計,　　　 顧問費收入,　　　　 顧問費收入合計,　　　 其他營業收益,　　　　 其他營業收益合計,　　　 收益合計,　　 支出及費用合計,　　　 經紀經手費支出,　　　　 經紀經手費支出合計,　　　 自營經手費支出,　　　　 自營經手費支出合計,　　　 轉融通手續費支出,　　　 承銷作業手續費支出,　　　 財務成本,　　　 期貨佣金支出,　　　　 期貨佣金支出合計,　　　 結算交割服務費支出,　　　　 結算交割服務費支出合計,　　　 其他營業支出,　　　 員工福利費用,　　　　 員工福利費用合計,　　　 折舊及攤銷費用,　　　　 折舊及攤銷費用合計,　　　 其他營業費用,　　　　 其他營業費用合計,　　　 支出及費用合計,　　 營業利益,　 營業外損益合計,　　 採用權益法認列之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 營業外損益合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅利益（費用）,　　 所得稅利益（費用）,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　　 國外營運機構財務報表換算之兌換差額淨額,　　　 備供出售金融資產未實現淨利益（損失）,　　　　 備供出售金融資產未實現淨利益（損失）,　　　 與可能重分類至損益之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 本期其他綜合損益,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 受託結算交割服務費收入,　　　　 受託結算交割服務費收入合計,　　　 期貨管理費收入,　　　　 期貨管理費收入合計,　　 國外營運機構財務報表換算之兌換差額,　　　 國外營運機構財務報表換算之兌換差額淨額,　　 備供出售金融資產未實現淨利益（損失）,　　 確定福利計畫精算淨利益（損失）,　　　 確定福利計畫精算淨利益（損失）,　　 與其他綜合損益組成部分相關之所得稅利益（費用）,　　　 與其他綜合損益組成部分相關之所得稅利益（費用）淨額,　　 其他綜合損益淨額,　　　 借券交易損失,　　 繼續營業單位淨利（損）,　　 繼續營業單位淨利（損）[duplicate]95,　　 繼續營業單位淨利（損）[duplicate]92
6005,2015年第3季,,,,                929200,                     34,                  7312,,                 16256,,                 15724,,               -994863,                 35194,                337153,                114002,,                -37393,,                 79426,,                 15337,,                359797,,                 35349,,                282055,,                 84731,,                    291,,                  2169,,                 33049,              1314823,,,                105891,,                  6471,                    757,                     77,                 52714,,                 51175,,                 39455,                  1641,,                611259,,                 57238,,                423230,              1349908,                -35085,,,                 22267,,                111310,                133577,                 98492,,                -42775,                 55717,                 55717,,,,                144257,,                 15444,                -26445,                133256,                133256,                188973,,                -18379,                 74096,,                101360,                 87613,,                             -0.01,,                             -0.01,,,,,,,,,,,,,,,,
6005,2015年第2季,,,,                937592,                     44,                  6029,,                 36552,,                 15010,,                445280,                 35162,                387682,                 31522,,               -391583,,                -42501,,                 68569,,                 61616,,                 31040,,                 -6636,,                 62249,,                    124,,                  2260,,                 21062,              1701073,,,                 98958,,                  6555,                    749,                    937,                 55422,,                 49270,,                 31836,                  4261,,                631176,,                 54552,,                415286,              1349002,                352071,,,                 20209,,                102111,                122320,                474391,,                -74488,                399903,                399903,,,,                -33517,,                 -3321,                  6243,                -30595,                -30595,                369308,,                357968,                 41935,,                330750,                 38558,,                              0.15,,                              0.15,,,,,,,,,,,,,,,,
6005,2015年01月01日至2015年09月30日,,,,              2665159,                     85,                 24905,,                139014,,                 46126,,               -220934,                104575,              1083868,                145524,,               -300855,,                -23411,,                 86672,,                603643,,                 91523,,                104580,,                 36438,,                    618,,                  6254,,                 67015,              4660799,,,                279682,,                 18056,                  2230,                  2449,                154646,,                148009,,                 95633,                  7448,,              1866910,,                166064,,              1182939,              3924066,                736733,,,                 57307,,                460571,                517878,              1254611,,               -208485,              1046126,              1046126,,,,                 85128,,                 16883,                -15446,                 86565,                 86565,              1132691,,                906996,                139130,,                983108,                149583,,                              0.38,,                              0.38,,,,,,,,,,,,,,,,
6005,2015年01月01日至2015年06月30日,,,,              1735959,                     51,                 17593,,                122758,,                 30402,,                773929,                 69381,                746715,                 31522,,               -263462,,               -102837,,                 71335,,                243846,,                 56174,,               -177475,,                -48293,,                    327,,                  4085,,                 33966,              3345976,,,                173791,,                 11585,                  1473,                  2372,                101932,,                 96834,,                 56178,                  5807,,              1255651,,                108826,,                759709,              2574158,                771818,,,                 35040,,                349261,                384301,              1156119,,               -165710,                990409,                990409,,,,                -59129,,                  1439,                 10999,                -46691,                -46691,                943718,,                925375,                 65034,,                881748,                 61970,,                              0.39,,                              0.39,,,,,,,,,,,,,,,,
6005,2015年01月01日至2015年03月31日,,,,                798367,                      7,                 11564,,                 86206,,                 15392,,                328649,                 34219,                359033,,,                128121,,                -60336,,                  2766,,                182230,,                 25134,,               -170839,,               -110542,,                    203,,                  1825,,                 12904,              1644903,,,                 74833,,                  5030,                    724,                  1435,                 46510,,                 47564,,                 24342,                  1546,,                624475,,                 54274,,                344423,              1225156,                419747,,,                 14831,,                247150,                261981,                681728,,                -91222,                590506,                590506,,,,                -25612,,                  4760,                  4756,                -16096,                -16096,                574410,,                567407,                 23099,,                550998,                 23412,,                              0.24,,                              0.24,,,,,,,,,,,,,,,,
6005,2014年第3季,,,,                995412,                     15,                  9796,,                 50329,,                 12299,,               -152715,                 35250,                375853,                218570,,               -702689,,                  6709,,                 -9525,,                687579,,                 22791,,                110958,,                 74283,,                     41,,                  1985,,                 14497,              1751438,,,                 95487,,                  7026,                    136,                  1417,                 47095,,                 49716,,                 31937,                  8495,,                646067,,                 53656,,                373536,              1314568,                436870,,,                 16199,,                135371,                151570,                588440,,                -76285,                512155,                512155,,,,                 34871,,                  7828,                 -6252,                 36447,                 36447,                548602,,                461641,                 50514,,                495163,                 53439,,                              0.19,,                              0.19,,,,,,,,,,,,,,,,
6005,2014年第2季,,,,                957189,                     22,                 10054,,                 36626,,                 10183,,                523525,                 34827,                355345,                 29392,,                139168,,                -23915,,                 23662,,               -187059,,                 16516,,                -91079,,                 -7697,,                     88,,                  2305,,                 12425,              1841577,,,                 83355,,                  4287,                    215,                    485,                 42608,,                 31733,,                 20532,                  1910,,                698251,,                 55154,,                362304,              1300834,                540743,,,                 17998,,                100778,                118776,                659519,,                -39643,                619876,                619876,,,,                -40809,,                 -4095,                  6938,                -37966,                -37966,                581910,,                609403,                 10473,,                575981,                  5929,,                              0.26,,                              0.26,,,,,,,,,,,,,,,,
6005,2014年度,,,,              3648062,                     75,                 46225,,                169368,,                 45947,,                564874,                138359,              1447536,                252244,,                -46447,,                -73360,,                    640,,                620898,,                 84256,,               -123687,,                -45491,,                    249,,                  9068,,                130060,              6868876,,,                344588,,                 23377,                  1977,                  3954,                178760,,                158556,,                103223,                 13287,,              2588102,,                221110,,              1425239,              5062173,              1806703,,,                 63728,,                562270,                625998,              2432701,,               -289038,              2143663,              2143663,,,,,                 14020,,,,,              2241424,,              2025305,                118358,,              2111211,                130213,,                              0.85,,                              0.85,,                              0,,                              0,,                125153,,,                -18583,,                -22829,                 97761,,,,
6005,2014年01月01日至2014年09月30日,,,,              2833891,                     53,                 33524,,                128907,,                 32788,,                832784,                104421,              1071085,                247962,,               -450061,,                -58028,,                 36977,,                404345,,                 55243,,                 20860,,                -91367,,                    193,,                  6337,,                 40505,              5250419,,,                254515,,                 16837,                  1211,                  2912,                130272,,                115457,,                 72561,                 12178,,              1975893,,                166974,,              1064695,              3813505,              1436914,,,                 49061,,                325770,                374831,              1811745,,               -184807,              1626938,              1626938,,,,                 35113,,                  1240,                 -6293,                 30060,                 30060,              1656998,,              1549840,                 77098,,              1580926,                 76072,,                              0.65,,                              0.65,,,,,,,,,,,,,,,,
6005,2014年01月01日至2014年06月30日,,,,              1838479,                     38,                 23728,,                 78578,,                 20489,,                985499,                 69171,                695232,                 29392,,                252628,,                -64737,,                 46502,,               -283234,,                 32452,,                -90098,,               -165650,,                    152,,                  4352,,                 26008,              3498981,,,                159028,,                  9811,                  1075,                  1495,                 83177,,                 65741,,                 40624,                  3683,,              1329826,,                113318,,                691159,              2498937,              1000044,,,                 32862,,                190399,                223261,              1223305,,               -108522,              1114783,              1114783,,,,                    242,,                 -6588,                    -41,                 -6387,                 -6387,              1108396,,              1088199,                 26584,,              1085763,                 22633,,                              0.46,,                              0.46,,,,,,,,,,,,,,,,
