證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 與可能重分類之項目相關之所得稅,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
2114,2015年第3季,,                443654,,                290740,                152914,                152914,,,                 22426,,                 14332,,                  1986,                 38744,                114170,,,                  2423,,                 59207,,                              0,                 61630,                175800,,                 29945,                145855,                145855,,,                   -160,                   -160,                   -160,                145695,,                146200,                   -345,,                146040,                   -345,,                              2.17,                              2.17,,                              2.16,                              2.16,,,,
2114,2015年第2季,,                465977,,                302399,                163578,                163578,,,                 27421,,                  9863,,                  2163,                 39447,                124131,,,                  2741,,                -10881,,                              0,                 -8140,                115991,,                 30037,                 85954,                 85954,,,                              0,                              0,                              0,                 85954,,                 85954,,,                 85954,,,                              1.27,                              1.27,,                              1.27,                              1.27,                              0,,,
2114,2015年01月01日至2015年09月30日,,              1408887,,                921289,                487598,                487598,,,                 79382,,                 34142,,                  5906,                119430,                368168,,,                  9276,,                 26393,,                              0,                 35669,                403837,,                 79030,                324807,                324807,,,                   -160,                   -160,                   -160,                324647,,                325152,                   -345,,                324992,                   -345,,                              4.82,                              4.82,,                              4.79,                              4.79,,,,
2114,2015年01月01日至2015年06月30日,,                965233,,                630549,                334684,                334684,,,                 56956,,                 19810,,                  3920,                 80686,                253998,,,                  6853,,                -32814,,                              0,                -25961,                228037,,                 49085,                178952,                178952,,,                              0,                              0,                              0,                178952,,                178952,,,                178952,,,                              2.65,                              2.65,,                              2.65,                              2.65,                              0,,,
2114,2015年01月01日至2015年03月31日,,                499256,,                328150,                171106,                171106,,,                 29535,,                  9947,,                  1757,                 41239,                129867,,,                  4112,,                -21933,,                              0,                -17821,                112046,,                 19048,                 92998,                 92998,,,                              0,                              0,                              0,                 92998,,                 92998,,,                 92998,,,                              1.38,                              1.38,,                              1.37,                              1.37,                              0,,,
2114,2014年第3季,,                586220,,                382539,                203681,                203681,,,                 28267,,                 12771,,                  1678,                 42716,                160965,,,                  1850,,                   -174,,                     34,                  1642,                162607,,                 28248,                134359,                134359,,,                     11,                     11,                     11,                134370,,                134359,                              0,,                134370,                              0,,                              1.99,                              1.99,,                              1.99,                              1.99,,,,
2114,2014年第2季,,                540759,,                351359,                189400,                189400,,,                 24518,,                 12480,,                  1337,                 38335,                151065,,,                  2077,,                -11539,,                      7,                 -9469,                141596,,                 26513,                115083,                115083,,,                    -51,                    -51,                    -51,                115032,,                115083,,,                115032,,,                              1.87,                              1.87,,                              1.87,                              1.87,                              0,,,
2114,2014年度,,              2155189,,              1427449,                727740,                727740,,,                107011,,                 50848,,                  8386,                166245,                561495,,,                  8002,,                 32126,,                    293,                 39835,                601330,,                105820,                495510,                495510,,,,,                   -605,                494905,,                495510,,,                494905,,,                              7.34,                              7.34,,                              7.32,                              7.32,,                    -50,                   -669,                   -114
2114,2014年01月01日至2014年09月30日,,              1554078,,              1019821,                534257,                534257,,,                 76764,,                 36042,,                  3968,                116774,                417483,,,                  5584,,                 11369,,                    293,                 16660,                434143,,                 76851,                357292,                357292,,,                    -50,                    -50,                    -50,                357242,,                357292,                              0,,                357242,                              0,,                              5.29,                              5.29,,                              5.28,                              5.28,,,,
2114,2014年01月01日至2014年06月30日,,                967858,,                637282,                330576,                330576,,,                 48497,,                 23271,,                  2290,                 74058,                256518,,,                  3734,,                 11543,,                    259,                 15018,                271536,,                 48603,                222933,                222933,,,                    -61,                    -61,                    -61,                222872,,                222933,,,                222872,,,                              3.63,                              3.63,,                              3.63,                              3.63,                              0,,,
