證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　　 其他收入－其他,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 與其他綜合損益組成部分相關之所得稅
2438,2015年第3季,,                162409,,                101902,                 60507,                 60507,,,                  7301,,                 11603,,                    748,                 19652,                 40855,,,                  1854,,                 -4470,,                  1572,                 -4188,                 36667,,                  8708,                 27959,                 27959,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                   -165,                    270,                    105,                    105,                 28064,,                  6532,                 21427,,                  6637,                 21427,,                              0.09,,                              0.09,,,,,,
2438,2015年第2季,,                136027,,                 74129,                 61898,                 61898,,,                  5049,,                 14116,,                  1092,                 20257,                 41641,,,                  1817,,                -21014,,                  1971,                -21168,                 20473,,                  8929,                 11544,                 11544,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                     36,                    125,                    161,                    161,                 11705,,                 -9399,                 20943,,                 -9238,                 20943,,                             -0.12,,                             -0.12,,,,,,
2438,2015年01月01日至2015年09月30日,,                433973,,                245626,                188347,                188347,,,                 17985,,                 37718,,                  2922,                 58625,                129722,,,                  3708,,                -25522,,                  4856,                -26670,                103052,,                 27180,                 75872,                 75872,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                   -100,                    404,                    304,                    304,                 76176,,                 10235,                 65637,,                 10539,                 65637,,                              0.14,,                              0.14,,,,,,
2438,2015年01月01日至2015年06月30日,,                271564,,                143724,                127840,                127840,,,                 10684,,                 26115,,                  2174,                 38973,                 88867,,,                  1854,,                -21052,,                  3284,                -22482,                 66385,,                 18472,                 47913,                 47913,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                     65,                    134,                    199,                    199,                 48112,,                  3703,                 44210,,                  3902,                 44210,,                              0.05,,                              0.05,,,,,,
2438,2015年01月01日至2015年03月31日,,                135537,,                 69595,                 65942,                 65942,,,                  5635,,                 11999,,                  1082,                 18716,                 47226,,,                     37,,                    -38,,                  1313,                 -1314,                 45912,,                  9543,                 36369,                 36369,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                     29,                      9,                     38,                     38,                 36407,,                 13102,                 23267,,                 13140,                 23267,,                              0.17,,                              0.17,,,,,,
2438,2014年第3季,,                129521,,                 76728,                 52793,                 52793,,,                  4174,,                 14821,,                    988,                 19983,                 32810,,,                    349,,                 -2943,,                    783,                 -3377,                 29433,,                  8313,                 21120,                 21120,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                    -53,                     -1,                    -54,                    -54,                 21066,,                  1515,                 19605,,                  1461,                 19605,,                              0.03,,                              0.03,,,,,,
2438,2014年第2季,,                 82817,,                 51191,                 31626,                 31626,,,                  2904,,                 10280,,                    948,                 14132,                 17494,,,                 27759,,                    313,,                    134,                 27938,                 45432,,                  6067,                 39365,                 39365,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                     63,                     13,                     76,                     76,                 39441,,                 28206,                 11159,,                 28282,                 11159,,                              0.42,,                              0.42,,,,,,
2438,2014年度,,                351644,,                207465,                144179,                144179,,,                 14345,,                 51138,,                  4340,                 69823,                 74356,,,                 21831,,                -10689,,                  1981,                  9161,                 83517,,                 32203,                 51314,                 51314,,,,,,,,,,,,,,,,,                   -177,                 51137,,                  2754,                 48560,,                  2577,                 48560,,                              0.04,,,                   -173,                     -4,,,,
2438,2014年01月01日至2014年09月30日,,                219512,,                137972,                 81540,                 81540,,,                  8170,,                 29372,,                  2961,                 40503,                 41037,,,                 28786,,                 -3263,,                  1198,                 24325,                 65362,,                 12823,                 52539,                 52539,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                    -59,                              0,                    -59,                    -59,                 52480,,                 21775,                 30764,,                 21716,                 30764,,                              0.36,,                              0.36,,,,,,
2438,2014年01月01日至2014年06月30日,,                 89991,,                 61244,                 28747,                 28747,,,                  3996,,                 14551,,                  1973,                 20520,                  8227,,,                 28437,,                   -320,,                    415,                 27702,                 35929,,                  4510,                 31419,                 31419,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                     -6,                      1,                     -5,                     -5,                 31414,,                 20260,                 11159,,                 20255,                 11159,,                              0.30,,                              0.30,,,,,,
2438,2014年01月01日至2014年03月31日,,                  7174,,                 10053,                 -2879,                 -2879,,,                  1092,,                  4271,,                  1025,                  6388,                 -9267,,,                    678,,                   -633,,                    281,                   -236,                 -9503,,                 -1557,                 -7946,                 -7946,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                    -69,                    -12,                    -81,                    -81,                 -8027,,                 -7946,                              0,,                 -8027,                              0,,                             -0.21,,                             -0.21,,,,,,
2438,2013年第3季,,                  9991,,                 10394,                   -403,                   -403,,,                    987,,                  4784,,                  1040,                  6811,                 -7214,,,                  6643,,                    272,,                    173,                  6742,                   -472,,                 -1240,                    768,                    768,,,,,,,,,,,,,,,,,                    139,                    907,,                    768,                              0,,                    907,                              0,,                              0.02,,,                    138,                      1,,,,
2438,2013年第2季,,                 12398,,                 12112,                    286,                    286,,,                    979,,                  5534,,                  1046,                  7559,                 -7273,,,                    552,,                 -2431,,                    467,                 -2346,                 -9619,,                 -1704,                 -7915,                 -7915,,,,,,,,,,,,,,,,,                    -24,                 -7939,,                 -7915,                              0,,                 -7939,                              0,,                             -0.16,,,                    -17,                     -7,,,,
