證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 其他營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 採用權益法認列之關聯企業及合資損失之份額,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 租金收入
2415,2015年第3季,,,                560058,,                 25627,                585685,,,                410698,                 23864,                434562,                151123,                151123,,,                 19578,,                 54479,,                 14307,                 88364,,                -10016,                -10016,                 52743,,,,                  1251,                     76,                  1327,,                   -401,,                  6929,                  6929,,                 -1492,                 -7495,                 45248,,                 15982,                 29266,                 29266,,,                113104,,                 -2577,                 17529,                 92998,                 92998,                122264,,                 36307,                 -7041,,                121894,                    370,,                              0.40,                              0.40,,                              0.40,                              0.40,,,,,
2415,2015年第2季,,,                497744,,                 24779,                522523,,,                380035,                 22410,                402445,                120078,                120078,,,                 18281,,                 53127,,                 10413,                 81821,,                 -4528,                 -4528,                 33729,,,,                  1379,                  1250,                  2629,,                 -2575,,                  5780,                  5780,,                   -971,                 -6697,                 27032,,                  9125,                 17907,                 17907,,,                -40426,,,                 -5973,                -34453,                -34453,                -16546,,                 20040,                 -2133,,                 -9122,                 -7424,,                              0.22,                              0.22,,                              0.22,                              0.22,                    971,,,,
2415,2015年01月01日至2015年09月30日,,,              1523456,,                 71800,              1595256,,,              1155081,                 70112,              1225193,                370063,                370063,,,                 57131,,                162232,,                 34413,                253776,,                -17237,                -17237,                 99050,,,,                  3959,                  2615,                  6574,,                 -3383,,                 18031,                 18031,,                 -4467,                -19307,                 79743,,                 29954,                 49789,                 49789,,,                 34941,,                 -8669,                  5390,                 20882,                 20882,                 70671,,                 62575,                -12786,,                 88893,                -18222,,                              0.69,                              0.69,,                              0.68,                              0.68,,,,,
2415,2015年01月01日至2015年06月30日,,,                963398,,                 46173,              1009571,,,                744383,                 46248,                790631,                218940,                218940,,,                 37553,,                107753,,                 20106,                165412,,                 -7221,                 -7221,                 46307,,,,                  2708,                  2539,                  5247,,                 -2982,,                 11102,                 11102,,                 -2975,                -11812,                 34495,,                 13972,                 20523,                 20523,,,                -84255,,,                -12139,                -72116,                -72116,                -51593,,                 26268,                 -5745,,                -33001,                -18592,,                              0.29,                              0.29,,                              0.29,                              0.29,                  2975,,,,
2415,2015年01月01日至2015年03月31日,,,                465654,,                 21394,                487048,,,                364348,                 23838,                388186,                 98862,                 98862,,,                 19272,,                 54626,,                  9693,                 83591,,                 -2693,                 -2693,                 12578,,,,                  1329,                  1289,                  2618,,                   -407,,                  5322,                  5322,,                 -2004,                 -5115,                  7463,,                  4847,                  2616,                  2616,,,                -43829,,,                 -6166,                -37663,                -37663,                -35047,,                  6228,                 -3612,,                -23879,                -11168,,                              0.07,                              0.07,,                              0.07,                              0.07,                  2004,,,,
2415,2014年第3季,,,                535526,,                 19590,                555116,,,                400033,                 23424,                423457,                131659,                131659,,,                 23080,,                 55126,,                  9368,                 87574,,                   -914,                   -914,                 43171,,,,                  1132,                  3086,                  4218,,                136193,,                  5974,                  5974,,                   -674,                133763,                176934,,                 66038,                110896,                110896,,,                 43598,,                              0,                  6763,                 36835,                 36835,                147731,,                112776,                 -1880,,                145796,                  1935,,                              1.24,                              1.24,,                              1.23,                              1.23,,,,,
2415,2014年第2季,,,                538393,,                 19330,                557723,,,                402179,                 17587,                419766,                137957,                137957,,,                 22060,,                 50213,,                  9563,                 81836,,                    -85,                    -85,                 56036,,,,                    633,                  2892,                  3525,,                   -499,,                  4922,                  4922,,                   -608,                 -2504,                 53532,,                 17765,                 35767,                 35767,,,                -37287,,,                 -5568,                -31719,                -31719,                  4048,,                 35584,                    183,,                  8403,                 -4355,,                              0.39,                              0.39,,                              0.39,                              0.39,                    608,,,,
2415,2014年度,,,              2040838,,                 93018,              2133856,,,              1546862,                 85614,              1632476,                501380,                501380,,,                 85730,,                212687,,                 34407,                332824,,                 -1036,                 -1036,                167520,,,,                  4193,,                  4193,,                147060,,                 21057,                 21057,,                 -3738,                126458,                293978,,                109328,                184650,                184650,,,,,,,,                100600,                285250,,                184537,                    113,,                272880,                 12370,,                              2.02,                              2.02,,                              2.02,                              2.02,,                121190,                 -2496,                 18094,
2415,2014年01月01日至2014年09月30日,,,              1551448,,                 63902,              1615350,,,              1169911,                 58167,              1228078,                387272,                387272,,,                 64075,,                151021,,                 26778,                241874,,                    194,                    194,                145592,,,,                  2565,                  7620,                 10185,,                135556,,                 15463,                 15463,,                 -3023,                127255,                272847,,                 95452,                177395,                177395,,,                 31695,,                 -2866,                  4444,                 24385,                 24385,                201780,,                176379,                  1016,,                198077,                  3703,,                              1.93,                              1.93,,                              1.93,                              1.93,,,,,
2415,2014年01月01日至2014年06月30日,,,              1015922,,                 44312,              1060234,,,                769878,                 34743,                804621,                255613,                255613,,,                 40995,,                 95895,,                 17410,                154300,,                  1108,                  1108,                102421,,,,                  1433,                  4534,                  5967,,                   -637,,                  9489,                  9489,,                 -2349,                 -6508,                 95913,,                 29414,                 66499,                 66499,,,                -14769,,,                 -2319,                -12450,                -12450,                 54049,,                 63603,                  2896,,                 52281,                  1768,,                              0.70,                              0.70,,                              0.70,                              0.70,                  2349,,,,
