證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 權益工具投資之利益（損失）
3189,2015年第3季,,,              5987813,              5987813,,              4438160,              1549653,              1549653,,,                116888,,                221361,,                356824,                695073,                854580,,,                 47293,,                -15912,,                 13679,                 17702,                872282,,                131008,                741274,                741274,,,,,,                123701,                              0,                 13186,                110515,                110515,                851789,,                770508,                -29234,,                834886,                 16903,,                              1.73,,                              1.71,,,,,
3189,2015年第2季,,,,              5432665,,              4185950,              1246715,              1246715,,,                 82533,,                222887,,                336744,                642164,                604551,,,                168338,,               -104743,,                 13400,                 50195,                654746,,                101505,                553241,                553241,,,,,,                -51361,                              0,                 -5478,                -45883,                -45883,                507358,,                600768,                -47527,,                574022,                -66664,,                              1.35,,                              1.32,,,,,
3189,2015年度,,,             23061311,             23061311,,             17099709,              5961602,              5961602,,,                437849,,                975409,,              1484620,              2897878,              3063724,,,                309476,,               -110984,,                 56968,                141524,              3205248,,                475722,              2729526,              2729526,,,                 -8721,                 -8721,,               -116596,                -24694,                -12397,               -128893,               -137614,              2591912,,              2903952,               -174426,,              2810012,               -218100,,                              6.51,,                              6.38,,,,,
3189,2015年01月01日至2015年09月30日,,,             16766699,             16766699,,             12662600,              4104099,              4104099,,,                300312,,                700199,,              1050027,              2050538,              2053561,,,                271793,,                -88070,,                 39308,                144415,              2197976,,                324768,              1873208,              1873208,,,,,,                 -8519,                -24694,                   -900,                -32313,                -32313,              1840895,,              1988465,               -115257,,              1959378,               -118483,,                              4.46,,                              4.37,,,,,
3189,2015年01月01日至2015年06月30日,,,,             10778886,,              8224440,              2554446,              2554446,,,                183424,,                478838,,                693203,              1355465,              1198981,,,                224500,,                -72158,,                 25629,                126713,              1325694,,                193760,              1131934,              1131934,,,,,,               -132220,                -24694,                -14086,               -142828,               -142828,                989106,,              1217957,                -86023,,              1124492,               -135386,,                              2.73,,                              2.68,,,,,
3189,2015年01月01日至2015年03月31日,,,,              5346221,,              4038490,              1307731,              1307731,,,                100891,,                255951,,                356459,                713301,                594430,,,                 56162,,                 32585,,                 12229,                 76518,                670948,,                 92255,                578693,                578693,,,,,,                -80859,                -24694,                 -8608,                -96945,                -96945,                481748,,                617189,                -38496,,                550470,                -68722,,                              1.38,,                              1.36,,,,,
3189,2014年第3季,,,              6733588,              6733588,,              4786963,              1946625,              1946625,,,                181084,,                259052,,                352188,                792324,              1154301,,,                 41767,,                  7339,,                 13373,                 35733,              1190034,,                271074,                918960,                918960,,,,,,                102063,                   -552,                 10899,                 90612,                 90612,              1009572,,                993616,                -74656,,              1046277,                -36705,,                              2.23,,                              2.21,,,,,
3189,2014年第2季,,,,              6784197,,              4614823,              2169374,              2169374,,,                168509,,                265976,,                343823,                778308,              1391066,,,                 36389,,                 35840,,                 15224,                 57005,              1448071,,                203259,              1244812,              1244812,,,,,,               -114597,                 -9712,                -12258,               -112051,               -112051,              1132761,,              1231780,                 13032,,              1162221,                -29460,,                              2.76,,                              2.72,,,,,
3189,2014年度,,,             24943834,             24943834,,             17996954,              6946880,              6946880,,,                593616,,                973136,,              1370969,              2937721,              4009159,,,                133961,,                 64434,,                 56482,                141913,              4151072,,                660839,              3490233,              3490233,,,                 15710,                 15710,,                309597,                  9583,                 33026,                286154,                301864,              3792097,,              3617327,               -127094,,              3803861,                -11764,,                              8.11,,                              7.98,                309597,                  9583,                 15710,                 33026,
3189,2014年01月01日至2014年09月30日,,,             19314584,             19314584,,             13716174,              5598410,              5598410,,,                409544,,                758816,,              1007410,              2175770,              3422640,,,                116998,,                 35833,,                 43577,                109254,              3531894,,                597680,              2934214,              2934214,,,,,,                 62926,                    182,                  6752,                 56356,                 56356,              2990570,,              3017943,                -83729,,              3051090,                -60520,,                              6.77,,                              6.67,,,,,
3189,2014年01月01日至2014年06月30日,,,,             12580996,,              8929211,              3651785,              3651785,,,                228460,,                499764,,                655222,              1383446,              2268339,,,                 75231,,                 28494,,                 30204,                 73521,              2341860,,                326606,              2015254,              2015254,,,,,,                -39137,                    734,                 -4147,                -34256,                -34256,              1980998,,              2024327,                 -9073,,              2004813,                -23815,,                              4.54,,                              4.48,,,,,
3189,2014年01月01日至2014年03月31日,,,,              5796799,,              4314388,              1482411,              1482411,,,                 59951,,                233788,,                311399,                605138,                877273,,,                 38842,,                 -7346,,                 14980,                 16516,                893789,,                123347,                770442,                770442,,,,,,                 75460,                 10446,                  8111,                 77795,                 77795,                848237,,                792547,                -22105,,                842592,                  5645,,                              1.78,,                              1.76,,,,,
3189,2013年第3季,,,              6149465,              6149465,,              4424632,              1724833,              1724833,,,                173979,,                240255,,                352452,                766686,                958147,,,                 14736,,                  8603,,                 11821,                 11518,                969665,,                146025,                823640,                823640,,,,,,,,,,                -59638,                764002,,                848117,                -24477,,                808244,                -44242,,                              1.90,,                              1.89,                -54586,                -10972,,                 -5920,
3189,2013年第2季,,,,              5861345,,              4317414,              1543931,              1543931,,,                151755,,                214165,,                317417,                683337,                860594,,,                 58749,,                 34165,,                 15614,                 77300,                937894,,                128891,                809003,                809003,,,,,,,,,,                108715,                917718,,                832287,                -23284,,                897431,                 20287,,                              1.87,,                              1.86,                120319,,,                 13047,                  1443
3189,2013年度,,,             23102827,             23102827,,             16898393,              6204434,              6204434,,,                580280,,                891691,,              1297062,              2769033,              3435401,,,                178917,,                104619,,                 55589,                227947,              3663348,,                547094,              3116254,              3116254,,,,,,,,,,                317234,              3433488,,              3224093,               -107839,,              3420791,                 12697,,                              7.23,,                              7.12,                323579,                   -535,                 13395,                 19205,
3189,2013年07月01日至2013年09月30日,,,              6149465,              6149465,,              4424632,              1724833,              1724833,,,                173979,,                240255,,                352452,                766686,                958147,,,                 14736,,                  8603,,                 11821,                 11518,                969665,,                146025,                823640,                823640,,,,,,,,,,                -59638,                764002,,                848117,                -24477,,                808244,                -44242,,                              1.90,,                              1.89,                -54586,                -10972,,                 -5920,
3189,2013年04月01日至2013年06月30日,,,,              5861345,,              4317414,              1543931,              1543931,,,                151755,,                214165,,                317417,                683337,                860594,,,                 58749,,                 34165,,                 15614,                 77300,                937894,,                128891,                809003,                809003,,,,,,,,,,                108715,                917718,,                832287,                -23284,,                897431,                 20287,,                              1.87,,                              1.86,                120319,,,                 13047,                  1443
3189,2013年01月01日至2013年12月31日,,,             23102827,             23102827,,             16898393,              6204434,              6204434,,,                580280,,                891691,,              1297062,              2769033,              3435401,,,                178917,,                104619,,                 55589,                227947,              3663348,,                547094,              3116254,              3116254,,,,,,,,,,                317234,              3433488,,              3224093,               -107839,,              3420791,                 12697,,                              7.23,,                              7.12,                323579,                   -535,                 13395,                 19205,
3189,2013年01月01日至2013年09月30日,,,             17334623,             17334623,,             12699536,              4635087,              4635087,,,                421065,,                641805,,                959767,              2022637,              2612450,,,                108411,,                 70857,,                 41648,                137620,              2750070,,                406709,              2343361,              2343361,,,,,,,,,,                226645,              2570006,,              2440023,                -96662,,              2580364,                -10358,,                              5.47,,                              5.40,                230705,                  5176,,                  9236,
3189,2013年01月01日至2013年06月30日,,,,             11185158,,              8274904,              2910254,              2910254,,,                247086,,                401550,,                607315,              1255951,              1654303,,,                 93675,,                 62254,,                 29827,                126102,              1780405,,                260684,              1519721,              1519721,,,,,,,,,,                286283,              1806004,,              1591906,                -72185,,              1772120,                 33884,,                              3.57,,                              3.55,                285291,,,                 15156,                 16148
3189,2013年01月01日至2013年03月31日,,,,              5323813,,              3957490,              1366323,              1366323,,,                 95331,,                187385,,                289898,                572614,                793709,,,                 34926,,                 28089,,                 14213,                 48802,                842511,,                131793,                710718,                710718,,,,,,,,,,                177568,                888286,,                759619,                -48901,,                874689,                 13597,,                              1.70,,                              1.68,                164972,                 14705,,                  2109,
3189,2012年07月01日至2012年09月30日,,,              5600747,              5600747,,              4304834,              1295913,              1295913,,,                115256,,                216229,,                281743,                613228,                682685,,,                 26321,,                 -7238,,                 17577,                  1506,                684191,,                120001,                564190,                564190,,,,,,,,,,               -129752,                434438,,                675094,               -110904,,                595603,               -161165,,                              1.51,,                              1.50,               -128477,                 -1275,,                              0,
3189,2012年04月01日至2012年06月30日,,,,              5691166,,              4275689,              1415477,              1415477,,,                125873,,                207146,,                279680,                612699,                802778,,,                 35789,,                -13753,,                 17091,                  4945,                807723,,                134904,                672819,                672819,,,,,,,,,,                 34253,                707072,,                758598,                -85779,,                774909,                -67837,,                              1.70,,                              1.69,                 46323,,,                              0,                -12070
3189,2012年01月01日至2012年12月31日,,,             22034283,             22034283,,             16810228,              5224055,              5224055,,,                501419,,                763620,,              1157592,              2422631,              2801424,,,                123029,,                 19146,,                 71623,                 70552,              2871976,,                496304,              2375672,              2375672,,,,,,,,,,               -266968,              2108704,,              2790562,               -414890,,              2619178,               -510474,,                              6.26,,                              6.16,               -248048,                  7820,                -37347,                -10607,
3189,2012年01月01日至2012年09月30日,,,             16442891,             16442891,,             12602793,              3840098,              3840098,,,                360856,,                607357,,                818818,              1787031,              2053067,,,                 86057,,                -12261,,                 54849,                 18947,              2072014,,                363470,              1708544,              1708544,,,,,,,,,,               -228125,              1480419,,              2042028,               -333484,,              1909458,               -429039,,                              4.58,,                              4.51,               -247572,                  8840,,                -10607,
3189,2012年01月01日至2012年06月30日,,,,             10842144,,              8297959,              2544185,              2544185,,,                245600,,                391128,,                537075,              1173803,              1370382,,,                 59736,,                 -5023,,                 37272,                 17441,              1387823,,                243469,              1144354,              1144354,,,,,,,,,,                -98373,              1045981,,              1366934,               -222580,,              1313855,               -267874,,                              3.06,,                              3.05,               -119095,,,                -10607,                 10115
3189,2012年01月01日至2012年03月31日,,,,              5150978,,              4022270,              1128708,              1128708,,,                119727,,                183982,,                257395,                561104,                567604,,,                 23947,,                  8730,,                 20181,                 12496,                580100,,                108565,                471535,                471535,,,,,,,,,,               -132626,                338909,,                608336,               -136801,,                538946,               -200037,,                              1.36,,                              1.36,               -165418,                 22185,,                -10607,
