證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 基本每股盈餘,　　 基本每股盈餘合計,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
1713,2015年第3季,,                147095,,                124912,                 22183,                 22183,,,                  7608,,                  6393,,                              0,                 14001,                  8182,,,                  1735,,                  1302,,                  8704,                 11741,                 19923,,                  1919,                 18004,                 18004,,,                 -1639,,                     91,                 -1548,                 -1548,                 16456,,                              0.12,,,,,
1713,2015年第2季,,                184563,,                151003,                 33560,                 33560,,,                  8443,,                  6540,,                    672,                 15655,                 17905,,,                  1612,,                 -1807,,                  2957,                  2762,                 20667,,                  3188,                 17479,                 17479,,,                   -129,,                    -34,                   -163,                   -163,                 17316,,                              0.12,,,,,
1713,2015年01月01日至2015年09月30日,,                521649,,                438216,                 83433,                 83433,,,                 24065,,                 18945,,                  1489,                 44499,                 38934,,,                  4745,,                 -1150,,                 18127,                 21722,                 60656,,                  7434,                 53222,                 53222,,,                 -2137,,                     67,                 -2070,                 -2070,                 51152,,                              0.35,,,,,
1713,2015年01月01日至2015年06月30日,,                374554,,                313304,                 61250,                 61250,,,                 16457,,                 12552,,                  1489,                 30498,                 30752,,,                  3010,,                 -2452,,                  9423,                  9981,                 40733,,                  5515,                 35218,                 35218,,,                   -498,,                    -24,                   -522,                   -522,                 34696,,                              0.23,,,,,
1713,2015年01月01日至2015年03月31日,,                189991,,                162301,                 27690,                 27690,,,                  8014,,                  6012,,                    817,                 14843,                 12847,,,                  1398,,                   -645,,                  6466,                  7219,                 20066,,                  2327,                 17739,                 17739,,,                   -369,,                     10,                   -359,                   -359,                 17380,,                              0.12,,,,,
1713,2014年第3季,,                198735,,                165441,                 33294,                 33294,,,                  7866,,                  6352,,                    918,                 15136,                 18158,,,                  1466,,                     81,,                  7686,                  9233,                 27391,,                  3363,                 24028,                 24028,,,                    295,,                     20,                    315,                    315,                 24343,,                              0.16,,,,,
1713,2014年第2季,,                179157,,                149350,                 29807,                 29807,,,                  8407,,                  6219,,                    933,                 15559,                 14248,,,                  8796,,                   -309,,                  3686,                 12173,                 26421,,                  3873,                 22548,                 22548,,,                   -387,,                    -50,                   -437,                   -437,                 22111,,                              0.15,,,,,
1713,2014年度,,                748780,,                623401,                125379,                125379,,,                 31518,,                 27221,,                  3729,                 62468,                 62911,,,                 13340,,                    538,,                 29299,                 43177,                106088,,                 14087,                 92001,                 92001,,,,,,,                 -2295,                 89706,,                              0.61,                   -515,                 -2247,,                     85,                   -382
1713,2014年01月01日至2014年09月30日,,                548132,,                455587,                 92545,                 92545,,,                 23418,,                 19637,,                  2740,                 45795,                 46750,,,                 11772,,                    262,,                 14433,                 26467,                 73217,,                 10018,                 63199,                 63199,,,                   -718,,                    -15,                   -733,                   -733,                 62466,,                              0.42,,,,,
1713,2014年01月01日至2014年06月30日,,                349397,,                290146,                 59251,                 59251,,,                 15552,,                 13285,,                  1822,                 30659,                 28592,,,                 10306,,                    181,,                  6747,                 17234,                 45826,,                  6655,                 39171,                 39171,,,                 -1013,,                    -35,                 -1048,                 -1048,                 38123,,                              0.26,,,,,
