證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),　　　 與待出售非流動資產直接相關之權益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 可能重分類至損益之其他項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 銷貨成本,　　　 銷貨成本合計
1447,2015年第3季,,              3540428,,              3693730,               -153302,               -153302,,,                 92490,,                 49959,,                 23250,                165699,               -319001,,,                114406,                114406,,                316763,,                 19322,,                    729,                412576,                 93575,,                 12581,                 80994,                 80994,,,                  7982,               -200923,                              0,                              0,                              0,,                -43780,                              0,                              0,               -236721,               -236721,               -155727,,                 57050,                 23944,,               -124294,                -31433,,                              0.07,                              0.07,,                              0.07,                              0.07,,,,,,,,,
1447,2015年第2季,,              5021518,,              4629463,                392055,                392055,,,                100441,,                 36212,,                 21674,                158327,                233728,,,                 16285,                 16285,,                -78670,,                 18006,,                 12610,                -67781,                165947,,                 25927,                140020,                140020,,,                 -2661,                 67726,,,,,                 77633,,,                142698,                142698,                282718,,                139604,                    416,,                237537,                 45181,,                              0.17,                              0.17,,                              0.17,                              0.17,,,,,,,,,
1447,2015年01月01日至2015年09月30日,,             13174963,,             12861126,                313837,                313837,,,                292393,,                127804,,                 65667,                485864,               -172027,,,                144852,                144852,,                180384,,                 47676,,                 17770,                295330,                123303,,                 16155,                107148,                107148,,,                  3256,                -29029,                              0,                              0,                              0,,               -115448,                              0,                              0,               -141221,               -141221,                -34073,,                 82332,                 24816,,                -50634,                 16561,,                              0.09,                              0.09,,                              0.09,                              0.09,,,,,,,,,
1447,2015年01月01日至2015年06月30日,,              9634535,,              9167396,                467139,                467139,,,                199903,,                 77845,,                 42417,                320165,                146974,,,                 30446,                 30446,,               -136379,,                 28354,,                 17041,               -117246,                 29728,,                  3574,                 26154,                 26154,,,                 -4726,                 71290,,,,,                 28936,,,                 95500,                 95500,                121654,,                 25282,                    872,,                 73660,                 47994,,                              0.03,                              0.03,,                              0.03,                              0.03,,,,,,,,,
1447,2015年01月01日至2015年03月31日,,              4613017,,              4537933,                 75084,                 75084,,,                 99462,,                 41633,,                 20743,                161838,                -86754,,,,                 14161,,                -57709,,                 10348,,                  4431,                -49465,               -136219,,                -22353,               -113866,               -113866,,,                 -2065,                  3564,,,,,                -48697,,,                -47198,                -47198,               -161064,,               -114322,                    456,,               -163877,                  2813,,                             -0.14,                             -0.14,,                              0.00,                              0.00,,,,,,,,,
1447,2014年第3季,,              5263503,,              5015537,                247966,                247966,,,                111658,,                 36421,,                 26804,                174883,                 73083,,,                 24522,                 24522,,                109633,,                 18148,,                 42536,                158543,                231626,,                 26293,                205333,                205333,,,                  2934,               -127554,                              0,                              0,                              0,,                -39011,                              0,                              0,               -163631,               -163631,                 41702,,                204884,                    449,,                 23393,                 18309,,                              0.24,                              0.24,,                              0.24,                              0.24,,,,,,,,,
1447,2014年第2季,,              6082414,,              5905103,                177311,                177311,,,                107060,,                 52072,,                 24927,                184059,                 -6748,,,                 22407,                 22407,,                -94540,,                 18833,,                 35242,                -55724,                -62472,,                 -8611,                -53861,                -53861,,,                 -3012,                -50054,,,,,                -23658,,,                -76724,                -76724,               -130585,,                -54230,                    369,,               -193799,                 63214,,                             -0.07,                             -0.07,,                              0.00,                              0.00,,,,,,,,,
1447,2014年度,,             22363188,,             21615961,                747227,                747227,,,                433980,,                170295,,                 95669,                699944,                 47283,,,                 84222,                 84222,,                257280,,                 67030,,                 91262,                365734,                413017,,                 65735,                347282,                347282,,,,,,,,,,,,,               -283667,                 63615,,                348239,                   -957,,                -46635,                110250,,                              0.42,                              0.42,,                              0.42,                              0.42,                 10260,               -244143,                 -4058,,                -45726,,,,
1447,2014年01月01日至2014年09月30日,,             17322933,,             16534195,                788738,                788738,,,                323263,,                140221,,                 74037,                537521,                251217,,,                 61444,                 61444,,                103873,,                 53354,,                 82018,                193981,                445198,,                 69500,                375698,                375698,,,                  3155,               -201163,                              0,                              0,                              0,,                -83272,                              0,                              0,               -281280,               -281280,                 94418,,                377048,                 -1350,,                 23854,                 70564,,                              0.43,                              0.43,,                              0.43,                              0.43,,,,,,,,,
1447,2014年01月01日至2014年06月30日,,             12059430,,             11518658,                540772,                540772,,,                211605,,                103800,,                 47233,                362638,                178134,,,                 36922,                 36922,,                 -5760,,                 35206,,                 39482,                 35438,                213572,,                 43207,                170365,                170365,,,                    221,                -73609,,,,,                -44261,,,               -117649,               -117649,                 52716,,                172164,                 -1799,,                    461,                 52255,,                              0.21,                              0.21,,                              0.21,                              0.21,,,,,,,,,
