證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）
8016,2015年第3季,,              2473988,,              1822799,                651189,                651189,,,                 52005,,                 83568,,                269583,                405156,                246033,,,                 25768,,                 31650,,                  2555,                 54863,                300896,,                 58833,                242063,                242063,,,                    861,                 14722,                 15583,                 15583,                257646,,                233418,                  8645,,                249001,                  8645,,                              1.97,                              1.97,,                              1.95,                              1.95,,,
8016,2015年第2季,,              2082764,,              1557089,                525675,                525675,,,                 37165,,                 63043,,                250127,                350335,                175340,,,                 18933,,                -12614,,                  2537,                  3782,                179122,,                 26044,                153078,                153078,,,                   -296,                -90091,                -90387,                -90387,                 62691,,                157843,                 -4765,,                 67456,                 -4765,,                              1.33,                              1.33,,                              1.32,                              1.32,,,
8016,2015年01月01日至2015年09月30日,,              6655427,,              4869177,              1786250,              1786250,,,                133836,,                222705,,                765164,              1121705,                664545,,,                 56718,,                  7340,,                  6732,                 57326,                721871,,                129021,                592850,                592850,,,                    390,                -86310,                -85920,                -85920,                506930,,                586983,                  5867,,                501063,                  5867,,                              4.95,                              4.95,,                              4.89,                              4.89,,,
8016,2015年01月01日至2015年06月30日,,              4181439,,              3046378,              1135061,              1135061,,,                 81831,,                139137,,                495581,                716549,                418512,,,                 30950,,                -24310,,                  4177,                  2463,                420975,,                 70188,                350787,                350787,,,                   -471,               -101032,               -101503,               -101503,                249284,,                353565,                 -2778,,                252062,                 -2778,,                              2.98,                              2.98,,                              2.95,                              2.95,,,
8016,2015年01月01日至2015年03月31日,,              2098675,,              1489289,                609386,                609386,,,                 44666,,                 76094,,                245454,                366214,                243172,,,                 12017,,                -11696,,                  1640,                 -1319,                241853,,                 44144,                197709,                197709,,,                   -175,                -10941,                -11116,                -11116,                186593,,                195722,                  1987,,                184606,                  1987,,                              1.65,                              1.65,,                              1.63,                              1.63,,,
8016,2014年第3季,,              2085033,,              1545101,                539932,                539932,,,                 32987,,                 67891,,                234532,                335410,                204522,,,                  9020,,                 18747,,                    388,                 27379,                231901,,                 36322,                195579,                195579,,,                    522,                -33293,                -32771,                -32771,                162808,,                188924,                  6655,,                156153,                  6655,,                              1.60,                              1.60,,                              1.58,                              1.58,,,
8016,2014年第2季,,              1798491,,              1301452,                497039,                497039,,,                 31087,,                 55170,,                224957,                311214,                185825,,,                  4857,,                -12221,,                    506,                 -7870,                177955,,                 31379,                146576,                146576,,,                   -381,                 -8169,                 -8550,                 -8550,                138026,,                145874,                    702,,                137324,                    702,,                              1.23,                              1.23,,                              1.22,                              1.22,,,
8016,2014年度,,              7595150,,              5529408,              2065742,              2065742,,,                124755,,                265314,,                927179,              1317248,                748494,,,                 52281,,                 48780,,                  1779,                 99282,                847776,,                129202,                718574,                718574,,,,,,                 14519,                733093,,                711517,                  7057,,                726036,                  7057,,                              6.02,                              6.02,,                              5.93,                              5.93,                    743,                 16201,                 -2425
8016,2014年01月01日至2014年09月30日,,              5413778,,              3939160,              1474618,              1474618,,,                 90689,,                175987,,                665570,                932246,                542372,,,                 19994,,                 17145,,                  1255,                 35884,                578256,,                 96699,                481557,                481557,,,                     57,                -12853,                -12796,                -12796,                468761,,                478723,                  2834,,                465927,                  2834,,                              4.05,                              4.05,,                              4.00,                              4.00,,,
8016,2014年01月01日至2014年06月30日,,              3328745,,              2394059,                934686,                934686,,,                 57702,,                108096,,                431038,                596836,                337850,,,                 10974,,                 -1602,,                    867,                  8505,                346355,,                 60377,                285978,                285978,,,                   -465,                 20440,                 19975,                 19975,                305953,,                289799,                 -3821,,                309774,                 -3821,,                              2.45,                              2.45,,                              2.42,                              2.42,,,
