證券代號,年季,　 營業利益,　　 收益合計,　　　 經紀手續費收入,　　　　 經紀手續費收入合計,　　　 承銷業務收入,　　　　 承銷業務收入合計,　　　 營業證券出售淨利益（損失）,　　　　 營業證券出售淨利益（損失）,　　　 利息收入,　　　 營業證券透過損益按公允價值衡量之淨利益（損失）,　　　　 營業證券透過損益按公允價值衡量之淨利益（損失）,　　　 借券及附賣回債券融券回補淨利益（損失）,　　　　 借券及附賣回債券融券回補淨利益（損失）,　　　 借券及附賣回債券融券透過損益按公允價值衡量之淨利益（損失）,　　　　 借券及附賣回債券融券透過損益按公允價值衡量之淨利益（損失）,　　　 發行認購（售）權證淨利益（損失）,　　　　 發行認購（售）權證淨利益（損失）,　　　 衍生工具淨利益（損失）－期貨,　　　　 衍生工具淨利益（損失）－期貨,　　　 其他營業收益,　　　　 其他營業收益合計,　　　 收益合計,　　 支出及費用合計,　　　 經紀經手費支出,　　　　 經紀經手費支出合計,　　　 自營經手費支出,　　　　 自營經手費支出合計,　　　 轉融通手續費支出,　　　 財務成本,　　　 期貨佣金支出,　　　　 期貨佣金支出合計,　　　 結算交割服務費支出,　　　　 結算交割服務費支出合計,　　　 其他營業支出,　　　 員工福利費用,　　　　 員工福利費用合計,　　　 折舊及攤銷費用,　　　　 折舊及攤銷費用合計,　　　 其他營業費用,　　　　 其他營業費用合計,　　　 支出及費用合計,　　 營業利益,　 營業外損益合計,　　 採用權益法認列之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 營業外損益合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅利益（費用）,　　 所得稅利益（費用）,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益,　　 不重分類至損益之項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　　 國外營運機構財務報表換算之兌換差額淨額,　　　 備供出售金融資產未實現淨利益（損失）,　　　　 備供出售金融資產未實現淨利益（損失）,　　　 後續可能重分類至損益之項目總額,　　 本期其他綜合損益,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　　 國外營運機構財務報表換算之兌換差額淨額,　　 備供出售金融資產未實現淨利益（損失）,　　 確定福利計畫精算淨利益（損失）,　　　 確定福利計畫精算淨利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益份額淨額,　　 與其他綜合損益組成部分相關之所得稅利益（費用）,　　　 與其他綜合損益組成部分相關之所得稅利益（費用）淨額,　　 其他綜合損益淨額,　　 繼續營業單位淨利（損）,　　 繼續營業單位淨利（損）,　　 繼續營業單位淨利（損）,　　 繼續營業單位淨利（損）,　 停業單位損益,　　 停業單位損益淨額,　　 採用權益法認列之子公司、關聯企業及合資損益之份額,　　　 採用權益法認列之子公司、關聯企業及合資利益之份額,　　　 採用權益法認列之子公司、關聯企業及合資損益之份額淨額
2855,2015年第3季,,,,                539895,,                 22242,,               -760372,                330096,,                 95056,,                -22249,,                 11605,,                585411,,               -194907,,                147566,                754343,,,                 62656,,                 19883,                    421,                 93568,,                 19147,,                 31248,                      9,,                398010,,                 31102,,                301179,                957223,               -202880,,,                 13614,,               -112385,                -98771,               -301651,,                 19232,               -282419,               -282419,,,                              0,,,                150785,,                  3845,                154630,                154630,               -127789,,               -284251,                  1832,,               -129738,                  1949,,                             -0.22,,                             -0.22,,,,,,,,,,,,,,,,,,,
2855,2015年第2季,,,,                583653,,                 16361,,                619816,                372604,,               -259708,,                 30745,,                 24776,,                 13443,,                167850,,                102812,              1672352,,,                 60464,,                 26394,                    248,                100036,,                 21049,,                 27794,                     50,,                491207,,                 30644,,                487270,              1245156,                427196,,,                 22345,,                -11650,                 10695,                437891,,                -45609,                392282,                392282,,,,,,                -31946,,                 -1851,                -33797,                -33797,                358485,,                390849,                  1433,,                357113,                  1372,,                              0.30,,                              0.30,,,,,,,,,,,,,,,,,,,
2855,2015年01月01日至2015年09月30日,,,,              1601524,,                 60767,,                161385,              1018316,,               -235799,,                -10063,,                 37753,,                543374,,                 53842,,                326870,              3557969,,,                171492,,                 68836,                    894,                270491,,                 63976,,                 80715,                     59,,              1450461,,                 92288,,              1088595,              3287807,                270162,,,                 64079,,                447815,                511894,                782056,,               -113452,                668604,                668604,,,                              0,,,                 91316,,                  5167,                 96483,                 96483,                765087,,                664052,                  4552,,                760374,                  4713,,                              0.50,,                              0.50,,,,,,,,,,,,,,,,,,,
2855,2015年01月01日至2015年06月30日,,,,              1061629,,                 38525,,                921757,                688220,,               -330855,,                 12186,,                 26148,,                -42037,,                248749,,                179304,              2803626,,,                108836,,                 48953,                    473,                176923,,                 44829,,                 49467,                     50,,              1052451,,                 61186,,                787416,              2330584,                473042,,,                 50465,,                560200,                610665,              1083707,,               -132684,                951023,                951023,,,,,,                -59469,,                  1322,                -58147,                -58147,                892876,,                948303,                  2720,,                890112,                  2764,,                              0.72,,                              0.72,,,,,,,,,,,,,,,,,,,
2855,2015年01月01日至2015年03月31日,,,,                477976,,                 22164,,                301941,                315616,,                -71147,,                -18559,,                  1372,,                -55480,,                 80899,,                 76492,              1131274,,,                 48372,,                 22559,                    225,                 76887,,                 23780,,                 21673,,,                561244,,                 30542,,                300146,              1085428,                 45846,,,                 28120,,                571850,                599970,                645816,,                -87075,                558741,                558741,,,                              0,,,                -27523,,                  3173,                -24350,                -24350,                534391,,                557454,                  1287,,                532999,                  1392,,                              0.42,,                              0.42,,,,,,,,,,,,,,,,,,,
2855,2014年第3季,,,,                551076,,                  8422,,               -228540,                268158,,               -549892,,                  4290,,                 15487,,                381704,,                 69421,,                289005,                809131,,,                 58576,,                 28457,                     81,                 42873,,                 19851,,                 26996,                              0,,                392428,,                 28239,,                322407,                919908,               -110777,,,                 18451,,                221991,                240442,                129665,,                -27917,                101748,                101748,,,                              0,,,                 72702,,                  6892,                 79594,                 79594,                181342,,                100887,                    861,,                180274,                  1068,,                              0.07,,                              0.08,,,,,,,,,,,,,,,,,,,
2855,2014年第2季,,,,                543191,,                 13055,,                561599,                258436,,                277614,,                  2915,,                -39700,,               -164538,,                133397,,                 56484,              1642453,,,                 52157,,                 23222,                     57,                 42493,,                 15343,,                 19099,                              0,,                567423,,                 28785,,                285667,              1034246,                608207,,,                 15610,,                 96967,                112577,                720784,,               -104307,                616477,                616477,,,,,,                -38559,,                 -2008,                -40567,                -40567,                575910,,                615564,                    913,,                575073,                    837,,                              0.47,,                              0.46,,,,,,,,,,,,,,,,,,,
2855,2014年度,,,,              2132591,,                 51230,,                948258,              1051309,,                111138,,                    195,,                -52378,,                246305,,                195678,,                478971,              5163297,,,                215801,,                 95471,                    482,                178055,,                 73655,,                 90731,,,              1978845,,                117581,,              1175651,              3926272,              1237025,,,                 71854,,                482484,                554338,              1791363,,               -204082,              1587281,              1587281,,,,,,,                -17051,,,,              1650848,,              1583169,                  4112,,              1646453,                  4395,,                              1.20,,                              1.20,,                130913,,,                -55315,,                 -4384,,                  9404,                 63567,                              1.20,                              1.20,                              1.20,                              1.20,,,,,
2855,2014年01月01日至2014年09月30日,,,,              1610106,,                 31804,,              1052396,                777268,,               -235907,,                  2337,,                -22542,,                157827,,                151646,,                429732,              3954667,,,                155988,,                 74622,                    372,                127581,,                 55980,,                 62224,                              0,,              1484897,,                 85487,,                876451,              2923602,              1031065,,,                 48975,,                300043,                349018,              1380083,,               -197722,              1182361,              1182361,,,                              0,,,                 77072,,                -24519,                 52553,                 52553,              1234914,,              1179743,                  2618,,              1232189,                  2725,,                              0.89,,                              0.89,,,,,,,,,,,,,,,,,,,
2855,2014年01月01日至2014年06月30日,,,,              1059030,,                 23382,,              1280936,                509110,,                313985,,                 -1953,,                -38029,,               -223877,,                 82225,,                140727,              3145536,,,                 97412,,                 46165,                    291,                 84708,,                 36129,,                 35228,                              0,,              1092469,,                 57248,,                554044,              2003694,              1141842,,,                 30524,,                 78052,                108576,              1250418,,               -169805,              1080613,              1080613,,,,,,                  4370,,                -31411,                -27041,                -27041,              1053572,,              1078856,                  1757,,              1051915,                  1657,,                              0.82,,                              0.81,,,,,,,,,,,,,,,,,,,
