證券代號,年季,　 營業利益,　　 收益合計,　　　 經紀手續費收入,　　　　 經紀手續費收入合計,　　　 借貸款項手續費收入,　　　 借券收入,　　　 承銷業務收入,　　　　 承銷業務收入合計,　　　 出售票券淨利益（損失）,　　　　 出售票券淨利益（損失）,　　　 財富管理業務淨收益,　　　　 財富管理業務淨收益,　　　 營業證券出售淨利益（損失）,　　　　 營業證券出售淨利益（損失）,　　　 股務代理收入,　　　 利息收入,　　　 股利收入,　　　 營業證券透過損益按公允價值衡量之淨利益（損失）,　　　　 營業證券透過損益按公允價值衡量之淨利益（損失）,　　　 借券及附賣回債券融券回補淨利益（損失）,　　　　 借券及附賣回債券融券回補淨利益（損失）,　　　 借券及附賣回債券融券透過損益按公允價值衡量之淨利益（損失）,　　　　 借券及附賣回債券融券透過損益按公允價值衡量之淨利益（損失）,　　　 營業票券透過損益按公允價值衡量之淨利益（損失）,　　　　 營業票券透過損益按公允價值衡量之淨利益（損失）,　　　 發行認購（售）權證淨利益（損失）,　　　　 發行認購（售）權證淨利益（損失）,　　　 衍生工具淨利益（損失）－期貨,　　　　 衍生工具淨利益（損失）－期貨,　　　 衍生工具淨利益（損失）－櫃檯,　　　　 衍生工具淨利益（損失）－櫃檯,　　　 經理費收入,　　　　 經理費收入合計,　　　 顧問費收入,　　　　 顧問費收入合計,　　　 其他營業收益,　　　　 其他營業收益合計,　　　 收益合計,　　 支出及費用合計,　　　 經紀經手費支出,　　　　 經紀經手費支出合計,　　　 自營經手費支出,　　　　 自營經手費支出合計,　　　 轉融通手續費支出,　　　 承銷作業手續費支出,　　　 財務成本,　　　 借券交易損失,　　　 期貨佣金支出,　　　　 期貨佣金支出合計,　　　 結算交割服務費支出,　　　　 結算交割服務費支出合計,　　　 其他營業支出,　　　 員工福利費用,　　　　 員工福利費用合計,　　　 折舊及攤銷費用,　　　　 折舊及攤銷費用合計,　　　 其他營業費用,　　　　 其他營業費用合計,　　　 支出及費用合計,　　 營業利益,　 營業外損益合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 營業外損益合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅利益（費用）,　　 所得稅利益（費用）,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　　 國外營運機構財務報表換算之兌換差額淨額,　　　 備供出售金融資產未實現淨利益（損失）,　　　　 備供出售金融資產未實現淨利益（損失）,　　　 後續可能重分類至損益之項目總額,　　 本期其他綜合損益,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 採用權益法認列之關聯企業及合資之其他綜合損益份額-可能重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益份額-可能重分類至損益之項目,　　 國外營運機構財務報表換算之兌換差額,　　　 國外營運機構財務報表換算之兌換差額淨額,　　 備供出售金融資產未實現淨利益（損失）,　　 確定福利計畫精算淨利益（損失）,　　　 確定福利計畫精算淨利益（損失）,　　 與其他綜合損益組成部分相關之所得稅利益（費用）,　　　 與其他綜合損益組成部分相關之所得稅利益（費用）淨額,　　 其他綜合損益淨額
2856,2015年第3季,,,,                521524,                     12,                  9970,,                 46683,,                    370,,                  7323,,               -270687,                 13373,                276962,                 28652,,                179935,,                 86574,,                 16875,,                     25,,                298153,,                176274,,                -21088,,                  1205,,                  1004,,                  8166,              1381305,,,                 54412,,                  9178,                    405,                    210,                 57133,                 10097,,                 13784,,                 25591,                 25099,,                546198,,                 43243,,                291990,              1077340,                303965,,,               -192077,               -192077,                111888,,                 33113,                145001,                145001,,,,                 59848,,                 30841,                 90689,                 90689,                235690,,                145001,                              0,,                235690,                              0,,                              0.09,,,,,,,,,,,,
2856,2015年第2季,,,,                555949,,                 13670,,                 47586,,                    300,,                  8819,,                388667,                 13562,                307352,                 14789,,               -288821,,                -23065,,                 62808,,                     -5,,                 99697,,                -46431,,                -16851,,                  1226,,                    645,,                 13712,              1153609,,,                 50769,,                 10431,                    148,                    255,                 56433,,,                  9547,,                 21506,                 12365,,                520628,,                 43187,,                307137,              1032406,                121203,,,                 84983,                 84983,                206186,,                -69529,                136657,                136657,,,,                 -9309,,               -125228,               -134537,               -134537,                  2120,,                136657,                              0,,                  2120,                              0,,                              0.09,,                              0.09,,,,,,,,,,
2856,2015年01月01日至2015年09月30日,,,,              1551749,                     12,                 35025,,                240189,,                    692,,                 17721,,                540691,                 39390,                895391,                 43441,,                -25998,,                 20072,,                 70408,,                    476,,                480881,,                 20421,,               -104078,,                  3533,,                  2469,,                 28806,              3861291,,,                148143,,                 29171,                  1029,                    482,                180191,                 10097,,                 33095,,                 63547,                 48290,,              1566554,,                130263,,                866585,              3077447,                783844,,,                -63646,                -63646,                720198,,                -90428,                629770,                629770,,,,                 44395,,               -294427,               -250032,               -250032,                379738,,                629770,                              0,,                379738,                              0,,                              0.40,,,,,,,,,,,,
2856,2015年01月01日至2015年06月30日,,,,              1030225,,                 25055,,                193506,,                    322,,                 10398,,                811378,                 26017,                618429,                 14789,,               -205933,,                -66502,,                 53533,,                    451,,                182728,,               -155853,,                -82990,,                  2328,,                  1465,,                 20640,              2479986,,,                 93731,,                 19993,                    624,                    272,                123058,,,                 19311,,                 37956,                 23191,,              1020356,,                 87020,,                574595,              2000107,                479879,,,                128431,                128431,                608310,,               -123541,                484769,                484769,,,,                -15453,,               -325268,               -340721,               -340721,                144048,,                484769,                              0,,                144048,                              0,,                              0.31,,                              0.31,,,,,,,,,,
2856,2015年01月01日至2015年03月31日,,,,                474276,,                 11385,,                145920,,                     22,,                  1579,,                422711,                 12455,                311077,,,                 82888,,                -43437,,                 -9275,,                    456,,                 83031,,               -109422,,                -66139,,                  1102,,                    820,,                  6928,              1326377,,,                 42962,,                  9562,                    476,                     17,                 66625,,,                  9764,,                 16450,                 10826,,                499728,,                 43833,,                267458,                967701,                358676,,,                 43448,                 43448,                402124,,                -54012,                348112,                348112,,,,                 -6144,,               -121659,               -206184,               -206184,                141928,,                348112,                              0,,                141928,                              0,,                              0.23,,,,                -78381,,,,,,,,
2856,2014年第3季,,,,                576229,                              0,                  8958,,                 31215,,                    146,,                    868,,                416017,                 12455,                308857,                 35835,,               -579539,,                 -6209,,                 57402,,                     -1,,                378929,,               -116578,,                -19281,,                  2183,,                    738,,                 12216,              1120440,,,                 51069,,                 12697,                    187,                     32,                 60426,                  7219,,                  7223,,                  9911,                 11033,,                472856,,                 38986,,                325875,                997514,                122926,,,                 12008,                 12008,                134934,,                -32616,                102318,                102318,,,,                  9548,,                126950,                136498,                136498,                238816,,                102318,                              0,,                238816,                              0,,                              0.07,,,,,,,,,,,,
2856,2014年第2季,,,,                588941,,                  9453,,                 45774,,                    138,,                    786,,                332479,                 13458,                300163,                  1817,,                556800,,                -52912,,                 59227,,                     56,,                -64679,,                -50850,,                -48418,,                  1912,,                    598,,                  5974,              1700717,,,                 48697,,                  9704,                    134,                    149,                 56994,,,                  6679,,                 12692,                  6512,,                672691,,                 38687,,                277433,              1130372,                570345,,,                 48044,                 48044,                618389,,                -20634,                597755,                597755,,,,                -10086,,                120078,                109992,                109992,                707747,,                597755,                              0,,                707747,                              0,,                              0.38,,                              0.38,,,,,,,,,,
2856,2014年度,,,,              2212653,,                 43236,,                183120,,                    436,,                  4078,,              1271962,                 51147,              1188543,                 38305,,                284761,,                -80260,,                 33010,,                      8,,                514804,,               -241369,,               -231740,,                  7424,,                  2908,,                 44600,              5327626,,,                184283,,                 41248,                    909,                    753,                227372,                 10219,,                 31493,,                 60563,                 26974,,              2212357,,                154857,,              1160618,              4111646,              1215980,,,                411013,                411013,              1626993,,               -129469,              1497524,              1497524,,,,,                273200,,,,              1768901,,              1497524,,,              1768901,,,                              0.97,,                              0.97,,,,                 32013,,,                -40766,,                  6930,                271377
2856,2014年01月01日至2014年09月30日,,,,              1705598,                              0,                 32066,,                115835,,                    283,,                  2647,,              1257120,                 38515,                895844,                 37652,,                 13386,,                -93354,,                 95300,,                    305,,                275585,,               -147226,,               -185262,,                  6032,,                  1954,,                 41652,              4093932,,,                142974,,                 30203,                    607,                    497,                175906,                  7219,,                 22133,,                 33461,                 19552,,              1632877,,                115902,,                860569,              3041900,              1052032,,,                 55031,                 55031,              1107063,,                -84451,              1022612,              1022612,,,,                  9509,,                257932,                267441,                267441,              1290053,,              1022612,                              0,,              1290053,                              0,,                              0.65,,,,,,,,,,,,
2856,2014年01月01日至2014年06月30日,,,,              1129369,,                 23108,,                 84620,,                    137,,                  1779,,                841103,                 26060,                586987,                  1817,,                592925,,                -87145,,                 37898,,                    306,,               -103344,,                -30648,,               -165981,,                  3849,,                  1216,,                 29436,              2973492,,,                 91905,,                 17506,                    420,                    465,                115480,,,                 14910,,                 23550,                  8519,,              1160021,,                 76916,,                534694,              2044386,                929106,,,                 43023,                 43023,                972129,,                -51835,                920294,                920294,,,,                    -39,,                130982,                130943,                130943,              1051237,,                920294,                              0,,              1051237,                              0,,                              0.59,,                              0.59,,,,,,,,,,
