證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 共同控制下前手權益（淨利／損）,　　 共同控制下前手權益（綜合損益）,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　 勞務收入,　　　 維修收入,　　　　 維修收入,　　　　 維修收入淨額,　　　 勞務收入合計,　　　 銷貨成本
6414,2014年01月01日至2014年06月30日,,,,              1648120,,,,              1296973,                351147,                351147,,,                 45169,,                 21637,,                 52046,                118852,                232295,,,,                  4872,,                  6760,,                     31,,,                 11601,                243896,,                 41043,                202853,                202853,,,,,,,                   -667,                              0,                   -667,                   -667,                202186,,                202853,                              0,,                202186,                              0,,                              3.19,                              3.19,,                              3.17,                              3.17,,,,,,,,,,,,,,,,,
6414,2014年01月01日至2014年03月31日,,,,                692375,,,,                543779,                148596,                148596,,,                 22565,,                 16018,,                 25892,                 64475,                 84121,,,,                  2184,,                 11724,,                     31,,,                 13877,                 97998,,                 16783,                 81215,                 81215,,,,,,,                    143,                              0,                    143,                    143,                 81358,,                 81215,                              0,,                 81358,                              0,,                              1.34,                              1.34,,                              1.33,                              1.33,,,,,,,,,,,,,,,,,
6414,2013年第3季,,,                861574,                861574,,,                679393,                679393,                182181,                182181,,,                 23053,,                 21552,,                 26546,                 71151,                111030,,,                  2302,                  2302,,                    -36,,                    269,,,                  1997,                113027,,                 20540,                 92487,                 92487,,,,,,,,,,                   -303,                 92184,,                 92487,                              0,,                 92184,                              0,,                              1.53,                              1.53,,                              1.49,                              1.49,                   -303,                              0,,,,,,,,,,,,,,,
6414,2013年第2季,,,,                772413,,,,                593565,                178848,                178848,,,                 17420,,                 17151,,                 29380,                 63951,                114897,,,,                  2332,,                 11564,,                     23,,,                 13873,                128770,,                 22065,                106705,                106705,,,,,,,,,,                    498,                107203,,                106705,                              0,,                107203,                              0,,                              1.78,                              1.78,,                              1.73,                              1.73,                    498,,,,                              0,                              0,,,,,,,,,,,
6414,2013年度,,,              3095969,              3095969,,,              2432815,              2432815,                663154,                663154,,,                 79907,,                 70207,,                102437,                252551,                410603,,,                  9174,                  9174,,                 30914,,                    657,,,                 39431,                450034,,                 78207,                371827,                371827,,,,,,,,,,                  4576,                376403,,                371827,                              0,,                376403,                              0,,                              6.17,                              6.17,,                              6.03,                              6.03,                  1508,                              0,                  3696,                    628,,,,,,,,,,,,,
6414,2013年07月01日至2013年09月30日,,,                854240,                861574,,,                679393,                679393,                182181,                182181,,,                 23053,,                 21552,,                 26546,                 71151,                111030,,,,                  2302,,                    -36,,                    269,,,                  1997,                113027,,                 20540,                 92487,                 92487,,,,,,,,,,                   -303,                 92184,,                 92487,,,                 92184,,,,                              1.53,,,                              1.49,                   -303,,,,,,,                880678,                880678,                  5398,                 21040,,,                  7334,                  7334,                  7334,                679393
6414,2013年04月01日至2013年06月30日,,,                765420,                772413,,,                593565,                593565,                178848,                178848,,,                 17420,,                 17151,,                 29380,                 63951,                114897,,,,                  2332,,                 11564,,                     23,,,                 13873,                128770,,                 22065,                106705,                106705,,,,,,,,,,                    498,                107203,,                106705,,,                107203,,,,                              1.78,,,                              1.73,                    498,,,,,,,                770857,                770857,                  1322,                  4115,,,                  6993,                  6993,                  6993,                593565
6414,2013年01月01日至2013年12月31日,,,              3074609,              3095969,,,              2432815,              2432815,                663154,                663154,,,                 79907,,                 70207,,                102437,                252551,                410603,,,,                  9174,,                 30914,,                    657,,,                 39431,                450034,,                 78207,                371827,                371827,,,,,,,,,,                  4576,                376403,,                371827,,,                376403,,,,                              6.17,,,                              6.03,                  1508,,                  3696,                    628,,,,              3148186,              3148186,                 25822,                 47755,,,                 21360,                 21360,                 21360,              2432815
6414,2013年01月01日至2013年09月30日,,,              2395404,              2395404,,,              1891506,              1891506,                503898,                503898,,,                 54823,,                 54493,,                 82407,                191723,                312175,,,                  6708,                  6708,,                 21849,,                    357,,,                 28200,                340375,,                 60940,                279435,                279435,,,,,,,,,,                  1040,                280475,,                279435,                              0,,                280475,                              0,,                              4.65,                              4.65,,                              4.52,                              4.52,                  1040,                              0,,,,,,,,,,,,,,,
6414,2013年01月01日至2013年06月30日,,,,              1533830,,,,              1212113,                321717,                321717,,,                 31770,,                 32941,,                 55861,                120572,                201145,,,,                  4406,,                 21885,,                     88,,,                 26203,                227348,,                 40400,                186948,                186948,,,,,,,,,,                  1343,                188291,,                186948,                              0,,                188291,                              0,,                              3.12,                              3.12,,                              3.04,                              3.04,                  1343,,,,                              0,                              0,,,,,,,,,,,
6414,2013年01月01日至2013年03月31日,,,,                761417,,,,                618548,                142869,                142869,,,                 14350,,                 15790,,                 26481,                 56621,                 86248,,,,                  2074,,                 10321,,                     65,,,                 12330,                 98578,,                 18335,                 80243,                 80243,,,,,,,,,,                    845,                 81088,,                 80243,,,                 81088,,,                              1.34,                              1.34,,                              1.31,                              1.31,                    845,,,,,,,,,,,,,,,,
6414,2012年07月01日至2012年09月30日,,,                686037,                692358,,,                561207,                561207,                131151,                131151,,,                 22265,,                 11350,,                 24679,                 58294,                 72857,,,,                  1514,,                 -4411,,                    126,,,                 -3023,                 69834,,                 14568,                 55266,                 55266,,,,,,,,,,                   -209,                 55057,,                 55266,,,                 55057,,,,                              0.98,,,                              0.95,                   -209,,,,,,,                690873,                690873,                              0,                  4836,,,                  6321,                  6321,                  6321,                561207
6414,2012年04月01日至2012年06月30日,,,                447529,                445216,,,                353309,                353309,                 91907,                 91907,,,                 18687,,                 15073,,                 17910,                 51670,                 40237,,,,                  1775,,                  9666,,                              0,,,                 11441,                 51678,,                  5639,                 46039,                 46039,,,,,,,,,,                     56,                 46095,,                 46039,,,                 46095,,,,                              0.86,,,                              0.84,                     56,,,,,,,                453429,                453429,                     15,                  5885,,,                 -2313,                 -2313,                 -2313,                353309
6414,2012年01月01日至2012年12月31日,,,              2253096,              2268737,,,              1855792,              1855792,                412945,                412945,,,                 78670,,                 55447,,                 86778,                220895,                192050,,,,                  6639,,                  9985,,                    901,,,                 15723,                207773,,                 33878,                173895,                173895,,,,,,,,,,                 -2997,                170898,,                173895,,,                170898,,,,                              3.10,,,                              3.00,                    -22,,                 -2975,                              0,,,,              2281686,              2281686,                    390,                 28200,,,                 15641,                 15641,                 15641,              1855792
6414,2012年01月01日至2012年09月30日,,,              1488143,              1495566,,,              1213167,              1213167,                282399,                282399,,,                 54657,,                 42084,,                 59964,                156705,                125694,,,,                  5008,,                 13715,,                    126,,,                 18597,                144291,,                 25653,                118638,                118638,,,,,,,,,,                    -17,                118621,,                118638,,,                118621,,,,                              2.17,,,                              2.11,                    -17,,,,,,,              1505797,              1505797,                    352,                 17302,,,                  7423,                  7423,                  7423,              1213167
6414,2012年01月01日至2012年06月30日,,,                804873,                803208,,,                651960,                651960,                151248,                151248,,,                 32392,,                 30734,,                 35285,                 98411,                 52837,,,,                  3494,,                 18126,,                              0,,,                 21620,                 74457,,                 11085,                 63372,                 63372,,,,,,,,,,                    192,                 63564,,                 63372,,,                 63564,,,,                              1.18,,,                              1.15,                    192,,,,,,,                817691,                817691,                    352,                 12466,,,                 -1665,                 -1665,                 -1665,                651960
