證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 股利收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 其他收入－其他,　　　 處分投資利益,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
1459,2015年第3季,,,                961239,                961239,,,                896273,                896273,                 64966,                 64966,,,                 20728,,                 21677,                 42405,                 22561,,,,                  3266,                  3025,                 44451,                 50742,,                -13065,,                 11439,                 26238,                 48799,,                  6202,                 42597,                 42597,,,                 59379,               -286466,                 10094,               -237181,               -237181,               -194584,,                 39298,                  3299,,               -197883,                  3299,,                              0.13,,                              0.12,,,,,,
1459,2015年第2季,,,                975952,                975952,,,                888768,                888768,                 87184,                 87184,,,                 18104,,                 16541,                 34645,                 52539,,,,                  2916,                  3018,                  6300,                 12234,,                 84177,,                 10275,                 86136,                138675,,                 21744,                116931,                116931,,,                -15618,               -317288,                 -2655,               -330251,               -330251,               -213320,,                116876,                     55,,               -213375,                     55,,                              0.37,,                              0.37,,,,,,
1459,2015年01月01日至2015年09月30日,,,              2940447,              2940447,,,              2677412,              2677412,                263035,                263035,,,                 57426,,                 63948,                121374,                141661,,,,                  9586,                  9064,                 50751,                 69401,,                110602,,                 32598,                147405,                289066,,                 40969,                248097,                248097,,,                 29459,               -752939,                  5008,               -728488,               -728488,               -480391,,                244683,                  3414,,               -483805,                  3414,,                              0.78,,                              0.77,,,,,,
1459,2015年01月01日至2015年06月30日,,,              1979208,              1979208,,,              1781139,              1781139,                198069,                198069,,,                 36698,,                 42271,                 78969,                119100,,,,                  6320,                  6039,                  6300,                 18659,,                123667,,                 21159,                121167,                240267,,                 34767,                205500,                205500,,,                -29920,               -466473,                 -5086,               -491307,               -491307,               -285807,,                205385,                    115,,               -285922,                    115,,                              0.65,,                              0.65,,,,,,
1459,2015年01月01日至2015年03月31日,,,              1003256,              1003256,,,                892371,                892371,                110885,                110885,,,                 18594,,                 25730,                 44324,                 66561,,,,                  3404,                  3021,,                  6425,,                 39490,,                 10884,                 35031,                101592,,                 13023,                 88569,                 88569,,,                -14302,               -149185,                 -2431,               -161056,               -161056,                -72487,,                 88509,                     60,,                -72547,                     60,,                              0.28,,                              0.28,,,,,,
1459,2014年第3季,,,                957906,                957906,,,                928654,                928654,                 29252,                 29252,,,                 16789,,                 20934,                 37723,                 -8471,,,,                  8174,                  3192,                 23735,                 35101,,                107200,,                 12384,                129917,                121446,,                 15139,                106307,                106307,,,                 39222,               -268012,                  6668,               -235458,               -235458,               -129151,,                105462,                    845,,               -129996,                    845,,                              0.33,,                              0.33,,,,,,
1459,2014年第2季,,,                995705,                995705,,,                944490,                944490,                 51215,                 51215,,,                 18702,,                 25269,                 43971,                  7244,,,,                  7698,                  2533,                  3161,                 13392,,                 17064,,                 11041,                 19415,                 26659,,                  1862,                 24797,                 24797,,,                -26072,                150631,                 -4147,                128706,                128706,                153503,,                 24714,                     83,,                153420,                     83,,                              0.08,,                              0.08,,,,,,
1459,2014年01月01日至2014年09月30日,,,              2965091,              2965091,,,              2828354,              2828354,                136737,                136737,,,                 53817,,                 64817,                118634,                 18103,,,,                 22123,                  8068,                 26896,                 57087,,                124619,,                 33840,                147866,                165969,,                 22273,                143696,                143696,,,                  3924,               -145103,                    667,               -141846,               -141846,                  1850,,                142674,                  1022,,                    828,                  1022,,                              0.45,,                              0.45,,,,,,
1459,2014年01月01日至2014年06月30日,,,              2007185,              2007185,,,              1899700,              1899700,                107485,                107485,,,                 37028,,                 43883,                 80911,                 26574,,,,                 13949,                  4876,                  3161,                 21986,,                 17419,,                 21456,                 17949,                 44523,,                  7134,                 37389,                 37389,,,                -35298,                122909,                 -6001,                 93612,                 93612,                131001,,                 37212,                    177,,                130824,                    177,,                              0.12,,                              0.12,,,,,,
1459,2014年01月01日至2014年03月31日,,,              1011480,              1011480,,,                955210,                955210,                 56270,                 56270,,,                 18326,,                 18614,                 36940,                 19330,,,,                  6251,                  2343,,                  8594,,                    355,,                 10415,                 -1466,                 17864,,                  5272,                 12592,                 12592,,,                 -9226,                -27722,                 -1854,                -35094,                -35094,                -22502,,                 12498,                     94,,                -22596,                     94,,                              0.04,,                              0.04,,,,,,
