證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 重估增值,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 重估價之利益（損失）,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 繼續營業單位淨利（淨損）,　　　 利息收入,　　　　 利息收入合計
2903,2013年第3季,,             10655124,,              5543325,              5111799,              5111799,,,                231338,,              4726204,              4957542,                154257,,,                253315,                253315,,                490259,,                 89527,,                 29685,                683732,                837989,,                272130,                565859,                565859,,,,,,,,,,,,                128534,                694393,,                490658,                 75201,,                620557,                 73836,,                              0.34,,                              0.34,                -14433,                163149,                              0,,,                -20182,                              0,,,
2903,2013年第2季,,             10917147,,              5591281,              5325866,              5325866,,,                326094,,              4681335,              5007429,                318437,,,                 36633,                 36633,,                114310,,                145278,,                113249,                118914,                437351,,                155228,                282123,                282123,,,,,,,,,,,,                233488,                515611,,                201945,                 80178,,                424263,                 91348,,                              0.14,,                              0.14,                 36287,                108740,,,,                 88461,,,,
2903,2013年第1季,,             11497214,,              5877391,              5619823,              5619823,,,                326600,,              4534442,              4861042,                758781,,,                 41519,                 41519,,                482883,,                155671,,                 16543,                385274,              1144055,,                195890,                948165,                948165,,,,,,,,,,,,               -605813,                342352,,                778224,                169941,,                153877,                188475,,                              0.55,,                              0.55,                 66523,               -590102,,,,                -82234,,,,
2903,2013年度,,             46754377,,             23779290,             22975087,             22975087,,,              1382355,,             18839954,             20222309,              2752778,,,                356490,                356490,,              1263732,,                508253,,                228035,              1340004,              4092782,,              1052064,              3040718,              3040718,,,,,,,,,,,,                -88450,              2952268,,              2185839,                854879,,              2066076,                886192,,                              1.53,,                              1.52,                114431,               -111661,                              0,                 -8943,,                -83622,                 -1345,                              1.52,,
2903,2013年07月01日至2013年09月30日,,             10655124,,              5549285,              5105839,              5105839,,,                231338,,              4731821,              4963159,                142680,,,,                253315,,                490259,,                 89527,,                 29685,                683732,                826412,,                271170,                555242,                555242,,,,,,,,,,,,                128534,                683776,,                481922,                 73320,,                611821,                 71955,,                              0.34,,                              0.34,                -14433,                163149,,,,                -20182,,,,
2903,2013年04月01日至2013年06月30日,,             10917147,,              5597241,              5319906,              5319906,,,                326094,,              4686952,              5013046,                306860,,,                 36633,                 36633,,                114310,,                145278,,                113249,                118914,                425774,,                154267,                271507,                271507,,,,,,,,,,,,                233488,                504995,,                193209,                 78298,,                415527,                 89468,,                              0.14,,                              0.14,                 36287,                108740,,,,                 88461,,,,                              0
2903,2013年01月01日至2013年12月31日,,             46754377,,             23803129,             22951248,             22951248,,,              1382355,,             18862449,             20244804,              2706444,,,                356490,                356490,,              1237051,,                508253,,                228035,              1313323,              4019767,,              1016840,              3002927,              3002927,,,,,,,,,,,,                -88450,              2914477,,              2165564,                837363,,              2045801,                868676,,                              1.54,,                              1.54,                114431,               -111661,,                 -8943,,                -83622,                 -1345,,,
2903,2013年01月01日至2013年09月30日,,             33069485,,             17011997,             16057488,             16057488,,,                884032,,             13941981,             14826013,              1231475,,,                331467,                331467,,              1087452,,                390476,,                159477,              1187920,              2419395,,                623248,              1796147,              1796147,,,,,,,,,,,,               -243791,              1552356,,              1470827,                325320,,              1198697,                353659,,                              1.03,,                              1.03,                 88377,               -318213,                              0,,,                -13955,                              0,,,
2903,2013年01月01日至2013年06月30日,,             22414361,,             11468672,             10945689,             10945689,,,                652694,,              9215777,              9868471,              1077218,,,                 78152,                 78152,,                597193,,                300949,,                129792,                504188,              1581406,,                351118,              1230288,              1230288,,,,,,,,,,,,               -372325,                857963,,                980169,                250119,,                578140,                279823,,                              0.70,,                              0.70,                102810,               -481362,,,,                  6227,,,,
2903,2013年01月01日至2013年03月31日,,             11497214,,              5883350,              5613864,              5613864,,,                326600,,              4540088,              4866688,                747176,,,,                 41519,,                482883,,                155671,,                 16543,                385274,              1132450,,                194925,                937525,                937525,,,,,,,,,,,,               -605813,                331712,,                769464,                168061,,                145117,                186595,,                              0.56,,                              0.56,                 66523,               -590102,,,,                -82234,,,,                 41519
2903,2012年07月01日至2012年09月30日,,             10925685,,              5828753,              5096932,              5096932,,,                217494,,              4770995,              4988489,                108443,,,,                376606,,                 12484,,                172639,,                 32586,                249037,                357480,,                -59596,                417076,                417076,,,,,,,,,,,,                259435,                676511,,                344351,                 72725,,                619095,                 57416,,                              0.25,,                              0.25,                -50728,                215039,,,,                 95124,,,,
2903,2012年04月01日至2012年06月30日,,             11103588,,              5800012,              5303576,              5303576,,,                322561,,              4617784,              4940345,                363231,,,                 31177,                 31177,,                  1129,,                164995,,                  1301,               -131388,                231843,,                357409,               -125566,               -125566,,,,,,,,,,,,                 65908,                -59658,,                -72810,                -52756,,                 -8504,                -51154,,                             -0.05,,                             -0.05,                 15441,                 28333,,,,                 22134,,,,                              0
2903,2012年01月01日至2012年12月31日,,             47683558,,             24678982,             23004576,             23004576,,,              1294349,,             18757466,             20051815,              2952761,,,                484597,                484597,,                255085,,                662005,,                144808,                222485,              3175246,,                775867,              2399379,              2399379,,,,,,,,,,,,                307398,              2706777,,              1608169,                791210,,              1995667,                711110,,                              1.15,,                              1.14,               -111075,                467398,,               -249755,,                159983,                -40847,,,
2903,2012年01月01日至2012年09月30日,,             33704408,,             17556217,             16148191,             16148191,,,                878764,,             13805968,             14684732,              1463459,,,,                445916,,                 87382,,                491528,,                120036,                161806,              1625265,,                425871,              1199394,              1199394,,,,,,,,,,,,                481729,              1681123,,                910155,                289239,,              1430534,                250589,,                              0.65,,                              0.65,               -108325,                431734,,,,                158320,,,,
2903,2012年01月01日至2012年06月30日,,             22778723,,             11727464,             11051259,             11051259,,,                661270,,              9034973,              9696243,              1355016,,,                 69310,                 69310,,                 74898,,                318889,,                 87450,                -87231,              1267785,,                485467,                782318,                782318,,,,,,,,,,,,                222294,              1004612,,                565804,                216514,,                811439,                193173,,                              0.42,,                              0.41,                -57597,                216695,,,,                 63196,,,,                              0
2903,2012年01月01日至2012年03月31日,,             11675135,,              5927452,              5747683,              5747683,,,                338709,,              4417189,              4755898,                991785,,,,                 38133,,                 73769,,                153894,,                 86149,                 44157,              1035942,,                128058,                907884,                907884,,,,,,,,,,,,                156386,              1064270,,                638614,                269270,,                819943,                244327,,                              0.47,,                              0.47,                -73038,                188362,,,,                 41062,,,,                 38133
