證券代號,年季,　 營業收入,　　 租賃收入,　　　 租賃收入合計,　　 旅遊服務收入,　　　 餐旅服務收入,　　　　 餐旅服務收入淨額,　　　 旅遊服務收入合計,　　 營建工程收入,　　　 營建工程收入合計,　　 營業收入合計,　 營業成本,　　 租賃成本,　　　 租賃成本合計,　　 旅遊服務成本（觀光飯店業適用）,　　　 餐旅服務成本,　　　　 餐旅服務成本合計,　　　 旅遊服務成本（觀光飯店業適用）合計,　　 營建工程成本,　　　 營建工程成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
5533,2013年第2季,,,                  3363,,,                 27886,                 27886,,                495667,                526916,,,                  1120,,,                 22043,                 22043,,                359353,                382516,                144400,                144400,,                 76276,                 68124,,,                  3691,,                   -251,,                  1824,                  1616,                 69740,,                  7500,                 62240,                 62240,,,,,                     57,                 62297,,                 62240,,                 62297,,                              0.24,                              0.24,,                              0.24,                              0.24,                     57,,
5533,2013年度,,,                 10840,,,                168667,                168667,,              3041037,              3220544,,,                  3607,,,                178456,                178456,,              1926539,              2108602,              1111942,              1111942,,                274111,                837831,,,                  4760,,                 13718,,                 11469,                  7009,                844840,,                 93094,                751746,                751746,,,,,                  1623,                753369,,                751746,,                753369,,                              2.95,                              2.95,,                              2.94,                              2.94,                    680,                  1136,                    193
5533,2013年07月01日至2013年09月30日,,,                  3427,,,                 41162,                 41162,,              1543914,              1588503,,,                    819,,,                 67798,                 67798,,                901814,                970431,                618072,                618072,,                 82004,                536068,,,                    145,,                 15858,,                  5645,                 10358,                546426,,                 17410,                529016,                529016,,,,,                    274,                529290,,                529016,,                529290,,                              2.18,                              2.18,,                              2.17,                              2.17,                    274,,
5533,2013年04月01日至2013年06月30日,,,                  3363,,,                 27886,                 27886,,                495667,                526916,,,                  1120,,,                 22043,                 22043,,                359353,                382516,                144400,                144400,,                 76276,                 68124,,,                  3691,,                   -251,,                  1824,                  1616,                 69740,,                  7500,                 62240,                 62240,,,,,                     57,                 62297,,                 62240,,                 62297,,                              0.26,                              0.26,,                              0.26,                              0.26,                     57,,
5533,2013年01月01日至2013年12月31日,,,                 10840,,,                168667,                168667,,              3041037,              3220544,,,                  3607,,,                178456,                178456,,              1926539,              2108602,              1111942,              1111942,,                274111,                837831,,,                  4760,,                 13718,,                 11469,                  7009,                844840,,                 93094,                751746,                751746,,,,,                  1623,                753369,,                751746,,                753369,,                              3.09,                              3.09,,                              3.09,                              3.09,                    680,                  1136,                    193
5533,2013年01月01日至2013年09月30日,,,                  8590,,,                 94701,                 94701,,              2497952,              2601243,,,                  2683,,,                108325,                108325,,              1563042,              1674050,                927193,                927193,,                197325,                729868,,,                  4088,,                 15622,,                  7866,                 11844,                741712,,                 83210,                658502,                658502,,,,,                    486,                658988,,                658502,,                658988,,                              2.58,                              2.58,,                              2.58,                              2.58,                    486,,
5533,2013年01月01日至2013年06月30日,,,                  5163,,,                 53539,                 53539,,                954038,              1012740,,,                  1864,,,                 40527,                 40527,,                661228,                703619,                309121,                309121,,                115321,                193800,,,                  3943,,                   -236,,                  2221,                  1486,                195286,,                 65800,                129486,                129486,,,,,                    212,                129698,,                129486,,                129698,,                              0.51,                              0.51,,                              0.51,                              0.51,                    212,,
5533,2013年01月01日至2013年03月31日,,,                  1800,,,                 25653,                 25653,,                458371,                485824,,,                  4340,,,                 14888,                 14888,,                301875,                321103,                164721,                164721,,                 39045,                125676,,,                    252,,                     15,,                    397,                   -130,                125546,,                 58300,                 67246,                 67246,,,,,                    155,                 67401,,                 67246,,                 67401,,                              0.28,                              0.28,,                              0.28,                              0.28,                    155,,
5533,2012年07月01日至2012年09月30日,,,                  2027,,,                 22395,                 22395,,              1631438,              1655860,,,                  1014,,,                 15783,                 15783,,              1081243,              1098040,                557820,                557820,,                 93428,                464392,,,                    223,,                    261,,                  3238,                 -2754,                461638,,                 15618,                446020,                446020,,,,,                   -612,                445408,,                446020,,                445408,,                              1.84,                              1.84,,                              1.83,                              1.83,                   -612,,
5533,2012年04月01日至2012年06月30日,,,                  2077,,,                 19347,                 19347,,                902839,                924263,,,                  1864,,,                  9747,                  9747,,                670866,                682477,                241786,                241786,,                 67808,                173978,,,                  1922,,                    793,,                  6983,                 -4268,                169710,,                 13115,                156595,                156595,,,,,                 -1436,                155159,,                156595,,                155159,,                              0.65,                              0.65,,                              0.64,                              0.64,                 -1436,,
5533,2012年01月01日至2012年12月31日,,,                  7405,,,                 81533,                 81533,,              3682606,              3771544,,,                  4136,,,                 54158,                 54158,,              2535725,              2594019,              1177525,              1177525,,                262847,                914678,,,                  5252,,                -45285,,                 13178,                -53211,                861467,,                 80066,                781401,                781401,,,,,                 35803,                817204,,                781401,,                817204,,                              3.22,                              3.22,,                              3.21,                              3.21,                 36592,                   -951,                   -162
5533,2012年01月01日至2012年09月30日,,,                  5726,,,                 55028,                 55028,,              2921509,              2982263,,,                  3122,,,                 33711,                 33711,,              2040850,              2077683,                904580,                904580,,                203093,                701487,,,                  3547,,                 -6947,,                 12765,                -16165,                685322,,                 69047,                616275,                616275,,,,,                 -1077,                615198,,                616275,,                615198,,                              2.54,                              2.54,,                              2.53,                              2.53,                 -1077,,
5533,2012年01月01日至2012年06月30日,,,                  3699,,,                 32633,                 32633,,              1290071,              1326403,,,                  2108,,,                 17928,                 17928,,                959607,                979643,                346760,                346760,,                109665,                237095,,,                  3324,,                 -7208,,                  9527,                -13411,                223684,,                 53429,                170255,                170255,,,,,                   -465,                169790,,                170255,,                169790,,                              0.70,                              0.70,,                              0.70,                              0.70,                   -465,,
5533,2012年01月01日至2012年03月31日,,,                  1622,,,                 13286,                 13286,,                387232,                402140,,,                  2718,,,                  5707,                  5707,,                288741,                297166,                104974,                104974,,                 41857,                 63117,,,                  1402,,                 -8001,,                  2544,                 -9143,                 53974,,                 40314,                 13660,                 13660,,,,,                    971,                 14631,,                 13660,,                 14631,,                              0.06,                              0.06,,                              0.06,                              0.06,                    971,,
