證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營建工程收入,　　　 工程收入,　　　　 工程收入淨額,　　　 營建工程收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營建工程成本,　　　 工程成本,　　　 營建工程成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 投資收入（投資公司適用）,　　　 投資收入（投資公司適用）合計,　　 租賃收入,　　　 租賃收入合計,　　 旅遊服務收入,　　　 旅遊服務收入合計,　　 勞務收入,　　　 勞務收入合計,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 停業單位損益,　　 停業單位損益合計,　　 共同控制下前手權益（綜合損益）
5484,2015年第3季,,,                337776,,,                              0,                              0,                337776,,,                268182,,                              0,                              0,                268182,                 69594,                 69594,,,                 64522,,                 35689,,                 14263,                114474,                -44880,,,                    987,                    987,,                 17445,,                    373,                 18059,                -26821,,                  1946,                -28767,                -28767,,,                  9699,                  9699,                  9699,                -19068,,                -28767,                              0,,                -19068,                              0,,                             -0.25,                             -0.25,,,,,,,,,,,,,,,
5484,2015年第2季,,,                278166,,,                  5619,                  5619,                283785,,,                197598,,                  4980,                  4980,                202578,                 81207,                 81207,,,                 68758,,                 40286,,                 16142,                125186,                -43979,,,                  8350,                  8350,,                 -1115,,                    255,                  6980,                -36999,,                 15187,                -52186,                -52186,,,                 -2477,                 -2477,                 -2477,                -54663,,                -52186,                              0,,                -54663,                              0,,,                             -0.45,,,,,,,,,,,,,,,
5484,2015年01月01日至2015年09月30日,,,                868082,,,                 12935,                 12935,                881017,,,                645349,,                 11755,                 11755,                657104,                223913,                223913,,,                199866,,                114896,,                 45337,                360099,               -136186,,,                 10356,                 10356,,                 -7318,,                    845,                  2193,               -133993,,                  1581,               -135574,               -135574,,,                  4594,                  4594,                  4594,               -130980,,               -135574,                              0,,               -130980,                              0,,                             -1.17,                             -1.17,,,,,,,,,,,,,,,
5484,2015年01月01日至2015年06月30日,,,                530306,,,                 12935,                 12935,                543241,,,                377167,,                 11755,                 11755,                388922,                154319,                154319,,,                135344,,                 79207,,                 31074,                245625,                -91306,,,                  9369,                  9369,,                -24763,,                    472,                -15866,               -107172,,                   -365,               -106807,               -106807,,,                 -5105,                 -5105,                 -5105,               -111912,,               -106807,                              0,,               -111912,                              0,,,                             -0.92,,,,,,,,,,,,,,,
5484,2015年01月01日至2015年03月31日,,,                252140,,,                  7316,                  7316,                259456,,,                179569,,                  6775,                  6775,                186344,                 73112,                 73112,,,                 66586,,                 38921,,                 14932,                120439,                -47327,,,,                  1019,,                -23648,,                    217,                -22846,                -70173,,                -15552,                -54621,                -54621,,,                 -2628,                 -2628,                 -2628,                -57249,,                -54621,                              0,,                -57249,                              0,,                             -0.47,                             -0.47,,,,,,,,,,,,,,,
5484,2014年第3季,,,                458089,,,                    306,                    306,                458395,,,                330936,,                   -821,                   -821,                330115,                128280,                128280,,,                 86988,,                 48927,,                 15591,                151506,                -23226,,,                  9550,                  9550,,                   -108,,                    797,                  8645,                -14581,,                 -2236,                -12345,                -12345,,,                  8069,                  8069,                  8069,                 -4276,,                -12190,                   -155,,                 -4136,                   -140,,                             -0.11,                             -0.11,,,,,,,,,,,,,,,
5484,2014年第2季,,,                401938,,,                              0,                              0,                401938,,,                273756,,                              0,                              0,                273756,                128182,                128182,,,                 93528,,                 48768,,                 18866,                161162,                -32980,,,                  2433,                  2433,,                -13309,,                    474,                -11350,                -44330,,                  3051,                -47381,                -47381,,,                 -2803,                 -2803,                 -2803,                -50184,,                -46981,                   -400,,                -49774,                   -410,,,                             -0.41,,,,,,,,,,,,,,,
5484,2014年度,,,              1634176,,,                  5225,                  5225,              1639401,,,              1158981,,                  3845,                  3845,              1162826,                476575,                476575,,,                187181,,                372522,,                 66641,                626344,               -149769,,,                 27162,                 27162,,                 -3581,,                  1695,                 21886,               -127883,,                   -230,               -127653,               -127653,,,,,                 25385,               -102268,,               -124422,                 -3231,,                -98977,                 -3291,,,                             -1.08,                 25291,                     94,,,,,,,,,,,,,
5484,2014年01月01日至2014年09月30日,,,              1262933,,,                  3735,                  3735,              1266668,,,                874037,,                  1667,                  1667,                875704,                390964,                390964,,,                263124,,                149645,,                 51668,                464437,                -73473,,,                 14439,                 14439,,                 -6267,,                  1640,                  6532,                -66941,,                    361,                -67302,                -67302,,,                 11463,                 11463,                 11463,                -55839,,                -66471,                   -831,,                -54990,                   -849,,                             -0.58,                             -0.58,,,,,,,,,,,,,,,
5484,2014年01月01日至2014年06月30日,,,                804844,,,                  3429,                  3429,                808273,,,                543101,,                  2488,                  2488,                545589,                262684,                262684,,,                176136,,                100718,,                 36077,                312931,                -50247,,,                  4889,                  4889,,                 -6159,,                    843,                 -2113,                -52360,,                  2597,                -54957,                -54957,,,                  3394,                  3394,                  3394,                -51563,,                -54281,                   -676,,                -50854,                   -709,,,                             -0.47,,,,,,,,,,,,,,,
