證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）
4994,2015年第3季,,                366175,,                 33933,                332242,                332242,,,                 58451,,                 53760,,                163993,                276204,                 56038,,,                  6987,,                 -4278,                  2709,                 58747,,                 10696,                 48051,                 48051,,,                 10721,                 10721,                 10721,                 58772,,                 48051,,                 58772,,                              0.43,                              0.43,,                              0.43,                              0.43,,
4994,2015年第2季,,                298422,,                 30993,                267429,                267429,,,                 83885,,                 50839,,                149857,                284581,                -17152,,,                  1822,,                   -822,                  1000,                -16152,,                 29211,                -45363,                -45363,,,                 -5584,                 -5584,                 -5584,                -50947,,                -45363,,                -50947,,                             -0.51,                             -0.51,,                             -0.51,                             -0.51,,
4994,2015年01月01日至2015年09月30日,,                955569,,                 90673,                864896,                864896,,,                179826,,                148956,,                451607,                780389,                 84507,,,                 11426,,                 -6047,                  5379,                 89886,,                 63973,                 25913,                 25913,,,                  1161,                  1161,                  1161,                 27074,,                 25913,,                 27074,,                              0.23,                              0.23,,                              0.23,                              0.23,,
4994,2015年01月01日至2015年06月30日,,                589394,,                 56740,                532654,                532654,,,                121375,,                 95196,,                287614,                504185,                 28469,,,                  4439,,                 -1769,                  2670,                 31139,,                 53277,                -22138,                -22138,,,                 -9560,                 -9560,                 -9560,                -31698,,                -22138,,                -31698,,                             -0.25,                             -0.25,,                             -0.25,                             -0.25,,
4994,2015年01月01日至2015年03月31日,,                290972,,                 25747,                265225,                265225,,,                 37490,,                 44357,,                137757,                219604,                 45621,,,                  2617,,                   -947,                  1670,                 47291,,                 24066,                 23225,                 23225,,,                 -3976,                 -3976,                 -3976,                 19249,,                 23225,,                 19249,,                              0.26,                              0.26,,                              0.26,                              0.26,,
4994,2014年第3季,,                430334,,                 33213,                397121,                397121,,,                 78157,,                 50516,,                131722,                260395,                136726,,,                  2825,,                   -692,                  2133,                138859,,                 32602,                106257,                106257,,,                 -8595,                 -8595,                 -8595,                 97662,,                106257,,                 97662,,                              0.96,                              0.96,,                              0.96,                              0.96,,
4994,2014年第2季,,                296772,,                 25883,                270889,                270889,,,                 29875,,                 43940,,                122374,                196189,                 74700,,,                  3319,,                   -908,                  2411,                 77111,,                 24404,                 52707,                 52707,,,                      9,                      9,                      9,                 52716,,                 52707,,                 52716,,                              0.60,                              0.60,,                              0.60,                              0.60,,
4994,2014年度,,              1474037,,                125341,              1348696,              1348696,,,                220638,,                178229,,                501885,                900752,                447944,,,                 31322,,                   -711,                 30611,                478555,,                127111,                351444,                351444,,,,,                 -9268,                342176,,                351444,,                342176,,                              3.98,                              3.98,,                              3.97,                              3.97,                -11136,                  1868
4994,2014年01月01日至2014年09月30日,,              1100889,,                 92318,              1008571,              1008571,,,                136662,,                132876,,                374280,                643818,                364753,,,                  8337,,                   -121,                  8216,                372969,,                 90150,                282819,                282819,,,                 -6212,                 -6212,                 -6212,                276607,,                282819,,                276607,,                              2.56,                              2.56,,                              2.56,                              2.56,,
4994,2014年01月01日至2014年06月30日,,                670555,,                 59105,                611450,                611450,,,                 58505,,                 82360,,                242558,                383423,                228027,,,                  5512,,                    571,                  6083,                234110,,                 57548,                176562,                176562,,,                  2383,                  2383,                  2383,                178945,,                176562,,                178945,,                              2.00,                              2.00,,                              2.00,                              2.00,,
