證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 銷貨成本,　　　 銷貨成本合計,　　　 其他收入－其他,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　 非控制權益（淨利／損）,　　 非控制權益（綜合損益）,　　 國外營運機構財務報表換算之兌換差額
4912,2015年第3季,,,,                734323,                  1587,                732736,                732736,,                544444,                188292,                188292,,,                 21982,,                 64133,,                 28071,                114186,                 74106,,,                  2026,,                 23163,,                  1204,,                 -1120,                 22865,                 96971,,                 15237,                 81734,                 81734,,,                              0,                              0,,                 54624,                 54624,                 54624,                136358,,                 81734,,                136358,,                              2.06,                              2.06,,                              2.06,                              2.06,,,,,,,,,,,,,,
4912,2015年第2季,,,,                542776,                  1639,                541137,                541137,,                399930,                141207,                141207,,,                 18786,,                 51758,,                 21568,                 92112,                 49095,,,                  1948,,                -26091,,                  4169,,                 -2619,                -30931,                 18164,,                  9273,                  8891,                  8891,,,,,,                -18094,                -18094,                -18094,                 -9203,,                  8891,,                 -9203,,                              0.23,                              0.23,,                              0.23,                              0.23,,,,,,,,,,,,,,
4912,2015年01月01日至2015年09月30日,,,,              2091192,                  4618,              2086574,              2086574,,              1551919,                534655,                534655,,,                 73025,,                176094,,                 73043,                322162,                212493,,,                  5882,,                -18126,,                 12621,,                 -1454,                -26319,                186174,,                 43838,                142336,                142336,,,                              0,                              0,,                 25587,                 25587,                 25587,                167923,,                142336,,                167923,,                              3.82,                              3.82,,                              3.75,                              3.75,,,,,,,,,,,,,,
4912,2015年01月01日至2015年06月30日,,,,              1356869,                  3031,              1353838,              1353838,,              1007475,                346363,                346363,,,                 51043,,                111961,,                 44972,                207976,                138387,,,                  3856,,                -41289,,                 11417,,                   -334,                -49184,                 89203,,                 28601,                 60602,                 60602,,,,,,                -29037,                -29037,                -29037,                 31565,,                 60602,,                 31565,,                              1.68,                              1.68,,                              1.68,                              1.68,,,,,,,,,,,,,,
4912,2015年01月01日至2015年03月31日,,,,                814093,                  1392,                812701,                812701,,                607545,                205156,                205156,,,                 32257,,                 60203,,                 23404,                115864,                 89292,,,                  1908,,                -15198,,                  7248,,                  2285,                -18253,                 71039,,                 19328,                 51711,                 51711,,,                              0,                              0,,                -10943,                -10943,                -10943,                 40768,,                 51711,,                 40768,,                              1.54,                              1.54,,                              1.44,                              1.44,,                607545,                  1908,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,
4912,2014年第3季,,,,                877895,                     29,                877866,                877866,,                672505,                205361,                205361,,,                 28761,,                 49741,,                 15751,                 94253,                111108,,,                  4298,,                -37626,,                  7170,,                    824,                -39674,                 71434,,                 25890,                 45544,                 45544,,,                              0,                              0,,                 26609,                 26609,                 26609,                 72153,,                 45544,,                 72153,,                              1.39,                              1.39,,                              1.31,                              1.31,,,,,,,,,,,,,,
4912,2014年第2季,,,,                689920,                    285,                689635,                689635,,                533655,                155980,                155980,,,                 11930,,                 55665,,                 14453,                 82048,                 73932,,,                  1546,,                  2787,,                  6795,,                   -382,                 -2844,                 71088,,                 17916,                 53172,                 53172,,,,,,                -17984,                -17984,                -17984,                 35188,,                 53172,,                 35188,,                              1.62,                              1.62,,                              1.62,                              1.62,,,,,,,,,,,,,,
4912,2014年度,,,,              3069098,                    768,              3068330,              3068330,,              2349800,                718530,                718530,,,                 90523,,                225427,,                 59512,                375462,                343068,,,                 13208,,                -41619,,                 23669,,                  1367,                -50713,                292355,,                 70949,                221406,                221406,,,,,,,,                 41265,                262671,,                221406,,                262671,,                              6.73,                              6.73,,                              6.29,                              6.29,,,,,,,,,,,,,,                 41265
4912,2014年01月01日至2014年09月30日,,,,              2184777,                    418,              2184359,              2184359,,              1701398,                482961,                482961,,,                 58126,,                161706,,                 46790,                266622,                216339,,,                  8116,,                -34226,,                 15821,,                    102,                -41829,                174510,,                 47259,                127251,                127251,,,                              0,                              0,,                  5321,                  5321,                  5321,                132572,,                127251,,                132572,,                              3.88,                              3.88,,                              3.75,                              3.75,,,,,,,,,,,,,,
4912,2014年01月01日至2014年06月30日,,,,              1306882,                    389,              1306493,              1306493,,              1028893,                277600,                277600,,,                 29365,,                111965,,                 31039,                172369,                105231,,,                  3818,,                  3400,,                  8651,,                   -722,                 -2155,                103076,,                 21369,                 81707,                 81707,,,,,,                -21288,                -21288,                -21288,                 60419,,                 81707,,                 60419,,                              2.49,                              2.49,,                              2.48,                              2.48,,,,,,,,,,,,,,
