證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
1301,2015年第3季,,             46995229,,             41560996,              5434233,              5434233,,,              1325871,,              1126933,,                209962,              2662766,              2771467,,,              3303900,,              1633304,,                326989,,              4363623,              8973838,             11745305,,              1215226,              1215226,             10530079,             10530079,,,              4845686,            -20217676,,             -2760473,                833342,            -18965805,            -18965805,             -8435726,,             10530079,,             -8435726,,                              1.65,                              1.65,,,,,
1301,2015年第2季,,             51007365,,             44948926,              6058439,              6058439,,,              1379502,,              1089395,,                195014,              2663911,              3394528,,,                105382,,                 -3331,,                333519,,              9066220,              8834752,             12229280,,              1368173,              1368173,             10861107,             10861107,,,               -922179,             -7285063,,             -3051343,               -127651,            -11130934,            -11130934,               -269827,,             10861107,,               -269827,,                              1.71,                              1.71,,,,,
1301,2015年01月01日至2015年09月30日,,            145699706,,            128635155,             17064551,             17064551,,,              4076322,,              3278251,,                605000,              7959573,              9104978,,,              3520291,,              1490772,,              1021720,,             15332248,             19321591,             28426569,,              3391698,              3391698,             25034871,             25034871,,,              2863694,            -24291149,,             -5210061,                584455,            -27221971,            -27221971,             -2187100,,             25034871,,             -2187100,,                              3.93,                              3.93,,,,,
1301,2015年01月01日至2015年06月30日,,             98704477,,             87074159,             11630318,             11630318,,,              2750451,,              2151318,,                395038,              5296807,              6333511,,,                216391,,               -142532,,                694731,,             10968625,             10347753,             16681264,,              2176472,              2176472,             14504792,             14504792,,,             -1981992,             -4073473,,             -2449588,               -248887,             -8256166,             -8256166,              6248626,,             14504792,,              6248626,,                              2.28,                              2.28,,,,,
1301,2015年01月01日至2015年03月31日,,             47697112,,             42125233,              5571879,              5571879,,,              1370949,,              1061923,,                200024,              2632896,              2938983,,,                111009,,               -139201,,                361212,,              1902405,              1513001,              4451984,,                808299,                808299,              3643685,              3643685,,,             -1059813,              3211590,,                601755,               -121236,              2874768,              2874768,              6518453,,              3643685,,              6518453,,                              0.57,                              0.57,,,,,
1301,2014年第3季,,             55340879,,             51192709,              4148170,              4148170,,,              1306027,,              1239073,,                221013,              2766113,              1382057,,,              2500004,,                514339,,                394450,,              4026341,              6646234,              8028291,,                540543,                540543,              7487748,              7487748,,,              1564369,            -11346590,,             -2428140,                191196,            -12401557,            -12401557,             -4913809,,              7487748,,             -4913809,,                              1.18,                              1.18,,,,,
1301,2014年第2季,,             59028979,,             54868556,              4160423,              4160423,,,              1339023,,              1138158,,                233747,              2710928,              1449495,,,                142677,,               -206627,,                394300,,              3774496,              3316246,              4765741,,              1030461,              1030461,              3735280,              3735280,,,             -1746617,             19738440,,              4777757,               -206061,             22975641,             22975641,             26710921,,              3735280,,             26710921,,                              0.59,                              0.59,,,,,
1301,2014年01月01日至2014年09月30日,,            166359729,,            154269515,             12090214,             12090214,,,              3894942,,              3598862,,                675489,              8169293,              3920921,,,              2798323,,              3233209,,              1168415,,             11983514,             16846631,             20767552,,              2361550,              2361550,             18406002,             18406002,,,              1174044,              3032245,,              1627137,                169419,              5664007,              5664007,             24070009,,             18406002,,             24070009,,                              2.89,                              2.89,,,,,
1301,2014年01月01日至2014年06月30日,,            111018850,,            103076806,              7942044,              7942044,,,              2588915,,              2359789,,                454476,              5403180,              2538864,,,                298319,,              2718870,,                773965,,              7957173,             10200397,             12739261,,              1821007,              1821007,             10918254,             10918254,,,               -390325,             14378835,,              4055277,                -21777,             18065564,             18065564,             28983818,,             10918254,,             28983818,,                              1.72,                              1.72,,,,,
1301,2014年01月01日至2014年03月31日,,             51989871,,             48208250,              3781621,              3781621,,,              1249892,,              1221631,,                220729,              2692252,              1089369,,,                155642,,              2925497,,                379665,,              4182677,              6884151,              7973520,,                790546,                790546,              7182974,              7182974,,,              1356292,             -5359605,,               -722480,                184284,             -4910077,             -4910077,              2272897,,              7182974,,              2272897,,                              1.13,                              1.13,,,,,
1301,2013年07月01日至2013年09月30日,,             53144687,,             49456084,              3688603,              3688603,,,              1417593,,              1178485,,                233773,              2829851,                858752,,,                798659,,                175966,,                375181,,              5505969,              6105413,              6964165,,,                480071,              6484094,              6484094,,,,,,,,,             -5899660,                584434,,              6484094,,                584434,,                              1.02,                              1.02,               -976076,             -3900325,,             -1161829,               -138570
1301,2013年04月01日至2013年06月30日,,             56289780,,             52035614,              4254166,              4254166,,,              1506950,,              1246353,,                223680,              2976983,              1277183,,,                200367,,                683758,,                351534,,              2358661,              2891252,              4168435,,,              1065832,              3102603,              3102603,,,,,,,,,             19630919,             22733522,,              3102603,,             22733522,,                              0.49,                              0.49,                814905,             15846898,,              3040661,                 71545
1301,2013年01月01日至2013年12月31日,,            215424768,,            199760375,             15664393,             15664393,,,              5548405,,              4643380,,                892277,             11084062,              4580331,,,              1392257,,              2034874,,              1482832,,             16639868,             18584167,             23164498,,,              2448657,             20715841,             20715841,,,,,,,,,             23865505,             44581346,,             20715841,,             44581346,,                              3.25,                              3.25,              2792876,             18364002,,              2934708,                226081
1301,2013年01月01日至2013年09月30日,,            159479008,,            148436393,             11042615,             11042615,,,              4226280,,              3489597,,                651374,              8367251,              2675364,,,              1232520,,              1453480,,              1101852,,             12520492,             14104640,             16780004,,,              1693080,             15086924,             15086924,,,,,,,,,             18342899,             33429823,,             15086924,,             33429823,,                              2.37,                              2.37,              1714031,             13861073,,              2901785,                133990
1301,2013年01月01日至2013年06月30日,,            106334321,,             98980309,              7354012,              7354012,,,              2808687,,              2311112,,                417601,              5537400,              1816612,,,                433860,,              1277516,,                726671,,              7014522,              7999227,              9815839,,,              1213009,              8602830,              8602830,,,,,,,,,             24242559,             32845389,,              8602830,,             32845389,,                              1.35,                              1.35,              2690107,             17761398,,              4063614,                272560
1301,2013年01月01日至2013年03月31日,,             50044541,,             46944695,              3099846,              3099846,,,              1301737,,              1064759,,                193921,              2560417,                539429,,,                233493,,                593758,,                375137,,              4655861,              5107975,              5647404,,,                147177,              5500227,              5500227,,,,,,,,,              4611640,             10111867,,              5500227,,             10111867,,                              0.90,                              0.90,              1875202,              1914500,,              1022953,                201015
1301,2012年07月01日至2012年09月30日,,             48072515,,             45045122,              3027393,              3027393,,,              1251200,,                969900,,                194572,              2415672,                611721,,,              2986316,,                -56804,,                325342,,              4859744,              7463914,              8075635,,,                -73404,              8149039,              8149039,,,,,,,,,              1105288,              9254327,,              8149039,,              9254327,,                              1.28,                              1.28,             -1247207,              2331485,,               -118076,               -139086
1301,2012年04月01日至2012年06月30日,,             46465993,,             42291408,              4174585,              4174585,,,              1333688,,                776635,,                292734,              2403057,              1771528,,,                243385,,                514409,,                316533,,             -1875461,             -1434200,                337328,,,              1481386,             -1144058,             -1144058,,,,,,,,,            -14274454,            -15418512,,             -1144058,,            -15418512,,                             -0.18,                             -0.18,                547433,            -13227570,,             -1509926,                 84391
1301,2012年01月01日至2012年12月31日,,            196878954,,            181568110,             15310844,             15310844,,,              5262915,,              3603072,,                931348,              9797335,              5513509,,,              3672673,,              1329045,,              1325409,,              7808878,             11485187,             16998696,,,              2179174,             14819522,             14819522,,,,,,,,,             -4445108,             10374414,,             14819522,,             10374414,,                              2.33,                              2.33,             -2274521,             -2517232,,                 80003,               -266642
1301,2012年01月01日至2012年09月30日,,            147759531,,            135620649,             12138882,             12138882,,,              3972094,,              2794384,,                715367,              7481845,              4657037,,,              3451684,,              1192371,,                978803,,              5603286,              9268538,             13925575,,,              2034199,             11891376,             11891376,,,,,,,,,             -4716524,              7174852,,             11891376,,              7174852,,                              1.87,                              1.87,             -2056160,             -2557097,,               -316643,               -213376
1301,2012年01月01日至2012年06月30日,,             99687016,,             90575527,              9111489,              9111489,,,              2720894,,              1824484,,                520795,              5066173,              4045316,,,                465368,,              1249174,,                653461,,                743543,              1804624,              5849940,,,              2107603,              3742337,              3742337,,,,,,,,,             -5821812,             -2079475,,              3742337,,             -2079475,,                              0.59,                              0.59,               -808952,             -4888583,,               -198567,                -74290
1301,2012年01月01日至2012年03月31日,,             53221023,,             48284119,              4936904,              4936904,,,              1387206,,              1047849,,                228061,              2663116,              2273788,,,                221983,,                734765,,                336928,,              2619004,              3238824,              5512612,,,                626217,              4886395,              4886395,,,,,,,,,              8452642,             13339037,,              4886395,,             13339037,,                              0.80,                              0.80,             -1356385,              8338987,,              1311359,               -158681
