證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 停業單位淨利（淨損）,　　 基本每股盈餘合計,　 已實現銷貨（損）益,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 與其他綜合損益組成部分相關之所得稅,　 未實現銷貨（損）益
2329,2015年第3季,,,              3734523,              3734523,,,              3178219,              3178219,                556304,                556304,,,                221860,,                 49743,                271603,                284701,,,                 16926,,                 12609,,                 48525,,                 25604,                  6614,                291315,,                 74854,                216461,,                              0,                216461,,,                 55436,                              0,                  8044,                 47392,                 47392,                263853,,                211651,                  4810,,                250926,                 12927,,                              0.26,                              0.00,                              0.26,,,,,
2329,2015年第2季,,,              4162707,              4162707,,,              3526933,              3526933,                635774,                635774,,,                217800,,                 48864,                266664,                369110,,,                 15418,,                -20170,,                 49151,,                 18014,                -35889,                333221,,                 70808,                262413,,                              0,                262413,,,                 -4510,                -12270,                   -511,                -16269,                -16269,                246144,,                255873,                  6540,,                241109,                  5035,,                              0.32,                              0.00,                              0.32,,,,,
2329,2015年第1季,,,              3775932,              3775932,,,              3233357,              3233357,                542575,                542575,,,                213223,,                 43801,                257024,                285551,,,                 15689,,                 29872,,                 50266,,                  7720,                  3015,                288566,,                 41633,                246933,,                              0,                246933,,,                -16595,                              0,                 -2588,                -14007,                -14007,                232926,,                247933,                 -1000,,                235296,                 -2370,,                              0.31,                              0.00,                              0.31,,,,,
2329,2015年01月01日至2015年09月30日,,,             11673162,             11673162,,,              9938509,              9938509,              1734653,              1734653,,,                652883,,                142408,                795291,                939362,,,                 48033,,                 22311,,                147942,,                 51338,                -26260,                913102,,                187295,                725807,,                              0,                725807,,,                 34331,                -12270,                  4945,                 17116,                 17116,                742923,,                715457,                 10350,,                727331,                 15592,,                              0.89,                              0.00,                              0.89,,,,,
2329,2015年01月01日至2015年06月30日,,,              7938639,              7938639,,,              6760290,              6760290,              1178349,              1178349,,,                431023,,                 92665,                523688,                654661,,,                 31107,,                  9702,,                 99417,,                 25734,                -32874,                621787,,                112441,                509346,,                              0,                509346,,,                -21105,                -12270,                 -3099,                -30276,                -30276,                479070,,                503806,                  5540,,                476405,                  2665,,                              0.63,                              0.00,                              0.63,,,,,
2329,2014年第3季,,,              3533304,              3533304,,,              2996364,              2996364,                536940,                536940,,,                212459,,                 44152,                256611,                280329,,,                 46286,,                 28978,,                 51063,,                  7652,                 31853,                312182,,                100641,                211541,,                  9285,                220826,,,                 16643,                 -4350,                  2830,                  9463,                  9463,                230289,,                218758,                  2068,,                228221,                  2068,,                              0.26,                              0.01,                              0.27,,,,,
2329,2014年第2季,,,              3327393,              3327393,,,              2855063,              2855063,                472330,                472330,,,                188540,,                 41981,                230521,                241809,,,                 31619,,                 -7334,,                 50923,,                  8174,                -18464,                223345,,                 99638,                123707,,                 -5219,                118488,,,                -17000,                  9660,                 -2539,                 -4801,                 -4801,                113687,,                117317,                  1171,,                114584,                   -897,,                              0.15,                             -0.01,                              0.14,,,,,
2329,2014年第1季,,,              2976693,              2976693,,,              2581842,              2581842,                394851,                394851,,,                188197,,                 36411,                224608,                170243,,,                  8549,,                 19723,,                 50523,,                  4421,                -17830,                152413,,                 52376,                100037,,                 -4066,                 95971,,,                 17407,                 -1590,                  2608,                 13209,                 13209,                109180,,                 91900,                  4071,,                103042,                  6138,,                              0.13,                             -0.01,                              0.12,,,,,
2329,2014年度,,,             13831273,             13831273,,,             11833871,             11833871,              1997402,              1997402,,,                838160,,                168830,              1006990,                990412,,,                101309,,                103218,,                203186,,                 31370,                 32711,              1023123,,                341528,                681595,,                              0,                681595,,,,,,,                 55895,                737490,,                660706,                 20889,,                716601,                 20889,,                              0.82,                              0.00,                              0.82,                              0,                 56246,                 12327,                 12678,
2329,2014年01月01日至2014年09月30日,,,              9837390,              9837390,,,              8433269,              8433269,              1404121,              1404121,,,                589196,,                122544,                711740,                692381,,,                 86454,,                 41367,,                152509,,                 20247,                 -4441,                687940,,                252655,                435285,,                              0,                435285,,,                 17051,                  3720,                  2899,                 17872,                 17872,                453157,,                427975,                  7310,,                445847,                  7310,,                              0.53,                              0.00,                              0.53,,,,,
2329,2014年01月01日至2014年06月30日,,,              6304086,              6304086,,,              5436905,              5436905,                867181,                867181,,,                376737,,                 78392,                455129,                412052,,,                 40168,,                 12389,,                101446,,                 12595,                -36294,                375758,,                152014,                223744,,                 -9285,                214459,,,                    407,                  8070,                     69,                  8408,                  8408,                222867,,                209217,                  5242,,                217626,                  5241,,                              0.27,                             -0.01,                              0.26,,,,,
2329,2014年01月01日至2014年03月31日,,,              2976693,              2976693,,,              2581842,              2581842,                394851,                394851,,,                188197,,                 36411,                224608,                170243,,,                  8549,,                 19723,,                 50523,,                  4421,                -17830,                152413,,                 52376,                100037,,                 -4066,                 95971,,,,,,,                 12732,                108703,,                 91900,                  4071,,                104632,                  4071,,                              0.13,                             -0.01,                              0.12,                              0,                 15340,,                  2608,                              0
2329,2013年第3季,,,              2511965,              2511965,,,              2241908,              2241908,                270057,                270057,,,                142427,,                 35227,                177654,                 92403,,,                 10207,,                 -9692,,                 52669,,                  5835,                -46319,                 46084,,                 38601,                  7483,,                 -5120,                  2363,,,,,,,                 -9790,                 -7427,,                  2056,                    307,,                 -7734,                    307,,                              0.01,                             -0.01,                              0.00,                              0,                -11795,,                 -2005,
2329,2013年第2季,,,              2246667,              2246667,,,              2033718,              2033718,                212949,                212949,,,                206182,,                 37707,                243889,                -30940,,,                 33401,,                 -7034,,                 51635,,                  2572,                -22696,                -53636,,                 32702,                -86338,,                 -4877,                -91215,,,,,,,                  4409,                -86806,,                -93600,                  2385,,                -89191,                  2385,,                             -0.11,                             -0.01,                             -0.12,                              0,                  5312,,                    903,
2329,2013年度,,,              9553023,              9553023,,,              8656329,              8656329,                896694,                900306,,,                701060,,                144908,                845968,                 54338,,,                 77195,,                 14073,,                211380,,                 24064,                -96048,                -41710,,                158770,               -200480,,                -76356,               -276836,,,,,,,                 65787,               -211049,,               -288109,                 11273,,               -222322,                 11273,,                             -0.26,                             -0.10,                             -0.36,                  3612,                 23656,                 94996,                 52865,
2329,2013年07月01日至2013年09月30日,,,              2511965,              2511965,,,,              2241908,                270057,                270057,,,                142427,,                 35227,                177654,                 92403,,,                  6867,,                 -6352,,                 52669,,                  5835,                -46319,                 46084,,                 38601,                  7483,,                 -5120,                  2363,,,,,,,                 -9790,                 -7427,,                  2056,                    307,,                 -7734,                    307,,                              0.01,                             -0.01,                              0.00,                              0,                 -9790,,,                              0
2329,2013年04月01日至2013年06月30日,,,              2246667,              2246667,,,              2033718,              2033718,                212949,                212949,,,                206182,,                 37707,                243889,                -30940,,,                  3391,,                 22974,,                 51635,,                  2572,                -22698,                -53638,,                 32702,                -86340,,                 -4877,                -91217,,,,,,,                  4409,                -86808,,                -93602,                  2385,,                -89193,                  2385,,                             -0.11,                              0.00,                             -0.11,                              0,                  4409,,,                              0
2329,2013年01月01日至2013年12月31日,,,              9553023,              9553023,,,,              8656329,                896694,                900306,,,                701060,,                144908,                845968,                 54338,,,                 77195,,                 14073,,                211380,,                 24064,                -96048,                -41710,,                158770,               -200480,,                -76356,               -276836,,,,,,,                 65787,               -211049,,               -288109,                 11273,,               -222322,                 11273,,                             -0.26,                             -0.10,                             -0.36,                  3612,                 23656,                 94996,                 52865,                              0
2329,2013年01月01日至2013年09月30日,,,              6999483,              6999483,,,              6403620,              6403620,                595863,                599475,,,                547422,,                108694,                656116,                -56641,,,                 62474,,                    537,,                155507,,                 11536,                -80960,               -137601,,                 71579,               -209180,,                -71731,               -280911,,,,,,,                 14025,               -266886,,               -289166,                  8255,,               -275141,                  8255,,                             -0.27,                             -0.09,                             -0.36,                  3612,                 16748,,                  2723,
2329,2013年01月01日至2013年06月30日,,,              4487518,              4487518,,,              4161712,              4161712,                325806,                329418,,,                404995,,                 73467,                478462,               -149044,,,                 52267,,                 10229,,                102838,,                  5701,                -34641,               -183685,,                 32978,               -216663,,                -66611,               -283274,,,,,,,                 23815,               -259459,,               -291222,                  7948,,               -267407,                  7948,,                             -0.28,                             -0.08,                             -0.36,                  3612,                 28543,,                  4728,
2329,2013年01月01日至2013年03月31日,,,              2240851,              2240851,,,              2127994,              2127994,                112857,                116469,,,                198813,,                 35760,                234573,               -118104,,,                 18866,,                 17263,,                 51203,,                  3129,                -11945,               -130049,,                    276,               -130325,,                -61734,               -192059,,,,,,,                 19406,               -172653,,               -197622,                  5563,,               -178216,                  5563,,                             -0.17,                             -0.07,                             -0.24,                  3612,                 23231,,                  3825,                              0
2329,2012年07月01日至2012年09月30日,,,              2639278,              2639278,,,,              2433930,                205348,                205659,,,                137148,,                 34450,                171598,                 34061,,,                  7295,,                 -3206,,                 52755,,                   -830,                -49496,                -15435,,                    276,                -15711,,                 -9320,                -25031,,,,,,,                 -7836,                -32867,,                -37030,                 11999,,                -44864,                 11997,,                             -0.04,                             -0.01,                             -0.05,                              0,                 -7836,,,                   -311
2329,2012年04月01日至2012年06月30日,,,              2721243,              2721243,,,              2418764,              2418764,                302479,                304351,,,                151439,,                 33062,                184501,                119850,,,                  1344,,                 10410,,                 48917,,                  9002,                -28161,                 91689,,                 29175,                 62514,,                 -9940,                 52574,,,,,,,                 -8608,                 43966,,                 47668,                  4906,,                 39060,                  4906,,                              0.07,                             -0.01,                              0.06,                              0,                 -8608,,,                 -1872
2329,2012年01月01日至2012年12月31日,,,             10653597,             10653597,,,,              9714359,                939238,                937108,,,                541571,,                138887,                680458,                256650,,,                 57020,,                    385,,                199833,,                 32890,               -109538,                147112,,                 64617,                 82495,,                -33274,                 49221,,,,,,,                -28823,                 20398,,                 22883,                 26338,,                 -5940,                 26338,,                              0.07,                             -0.04,                              0.03,                  1482,                -39185,                 27088,                 16726,                  3612
2329,2012年01月01日至2012年09月30日,,,              8205452,              8205452,,,,              7412421,                793031,                790167,,,                443234,,                101199,                544433,                245734,,,                  9547,,                  7137,,                147839,,                 43659,                -87496,                158238,,                 65036,                 93202,,                -27209,                 65993,,,,,,,                -47271,                 18722,,                 43497,                 22496,,                 -3772,                 22494,,                              0.08,                             -0.03,                              0.05,                  1482,                -47271,,,                  4346
2329,2012年01月01日至2012年06月30日,,,              5566174,              5566174,,,              4978491,              4978491,                587683,                584508,,,                306086,,                 66749,                372835,                211673,,,                  2252,,                 10343,,                 95084,,                 44489,                -38000,                173673,,                 64760,                108913,,                -17889,                 91024,,,,,,,                -39435,                 51589,,                 80527,                 10497,,                 41092,                 10497,,                              0.12,                             -0.02,                              0.10,                  1482,                -39435,,,                  4657
2329,2012年01月01日至2012年03月31日,,,              2844931,              2844931,,,              2559727,              2559727,                285204,                280157,,,                154647,,                 33687,                188334,                 91823,,,                    908,,                    -67,,                 46167,,                 35487,                 -9839,                 81984,,                 35585,                 46399,,                 -7949,                 38450,,,,,,,                -30827,                  7623,,                 32859,                  5591,,                  2032,                  5591,,                              0.05,                             -0.01,                              0.04,                  1482,                -30827,,,                  6529
